antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,1661.122975,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,primary health clinic,TRUE,primaryhealthclinic,False,True,False,False,1339511763863.jpg,9.483985304832458 8.14887821674347 777.0 4.0,False,True,FALSE,False,,,False,TRUE,,True,False,False,True,False,False,False,Jema'a,386,386,386.0,False,False,False,True,False,False,False,False,False,False,FALSE,jema_a,kaduna,northwest,10,10,0.0,0.0,0.0,0.0,False,public,False,False,1339511763863.jpg,278735,167.799136003,,False,False,health,False,TRUE,Kaduna,False,False,Others,FALSE,kaduna_jema_a,False,43d721cb-a1a9-44d0-aed1-10f7dc012e7b,,,43d721cb-a1a9-44d0-aed1-10f7dc012e7b,Northwest
False,1661.122975,False,False,False,True,False,False,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,PHC Gidan waya,TRUE,primaryhealthcarecentre,False,True,False,True,1339505109239.jpg,9.466336369514465 8.384279608726501 570.0 4.0,False,True,FALSE,False,,,False,TRUE,,False,True,False,True,False,False,False,Jema'a,386,386,386.0,False,True,False,True,True,False,False,False,False,False,FALSE,jema_a,kaduna,northwest,5,4,0.0,1.0,0.0,1.0,False,public,False,False,1339505109239.jpg,278735,167.799136003,True,False,False,health,True,TRUE,Kaduna,False,False,Others,TRUE,kaduna_jema_a,False,0cb2a28b-c91c-475b-84bd-14a577a7a07a,,,0cb2a28b-c91c-475b-84bd-14a577a7a07a,Northwest
False,1661.122975,False,False,False,True,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,False,False,False,,True,Health Clinic Fori,TRUE,healthpostdispensary,False,True,False,True,1339581800986.jpg,9.475257396697998 8.104938268661499 788.0 4.0,False,True,FALSE,False,,,False,TRUE,True,True,False,False,False,False,False,False,Jema'a,386,386,386.0,False,True,False,True,False,False,False,False,False,False,FALSE,jema_a,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1339581800986.jpg,278735,167.799136003,False,False,False,health,False,TRUE,Kaduna,False,False,Others,FALSE,kaduna_jema_a,False,3f229647-0ae7-4756-9991-ea5144f14983,,,3f229647-0ae7-4756-9991-ea5144f14983,Northwest
False,1661.122975,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.00203066957983,0.224479484153,False,True,False,True,True,False,,True,PRIMARY HEALTH CARE MAIGIZO,TRUE,primaryhealthcarecentre,False,True,False,True,1339504139682.jpg,9.588194489479065 8.32738995552063 794.0 4.0,False,False,FALSE,False,True,True,False,FALSE,True,True,True,False,True,False,False,False,Jema'a,386,386,421.0,False,True,False,True,True,False,False,False,False,False,FALSE,jema_a,kaduna,northwest,4,3,0.0,1.0,0.0,0.0,False,public,,False,1339504139682.jpg,278735,167.799136003,True,False,False,health,False,TRUE,Kaduna,False,True,Others,FALSE,kaduna_jema_a,False,0c6695d8-648e-49cb-930f-dcae7fde81d7,,,0c6695d8-648e-49cb-930f-dcae7fde81d7,Northwest
False,1661.122975,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Primary Health Care,,wardmodelphccentre,False,False,False,True,1339604578240.jpg,9.428967833518982 8.126192092895508 556.0 4.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Jema'a,386,386,386.0,False,False,False,False,False,False,False,False,False,False,FALSE,jema_a,kaduna,northwest,1,0,0.0,0.0,0.0,0.0,False,public,False,False,1339604578240.jpg,278735,167.799136003,,False,False,health,False,TRUE,Kaduna,False,False,Others,FALSE,kaduna_jema_a,False,9c9d5f6e-4069-443a-9bbd-4b2635f0bb43,,,9c9d5f6e-4069-443a-9bbd-4b2635f0bb43,Northwest
False,1661.122975,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,PHC KANUFI,TRUE,primaryhealthcarecentre,False,False,False,True,1339673674545.jpg,9.47344422340393 8.492866158485413 598.0 4.0,False,False,FALSE,False,True,True,False,TRUE,,False,False,False,True,False,False,False,Jema'a,386,386,386.0,False,True,True,True,True,False,False,False,False,False,FALSE,jema_a,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1339673674545.jpg,278735,167.799136003,False,False,False,health,False,TRUE,Kaduna,False,True,Others,FALSE,kaduna_jema_a,False,a8425572-79bb-46b4-8110-e800b41b947a,,,a8425572-79bb-46b4-8110-e800b41b947a,Northwest
False,1661.122975,True,True,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,0.00285828674932,0.315970335719,False,True,False,True,False,False,,False,Primary Health Centre Kafanchan,TRUE,primaryhealthcarecentre,False,True,False,True,1339747781493.jpg,9.582953453063965 8.291475176811218 752.0 4.0,False,True,FALSE,False,True,True,False,FALSE,True,True,True,False,True,True,False,False,Jema'a,386,386,770.0,False,True,True,True,True,False,False,False,False,False,FALSE,jema_a,kaduna,northwest,9,9,0.0,2.0,6.0,0.0,False,public,False,True,1339747781493.jpg,278735,167.799136003,True,False,False,health,True,TRUE,Kaduna,False,True,Others,FALSE,kaduna_jema_a,False,1da4ff99-5d87-4db6-a88e-8e0c2454836d,,,1da4ff99-5d87-4db6-a88e-8e0c2454836d,Northwest
False,1661.122975,False,False,False,True,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,True,True,False,,,Primary Health Care,FALSE,primaryhealthcarecentre,False,True,False,True,1339845447485.jpg,9.430207014083862 8.166435956954956 539.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,True,False,False,False,Jema'a,386,386,386.0,False,True,True,True,False,False,False,False,False,False,FALSE,jema_a,kaduna,northwest,1,0,0.0,0.0,0.0,1.0,False,public,False,False,1339845447485.jpg,278735,167.799136003,True,False,False,health,True,TRUE,Kaduna,False,False,Others,TRUE,kaduna_jema_a,False,9bfe0630-4540-4dab-9a61-88e934da11cc,,,9bfe0630-4540-4dab-9a61-88e934da11cc,Northwest
False,1661.122975,False,False,False,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,True,primary health care,TRUE,primaryhealthcarecentre,False,True,False,True,1339588622056.jpg,9.317532777786255 8.036161065101624 540.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,True,True,False,False,Jema'a,386,386,386.0,False,True,False,True,True,False,False,False,False,False,FALSE,jema_a,kaduna,northwest,6,5,0.0,0.0,1.0,0.0,False,public,False,False,1339588622056.jpg,278735,167.799136003,,False,False,health,False,TRUE,Kaduna,False,,Others,TRUE,kaduna_jema_a,False,d474207b-0ca3-46db-b48b-f1ac46316df6,,,d474207b-0ca3-46db-b48b-f1ac46316df6,Northwest
False,1661.122975,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,False,False,,,PHC Jangidi Gari,,primaryhealthcarecentre,False,True,False,True,1339755869940.jpg,9.389598369598389 8.21028470993042 511.0 4.0,False,True,FALSE,False,True,True,False,FALSE,True,True,True,False,True,True,False,False,Jema'a,386,386,386.0,False,True,False,False,False,False,False,False,False,False,FALSE,jema_a,kaduna,northwest,3,2,0.0,1.0,0.0,1.0,False,public,False,False,1339755869940.jpg,278735,167.799136003,False,False,False,health,True,TRUE,Kaduna,False,False,Others,FALSE,kaduna_jema_a,False,4a7bc758-90bf-4d43-ae4e-1c2243132979,,,4a7bc758-90bf-4d43-ae4e-1c2243132979,Northwest
