"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"29291",29291,29291,"d5b37e87-573b-47ae-b8d3-6bc8efde41df","kaduna_south","kaduna","northwest","10.508326292037964 7.401609420776367 621.0 4.0","Gjss kargi road kaduna","junior_and_senior_sec","kaduna_kaduna_south",396,"1347106557273.jpg","d5b37e87-573b-47ae-b8d3-6bc8efde41df","junior_and_senior_sec","1347106557273.jpg",35,"formal_educ",FALSE,TRUE,4,14,1000,1.18343195266272,TRUE,FALSE,0,0.898876404494382,TRUE,TRUE,105.625,FALSE,4,TRUE,FALSE,TRUE,TRUE,44.4736842105263,FALSE,TRUE,FALSE,TRUE,2.81666666666667,2.81666666666667,24.1428571428571,Inf,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29292",29292,29292,"df1d52b6-921d-4149-8228-2a3731d9af4e","kaduna_south","kaduna","northwest","10.496808886528015 7.392704486846924 631.0 4.0","salamat islamic school","primary_junior_and_senior_sec","kaduna_kaduna_south",396,"1347295582217.jpg","df1d52b6-921d-4149-8228-2a3731d9af4e","primary_junior_and_senior_sec","1347295582217.jpg",13,"religious_with_formal",FALSE,FALSE,0,6,1894,2.91384615384615,FALSE,FALSE,0,0.625,TRUE,TRUE,108.333333333333,TRUE,5,TRUE,FALSE,TRUE,TRUE,38.2352941176471,FALSE,FALSE,FALSE,TRUE,2.6,2.6,50,13,13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"29293",29293,29293,"b34744f2-198b-4c0d-85ff-6d394350b1f9","kaduna_south","kaduna","northwest","10.522187948226929 7.421436309814453 637.0 4.0","Joy schools","primary_junior_and_senior_sec","kaduna_kaduna_south",396,"1347362734889.jpg","b34744f2-198b-4c0d-85ff-6d394350b1f9","primary_junior_and_senior_sec","1347362734889.jpg",31,"formal_educ",FALSE,TRUE,0,16,1340,2.01503759398496,TRUE,FALSE,0,0.955882352941177,TRUE,TRUE,110.833333333333,TRUE,0,TRUE,FALSE,TRUE,TRUE,33.25,FALSE,FALSE,FALSE,TRUE,1.84722222222222,1.84722222222222,21.4516129032258,15.5,31,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"29294",29294,29294,"4d610f9b-8df9-4663-877e-7532580bba5f","kaduna_south","kaduna","northwest","10.504040122032166 7.405155301094055 632.0 4.0","sheikh Abubakar M Gumi","junior_and_senior_sec","kaduna_kaduna_south",396,"1347281328709.jpg","4d610f9b-8df9-4663-877e-7532580bba5f","junior_and_senior_sec","1347281328709.jpg",29,"religious_with_formal",FALSE,TRUE,0,20,1810,2.35064935064935,TRUE,FALSE,0,1.2,TRUE,TRUE,96.25,TRUE,0,TRUE,TRUE,FALSE,TRUE,51.3333333333333,FALSE,FALSE,FALSE,TRUE,1.71111111111111,1.71111111111111,26.551724137931,5.8,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"29295",29295,29295,"bbea0fda-c9ad-4d95-8ac5-fac55729c35b","kaduna_south","kaduna","northwest","10.482802391052246 7.432819604873657 606.0 4.0","LGEA prim. Sch. Barnawa 2","preprimary_and_primary","kaduna_kaduna_south",396,"1347356302409.jpg","bbea0fda-c9ad-4d95-8ac5-fac55729c35b","preprimary_and_primary","1347356302409.jpg",55,"formal_educ",FALSE,TRUE,6,26,1158,1.12975609756098,FALSE,FALSE,0,0.959847036328872,TRUE,TRUE,170.833333333333,FALSE,6,FALSE,FALSE,TRUE,FALSE,56.9444444444444,FALSE,TRUE,TRUE,TRUE,3.53448275862069,3.66071428571429,18.6363636363636,55,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"education"
"29296",29296,29296,"e99eeed9-2dda-45e2-be35-06d09e0dd173","kaduna_south","kaduna","northwest","10.54816123 7.4218715 624.0 5.0","UNITED SECONDARY SCHOOL","junior_and_senior_sec","kaduna_kaduna_south",396,"1347282423854.jpg","e99eeed9-2dda-45e2-be35-06d09e0dd173","junior_and_senior_sec","1347282423854.jpg",18,"formal_educ",FALSE,TRUE,0,0,24,0.0685714285714286,TRUE,FALSE,50,0.521739130434783,TRUE,TRUE,87.5,TRUE,0,TRUE,TRUE,FALSE,TRUE,17.5,FALSE,FALSE,FALSE,TRUE,1.34615384615385,1.34615384615385,19.4444444444444,6,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"29297",29297,29297,"a585c975-d54e-430c-91d2-47636872a4bc","kaduna_south","kaduna","northwest","10.46533014 7.41212151 633.5 5.0","United Hekan Nursery primary and secondary sch.","primary_and_junior_sec","kaduna_kaduna_south",396,"1347615945414.jpg","a585c975-d54e-430c-91d2-47636872a4bc","primary_and_junior_sec","1347615945414.jpg",11,"formal_educ",FALSE,TRUE,0,4,44,0.1375,FALSE,FALSE,0,1.03821656050955,TRUE,FALSE,106.666666666667,TRUE,0,TRUE,FALSE,TRUE,TRUE,29.0909090909091,FALSE,FALSE,FALSE,TRUE,3.0188679245283,3.0188679245283,29.0909090909091,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"29298",29298,29298,"a8c8dad9-ba89-4bd6-8de3-23683c207097","kaduna_south","kaduna","northwest","10.49709358 7.39916444 630.9000244140625 6.0","Arewa model school","primary_junior_and_senior_sec","kaduna_kaduna_south",396,"1347375858713.jpg","a8c8dad9-ba89-4bd6-8de3-23683c207097","primary_junior_and_senior_sec","1347375858713.jpg",22,"formal_educ",FALSE,TRUE,0,7,1695,3.64516129032258,FALSE,FALSE,50,1.11363636363636,TRUE,TRUE,66.4285714285714,TRUE,3,TRUE,FALSE,TRUE,TRUE,29.0625,FALSE,FALSE,FALSE,TRUE,2.325,2.325,21.1363636363636,7.33333333333333,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29299",29299,29299,"f4345a15-7141-4a12-8d5e-27b6c7982e65","kaduna_south","kaduna","northwest","10.460867285728455 7.41527259349823 638.0 6.0","Resurgent academy primary sch","primary_only","kaduna_kaduna_south",396,"1347368632340.jpg","f4345a15-7141-4a12-8d5e-27b6c7982e65","primary_only","1347368632340.jpg",11,"formal_educ",FALSE,FALSE,0,8,NA,NA,FALSE,FALSE,0,1.18055555555556,TRUE,TRUE,26.1666666666667,TRUE,2,FALSE,FALSE,TRUE,FALSE,19.625,FALSE,FALSE,FALSE,TRUE,1.30833333333333,1.30833333333333,14.2727272727273,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29300",29300,29300,"7e1dfda4-be45-45e8-b971-b8357d00a5eb","kaduna_south","kaduna","northwest","10.458855628967285 7.417246699333191 649.0 4.0","L.G.E.A Demonstration primary school","primary_only","kaduna_kaduna_south",396,"1347106732255.jpg","7e1dfda4-be45-45e8-b971-b8357d00a5eb","primary_only","1347106732255.jpg",35,"formal_educ",FALSE,FALSE,NA,34,NA,NA,TRUE,FALSE,0,0.798692810457516,TRUE,FALSE,229.333333333333,FALSE,NA,FALSE,FALSE,TRUE,FALSE,114.666666666667,FALSE,FALSE,TRUE,TRUE,Inf,Inf,39.3142857142857,Inf,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"education"
