"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"58545",58545,"57113e50-68b6-46f5-8a1d-3c022ee8445f","57113e50-68b6-46f5-8a1d-3c022ee8445f","kaduna South","Kaduna","Northwest",396,"10.52088415 7.395142 590.7000122070313 5.0","1347096080118.jpg","kaduna_kaduna_south","1347096080118.jpg","Tap",NA,NA,"outlet","BARKIN RUWA ","6","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source further than 1km"
"58546",58546,"8660cc69-7308-4709-9173-d48ad975574f","8660cc69-7308-4709-9173-d48ad975574f","kaduna South","Kaduna","Northwest",396,"10.55168767 7.41411347 646.5999755859375 5.0","1347441689897.jpg","kaduna_kaduna_south","1347441689897.jpg","Tap",NA,NA,"outlet","Kurmin Mashi","Badiko Kurmin Mashi","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"58547",58547,"d3eb8ce2-0dca-47b9-a2ae-80ec7ca79099","d3eb8ce2-0dca-47b9-a2ae-80ec7ca79099","kaduna South","Kaduna","Northwest",396,"10.469251871109009 7.4123382568359375 620.0 4.0","1347352033904.jpg","kaduna_kaduna_south","1347352033904.jpg","Borehole",NA,"borehole_tube_well","water_source","Makera","Makera","Yes","Hand Pump","No","Don't Know","No","Stand Alone Water Point"
"58548",58548,"c334c944-f47d-4d87-8c9a-2854170d70b1","c334c944-f47d-4d87-8c9a-2854170d70b1","kaduna South","Kaduna","Northwest",396,"10.51390911 7.40691247 624.2000122070313 5.0","1347097289459.jpg","kaduna_kaduna_south","1347097289459.jpg","Borehole",NA,"borehole_tube_well","water_source","Tudun wsds","Ward6","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"58549",58549,"50b4c425-8c3a-498a-8d3f-a72007e6b2e8","50b4c425-8c3a-498a-8d3f-a72007e6b2e8","kaduna South","Kaduna","Northwest",396,"10.50497157 7.4113004 603.0999755859375 5.0","1347094068427.jpg","kaduna_kaduna_south","1347094068427.jpg","Borehole",NA,"borehole_tube_well","water_source","Tudun wada","7","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58550",58550,"c2425e24-3f61-4214-8c28-5a88dd3c51d2","c2425e24-3f61-4214-8c28-5a88dd3c51d2","kaduna South","Kaduna","Northwest",396,"10.461698770523071 7.435415983200073 638.0 4.0","1347283481238.jpg","kaduna_kaduna_south","1347283481238.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Banawa","on","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"58551",58551,"5c4baa8f-a33c-4d8f-9200-740545134930","5c4baa8f-a33c-4d8f-9200-740545134930","kaduna South","Kaduna","Northwest",396,"10.52553099 7.40113113 612.4000244140625 5.0","1347362488358.jpg","kaduna_kaduna_south","1347362488358.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","UNGWAN SANUSI","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"58552",58552,"dafc04d2-3446-4a1d-8935-baa24ef8865c","dafc04d2-3446-4a1d-8935-baa24ef8865c","kaduna South","Kaduna","Northwest",396,"10.55457303 7.41537821 639.7000122070313 5.0","1347443761501.jpg","kaduna_kaduna_south","1347443761501.jpg","Borehole",NA,"borehole_tube_well","water_source","KURUMIN MASHI","BADIKO","Yes",NA,"No","Don't Know","No","Stand Alone Water Point"
"58553",58553,"1fc84b68-1a62-473a-8264-cc1555dc6071","1fc84b68-1a62-473a-8264-cc1555dc6071","kaduna South","Kaduna","Northwest",396,"10.52390543 7.40782036 644.2000122070313 5.0","1347102352987.jpg","kaduna_kaduna_south","1347102352987.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","11","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"58554",58554,"2aff8848-fa90-4f0e-b816-9dc177e02b6e","2aff8848-fa90-4f0e-b816-9dc177e02b6e","kaduna South","Kaduna","Northwest",396,"10.55264892 7.4147833 645.7000122070313 5.0","1347109525577.jpg","kaduna_kaduna_south","1347109525577.jpg","Tap",NA,NA,"outlet","Kurmin Mashi","Badiko Kurmin Mashi","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"58556",58556,"dcd2217b-e57a-432a-a5a4-866dbfb7d0d4","dcd2217b-e57a-432a-a5a4-866dbfb7d0d4","kaduna South","Kaduna","Northwest",396,"10.482743382453918 7.414725422859192 617.0 4.0","1347349969098.jpg","kaduna_kaduna_south","1347349969098.jpg","Borehole",NA,"borehole_tube_well","water_source","Dawn qtrs","Makera1","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58557",58557,"e4391e28-c208-4edd-8ffd-40590b2b3e4e","e4391e28-c208-4edd-8ffd-40590b2b3e4e","kaduna South","Kaduna","Northwest",396,"10.5255642 7.4018159 626.9000244140625 5.0","1347361780085.jpg","kaduna_kaduna_south","1347361780085.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","UNGWAN SANUSI","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"58558",58558,"f5ec4b2d-dc7e-458b-b8d6-5b0bae6be260","f5ec4b2d-dc7e-458b-b8d6-5b0bae6be260","kaduna South","Kaduna","Northwest",396,"10.452075004577637 7.43249773979187 658.0 4.0","1347280878270.jpg","kaduna_kaduna_south","1347280878270.jpg","Borehole",NA,"borehole_tube_well","water_source","television","one","Yes","Hand Pump","No","Don't Know","No","Stand Alone Water Point"
"58559",58559,"2040ae09-ed02-48cc-9759-ba426bfa966e","2040ae09-ed02-48cc-9759-ba426bfa966e","kaduna South","Kaduna","Northwest",396,"10.51196248 7.40114878 626.2000122070313 5.0","1347098901923.jpg","kaduna_kaduna_south","1347098901923.jpg","Borehole",NA,"borehole_tube_well","water_source","SABON GARI","8","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"58560",58560,"35bfa05b-6047-4429-8ade-9780e6e7693a","35bfa05b-6047-4429-8ade-9780e6e7693a","kaduna South","Kaduna","Northwest",396,"10.52862113 7.40281641 634.0999755859375 5.0","1347359913841.jpg","kaduna_kaduna_south","1347359913841.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","UNGWAN SANUSI","Yes","Manual","Yes","Functional","No","Stand Alone Water Point"
"58561",58561,"40ae649b-c3eb-446f-9c32-74f3ef92f7b8","40ae649b-c3eb-446f-9c32-74f3ef92f7b8","kaduna South","Kaduna","Northwest",396,"10.51193599 7.40114549 623.7999877929688 5.0","1347098670107.jpg","kaduna_kaduna_south","1347098670107.jpg","Borehole",NA,"borehole_tube_well","water_source","SABON GARI","8","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"58562",58562,"30205e30-7dc0-43aa-ad1a-988d3c0de4bd","30205e30-7dc0-43aa-ad1a-988d3c0de4bd","kaduna South","Kaduna","Northwest",396,"10.52722826 7.40260521 621.4000244140625 5.0","1347359314037.jpg","kaduna_kaduna_south","1347359314037.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","UNGWAN SANUSI","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58563",58563,"0507f288-ca5c-4358-b380-62269bd71a1f","0507f288-ca5c-4358-b380-62269bd71a1f","kaduna South","Kaduna","Northwest",396,"10.513545870780945 7.410053014755249 626.0 3.0","1347096753718.jpg","kaduna_kaduna_south","1347096753718.jpg","Borehole",NA,"borehole_tube_well","water_source","Alkalawa Tudun wada","5","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"58564",58564,"348f0ed8-304a-4656-8161-fd22ef938253","348f0ed8-304a-4656-8161-fd22ef938253","kaduna South","Kaduna","Northwest",396,"10.52706486 7.40398679 634.0999755859375 5.0","1347357614369.jpg","kaduna_kaduna_south","1347357614369.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","UNGWAN SANUSI","Yes","Manual","Yes","Functional","No","Stand Alone Water Point"
"58565",58565,"bcd790cf-635a-4fc2-9941-f2b5865fae52","bcd790cf-635a-4fc2-9941-f2b5865fae52","kaduna South","Kaduna","Northwest",396,"10.50397678 7.3934337 621.7000122070313 5.0","1347105085544.jpg","kaduna_kaduna_south","1347105085544.jpg","Borehole",NA,"borehole_tube_well","water_source","Kabala west","Ward6","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58566",58566,"7a8e760a-b6e1-4d08-961f-5b18b04e94ac","7a8e760a-b6e1-4d08-961f-5b18b04e94ac","kaduna South","Kaduna","Northwest",396,"10.453185439109802 7.425368428230286 641.0 3.0","1347358502232.jpg","kaduna_kaduna_south","1347358502232.jpg","Borehole",NA,"borehole_tube_well","water_source","Unguwan yelwa","Kurmin gwari","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"58567",58567,"64c00274-6c41-42e0-8f87-31e2e020dc44","64c00274-6c41-42e0-8f87-31e2e020dc44","kaduna South","Kaduna","Northwest",396,"10.5269016 7.40281278 623.2999877929688 5.0","1347358732417.jpg","kaduna_kaduna_south","1347358732417.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","UNGWAN SANUSI","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
