"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"62741",62741,"87d133fa-95e7-4636-b164-2005c6ecf09b","87d133fa-95e7-4636-b164-2005c6ecf09b","Kauru","Kaduna","Northwest",423,"9.96088052 8.54453276 848.2000122070313 5.0","1347547404110.jpg","kaduna_kauru","1347547404110.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Ung Nassarawa","Damakasuwa","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"62742",62742,"42b6917b-9dab-41e6-aff5-f7decfa33d1f","42b6917b-9dab-41e6-aff5-f7decfa33d1f","Kauru","Kaduna","Northwest",423,"10.36421209 8.20634094 786.7999877929688 5.0","1347283567138.jpg","kaduna_kauru","1347283567138.jpg","Unimproved","unimproved","protected_dug_well","water_source","Rafin Rimi","Kwassam","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"62743",62743,"897d9b20-7800-4d73-8332-3d4520588cac","897d9b20-7800-4d73-8332-3d4520588cac","Kauru","Kaduna","Northwest",423,"10.34038195 8.23922118 792.2000122070313 5.0","1347283366575.jpg","kaduna_kauru","1347283366575.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Kurfi Kwassam","Kwassam","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"62745",62745,"8761136c-db45-4752-941e-9e4fd1a29011","8761136c-db45-4752-941e-9e4fd1a29011","Kauru","Kaduna","Northwest",423,"9.8901852 8.4959532 810.2999877929688 5.0","1347543810734.jpg","kaduna_kauru","1347543810734.jpg","Handpump","handpump",NA,"outlet","Chawai","Baduru","Yes","Hand Pump","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"62746",62746,"8c924c9d-f68d-47a3-b5e7-20a831420403","8c924c9d-f68d-47a3-b5e7-20a831420403","Kauru","Kaduna","Northwest",423,"10.312879085540771 8.19405734539032 756.0 4.0","1347237862598.jpg","kaduna_kauru","1347237862598.jpg","Unimproved","unimproved","protected_dug_well","water_source","Karira","Kwassam","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"62747",62747,"c5d7a3c3-38cf-441f-a381-c4a2e0285efb","c5d7a3c3-38cf-441f-a381-c4a2e0285efb","Kauru","Kaduna","Northwest",423,"10.25705672 8.27253618 793.0999755859375 5.0","1347450835479.jpg","kaduna_kauru","1347450835479.jpg","Handpump","handpump","borehole_tube_well","water_source","Bital","Bital","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"62748",62748,"b43f5c59-b3c7-4966-a071-f8f64b5ea8a3","b43f5c59-b3c7-4966-a071-f8f64b5ea8a3","Kauru","Kaduna","Northwest",423,"10.674902200698853 8.050838112831116 715.0 4.0","1347281968541.jpg","kaduna_kauru","1347281968541.jpg","Handpump","handpump","borehole_tube_well","water_source","GSS DANDAURA","MAKAMI WARD ","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"62749",62749,"defddbba-9b8c-4ffd-a085-79396d282356","defddbba-9b8c-4ffd-a085-79396d282356","Kauru","Kaduna","Northwest",423,"10.13218522 8.37045768 789.4000244140625 5.0","1347448262941.jpg","kaduna_kauru","1347448262941.jpg","Handpump","handpump",NA,"outlet","Geshere","Geshere","Yes","Hand Pump","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"62750",62750,"b73a206d-f5c1-49f8-a196-0b98100977e4","b73a206d-f5c1-49f8-a196-0b98100977e4","Kauru","Kaduna","Northwest",423,"10.34400875 8.24997539 803.2000122070313 5.0","1347291928598.jpg","kaduna_kauru","1347291928598.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Kwassam","Kwassam","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"62751",62751,"265a563a-a90b-46b0-805d-e06a129f95ea","265a563a-a90b-46b0-805d-e06a129f95ea","Kauru","Kaduna","Northwest",423,"10.610384345054626 8.032722473144531 682.0 4.0","1347294631162.jpg","kaduna_kauru","1347294631162.jpg","Handpump","handpump","borehole_tube_well","water_source","SABUWA FIRANA","MAKAMI","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"62752",62752,"eed74708-8dfe-48a2-9a0b-96430945cba2","eed74708-8dfe-48a2-9a0b-96430945cba2","Kauru","Kaduna","Northwest",423,"10.420666337013245 8.22350800037384 727.0 4.0","1347247590620.jpg","kaduna_kauru","1347247590620.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Rigiru","Kwassam","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"62753",62753,"f5b47cce-f809-4177-8564-3e60de9adc21","f5b47cce-f809-4177-8564-3e60de9adc21","Kauru","Kaduna","Northwest",423,"10.51929921 8.25152595 670.7999877929688 5.0","1347179940376.jpg","kaduna_kauru","1347179940376.jpg","Handpump","handpump",NA,"outlet","Ung Tela","Dawaki","Yes","Hand Pump","No","Poorly Constructed","No","Water Scheme, Source within 100m"
"62754",62754,"f43be6d5-80cc-4960-b656-509ae7d67bdb","f43be6d5-80cc-4960-b656-509ae7d67bdb","Kauru","Kaduna","Northwest",423,"10.29673416 8.26220914 768.4000244140625 5.0","1347444861309.jpg","kaduna_kauru","1347444861309.jpg","Handpump","handpump","borehole_tube_well","water_source","Kiwollo","Bital","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"62756",62756,"7bcb4a19-1634-417a-b6fc-ff687078f91a","7bcb4a19-1634-417a-b6fc-ff687078f91a","Kauru","Kaduna","Northwest",423,"10.55625107 8.20456332 682.7999877929688 5.0","1347109863869.jpg","kaduna_kauru","1347109863869.jpg","Handpump","handpump",NA,"outlet","Kagadama","Kauru west","Yes","Hand Pump","Yes","Functional","No","Water Scheme, Source within 100m"
"62757",62757,"89d45b60-8c06-4b3b-bc4c-5938883998ef","89d45b60-8c06-4b3b-bc4c-5938883998ef","Kauru","Kaduna","Northwest",423,"10.08470892906189 8.443910479545593 825.0 4.0","1347456323562.jpg","kaduna_kauru","1347456323562.jpg","Handpump","handpump",NA,"outlet","Binawa","Geshere","Yes","Hand Pump","Yes","Functional","No","Water Scheme, Source within 1km"
"62758",62758,"001a85c6-c9e5-43c3-a1d0-2efb2f2faf5b","001a85c6-c9e5-43c3-a1d0-2efb2f2faf5b","Kauru","Kaduna","Northwest",423,"10.44772217 8.19348094 757.7999877929688 5.0","1347192075606.jpg","kaduna_kauru","1347192075606.jpg","Handpump","handpump","borehole_tube_well","water_source","Kadage","Dawami","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"62759",62759,"5d51100a-8f63-4b10-910a-b5e5190aeee5","5d51100a-8f63-4b10-910a-b5e5190aeee5","Kauru","Kaduna","Northwest",423,"10.34314011 8.2456288 788.9000244140625 5.0","1347292667257.jpg","kaduna_kauru","1347292667257.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Katandama Kwassam","Kwassam","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"62760",62760,"aa863e0b-500a-4f5f-b907-1bf1f60ae862","aa863e0b-500a-4f5f-b907-1bf1f60ae862","Kauru","Kaduna","Northwest",423,"10.532240867614746 7.8802818059921265 652.0 3.0","1347154666826.jpg","kaduna_kauru","1347154666826.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","UNG Maijamaa","Dawaki","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"62761",62761,"13bbb0b6-1908-4b1e-b04b-b2a8e28ee626","13bbb0b6-1908-4b1e-b04b-b2a8e28ee626","Kauru","Kaduna","Northwest",423,"10.48749341 8.22284578 724.4000244140625 5.0","1347185137273.jpg","kaduna_kauru","1347185137273.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Sabuwar unguwa","Dawaki","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"62762",62762,"7fd810d0-2209-497f-a496-fcb7dc156ce7","7fd810d0-2209-497f-a496-fcb7dc156ce7","Kauru","Kaduna","Northwest",423,"10.500724911689758 8.106241822242737 703.0 4.0","1347117364242.jpg","kaduna_kauru","1347117364242.jpg","Handpump","handpump","borehole_tube_well","water_source","KIZANYA","KAURU WEST","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
