breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,DOMAWA KADAGE,,,Stand Alone Water Point,,Yes,10.414470434188843 8.74962866306305 836.0 4.0,True,Lere,468,468,468.0,Hand Pump,No,1300868441364.jpg,water,Kaduna,kaduna_lere,efac2ebd04c8f11a38aa12827f0b12e2,DOMAWA,Handpump,,,,
Dry Well,,kayarda,,,Stand Alone Water Point,,No,10.497736930847168 8.597992658615112 813.0 4.0,True,Lere,468,468,468.0,Manual,No,1301411866421.jpg,water,Kaduna,kaduna_lere,99a3190f1fbae7cea19c022e8819a96d,kayarda,Borehole,,,,
Mechanical Issue,,Alwalo,,,Stand Alone Water Point,,No,10.568670630455017 8.507017493247986 781.0 4.0,True,Lere,468,468,468.0,Manual,No,1301404631380.jpg,water,Kaduna,kaduna_lere,4b7902858ce8da3b01d15061f63adde2,Yarkasuwa,Borehole,,,,
Mechanical Issue,,Majagada 1,,,"Water Scheme, Source within 1km",,No,10.052833557128906 8.486557602882385 817.0 4.0,True,Lere,468,468,468.0,Solar,No,1300908393435.jpg,water,Kaduna,kaduna_lere,aa3b70f5cc348b084a0beb1a85146329,Garu,Tap,,,,
Functional,,LAZURU,,,Stand Alone Water Point,,Yes,10.367740988731384 8.679413795471191 818.0 4.0,True,Lere,468,468,468.0,Hand Pump,No,1300775250296.jpg,water,Kaduna,kaduna_lere,f1768ab2c65bccc7031084357aecfbd5,LAZURU,Handpump,,,,
Functional,,lambe,,,Stand Alone Water Point,,Yes,10.279088616371155 8.593529462814331 853.0 4.0,True,Lere,468,468,468.0,Hand Pump,No,1300980335650.jpg,water,Kaduna,kaduna_lere,278772ab528e7bf22d0d3ee7c8bd3c04,lanto,Handpump,,,,
Mechanical Issue,,Ungwanroman,,,Stand Alone Water Point,,No,10.518309473991394 8.51014494895935 825.0 4.0,True,Lere,468,468,468.0,Hand Pump,No,1301334041938.jpg,water,Kaduna,kaduna_lere,c886300196484accace29f1b0480352e,Yarkasuwa,Handpump,,,,
Functional,,danalhaji,,,"Water Scheme, Source within 1km",,Yes,10.529671311378479 8.693972826004028 867.0 2.0,True,Lere,468,468,468.0,Solar,No,1301313021214.jpg,water,Kaduna,kaduna_lere,c623b20e5cd55f96139642be0b8ae937,da.alhaji,Tap,,,,
Functional,,warsa piti,,,Stand Alone Water Point,,Yes,10.087015628814697 8.608244061470032 844.0 4.0,False,Lere,468,468,468.0,Manual,No,1300970401862.jpg,water,Kaduna,kaduna_lere,cbc286f83a257e9213c15158120e4766,garu,Unimproved,,,,
Functional,,dokan lere,,,Stand Alone Water Point,,Yes,10.271755456924438 8.56286108493805 853.0 4.0,True,Lere,468,468,468.0,Hand Pump,No,1300980475428.jpg,water,Kaduna,kaduna_lere,cd5e48d6dec19b90d30afeed53e7c627,lazuru,Handpump,,,,
