antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,2667.340256,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,PHC kamuru,TRUE,wardmodelphccentre,False,True,False,True,1347531238417.jpg,9.90549362 8.18197 830.5 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Zangon Kataf,770,770,770.0,False,True,False,True,True,False,False,False,False,False,FALSE,zangon_kataf,kaduna,northwest,3,3,0.0,1.0,0.0,0.0,False,public,False,False,1347531238417.jpg,316370,118.608789894,,False,False,health,False,TRUE,Kaduna,False,True,Others,TRUE,kaduna_zangon_kataf,False,3d94d40b-2977-4389-b852-16af3dcc9d31,,,3d94d40b-2977-4389-b852-16af3dcc9d31,Northwest
False,2667.340256,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,True,False,,True,PHC UNGWA RIMI,FALSE,primaryhealthcarecentre,False,True,False,True,1347373899449.jpg,9.58791086 8.22038656 769.2000122070313 5.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,False,False,False,Zangon Kataf,770,770,770.0,False,True,False,True,False,False,False,False,False,False,FALSE,zangon_kataf,kaduna,northwest,6,5,0.0,1.0,0.0,0.0,False,public,False,False,1347373899449.jpg,316370,118.608789894,,False,False,health,False,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zangon_kataf,False,662a4f83-eed2-4547-b484-9bf6eacd09ad,,,662a4f83-eed2-4547-b484-9bf6eacd09ad,Northwest
False,2667.340256,False,False,False,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,PHC,FALSE,primaryhealthcarecentre,False,True,False,True,1347105074755.jpg,9.78769821 8.31279938 912.9000244140625 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,True,True,False,False,Zangon Kataf,770,770,770.0,False,True,False,True,False,False,False,False,False,False,FALSE,zangon_kataf,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,True,1347105074755.jpg,316370,118.608789894,True,False,False,health,False,TRUE,Kaduna,True,False,Others,TRUE,kaduna_zangon_kataf,False,432eeff2-936c-4f6f-a66e-e868e92d9c89,,,432eeff2-936c-4f6f-a66e-e868e92d9c89,Northwest
False,2667.340256,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,False,False,,True,PHC. DUTSEN BAKO,FALSE,primaryhealthcarecentre,False,True,False,True,1347543913267.jpg,9.97529258 8.14263751 861.4000244140625 5.0,False,True,FALSE,False,,,False,TRUE,True,True,False,False,False,False,False,False,Zangon Kataf,770,770,770.0,False,False,False,True,False,False,False,False,False,False,FALSE,zangon_kataf,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1347543913267.jpg,316370,118.608789894,False,False,False,health,False,TRUE,Kaduna,False,False,Others,FALSE,kaduna_zangon_kataf,False,da1f3e53-2b4a-498c-99e5-a891be600f63,,,da1f3e53-2b4a-498c-99e5-a891be600f63,Northwest
False,2667.340256,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,PHC kamuru,TRUE,wardmodelphccentre,False,True,False,True,1347531238417.jpg,9.90549362 8.18197 830.5 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Zangon Kataf,770,770,770.0,False,True,False,True,True,False,False,False,False,False,FALSE,zangon_kataf,kaduna,northwest,3,3,0.0,1.0,0.0,0.0,False,public,False,False,1347531238417.jpg,316370,118.608789894,,False,False,health,False,TRUE,Kaduna,False,True,Others,TRUE,kaduna_zangon_kataf,False,3d94d40b-2977-4389-b852-16af3dcc9d31,,,3d94d40b-2977-4389-b852-16af3dcc9d31,Northwest
False,2667.340256,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,,primary health clinic farmang,,primaryhealthclinic,False,False,False,False,1347115562234.jpg,9.701254963874817 8.174659609794617 802.0 4.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zangon Kataf,770,770,770.0,False,True,False,False,False,False,False,False,False,False,FALSE,zangon_kataf,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,True,1347115562234.jpg,316370,118.608789894,,False,False,health,False,TRUE,Kaduna,False,False,Others,FALSE,kaduna_zangon_kataf,False,a5346475-f7f2-4444-9490-46efee8b7fb5,,,a5346475-f7f2-4444-9490-46efee8b7fb5,Northwest
False,2667.340256,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,,health clinic,,primaryhealthclinic,False,,False,,1347110382430.jpg,9.747962951660156 8.214892745018005 933.0 4.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zangon Kataf,770,770,770.0,False,False,False,False,False,False,False,False,False,False,FALSE,zangon_kataf,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347110382430.jpg,316370,118.608789894,,False,False,health,False,TRUE,Kaduna,,,Others,FALSE,kaduna_zangon_kataf,False,9e7e52d4-4855-4c26-b4e9-d03afccbafab,,,9e7e52d4-4855-4c26-b4e9-d03afccbafab,Northwest
,2667.340256,False,False,False,,,,,,,,,,,False,FALSE,,,,False,True,,,,,,,MODEL P.H.C JANKASA.,FALSE,wardmodelphccentre,,True,,True,1347439313043.jpg,9.71769638 8.45132013 1006.4000244140625 5.0,,,,,,,,TRUE,,,,,,,,,Zangon Kataf,770,770,770.0,,True,,True,False,,,,,,,zangon_kataf,kaduna,northwest,1,1,0.0,1.0,1.0,0.0,,,,,1347439313043.jpg,316370,118.608789894,,,,health,False,,Kaduna,False,True,Others,FALSE,kaduna_zangon_kataf,,f41e4af1-63f5-4c75-8e63-3138169f355d,,,f41e4af1-63f5-4c75-8e63-3138169f355d,Northwest
False,2667.340256,False,False,False,False,False,False,False,True,True,False,True,False,,False,FALSE,False,,,False,True,False,,,False,,True,PHC Gan Gora,,primaryhealthclinic,False,True,False,True,1347113383243.jpg,9.933212399482727 8.298835158348083 847.0 4.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,True,False,False,Zangon Kataf,770,770,770.0,False,True,False,False,False,False,False,False,False,False,FALSE,zangon_kataf,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1347113383243.jpg,316370,118.608789894,,False,False,health,False,TRUE,Kaduna,False,,Others,FALSE,kaduna_zangon_kataf,False,28c2db6c-14ae-4711-825c-f614065bc992,,,28c2db6c-14ae-4711-825c-f614065bc992,Northwest
False,2667.340256,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,HEALTH CLINIC,FALSE,healthpostdispensary,False,True,False,True,1347455200791.jpg,9.88441094 8.40643431 797.5999755859375 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zangon Kataf,770,770,770.0,False,False,False,True,False,False,False,False,False,False,FALSE,zangon_kataf,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347455200791.jpg,316370,118.608789894,,False,False,health,False,FALSE,Kaduna,False,False,Others,FALSE,kaduna_zangon_kataf,False,fc862b70-e1c0-430f-a30a-8db8fd9343d0,,,fc862b70-e1c0-430f-a30a-8db8fd9343d0,Northwest
