"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",2230,"9d5a8cd0-833a-4c37-87fb-6ce0d927fef7","ajingi","kano","northwest","11.94248679 9.00091017 436.70001220703125 5.0","TARBIYYATUL ADFAL MAIGANA","primary_only","kano_ajingi",28,"1345806381829.jpg","9d5a8cd0-833a-4c37-87fb-6ce0d927fef7","primary_only","1345806381829.jpg",1,"religious_with_formal",FALSE,TRUE,NA,1,0,0,FALSE,TRUE,0,0.345794392523364,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,72,TRUE,FALSE,TRUE,FALSE,Inf,Inf,144,Inf,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"2",2231,"f836cdcd-8f97-4620-8c7e-bba38fd63e5d","ajingi","kano","northwest","11.99396482 9.17490623 418.29998779296875 5.0","G. G. J. A. S. S","juniors_sec_only","kano_ajingi",28,"1345982234525.jpg","f836cdcd-8f97-4620-8c7e-bba38fd63e5d","juniors_sec_only","1345982234525.jpg",4,"formal_educ",TRUE,FALSE,0,1,NA,NA,TRUE,FALSE,20,0,TRUE,FALSE,51.5,FALSE,0,TRUE,FALSE,TRUE,FALSE,25.75,FALSE,FALSE,FALSE,TRUE,4.29166666666667,34.3333333333333,25.75,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"3",2232,"c117678d-6a0c-4912-8092-1fc936a39704","ajingi","kano","northwest","11.9855355 9.08361187 438.70001220703125 5.0","Kunkurawa Gabas Primary School","primary_only","kano_ajingi",28,"1345811035101.jpg","c117678d-6a0c-4912-8092-1fc936a39704","primary_only","1345811035101.jpg",2,"formal_educ",FALSE,FALSE,0,0,NA,NA,FALSE,TRUE,0,1.75862068965517,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,80,FALSE,FALSE,TRUE,TRUE,Inf,Inf,80,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",2233,"e390ecbb-651b-4e69-a54a-eed02b89e4db","ajingi","kano","northwest","12.00049843 9.22142097 419.29998779296875 5.0","Sabongarin Dosa Pri. Sch.","primary_only","kano_ajingi",28,"1345998430219.jpg","e390ecbb-651b-4e69-a54a-eed02b89e4db","primary_only","1345998430219.jpg",10,"formal_educ",FALSE,FALSE,0,0,NA,NA,TRUE,TRUE,0,1.64285714285714,TRUE,TRUE,64.75,FALSE,4,TRUE,FALSE,TRUE,TRUE,43.1666666666667,FALSE,FALSE,TRUE,FALSE,3.27848101265823,Inf,25.9,Inf,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"5",2234,"bc879f6c-ddf4-432a-a32c-39861751ed66","ajingi","kano","northwest","11.98137401 9.09256247 434.0 5.0","Jiyayya primary school","primary_only","kano_ajingi",28,"1345811653509.jpg","bc879f6c-ddf4-432a-a32c-39861751ed66","primary_only","1345811653509.jpg",3,"formal_educ",FALSE,FALSE,0,1,NA,NA,TRUE,TRUE,0,0.941176470588235,TRUE,FALSE,165,FALSE,2,TRUE,FALSE,TRUE,FALSE,82.5,TRUE,FALSE,FALSE,TRUE,66,6.6,110,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",2235,"c506aa4f-0e0d-482c-a7f9-4cc20f508535","ajingi","kano","northwest","11.91357595 9.07135909 440.6000061035156 5.0","Gunki primary school","primary_only","kano_ajingi",28,"1345817407167.jpg","c506aa4f-0e0d-482c-a7f9-4cc20f508535","primary_only","1345817407167.jpg",2,"formal_educ",FALSE,FALSE,0,1,NA,NA,TRUE,TRUE,0,1.23076923076923,FALSE,TRUE,29,FALSE,0,TRUE,FALSE,FALSE,FALSE,72.5,TRUE,FALSE,TRUE,TRUE,5,5,72.5,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",2236,"f8bb79f4-e2b3-4b8e-bcb4-a639ce739b03","ajingi","kano","northwest","11.94424001 9.00232577 432.79998779296875 5.0","MAIGANA PRIMARY SCHOOL","primary_only","kano_ajingi",28,"1345806952073.jpg","f8bb79f4-e2b3-4b8e-bcb4-a639ce739b03","primary_only","1345806952073.jpg",4,"formal_educ",FALSE,FALSE,4,1,NA,NA,FALSE,TRUE,0,1.38095238095238,TRUE,TRUE,25,FALSE,NA,FALSE,FALSE,TRUE,FALSE,41.6666666666667,TRUE,FALSE,FALSE,FALSE,6.25,Inf,62.5,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",2237,"b3620a79-e810-4519-81b5-0cd8ee64d227","ajingi","kano","northwest","11.99529543 9.20579758 428.20001220703125 5.0","S/Gari 2 Dosa 2","primary_only","kano_ajingi",28,"1345999802121.jpg","b3620a79-e810-4519-81b5-0cd8ee64d227","primary_only","1345999802121.jpg",5,"formal_educ",TRUE,FALSE,1,2,NA,NA,TRUE,TRUE,0,1.37894736842105,TRUE,TRUE,45.2,FALSE,2,FALSE,FALSE,TRUE,FALSE,75.3333333333333,TRUE,FALSE,TRUE,FALSE,11.3,226,45.2,Inf,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9",2238,"2581658f-f7c4-4422-a25f-1f067468b709","ajingi","kano","northwest","12.04636964 9.1996409 419.79998779296875 5.0","Malai Pri.Sch.","primary_only","kano_ajingi",28,"1345992133534.jpg","2581658f-f7c4-4422-a25f-1f067468b709","primary_only","1345992133534.jpg",2,"formal_educ",TRUE,FALSE,2,1,NA,NA,TRUE,TRUE,52,2.07777777777778,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,69.25,TRUE,FALSE,TRUE,FALSE,Inf,Inf,138.5,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",2239,"ee67de09-beb1-4508-b8e3-d14aeede5bae","ajingi","kano","northwest","11.96900067 8.87085958 446.70001220703125 5.0","Fagawa kwari primary school","primary_only","kano_ajingi",28,"1346066005382.jpg","ee67de09-beb1-4508-b8e3-d14aeede5bae","primary_only","1346066005382.jpg",2,"formal_educ",FALSE,FALSE,0,0,NA,NA,TRUE,FALSE,0,1.425,FALSE,NA,NA,FALSE,4,TRUE,FALSE,TRUE,TRUE,48.5,TRUE,FALSE,TRUE,FALSE,Inf,97,145.5,Inf,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
