"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"14093",14093,"fc7b9983-86f6-4a58-a826-7104258c3cf2","fc7b9983-86f6-4a58-a826-7104258c3cf2","Bebeji","Kano","Northwest",100,"11.60134238 8.31063434 551.5999755859375 5.0","1347024463114.jpg","kano_bebeji","1347024463114.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Kuka uku","Tariwa","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"14094",14094,"eec6f5a9-c4f4-4208-a2e0-caaec7fbaf17","eec6f5a9-c4f4-4208-a2e0-caaec7fbaf17","Bebeji","Kano","Northwest",100,"11.59705541 8.21404867 564.5 5.0","1347204405191.jpg","kano_bebeji","1347204405191.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Zango","Durmawa","No",NA,"No","Poorly Constructed","No","Stand Alone Water Point"
"14095",14095,"d45c73a8-262b-405d-bcea-e0bb14953970","d45c73a8-262b-405d-bcea-e0bb14953970","Bebeji","Kano","Northwest",100,"11.52771646 8.25923486 595.5999755859375 5.0","1347276268252.jpg","kano_bebeji","1347276268252.jpg","Borehole",NA,"borehole_tube_well","water_source","Kofar fads","Gwarmai","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"14096",14096,"837b81d8-b9c4-4d2c-b726-178923ed42b9","837b81d8-b9c4-4d2c-b726-178923ed42b9","Bebeji","Kano","Northwest",100,"11.6393804 8.25768742 550.5999755859375 5.0","1347192511884.jpg","kano_bebeji","1347192511884.jpg","Untreated Surface Water",NA,"dam","water_source","Sabuwar unguwa","Bebeji","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"14097",14097,"6c99a23d-6ea0-4bf7-aa18-20def707d19a","6c99a23d-6ea0-4bf7-aa18-20def707d19a","Bebeji","Kano","Northwest",100,"11.67061153 8.26245393 542.5 5.0","1346943471209.jpg","kano_bebeji","1346943471209.jpg","Tap",NA,NA,"outlet","Bebeji","Bebeji","Yes","Tap (unknown lift)","No","Don't Know","No",NA
"14098",14098,"f14beb61-122b-4e69-8706-0825b2ca1b82","f14beb61-122b-4e69-8706-0825b2ca1b82","Bebeji","Kano","Northwest",100,"11.46044361 8.20473127 639.5999755859375 5.0","1347362535278.jpg","kano_bebeji","1347362535278.jpg","Tap",NA,NA,"outlet","Hayin gwarmai","Gwarmai","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"14099",14099,"cfb664c5-adee-49c1-9813-6dd5180c5839","cfb664c5-adee-49c1-9813-6dd5180c5839","Bebeji","Kano","Northwest",100,"11.45682532 8.20860262 631.5 5.0","1347287997700.jpg","kano_bebeji","1347287997700.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Hayin gwarmai","Gwarmai","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"14100",14100,"d40c73b0-a5e2-49f7-bbe8-0821cb628cf8","d40c73b0-a5e2-49f7-bbe8-0821cb628cf8","Bebeji","Kano","Northwest",100,"11.40874598 8.2721055 632.5999755859375 5.0","1347367053406.jpg","kano_bebeji","1347367053406.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Rahama","Rahama","No",NA,"No","Poor Water Quality","No","Stand Alone Water Point"
"14101",14101,"90965594-4e81-4b19-9279-4dc5d55c92af","90965594-4e81-4b19-9279-4dc5d55c92af","Bebeji","Kano","Northwest",100,"11.4690605 8.25099383 584.0999755859375 5.0","1347367629548.jpg","kano_bebeji","1347367629548.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Atumbu","Gwarmai","No",NA,"No","Dry Well","No","Stand Alone Water Point"
"14102",14102,"e8c9aed1-ca2d-4474-8c91-373f58bcdb35","e8c9aed1-ca2d-4474-8c91-373f58bcdb35","Bebeji","Kano","Northwest",100,"11.51731315 8.37182667 548.5 5.0","1347188551723.jpg","kano_bebeji","1347188551723.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Sabon Gari","Rantan","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"14103",14103,"89731d5c-03f1-4c55-a679-c3bb5217e296","89731d5c-03f1-4c55-a679-c3bb5217e296","Bebeji","Kano","Northwest",100,"11.6393342 8.25746871 551.2999877929688 5.0","1347192581017.jpg","kano_bebeji","1347192581017.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Sabur ungwar","Durmawa","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"14104",14104,"273bc6a4-caf7-4039-947d-2158573d9132","273bc6a4-caf7-4039-947d-2158573d9132","Bebeji","Kano","Northwest",100,"11.60549713 8.2571884 573.2000122070313 5.0","1347019057453.jpg","kano_bebeji","1347019057453.jpg","Tap",NA,NA,"outlet","Durmawa","Durmawa","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"14105",14105,"db734278-713e-40c1-bee6-b2a8a9d25cd0","db734278-713e-40c1-bee6-b2a8a9d25cd0","Bebeji","Kano","Northwest",100,"11.62655342 8.29545382 532.2999877929688 5.0","1347359206783.jpg","kano_bebeji","1347359206783.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Yakuwa","Baguda","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"14106",14106,"e2ab1f5e-ebdd-4ef4-9b10-2e1a7c912dd2","e2ab1f5e-ebdd-4ef4-9b10-2e1a7c912dd2","Bebeji","Kano","Northwest",100,"11.44572454 8.26608714 615.5999755859375 5.0","1347372007411.jpg","kano_bebeji","1347372007411.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Gidan maiunguwa zango gara","Gwarzo","No",NA,"Yes","Functional","No","Stand Alone Water Point"
