"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"9312",9312,9312,"abc03373-2b98-4a09-9bc1-7ff8e916c5f5","bunkure","kano","northwest","11.59241547 8.49907603 529.5 5.0","GORA PRIMARY SCHOOL","preprimary_and_primary","kano_bunkure",130,"1347106912500.jpg","abc03373-2b98-4a09-9bc1-7ff8e916c5f5","preprimary_and_primary","1347106912500.jpg",3,"formal_educ",FALSE,FALSE,2,0,15,0.0471698113207547,FALSE,TRUE,0,1.89090909090909,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,79.5,TRUE,FALSE,TRUE,FALSE,26.5,Inf,106,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"9313",9313,9313,"5ba78ddd-a06b-4f7e-8506-3f4e16615290","bunkure","kano","northwest","11.69629644 8.53543571 516.0 5.0","Govt Sen. Islamic Secondary School","junior_and_senior_sec","kano_bunkure",130,"1347115928591.jpg","5ba78ddd-a06b-4f7e-8506-3f4e16615290","junior_and_senior_sec","1347115928591.jpg",12,"religious_with_formal",TRUE,TRUE,0,9,78,0.382352941176471,FALSE,NA,30,Inf,TRUE,FALSE,68,FALSE,0,TRUE,FALSE,TRUE,FALSE,40.8,FALSE,FALSE,FALSE,TRUE,6.8,6.8,17,Inf,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"9314",9314,9314,"a52e746b-efc9-4306-a292-d8400c8b242d","bunkure","kano","northwest","11.7539985 8.55932351 462.29998779296875 5.0","Gurjiya Tahfees Quran","primary_only","kano_bunkure",130,"1347279546295.jpg","a52e746b-efc9-4306-a292-d8400c8b242d","primary_only","1347279546295.jpg",3,"religious_with_formal",FALSE,FALSE,2,2,0,0,FALSE,FALSE,0,1.27142857142857,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,53,TRUE,FALSE,TRUE,FALSE,15.9,15.9,53,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"9315",9315,9315,"680b42da-d800-4dd0-8351-8ef3f4c72888","bunkure","kano","northwest","11.67351631 8.73176289 470.1000061035156 5.0","Jigawar Dundu pry sch.","primary_only","kano_bunkure",130,"1347054919420.jpg","680b42da-d800-4dd0-8351-8ef3f4c72888","primary_only","1347054919420.jpg",4,"formal_educ",FALSE,FALSE,3,2,NA,NA,TRUE,TRUE,100,4.7,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,76,TRUE,FALSE,TRUE,TRUE,15.2,15.2,57,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"9316",9316,9316,"1c7b73ca-5ef6-4007-b735-e5cd40f332f7","bunkure","kano","northwest","11.71637943 8.56965574 427.79998779296875 18.0","TUGUGU","primary_only","kano_bunkure",130,"1347103984187.jpg","1c7b73ca-5ef6-4007-b735-e5cd40f332f7","primary_only","1347103984187.jpg",8,"formal_educ",FALSE,FALSE,4,5,NA,NA,TRUE,TRUE,0,1.41964285714286,FALSE,TRUE,67.75,FALSE,0,FALSE,FALSE,FALSE,FALSE,67.75,TRUE,FALSE,TRUE,FALSE,Inf,Inf,33.875,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"9317",9317,9317,"24e70b29-87bf-462d-bb67-3fa7a3b9bcc5","bunkure","kano","northwest","11.70313041 8.54200625 510.70001220703125 5.0","DARUL IBN ABBAS","primary_only","kano_bunkure",130,"1347110588898.jpg","24e70b29-87bf-462d-bb67-3fa7a3b9bcc5","primary_only","1347110588898.jpg",6,"religious_with_formal",FALSE,TRUE,3,0,0,0,FALSE,FALSE,0,0.56,TRUE,FALSE,Inf,FALSE,2,FALSE,FALSE,TRUE,FALSE,23.4,TRUE,FALSE,TRUE,FALSE,7.8,23.4,19.5,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"9318",9318,9318,"0d31fc01-f6bf-4439-a025-b0c60028fbc8","bunkure","kano","northwest","11.66841263 8.54610453 511.5 5.0","Kuruma Primary School","preprimary_and_primary","kano_bunkure",130,"1347186514108.jpg","0d31fc01-f6bf-4439-a025-b0c60028fbc8","preprimary_and_primary","1347186514108.jpg",14,"formal_educ",TRUE,TRUE,2,5,1125,1.20320855614973,FALSE,TRUE,0,1.67142857142857,TRUE,TRUE,71.9230769230769,FALSE,4,FALSE,FALSE,TRUE,FALSE,93.5,FALSE,FALSE,FALSE,FALSE,6.67857142857143,6.67857142857143,66.7857142857143,Inf,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"9319",9319,9319,"98ec1424-52da-4e0a-bceb-2452da027b13","bunkure","kano","northwest","11.68411708 8.52794751 518.5 5.0","Mashaura Primary School","preprimary_and_primary","kano_bunkure",130,"1347189978681.jpg","98ec1424-52da-4e0a-bceb-2452da027b13","preprimary_and_primary","1347189978681.jpg",7,"formal_educ",TRUE,TRUE,2,4,400,1.78571428571429,FALSE,TRUE,10,0.75,TRUE,TRUE,20.3636363636364,FALSE,0,FALSE,FALSE,FALSE,FALSE,56,TRUE,FALSE,TRUE,FALSE,5.6,5.6,32,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"9320",9320,9320,"bda483a7-f8c6-4c7b-bdcb-704f56f2baa9","bunkure","kano","northwest","11.70048665 8.58836304 485.6000061035156 5.0","G S S GWAMMA","juniors_sec_only","kano_bunkure",130,"1347100888945.jpg","bda483a7-f8c6-4c7b-bdcb-704f56f2baa9","juniors_sec_only","1347100888945.jpg",7,"formal_educ",TRUE,TRUE,0,4,NA,NA,TRUE,NA,0,Inf,FALSE,FALSE,Inf,TRUE,0,TRUE,FALSE,FALSE,FALSE,76.8333333333333,FALSE,FALSE,FALSE,TRUE,3.01307189542484,3.01307189542484,65.8571428571429,Inf,3,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"education"
"9321",9321,9321,"9ca0c7b5-ef88-435f-986b-adda27d796ff","bunkure","kano","northwest","11.7198331 8.59361453 459.70001220703125 5.0","HAYATUDDEEN","primary_only","kano_bunkure",130,"1347028489496.jpg","9ca0c7b5-ef88-435f-986b-adda27d796ff","primary_only","1347028489496.jpg",5,"religious_with_formal",FALSE,FALSE,0,4,NA,NA,TRUE,FALSE,0,1.11111111111111,FALSE,NA,NA,FALSE,4,TRUE,FALSE,FALSE,FALSE,190,FALSE,FALSE,TRUE,FALSE,Inf,Inf,76,Inf,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"education"
