antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,20.70920062,False,True,True,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,MCH Middle Road,FALSE,maternity,False,True,False,True,1293827419189.jpg,12.01923083 8.53407616 480.8999938964844 5.0,False,False,FALSE,False,True,,False,FALSE,,False,False,False,False,False,False,False,Fagge,221,221,221.0,False,True,False,True,False,False,False,False,False,False,FALSE,fagge,kano,northwest,18,10,0.0,0.0,0.0,3.0,False,public,,False,1293827419189.jpg,198828,9600.95001484,,False,False,health,True,TRUE,Kano,False,True,Others,FALSE,kano_fagge,False,b8c28419-d8aa-45da-9b63-83f5dda9c11d,,,b8c28419-d8aa-45da-9b63-83f5dda9c11d,Northwest
False,20.70920062,True,True,True,True,True,True,False,True,True,True,True,False,True,True,TRUE,False,,,False,True,False,True,True,False,,,Universal Clinic/Maternity,TRUE,comprehensivehealthcentre,False,True,False,True,1294000009995.jpg,12.02666957 8.53183793 484.8999938964844 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Fagge,221,221,221.0,False,True,True,True,True,False,False,False,False,False,FALSE,fagge,kano,northwest,0,0,1.0,1.0,4.0,2.0,False,private,False,True,1294000009995.jpg,198828,9600.95001484,,False,False,health,True,TRUE,Kano,True,True,Others,TRUE,kano_fagge,False,08359881-5ce3-46c8-beff-87c0a4647a9c,,,08359881-5ce3-46c8-beff-87c0a4647a9c,Northwest
False,20.70920062,True,True,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,True,,IDH,,specialisthospital,False,,False,,1293814678542.jpg,12.01478741 8.5274877 485.6000061035156 5.0,False,False,FALSE,False,True,True,False,TRUE,,True,True,False,True,True,False,False,Fagge,221,221,221.0,False,True,True,False,False,False,False,False,False,False,FALSE,fagge,kano,northwest,22,22,5.0,,0.0,,False,public,,True,1293814678542.jpg,198828,9600.95001484,True,False,False,health,True,TRUE,Kano,,,Others,TRUE,kano_fagge,False,ac68b8f0-cf5b-4e3a-8377-1252af1f8db0,False,False,ac68b8f0-cf5b-4e3a-8377-1252af1f8db0,Northwest
,20.70920062,True,True,True,,,,,,,,,,True,True,TRUE,,,,True,True,,True,True,,,,Khadijat Memorial Hospital,TRUE,primaryhealthclinic,,True,,True,1293823031519.jpg,12.02184324 8.52081694 474.20001220703125 5.0,,,,,,,,TRUE,True,,,,,,,,Fagge,221,221,221.0,,True,,True,True,,,,,,,fagge,kano,northwest,4,0,3.0,0.0,4.0,4.0,,,,,1293823031519.jpg,198828,9600.95001484,,,,health,True,,Kano,True,True,Others,TRUE,kano_fagge,,731b7a96-57ff-4214-befd-c7c14a7073a0,,,731b7a96-57ff-4214-befd-c7c14a7073a0,Northwest
False,20.70920062,False,True,True,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,MCH Middle Road,FALSE,maternity,False,True,False,True,1293827419189.jpg,12.01923083 8.53407616 480.8999938964844 5.0,False,False,FALSE,False,True,,False,FALSE,,False,False,False,False,False,False,False,Fagge,221,221,221.0,False,True,False,True,False,False,False,False,False,False,FALSE,fagge,kano,northwest,18,10,0.0,0.0,0.0,3.0,False,public,,False,1293827419189.jpg,198828,9600.95001484,,False,False,health,True,TRUE,Kano,False,True,Others,FALSE,kano_fagge,False,b8c28419-d8aa-45da-9b63-83f5dda9c11d,,,b8c28419-d8aa-45da-9b63-83f5dda9c11d,Northwest
False,20.70920062,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,True,Abubakar Imam Urology Center,,specialisthospital,False,,False,,1293819434509.jpg,12.01494968 8.52634674 477.79998779296875 4.0,False,True,FALSE,False,,False,False,TRUE,,True,True,False,False,True,False,False,Fagge,221,221,221.0,False,True,True,False,False,False,False,False,False,False,FALSE,fagge,kano,northwest,0,0,,,0.0,,False,public,False,True,1293819434509.jpg,198828,9600.95001484,True,False,False,health,False,TRUE,Kano,,,Others,FALSE,kano_fagge,False,b10c03a0-4e54-4891-99a1-8d222c77c6a5,,,b10c03a0-4e54-4891-99a1-8d222c77c6a5,Northwest
,20.70920062,False,False,False,,,,,,,,,,,False,FALSE,,,,False,False,,,,,,,Catharinsl Hispital,TRUE,primaryhealthclinic,,True,,True,1293995607769.jpg,12.02651622 8.53916102 507.1000061035156 5.0,,,,,,,,FALSE,,,,,,,,,Fagge,221,221,221.0,,True,,True,True,,,,,,,fagge,kano,northwest,0,0,1.0,0.0,0.0,0.0,,,,,1293995607769.jpg,198828,9600.95001484,,,,health,True,,Kano,False,True,Others,FALSE,kano_fagge,,c8946d2d-67fa-4830-ade0-06b4e7027c8c,,,c8946d2d-67fa-4830-ade0-06b4e7027c8c,Northwest
False,20.70920062,True,True,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,True,,IDH,,specialisthospital,False,,False,,1293814678542.jpg,12.01478741 8.5274877 485.6000061035156 5.0,False,False,FALSE,False,True,True,False,TRUE,,True,True,False,True,True,False,False,Fagge,221,221,221.0,False,True,True,False,False,False,False,False,False,False,FALSE,fagge,kano,northwest,22,22,5.0,,0.0,,False,public,,True,1293814678542.jpg,198828,9600.95001484,True,False,False,health,True,TRUE,Kano,,,Others,TRUE,kano_fagge,False,ac68b8f0-cf5b-4e3a-8377-1252af1f8db0,False,False,ac68b8f0-cf5b-4e3a-8377-1252af1f8db0,Northwest
False,20.70920062,True,True,True,True,True,True,False,True,True,True,True,False,True,True,TRUE,False,,,False,True,False,True,True,False,,,Universal Clinic/Maternity,TRUE,comprehensivehealthcentre,False,True,False,True,1294000009995.jpg,12.02666957 8.53183793 484.8999938964844 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Fagge,221,221,221.0,False,True,True,True,True,False,False,False,False,False,FALSE,fagge,kano,northwest,0,0,1.0,1.0,4.0,2.0,False,private,False,True,1294000009995.jpg,198828,9600.95001484,,False,False,health,True,TRUE,Kano,True,True,Others,TRUE,kano_fagge,False,08359881-5ce3-46c8-beff-87c0a4647a9c,,,08359881-5ce3-46c8-beff-87c0a4647a9c,Northwest
,20.70920062,True,True,True,,,,,,,,,,True,True,TRUE,,,,True,True,,True,True,,,,Khadijat Memorial Hospital,TRUE,primaryhealthclinic,,True,,True,1293823031519.jpg,12.02184324 8.52081694 474.20001220703125 5.0,,,,,,,,TRUE,True,,,,,,,,Fagge,221,221,221.0,,True,,True,True,,,,,,,fagge,kano,northwest,4,0,3.0,0.0,4.0,4.0,,,,,1293823031519.jpg,198828,9600.95001484,,,,health,True,,Kano,True,True,Others,TRUE,kano_fagge,,731b7a96-57ff-4214-befd-c7c14a7073a0,,,731b7a96-57ff-4214-befd-c7c14a7073a0,Northwest
