antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,605.1456046,False,False,False,True,False,True,False,True,True,True,False,False,,,no,,,,,False,,,,False,False,,Yaranchi Health Post,yes,primaryhealthclinic,False,False,False,False,1301482395272.jpg,12.16610848903656 8.754515647888184 472.0 4.0,False,False,no,False,True,True,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,False,True,False,False,True,False,True,False,False,,GABASAWA,kano,northwest,2,0,0.0,0.0,0.0,0.0,True,public,False,False,1301482395272.jpg,211055,348.767302275,False,False,True,health,False,yes,Kano,False,True,113,no,kano_gabasawa,False,1e47d6dff4f80c7e8fe37a6baceb6428,,True,4655,Northwest
False,605.1456046,False,False,False,False,False,True,True,False,True,True,True,True,,,no,,,,,False,,,,False,False,True,Wasarde health centre,no,primaryhealthclinic,False,False,False,False,1301495382975.jpg,12.036702632904053 8.865328431129456 439.0 3.0,False,True,no,False,True,True,True,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,True,True,False,False,True,False,True,True,False,yes,GABASAWA,kano,northwest,1,0,0.0,0.0,0.0,0.0,False,public,True,False,1301495382975.jpg,211055,348.767302275,True,False,True,health,False,yes,Kano,False,True,113,no,kano_gabasawa,False,2602198d3619cfd523d1d913336a27d7,,False,5958,Northwest
False,605.1456046,False,False,False,True,False,True,False,True,True,True,True,True,,,no,,,,,False,,,,False,True,,Mekiya Health Centre,yes,primaryhealthclinic,False,True,False,True,1301312139056.jpg,12.233920097351074 8.875606656074524 422.0 4.0,True,False,no,,True,True,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,False,True,False,False,True,False,True,False,False,,GABASAWA,kano,northwest,4,3,0.0,0.0,0.0,0.0,True,private,False,False,1301312139056.jpg,211055,348.767302275,True,True,False,health,False,yes,Kano,False,True,113,no,kano_gabasawa,False,66fed00d48be3fee527f165765730526,,True,3843,Northwest
False,605.1456046,False,False,False,True,True,True,True,True,True,True,True,True,,,no,True,0.00937902815579,1.03230574191,,False,,,,False,False,True,health care centre,yes,primaryhealthcarecentre,False,True,False,True,1301481141157.jpg,12.217966318130493 8.721358180046082 452.0 4.0,True,False,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,235.0,False,False,False,False,False,True,False,True,True,False,,GABASAWA,kano,northwest,0,0,0.0,0.0,0.0,0.0,False,,False,False,1301481141157.jpg,211055,348.767302275,False,False,False,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,b9e1bc40a04adeccca8afd5d0eaf7fe7,,True,5445,Northwest
False,605.1456046,False,False,False,True,False,True,False,False,True,True,False,True,,,no,,,,,False,,,,False,False,False,Yar Zabaina Health Post,no,healthpost,False,False,False,False,1301480886941.jpg,12.15487003326416 8.798444867134094 460.0 4.0,False,True,no,False,True,True,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,False,False,False,False,True,False,True,False,False,,GABASAWA,kano,northwest,2,2,0.0,0.0,0.0,0.0,True,public,False,False,1301480886941.jpg,211055,348.767302275,True,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,200ae9c6e5695e54a8493996d766b626,,True,4654,Northwest
False,605.1456046,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,,,,True,False,True,Fangan Health Post,yes,healthpost,False,True,False,False,1301047402548.jpg,12.1933114528656 8.804941177368164 452.0 4.0,False,False,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,True,False,False,False,True,False,False,False,False,,GABASAWA,kano,northwest,2,2,0.0,0.0,0.0,0.0,True,public,False,False,1301047402548.jpg,211055,348.767302275,True,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,6851abf7c88bf2c0dda3310c55528f45,,False,3599,Northwest
False,605.1456046,False,False,False,False,False,False,False,False,False,False,False,False,,,no,True,,,,False,,,,True,False,True,dadin kowa,no,healthpost,False,True,False,True,1301319798406.jpg,12.16484785079956 8.888738751411438 440.0 3.0,True,True,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,True,False,False,False,True,False,False,False,False,yes,GABASAWA,kano,northwest,3,2,0.0,0.0,0.0,0.0,False,public,False,False,1301319798406.jpg,211055,348.767302275,False,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,c50a16576b7e7e937992cccbbc21cbd3,,True,4787,Northwest
False,605.1456046,False,False,False,True,False,False,False,False,True,True,True,True,,,no,,,,,False,,,,False,False,True,Santsi health clinic,no,primaryhealthclinic,False,False,False,False,1301325751301.jpg,12.049427032470703 8.878530263900757 432.0 4.0,False,True,no,False,False,False,True,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,False,False,False,False,True,False,True,True,False,yes,GABASAWA,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,True,False,1301325751301.jpg,211055,348.767302275,True,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,9e5f97d32d7d3d981b6b75836bc92443,,False,3989,Northwest
False,605.1456046,False,False,False,False,False,False,False,False,False,False,False,False,,,no,,0.0220040132215,2.42166021827,,False,,,,True,False,,shana health post,no,healthpost,False,False,False,False,1300966113837.jpg,12.262271046638489 8.741560578346252 439.0 4.0,True,True,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,235.0,False,True,False,False,False,True,False,False,False,False,yes,GABASAWA,kano,northwest,3,3,0.0,0.0,0.0,0.0,False,public,False,False,1300966113837.jpg,211055,348.767302275,False,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,True,28082fed2683aadf75a5d313cb7ab93c,,True,4776,Northwest
False,605.1456046,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,True,Zugachi Basic Health Centre,no,comprehensivehealthcentre,False,False,False,False,1301043043398.jpg,12.064248919487 8.856600522994995 437.0 4.0,True,False,no,False,True,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,True,True,False,False,True,False,False,True,False,,GABASAWA,kano,northwest,0,0,0.0,0.0,0.0,0.0,True,public,False,False,1301043043398.jpg,211055,348.767302275,True,False,False,health,False,yes,Kano,False,True,113,no,kano_gabasawa,False,14e1592057e392759b73173f69799ed2,,True,10162,Northwest
False,605.1456046,False,False,False,False,False,True,True,False,True,True,True,False,,,no,,,,,False,,,,False,False,True,Gumawa health clinic,no,primaryhealthclinic,False,False,False,False,1301417765951.jpg,12.138921618461609 8.8622385263443 460.0 3.0,False,True,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,True,False,False,False,True,False,True,True,False,yes,GABASAWA,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,True,False,1301417765951.jpg,211055,348.767302275,False,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,e05bd742a5994d6911d522c0448921b9,,True,3991,Northwest
False,605.1456046,False,False,False,False,False,True,True,True,True,True,True,True,,,no,True,,,,False,,,,False,False,True,Badawa Health clinic,no,primaryhealthclinic,False,True,False,True,1300980926637.jpg,12.256354093551636 8.8876873254776 429.0 4.0,True,True,no,,True,True,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,True,True,False,False,True,False,True,True,False,,GABASAWA,kano,northwest,1,1,0.0,0.0,0.0,0.0,True,public,True,False,1300980926637.jpg,211055,348.767302275,False,False,True,health,False,yes,Kano,False,True,113,no,kano_gabasawa,False,a03afdb76d1a720bb1c3916544bdaba3,,False,3050,Northwest
False,605.1456046,False,False,False,True,False,True,False,True,True,True,True,True,,,no,,,,,False,,,,False,False,True,Yama Health Clinic,no,healthpost,False,True,False,True,1300876111676.jpg,12.270897030830383 8.811700344085693 423.0 4.0,False,True,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,True,False,False,False,True,False,True,False,False,,GABASAWA,kano,northwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1300876111676.jpg,211055,348.767302275,True,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,7c6898db93c6dacb849fca30ea38b368,,True,3101,Northwest
False,605.1456046,False,False,False,True,False,True,False,True,True,True,True,True,,,no,,,,False,True,,,,False,False,,Tarauni Health clinic,no,primaryhealthclinic,False,False,False,False,1301403176267.jpg,12.113403081893921 8.897010684013367 438.0 4.0,False,False,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,True,False,False,False,True,False,False,False,False,yes,GABASAWA,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1301403176267.jpg,211055,348.767302275,False,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,9792a6ee99ff5b1b1c03edfba7354beb,,True,4456,Northwest
False,605.1456046,False,False,False,True,False,True,False,True,True,True,True,True,,,no,,,,,False,,,,False,True,,Joda Health Clinic,yes,primaryhealthcarecentre,False,False,False,False,1301314113611.jpg,11.999693512916565 8.876062631607056 424.0 4.0,True,False,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,True,True,False,False,True,False,False,False,False,,GABASAWA,kano,northwest,2,2,0.0,0.0,0.0,0.0,True,public,False,True,1301314113611.jpg,211055,348.767302275,False,False,False,health,False,yes,Kano,False,True,113,no,kano_gabasawa,False,f3699877080c9b929489cdf97a9eeb24,,True,4129,Northwest
False,605.1456046,False,False,False,False,False,False,False,False,False,False,False,False,,,no,True,,,,False,,,,True,False,,Chikawa Clinic,no,healthpost,False,False,False,False,1301326421065.jpg,12.135858535766602 8.893357515335083 438.0 3.0,True,False,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,False,False,False,False,True,False,False,False,False,yes,GABASAWA,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1301326421065.jpg,211055,348.767302275,True,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,9a072b2f888210456c8e1c1f0ab207fd,,False,5374,Northwest
False,605.1456046,True,True,True,True,True,True,True,True,True,True,False,True,True,False,yes,,,,True,True,True,False,True,True,True,,Zakirai Comprehensive Health Centre,yes,comprehensivehealthcentre,True,True,True,True,1300974835971.jpg,12.1046644449234 8.885085582733154 456.0 4.0,True,False,no,False,True,True,True,yes,True,True,True,True,True,True,True,True,Gabasawa,229,229,229.0,True,True,True,True,True,True,False,True,False,False,,GABASAWA,kano,northwest,8,7,1.0,3.0,0.0,0.0,True,public,False,True,1300974835971.jpg,211055,348.767302275,True,True,True,health,True,yes,Kano,False,True,113,yes,kano_gabasawa,False,8d94ff415a1b230a920baa00bbd3fc05,,True,3111,Northwest
False,605.1456046,False,False,False,False,False,True,False,True,True,True,True,True,,,no,,0.000284363502179,0.0313047076804,,False,,,,False,False,True,Guruma Health Post,no,healthpost,False,False,False,False,1301478218574.jpg,12.114379405975342 8.779701590538025 453.0 4.0,False,False,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,242.0,False,False,False,False,False,True,False,True,False,False,,GABASAWA,kano,northwest,1,1,0.0,0.0,0.0,2.0,True,public,False,False,1301478218574.jpg,211055,348.767302275,False,False,False,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,eaaafc8c8a1de44d6488a32f63f26d72,,True,4652,Northwest
False,605.1456046,False,False,True,True,False,True,True,True,True,True,True,True,,,no,True,,,True,True,False,True,False,True,True,False,Model primary health centre gabasawa,yes,primaryhealthcarecentre,False,True,False,True,1301065655927.jpg,12.175705432891846 8.906360864639282 425.0 4.0,True,True,no,,True,True,True,no,True,True,True,True,True,True,False,True,Gabasawa,229,229,229.0,True,True,True,True,True,True,True,True,True,True,yes,GABASAWA,kano,northwest,8,7,0.0,1.0,0.0,0.0,True,public,True,True,1301065655927.jpg,211055,348.767302275,True,False,True,health,True,yes,Kano,False,True,113,no,kano_gabasawa,True,583420299e8b8b4126fca9da0086f62d,,True,3059,Northwest
False,605.1456046,False,False,False,True,False,True,False,True,True,True,True,True,,,no,,,,,False,,,,False,False,True,Doga Health Post,no,healthpost,False,True,False,True,1301401706061.jpg,12.223067879676819 8.809651136398315 437.0 4.0,False,False,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,,,False,False,True,False,True,False,False,yes,GABASAWA,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1301401706061.jpg,211055,348.767302275,False,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,e0c109820fa69136577204a5f3c27e4f,,True,5379,Northwest
False,605.1456046,False,False,False,False,False,False,False,False,False,False,False,False,,,no,,,,,False,False,False,False,False,False,True,Health Clinic,yes,primaryhealthclinic,False,False,False,False,1301301077463.jpg,12.083265781402588 8.906988501548767 428.0 4.0,False,False,no,False,False,False,False,no,True,True,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,False,False,True,True,True,False,False,False,False,,GABASAWA,kano,northwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1301301077463.jpg,211055,348.767302275,False,False,False,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,348852a1b5a87c689aaa9bb7ad523238,,False,4644,Northwest
False,605.1456046,False,False,False,True,True,True,False,False,False,True,False,False,,,no,,,,,False,,,,False,False,False,Kwadage Health Post,no,healthpost,False,False,False,False,1301487153993.jpg,12.142424583435059 8.783381581306458 442.0 4.0,False,False,no,False,False,False,False,no,,,False,False,False,False,False,False,Gabasawa,229,229,229.0,False,False,False,False,False,True,False,True,True,False,,GABASAWA,kano,northwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1301487153993.jpg,211055,348.767302275,False,False,True,health,False,yes,Kano,False,False,113,no,kano_gabasawa,False,b078c7ffd725c369d31b2773cf6d92f3,,True,4656,Northwest
