access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,214.1754551,True,yes,False,,,,integrated,Hidayatul Dalib,primary,1300889922127.jpg,,,no,11.698025465011597 8.410860300064087 514.0 4.0,False,False,primary,Garun Mallam,237,237,237.0,,False,GARUN_MALLAM,KANO,northwest,no,0.0,1.0,7.0,0.0,3.0,7.0,0.0,,0.0,private,False,1300889922127.jpg,116494,543.918536069,,False,no,no,,0,,0,,False,False,Hidayatul Dalib,education,Kano,,113,False,False,no,Inf,,yes,,kano_garun_mallam,9d8a7c142b5471d1213cf9dd31fafc4e,False,5337,Northwest
False,True,214.1754551,True,no,False,,,,formal,Waziri Primary School,primary,1300961606224.jpg,,,no,11.634880900382996 8.39903712272644 509.0 4.0,False,False,primary,Garun Mallam,237,237,237.0,0.923076923076923,False,GARUN_MALLAM,KANO,northwest,yes,2.0,0.0,6.0,50.0,2.0,4.0,2.0,,10.0,public,False,1300961606224.jpg,116494,543.918536069,,False,no,no,Inf,12.5,Inf,12.5,,True,False,Waziri Primary School,education,Kano,0.0,113,True,False,yes,4,0.2,no,,kano_garun_mallam,4e8e0dbba68ed0cc0cd694ffcd2a1985,False,5351,Northwest
False,False,214.1754551,True,yes,False,,,,integrated,Sururil Ikwan Primary Islamiyya School,preprimary,1301048165116.jpg,,,no,11.601900458335876 8.43400776386261 509.0 3.0,False,True,preprimary,Garun Mallam,237,237,237.0,0.769230769230769,False,GARUN_MALLAM,KANO,northwest,yes,6.0,0.0,6.0,115.0,1.0,6.0,0.0,,20.0,public,False,1301048165116.jpg,116494,543.918536069,,True,no,no,Inf,19.1666666666667,Inf,19.1666666666667,,False,,Sururil Ikwan Primary Islamiyya School,education,Kano,0.0,113,True,False,yes,Inf,0.173913043478261,no,,kano_garun_mallam,b5c92b409fb4f38b229b5d2e16675a95,False,5362,Northwest
False,False,214.1754551,True,yes,True,,,,integrated,Tajadidu Tarbiya,primary,1301136138487.jpg,,,no,11.703363060951233 8.358160257339478 503.0 4.0,False,False,primary,Garun Mallam,237,237,237.0,0.75,False,GARUN_MALLAM,KANO,northwest,yes,0.0,3.0,3.0,70.0,1.0,5.0,1.0,,8.0,public,False,1301136138487.jpg,116494,543.918536069,,False,no,no,Inf,23.3333333333333,Inf,14,,False,True,Tajadidu Tarbiya,education,Kano,0.0,113,True,False,no,Inf,0.114285714285714,no,,kano_garun_mallam,3a3d1894c450d9ba39913c17d7c2dcb8,False,5320,Northwest
False,True,214.1754551,True,no,False,,,,formal,Chiromawa Kwari Primary School,primary,1301329666060.jpg,,,yes,11.6280198097229 8.37135136127472 496.0 4.0,True,False,primary,Garun Mallam,237,237,237.0,1.1875,False,GARUN_MALLAM,KANO,northwest,yes,2.0,2.0,8.0,140.0,5.0,8.0,3.0,,8.0,public,False,1301329666060.jpg,116494,543.918536069,,False,no,no,2.54545454545455,23.3333333333333,2.91666666666667,17.5,,True,True,Chiromawa Kwari Primary School,education,Kano,1.0,113,True,False,yes,8,0.0571428571428571,no,,kano_garun_mallam,6f8a11596bbab0b9477068987f4930d9,False,5369,Northwest
False,False,214.1754551,True,no,False,,,,religious,Manaratul Islamiyyya,adult_lit,1301134410551.jpg,,,yes,11.6697496175766 8.41528058052063 515.0 4.0,False,True,adult_lit,Garun Mallam,237,237,237.0,0,True,GARUN_MALLAM,KANO,northwest,no,1.0,1.0,8.0,12.0,0.0,3.0,0.0,,0.0,private,False,1301134410551.jpg,116494,543.918536069,,False,no,no,Inf,2.4,Inf,4,,False,,Manaratul Islamiyyya,education,Kano,1.0,113,False,False,no,Inf,0,no,,kano_garun_mallam,6579b060244e91034d82f8be26538ec8,False,2548,Northwest
False,False,214.1754551,True,no,False,,,,religious,Kadawa Sharaful Islam Primary School,primary,1301324263036.jpg,,,no,11.644697785377502 8.41727077960968 511.0 4.0,True,True,primary,Garun Mallam,237,237,237.0,0.5,False,GARUN_MALLAM,KANO,northwest,yes,3.0,1.0,12.0,30.0,2.0,4.0,0.0,,40.0,public,False,1301324263036.jpg,116494,543.918536069,,False,no,no,Inf,3.75,Inf,7.5,,True,True,Kadawa Sharaful Islam Primary School,education,Kano,0.0,113,True,False,yes,4,1.33333333333333,no,,kano_garun_mallam,9fc95bc4e705224842ea6770602980f2,False,5368,Northwest
False,True,214.1754551,True,yes,False,,,,formal,Fankuri Yanaba Prim. Sch,preprimary_primary,1300873339422.jpg,,,yes,11.664589047431946 8.381543755531311 520.0 12.0,True,False,preprimary_primary,Garun Mallam,237,237,237.0,1.43333333333333,False,GARUN_MALLAM,KANO,northwest,yes,2.0,4.0,6.0,73.0,5.0,6.0,3.0,,12.0,public,False,1300873339422.jpg,116494,543.918536069,,False,no,no,0.811111111111111,12.1666666666667,0.811111111111111,12.1666666666667,,True,True,Fankuri Yanaba Prim. Sch,education,Kano,1.0,113,True,False,no,6,0.164383561643836,yes,,kano_garun_mallam,c7d1e91e5d0f3550e77a3e8a9c5e224e,False,5357,Northwest
False,False,214.1754551,True,no,False,,,,integrated,Shababuddin Islamiya,primary,1301485573219.jpg,,,no,11.740672588348389 8.398243188858032 478.0 4.0,False,False,primary,Garun Mallam,237,237,237.0,0,True,GARUN_MALLAM,KANO,northwest,no,2.0,1.0,3.0,35.0,1.0,1.0,0.0,,0.0,public,False,1301485573219.jpg,116494,543.918536069,,False,no,no,Inf,11.6666666666667,Inf,35,,False,True,Shababuddin Islamiya,education,Kano,0.0,113,True,False,yes,Inf,0,no,,kano_garun_mallam,2cc232c3770a7dbd7c7161da63a9972e,False,5350,Northwest
False,True,214.1754551,True,yes,False,,,,integrated,Tahafizulquran Pr Sch,preprimary_primary,1300961849530.jpg,,,no,11.63853406906128 8.40330719947815 524.0 4.0,False,True,preprimary_primary,Garun Mallam,237,237,237.0,0.875,False,GARUN_MALLAM,KANO,northwest,yes,4.0,0.0,4.0,75.0,4.0,5.0,3.0,,40.0,public,False,1300961849530.jpg,116494,543.918536069,,False,no,no,6.81818181818182,18.75,6.81818181818182,15,,True,False,Tahafizulquran Pr Sch,education,Kano,1.0,113,True,False,yes,Inf,0.533333333333333,no,,kano_garun_mallam,abfeadcffca4495f5223dd685e03fd81,False,2107,Northwest
