access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,339.8391668,True,TRUE,True,,,,religious_with_formal,yamadi islamiyyal,primary_only,1339757679663.jpg,,False,,12.06049382686615 8.678855895996094 466.0 4.0,False,False,primary_only,Gazewa,242,242,242.0,1.2,False,gezawa,kano,northwest,FALSE,0.0,2.0,4.0,220.0,1.0,1.0,,1.0,108.0,private,True,1339757679663.jpg,282069,830.007331574,,True,FALSE,FALSE,Inf,55,Inf,220,,False,False,yamadi islamiyyal,education,Kano,0.0,Others,False,False,TRUE,Inf,0.490909090909091,FALSE,,kano_gazewa,117292c9-4ecd-47e6-8894-e05c84b20ebc,False,117292c9-4ecd-47e6-8894-e05c84b20ebc,Northwest
False,False,339.8391668,True,FALSE,True,,,,religious_with_formal,abasawa islamia,primary_only,1339661904378.jpg,True,False,,11.993299126625061 8.662312030792236 488.0 4.0,False,False,primary_only,Gazewa,242,242,242.0,0.5,True,gezawa,kano,northwest,TRUE,0.0,0.0,1.0,300.0,1.0,2.0,,0.0,0.0,public,True,1339661904378.jpg,282069,830.007331574,,True,FALSE,FALSE,Inf,300,Inf,150,,False,False,abasawa islamia,education,Kano,7.0,Others,False,False,FALSE,Inf,0,FALSE,,kano_gazewa,ae3b2a64-5131-4397-9b50-fb3857bc13c6,False,ae3b2a64-5131-4397-9b50-fb3857bc13c6,Northwest
False,False,339.8391668,False,TRUE,False,,,,formal_educ,Yola Primary School,primary_only,1339855121608.jpg,,False,,12.0315127 8.80818332 457.1000061035156 5.0,False,False,primary_only,Gazewa,242,242,242.0,,True,gezawa,kano,northwest,TRUE,5.0,2.0,7.0,,3.0,8.0,,4.0,267.0,public,True,1339855121608.jpg,282069,830.007331574,,False,FALSE,FALSE,,,,,,False,True,Yola Primary School,education,Kano,0.0,Others,False,False,FALSE,Inf,,FALSE,,kano_gazewa,7aaa139b-161a-4a9f-a839-6c41e0eac23d,False,7aaa139b-161a-4a9f-a839-6c41e0eac23d,Northwest
False,False,339.8391668,True,TRUE,False,,,,religious_with_formal,yelma islamia,primary_only,1339667535560.jpg,True,False,,11.983981132507324 8.637877106666565 504.0 4.0,False,False,primary_only,Gazewa,242,242,242.0,0.6,True,gezawa,kano,northwest,TRUE,0.0,1.0,1.0,400.0,1.0,2.0,,0.0,0.0,public,True,1339667535560.jpg,282069,830.007331574,,True,TRUE,FALSE,100,400,Inf,200,,False,False,yelma islamia,education,Kano,0.0,Others,False,False,FALSE,Inf,0,TRUE,,kano_gazewa,4ec4d1d0-9499-4944-b382-b827f96e9627,False,4ec4d1d0-9499-4944-b382-b827f96e9627,Northwest
False,False,339.8391668,False,TRUE,False,,,,formal_educ,TOFA PRI. SCHOOL,preprimary_and_primary,1340030712023.jpg,True,False,,12.013646364212036 8.75159204006195 461.0 4.0,False,False,preprimary_and_primary,Gazewa,242,242,242.0,1.72727272727273,True,gezawa,kano,northwest,TRUE,4.0,1.0,6.0,300.0,2.0,6.0,,2.0,317.0,public,False,1340030712023.jpg,282069,830.007331574,,False,FALSE,FALSE,Inf,50,Inf,50,,False,True,TOFA PRI. SCHOOL,education,Kano,0.0,Others,True,False,FALSE,Inf,1.05666666666667,FALSE,,kano_gazewa,af1c8c94-4ba5-4b13-9833-92e23debf7cb,False,af1c8c94-4ba5-4b13-9833-92e23debf7cb,Northwest
False,True,339.8391668,True,FALSE,False,,,,formal_educ,Yarkogi Primary School,primary_only,1339663371115.jpg,,False,,12.14089915 8.75671208 480.0 5.0,False,False,primary_only,Gazewa,242,242,242.0,2.12,True,gezawa,kano,northwest,TRUE,4.0,0.0,4.0,390.0,4.0,16.0,,3.0,69.0,public,False,1339663371115.jpg,282069,830.007331574,,False,FALSE,FALSE,8.86363636363636,97.5,43.3333333333333,24.375,,True,True,Yarkogi Primary School,education,Kano,0.0,Others,False,False,TRUE,Inf,0.176923076923077,TRUE,,kano_gazewa,cda565fe-1601-479d-897f-2de4e9c8e472,False,cda565fe-1601-479d-897f-2de4e9c8e472,Northwest
False,False,339.8391668,True,FALSE,True,,,,religious_with_formal,BUHARI ISLAMIYYA DAGUZAU PRI. SCHOOL,primary_only,1339847641103.jpg,,False,,12.043654918670654 8.788955211639404 457.0 4.0,False,False,primary_only,Gazewa,242,242,242.0,0.923076923076923,False,gezawa,kano,northwest,TRUE,0.0,0.0,2.0,300.0,0.0,1.0,,0.0,128.0,public,True,1339847641103.jpg,282069,830.007331574,,False,FALSE,FALSE,Inf,150,Inf,300,,False,False,BUHARI ISLAMIYYA DAGUZAU PRI. SCHOOL,education,Kano,0.0,Others,False,False,FALSE,Inf,0.426666666666667,FALSE,,kano_gazewa,95a7e7a4-7333-4cbc-a19b-1b3a47af78da,False,95a7e7a4-7333-4cbc-a19b-1b3a47af78da,Northwest
False,False,339.8391668,True,TRUE,True,,,,religious_only,dan fodio islamiyyal,primary_only,1339678796479.jpg,,False,,12.019450664520264 8.639068007469177 477.0 4.0,False,False,primary_only,Gazewa,242,242,242.0,0.717948717948718,False,gezawa,kano,northwest,TRUE,0.0,0.0,2.0,335.0,1.0,4.0,,3.0,7.0,public,False,1339678796479.jpg,282069,830.007331574,,False,FALSE,FALSE,Inf,167.5,Inf,83.75,,True,False,dan fodio islamiyyal,education,Kano,0.0,Others,False,True,TRUE,1.33333333333333,0.0208955223880597,TRUE,,kano_gazewa,1f3b5738-1e2c-4932-b6cf-08bba720ac24,False,1f3b5738-1e2c-4932-b6cf-08bba720ac24,Northwest
False,False,339.8391668,False,FALSE,False,,,,religious_with_formal,Tarbiyatul Aulad Islamiya Primsry School,preprimary_and_primary,1339661334405.jpg,,False,,12.09588371 8.75181205 455.79998779296875 5.0,False,False,preprimary_and_primary,Gazewa,242,242,242.0,0.79375,False,gezawa,kano,northwest,FALSE,2.0,0.0,3.0,574.0,5.0,12.0,,0.0,123.0,public,False,1339661334405.jpg,282069,830.007331574,,False,FALSE,FALSE,143.5,191.333333333333,Inf,47.8333333333333,,False,True,Tarbiyatul Aulad Islamiya Primsry School,education,Kano,0.0,Others,False,False,FALSE,4,0.214285714285714,TRUE,,kano_gazewa,5fe9a651-ac6b-4e6a-8247-e6d5fd01106a,False,5fe9a651-ac6b-4e6a-8247-e6d5fd01106a,Northwest
False,False,339.8391668,False,TRUE,False,,,,formal_educ,Tumbau Primary School,preprimary_and_primary,1340015421726.jpg,,False,,11.99509146 8.81466411 467.8999938964844 5.0,False,False,preprimary_and_primary,Gazewa,242,242,242.0,5.84615384615385,False,gezawa,kano,northwest,TRUE,4.0,,7.0,356.0,0.0,7.0,,1.0,486.0,public,True,1340015421726.jpg,282069,830.007331574,,False,FALSE,FALSE,27.3846153846154,50.8571428571429,Inf,50.8571428571429,,False,True,Tumbau Primary School,education,Kano,20.0,Others,True,False,FALSE,Inf,1.36516853932584,FALSE,,kano_gazewa,852bd5cf-8678-474d-a223-6ce00127a26a,False,852bd5cf-8678-474d-a223-6ce00127a26a,Northwest
