"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"67208",67208,"81b10294-0f57-4814-a286-33b7eac44b88","81b10294-0f57-4814-a286-33b7eac44b88","Kumbotso","Kano","Northwest",447,"11.95547809 8.60598427 515.7999877929688 5.0","1339761686339.jpg","kano_kumbotso","1339761686339.jpg","Borehole",NA,"borehole_tube_well","water_source","Farawa ","Mariri ","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"67209",67209,"eea7e360-80c3-429d-a0e5-1bd602c07ad5","eea7e360-80c3-429d-a0e5-1bd602c07ad5","Kumbotso","Kano","Northwest",447,"11.94216954 8.56566741 510.8999938964844 5.0","1339668514527.jpg","kano_kumbotso","1339668514527.jpg","Tap",NA,NA,"outlet","Naibawa","Naibawa","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"67210",67210,"fdc6ee65-aa50-4169-95dc-6ec7b20e0b80","fdc6ee65-aa50-4169-95dc-6ec7b20e0b80","Kumbotso","Kano","Northwest",447,"11.965194940567017 8.531699180603027 500.0 4.0","1339672874590.jpg","kano_kumbotso","1339672874590.jpg","Borehole",NA,"borehole_tube_well","water_source","Tudun Maliki","Guringawa","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"67211",67211,"83a142a3-a7a5-480d-a17f-caa23edc3449","83a142a3-a7a5-480d-a17f-caa23edc3449","Kumbotso","Kano","Northwest",447,"11.94057254 8.59249532 511.8999938964844 28.0","1339678112355.jpg","kano_kumbotso","1339678112355.jpg","Tap",NA,"borehole_tube_well","water_source","K/SANI","K/SANI","Yes","Diesel","Yes","Functional","No","Stand Alone Water Point"
"67212",67212,"068bc315-c714-4a97-bc45-3010a08064bd","068bc315-c714-4a97-bc45-3010a08064bd","Kumbotso","Kano","Northwest",447,"11.89977445 8.45675661 488.29998779296875 5.0","1339507721096.jpg","kano_kumbotso","1339507721096.jpg","Tap",NA,NA,"outlet","LABI","PANSHEKARA","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"67213",67213,"5f906c7e-729e-4eaf-9788-ed6e42a112ed","5f906c7e-729e-4eaf-9788-ed6e42a112ed","Kumbotso","Kano","Northwest",447,"11.923046708106995 8.51962924003601 481.0 3.0","1339580466115.jpg","kano_kumbotso","1339580466115.jpg","Borehole",NA,"borehole_tube_well","water_source","Gurungawa","Gurungawa","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"67214",67214,"9f82b08f-0290-45f7-8682-c33974bbc8d0","9f82b08f-0290-45f7-8682-c33974bbc8d0","Kumbotso","Kano","Northwest",447,"11.909017 8.57224982 527.4000244140625 5.0","1339668278921.jpg","kano_kumbotso","1339668278921.jpg","Tap",NA,"borehole_tube_well","water_source","U/MAKERA","U/RIMI","Yes","Solar","Yes","Functional","No","Stand Alone Water Point"
"67215",67215,"bd3866fd-1993-4c5d-9d31-b79724504770","bd3866fd-1993-4c5d-9d31-b79724504770","Kumbotso","Kano","Northwest",447,"11.897104382514954 8.49465787410736 475.0 4.0","1339501595657.jpg","kano_kumbotso","1339501595657.jpg","Borehole",NA,"borehole_tube_well","water_source","Gadama","kumbotso","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"67216",67216,"2109851b-cb8f-4d4b-b378-4a0cfb7fb67f","2109851b-cb8f-4d4b-b378-4a0cfb7fb67f","Kumbotso","Kano","Northwest",447,"11.890779733657837 8.49966287612915 473.0 4.0","1339504007451.jpg","kano_kumbotso","1339504007451.jpg","Borehole",NA,"borehole_tube_well","water_source","sabon pegi","kumbotso","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"67217",67217,"b60cf9aa-63d5-4300-9199-16f77eb143a6","b60cf9aa-63d5-4300-9199-16f77eb143a6","Kumbotso","Kano","Northwest",447,"11.93218795 8.52187019 498.70001220703125 5.0","1339582359470.jpg","kano_kumbotso","1339582359470.jpg","Borehole",NA,"borehole_tube_well","water_source","Gurun gawa","Gurun gawa","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
