"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",33365,"79f61607-d4ee-4449-9e08-0acab81746ed","kura","kano","northwest","11.73935884 8.49077044 470.29998779296875 5.0","Kadani Gajingiri Prim Sch","primary_only","kano_kura",450,"1339583504918.jpg","79f61607-d4ee-4449-9e08-0acab81746ed","primary_only","1339583504918.jpg",5,"formal_educ",FALSE,TRUE,2,4,NA,NA,TRUE,TRUE,0,1.39393939393939,FALSE,NA,NA,FALSE,4,FALSE,FALSE,TRUE,FALSE,65.8333333333333,TRUE,FALSE,TRUE,FALSE,Inf,Inf,79,5,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"2",33366,"37d589fe-763d-4153-9b4e-dd797e9d9cf9","kura","kano","northwest","11.767897009849548 8.424078226089478 491.0 4.0","Maljaussunna Islamiyya Pri. Sch.","primary_only","kano_kura",450,"1340103103715.jpg","37d589fe-763d-4153-9b4e-dd797e9d9cf9","primary_only","1340103103715.jpg",6,"religious_with_formal",FALSE,TRUE,1,1,0,0,FALSE,FALSE,0,0.669811320754717,TRUE,FALSE,88.5,TRUE,0,TRUE,FALSE,TRUE,TRUE,29.5,FALSE,FALSE,FALSE,TRUE,2.42465753424658,2.95,29.5,Inf,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"3",33367,"3192047a-7071-4e1b-8d2f-fe411c51d947","kura","kano","northwest","11.82118583 8.46481986 485.0 5.0","Bawa Primary School","primary_only","kano_kura",450,"1339755721904.jpg","3192047a-7071-4e1b-8d2f-fe411c51d947","primary_only","1339755721904.jpg",7,"formal_educ",FALSE,FALSE,2,6,NA,NA,TRUE,TRUE,0,2.23,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,161.5,TRUE,FALSE,TRUE,FALSE,29.3636363636364,29.3636363636364,46.1428571428571,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4",33368,"1ad32595-b007-45fa-8a53-8f0cb23a2779","kura","kano","northwest","11.79986266 8.44192274 491.79998779296875 5.0","Rigar Duka Ciki Prim
School","preprimary_only","kano_kura",450,"1340025377144.jpg","1ad32595-b007-45fa-8a53-8f0cb23a2779","preprimary_only","1340025377144.jpg",9,"formal_educ",FALSE,FALSE,3,6,0,0,TRUE,FALSE,120,1.25230769230769,TRUE,FALSE,244,FALSE,4,FALSE,FALSE,TRUE,FALSE,91.5,FALSE,FALSE,TRUE,FALSE,11.2615384615385,16.2666666666667,81.3333333333333,9,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",33369,"7e34b68c-136f-474a-9cc4-142afcc3fa9f","kura","kano","northwest","11.83220785 8.48350228 476.1000061035156 5.0","Baure Prim School","primary_only","kano_kura",450,"1339753236667.jpg","7e34b68c-136f-474a-9cc4-142afcc3fa9f","primary_only","1339753236667.jpg",6,"formal_educ",FALSE,TRUE,2,5,NA,NA,TRUE,TRUE,75,1.88524590163934,TRUE,FALSE,44,FALSE,4,FALSE,FALSE,FALSE,FALSE,29.3333333333333,TRUE,FALSE,TRUE,FALSE,9.77777777777778,9.77777777777778,29.3333333333333,NA,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"6",33370,"d45fe546-8444-4edf-ac49-80ac3be573e0","kura","kano","northwest","11.7382341 8.45931492 490.5 5.0","Kadani Ciki","primary_only","kano_kura",450,"1339502616751.jpg","d45fe546-8444-4edf-ac49-80ac3be573e0","primary_only","1339502616751.jpg",4,"religious_with_formal",TRUE,FALSE,2,4,NA,NA,TRUE,TRUE,0,Inf,FALSE,TRUE,0.666666666666667,FALSE,2,FALSE,FALSE,FALSE,FALSE,0.666666666666667,FALSE,FALSE,FALSE,FALSE,0.133333333333333,0.133333333333333,1,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"7",33371,"7cf12f73-c80c-4acb-95c9-95217ff9b484","kura","kano","northwest","11.82352598 8.51061758 485.79998779296875 5.0","Government arabic secondary school gundutse","junior_and_senior_sec","kano_kura",450,"1339671171320.jpg","7cf12f73-c80c-4acb-95c9-95217ff9b484","junior_and_senior_sec","1339671171320.jpg",17,"religious_with_formal",TRUE,FALSE,0,8,62,0.129979035639413,FALSE,TRUE,100,Inf,TRUE,FALSE,31.8,FALSE,9,FALSE,FALSE,TRUE,FALSE,43.3636363636364,FALSE,FALSE,FALSE,TRUE,4.86734693877551,4.86734693877551,28.0588235294118,Inf,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",33372,"f2d5b2de-5702-4a34-b75f-381cf1b91236","kura","kano","northwest","11.78999165 8.4263834 479.20001220703125 5.0","Butalawa Sauki Primary School","primary_only","kano_kura",450,"1340016599417.jpg","f2d5b2de-5702-4a34-b75f-381cf1b91236","primary_only","1340016599417.jpg",9,"formal_educ",FALSE,FALSE,2,7,NA,NA,FALSE,TRUE,0,0.804511278195489,TRUE,TRUE,80,FALSE,2,FALSE,FALSE,FALSE,FALSE,80,FALSE,TRUE,FALSE,FALSE,53.3333333333333,10.9090909090909,53.3333333333333,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",33373,"5123bf83-530b-42ec-b18a-4e5923430a02","kura","kano","northwest","11.78909049 8.52348672 456.20001220703125 5.0","Danhassan sintili LIP primary school","primary_only","kano_kura",450,"1339748730837.jpg","5123bf83-530b-42ec-b18a-4e5923430a02","primary_only","1339748730837.jpg",26,"formal_educ",FALSE,TRUE,5,14,NA,NA,TRUE,FALSE,0,1.17205422314911,TRUE,TRUE,148.785714285714,FALSE,16,FALSE,FALSE,TRUE,FALSE,99.1904761904762,FALSE,FALSE,FALSE,FALSE,7.71481481481482,7.71481481481482,80.1153846153846,26,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",33374,"3cbeedcb-9d08-4b7e-a4b3-ac204c647977","kura","kano","northwest","11.83262824 8.45138713 487.3999938964844 5.0","Rigar Duka Kawa","primary_only","kano_kura",450,"1340020268854.jpg","3cbeedcb-9d08-4b7e-a4b3-ac204c647977","primary_only","1340020268854.jpg",5,"formal_educ",FALSE,FALSE,4,1,NA,NA,TRUE,TRUE,50,2.96052631578947,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,75.25,TRUE,FALSE,FALSE,TRUE,43,150.5,60.2,Inf,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"11",33375,"80210ed8-d593-4bca-bf88-122e6107c499","kura","kano","northwest","11.77378505 8.5888775 463.1000061035156 5.0","Government senior secondary school dukawa","junior_and_senior_sec","kano_kura",450,"1339578109427.jpg","80210ed8-d593-4bca-bf88-122e6107c499","junior_and_senior_sec","1339578109427.jpg",5,"formal_educ",TRUE,FALSE,2,4,6,0.0165745856353591,TRUE,TRUE,120,Inf,TRUE,FALSE,30.1666666666667,FALSE,0,FALSE,FALSE,TRUE,FALSE,60.3333333333333,FALSE,FALSE,FALSE,TRUE,1.448,1.448,72.4,Inf,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"12",33376,"95cac81f-fa58-4ffd-9aec-e75874e245f6","kura","kano","northwest","11.79421499 8.57551141 461.79998779296875 5.0","Tofa primary school","primary_only","kano_kura",450,"1339588464828.jpg","95cac81f-fa58-4ffd-9aec-e75874e245f6","primary_only","1339588464828.jpg",5,"formal_educ",TRUE,TRUE,6,3,NA,NA,TRUE,TRUE,98,2.47777777777778,TRUE,TRUE,52.1666666666667,FALSE,3,FALSE,FALSE,TRUE,FALSE,34.7777777777778,TRUE,FALSE,TRUE,FALSE,28.4545454545455,28.4545454545455,62.6,Inf,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"13",33377,"6db3885e-22c5-4280-8261-1a83c7670d52","kura","kano","northwest","11.77488122 8.58845249 468.8999938964844 5.0","Dukawa primary school","primary_only","kano_kura",450,"1339579832117.jpg","6db3885e-22c5-4280-8261-1a83c7670d52","primary_only","1339579832117.jpg",10,"formal_educ",TRUE,TRUE,8,3,NA,NA,FALSE,FALSE,0,4.73026315789474,TRUE,TRUE,217.75,FALSE,6,FALSE,FALSE,TRUE,FALSE,62.2142857142857,FALSE,FALSE,FALSE,FALSE,5.5126582278481,5.5126582278481,87.1,Inf,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"14",33378,"ae2a9781-c6ee-49ce-8b2c-a1e726398706","kura","kano","northwest","11.76935076713562 8.433975577354431 483.0 4.0","GGAJSS","juniors_sec_only","kano_kura",450,"1340014508290.jpg","ae2a9781-c6ee-49ce-8b2c-a1e726398706","juniors_sec_only","1340014508290.jpg",5,"religious_with_formal",FALSE,FALSE,1,4,0,0,FALSE,FALSE,0,0,FALSE,NA,NA,TRUE,0,TRUE,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,TRUE,2.66666666666667,2.66666666666667,24,Inf,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"15",33379,"cf3de7b0-c324-4241-9f93-9ec37e387d47","kura","kano","northwest","11.81683388 8.45152682 493.20001220703125 5.0","Ihiyyauddini Islamiyya Pri Sch","primary_only","kano_kura",450,"1340018836690.jpg","cf3de7b0-c324-4241-9f93-9ec37e387d47","primary_only","1340018836690.jpg",4,"religious_with_formal",FALSE,FALSE,2,0,NA,NA,TRUE,TRUE,0,0.891696750902527,TRUE,FALSE,524,FALSE,4,FALSE,TRUE,FALSE,FALSE,87.3333333333333,TRUE,FALSE,TRUE,FALSE,Inf,Inf,131,1.33333333333333,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"16",33380,"0ef93a27-82cf-4dc8-ad0a-7f24b21e59ef","kura","kano","northwest","11.79477041 8.5148857 474.29998779296875 5.0","Makaurata nomadic primary school danhassan","primary_only","kano_kura",450,"1339757719659.jpg","0ef93a27-82cf-4dc8-ad0a-7f24b21e59ef","primary_only","1339757719659.jpg",1,"formal_educ",FALSE,FALSE,0,1,NA,NA,TRUE,TRUE,0,0.588235294117647,FALSE,NA,NA,FALSE,2,FALSE,FALSE,TRUE,FALSE,54,TRUE,FALSE,FALSE,TRUE,Inf,Inf,108,Inf,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"17",33381,"ac519c26-690b-4d01-932e-709b8561ef7b","kura","kano","northwest","11.769956946372986 8.434383273124695 482.0 4.0","Khidumatul Kuraan","primary_only","kano_kura",450,"1340012479335.jpg","ac519c26-690b-4d01-932e-709b8561ef7b","primary_only","1340012479335.jpg",14,"religious_only",FALSE,FALSE,0,2,0,0,FALSE,FALSE,0,0.696759259259259,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,146.6,FALSE,TRUE,TRUE,FALSE,Inf,Inf,104.714285714286,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",33382,"f0f5e209-e9e6-4975-ad31-88d48bd2ab71","kura","kano","northwest","11.78383045 8.52454879 468.29998779296875 5.0","Gss danhasssan","junior_and_senior_sec","kano_kura",450,"1339752341176.jpg","f0f5e209-e9e6-4975-ad31-88d48bd2ab71","junior_and_senior_sec","1339752341176.jpg",16,"formal_educ",TRUE,FALSE,0,11,80,0.106666666666667,TRUE,FALSE,200,Inf,TRUE,FALSE,93.75,TRUE,4,FALSE,FALSE,TRUE,FALSE,41.6666666666667,FALSE,FALSE,FALSE,TRUE,5,3,46.875,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"19",33383,"e58db658-5361-4047-a1a9-a0bc273c927c","kura","kano","northwest","11.773754954338074 8.427232503890991 483.0 4.0","Zinatuddini","primary_only","kano_kura",450,"1340010528694.jpg","e58db658-5361-4047-a1a9-a0bc273c927c","primary_only","1340010528694.jpg",7,"religious_with_formal",FALSE,FALSE,0,1,0,0,FALSE,FALSE,0,0.428571428571429,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,40,FALSE,FALSE,TRUE,FALSE,20,Inf,28.5714285714286,Inf,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
