"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"37366",37366,37366,"a98afa34-9123-424b-a15b-9eb4d5801aee","minjibir","kano","northwest","12.202511429786682 8.609467148780823 490.0 4.0","Hubbun Nabiyu Isl Sharawa","primary_only","kano_minjibir",502,"1339675626499.jpg","a98afa34-9123-424b-a15b-9eb4d5801aee","primary_only","1339675626499.jpg",1,"religious_with_formal",FALSE,TRUE,0,0,0,0,FALSE,TRUE,0,0.675675675675676,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,93,TRUE,FALSE,FALSE,TRUE,Inf,Inf,186,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"37367",37367,37367,"3f9fcc65-211e-4df9-92af-537f745856c6","minjibir","kano","northwest","12.13539183139801 8.570709228515625 485.0 3.0","Sakafatuddin Isl Pry School","primary_only","kano_minjibir",502,"1339752298755.jpg","3f9fcc65-211e-4df9-92af-537f745856c6","primary_only","1339752298755.jpg",1,"religious_with_formal",FALSE,FALSE,1,0,0,0,FALSE,FALSE,0,0.666666666666667,TRUE,FALSE,75,FALSE,0,FALSE,FALSE,FALSE,FALSE,75,TRUE,TRUE,FALSE,FALSE,Inf,Inf,150,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"37368",37368,37368,"1c3dc77c-f27b-4821-a687-11352dbe39ef","minjibir","kano","northwest","12.18846856 8.67494926 456.20001220703125 5.0","HULWUDDENI ISLAMIYYA CHEDI","primary_only","kano_minjibir",502,"1339594002286.jpg","1c3dc77c-f27b-4821-a687-11352dbe39ef","primary_only","1339594002286.jpg",7,"religious_with_formal",FALSE,FALSE,0,1,NA,NA,FALSE,TRUE,0,0.698324022346369,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,76,FALSE,FALSE,TRUE,TRUE,20.2666666666667,304,43.4285714285714,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"37369",37369,37369,"1c28adaf-558e-4139-a7c1-e9bbf25004ec","minjibir","kano","northwest","12.14298098 8.58654998 471.8999938964844 5.0","Gizawa prymary school","primary_only","kano_minjibir",502,"1339670795483.jpg","1c28adaf-558e-4139-a7c1-e9bbf25004ec","primary_only","1339670795483.jpg",3,"formal_educ",FALSE,TRUE,4,1,NA,NA,FALSE,TRUE,53,2.48275862068966,TRUE,TRUE,75.75,FALSE,3,FALSE,FALSE,FALSE,FALSE,43.2857142857143,TRUE,FALSE,TRUE,FALSE,30.3,25.25,101,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"37370",37370,37370,"761ab272-1863-46c1-9746-d5603ebf3d94","minjibir","kano","northwest","12.25557267 8.55828132 474.1000061035156 5.0","Burasawa prim Sch","primary_only","kano_minjibir",502,"1339840725608.jpg","761ab272-1863-46c1-9746-d5603ebf3d94","primary_only","1339840725608.jpg",5,"formal_educ",FALSE,TRUE,0,1,NA,NA,TRUE,TRUE,0,1.97727272727273,FALSE,NA,NA,FALSE,6,TRUE,FALSE,TRUE,FALSE,65.5,FALSE,FALSE,FALSE,TRUE,8.73333333333333,9.825,78.6,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"37371",37371,37371,"0f078a95-8165-4183-b446-239c4a59ed72","minjibir","kano","northwest","12.17243069 8.53494689 515.7000122070313 5.0","Govt Jr Sec Sch Kuru","juniors_sec_only","kano_minjibir",502,"1339582207210.jpg","0f078a95-8165-4183-b446-239c4a59ed72","juniors_sec_only","1339582207210.jpg",7,"formal_educ",TRUE,FALSE,0,6,NA,NA,TRUE,NA,50,Inf,FALSE,FALSE,73.5,FALSE,0,TRUE,FALSE,TRUE,TRUE,49,FALSE,FALSE,FALSE,TRUE,2.94,2.94,21,Inf,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"37372",37372,37372,"dc47951b-6695-45e6-a6f2-f1d5b136d45e","minjibir","kano","northwest","12.19576157 8.5299188 515.2999877929688 5.0","Duguji Primary School","primary_only","kano_minjibir",502,"1339586299470.jpg","dc47951b-6695-45e6-a6f2-f1d5b136d45e","primary_only","1339586299470.jpg",8,"formal_educ",FALSE,FALSE,2,2,NA,NA,TRUE,FALSE,0,1.47770700636943,FALSE,FALSE,194.5,FALSE,2,FALSE,FALSE,FALSE,FALSE,97.25,TRUE,FALSE,FALSE,TRUE,9.725,9.725,48.625,Inf,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"37373",37373,37373,"f2278c11-f724-4984-acc6-ad44aca430a7","minjibir","kano","northwest","12.17579913 8.65959026 477.20001220703125 5.0","Ismaila tukur nursery&primary school","preprimary_and_primary","kano_minjibir",502,"1339851245910.jpg","f2278c11-f724-4984-acc6-ad44aca430a7","preprimary_and_primary","1339851245910.jpg",7,"formal_educ",TRUE,FALSE,0,5,716,4,FALSE,FALSE,2,1.52112676056338,TRUE,FALSE,89.5,TRUE,0,TRUE,FALSE,TRUE,FALSE,35.8,FALSE,FALSE,FALSE,FALSE,29.8333333333333,2.98333333333333,25.5714285714286,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"37374",37374,37374,"18dba22f-88d9-425b-8393-4d9bd6327168","minjibir","kano","northwest","12.226817607879639 8.575676679611206 482.0 4.0","Zura","preprimary_and_primary","kano_minjibir",502,"1340100670180.jpg","18dba22f-88d9-425b-8393-4d9bd6327168","preprimary_and_primary","1340100670180.jpg",8,"formal_educ",TRUE,FALSE,6,5,NA,NA,TRUE,TRUE,NA,2.39189189189189,TRUE,TRUE,62.75,FALSE,0,FALSE,FALSE,FALSE,FALSE,41.8333333333333,TRUE,FALSE,TRUE,FALSE,20.9166666666667,251,31.375,1.6,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"37375",37375,37375,"baf96139-8364-4cfa-84b8-5a9a667e7a55","minjibir","kano","northwest","12.13714063167572 8.550952076911926 469.0 4.0","Taabiyatul Aulad Islamiya Pry. School","primary_only","kano_minjibir",502,"1339758454814.jpg","baf96139-8364-4cfa-84b8-5a9a667e7a55","primary_only","1339758454814.jpg",3,"religious_with_formal",FALSE,FALSE,2,0,NA,NA,TRUE,TRUE,0,0.392561983471074,TRUE,FALSE,168.5,FALSE,2,FALSE,FALSE,FALSE,FALSE,168.5,TRUE,FALSE,FALSE,TRUE,Inf,Inf,112.333333333333,Inf,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"education"
"37376",37376,37376,"78e29534-ba0f-4432-866b-fdf903645ed9","minjibir","kano","northwest","12.210209369659424 8.629787564277649 482.0 4.0","Tsakuwa Pry School","primary_only","kano_minjibir",502,"1339660281365.jpg","78e29534-ba0f-4432-866b-fdf903645ed9","primary_only","1339660281365.jpg",10,"formal_educ",FALSE,FALSE,0,1,NA,NA,TRUE,TRUE,0,1.22,TRUE,TRUE,138.75,FALSE,0,TRUE,FALSE,FALSE,FALSE,138.75,TRUE,FALSE,TRUE,TRUE,27.75,27.75,55.5,Inf,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"education"
"37377",37377,37377,"4d5fe888-ea85-4d3c-948e-71cdc81993ed","minjibir","kano","northwest","12.18262007 8.65857565 470.29998779296875 5.0","Sheik iro memorial nursery& primary school","preprimary_and_primary","kano_minjibir",502,"1339852454028.jpg","4d5fe888-ea85-4d3c-948e-71cdc81993ed","preprimary_and_primary","1339852454028.jpg",6,"religious_with_formal",FALSE,TRUE,0,4,691,2.54044117647059,TRUE,FALSE,9,0.850340136054422,FALSE,FALSE,136,TRUE,0,TRUE,FALSE,TRUE,FALSE,68,TRUE,FALSE,FALSE,FALSE,Inf,15.1111111111111,45.3333333333333,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
