access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,361.7213222,False,TRUE,False,,,,formal_educ,Fagen zaki primary school,primary_only,1345900029649.jpg,True,False,FALSE,11.74187222 8.84012949 467.79998779296875 5.0,False,False,primary_only,Wudil,750,750,750.0,1.75229357798165,True,wudil,kano,northwest,TRUE,3.0,,6.0,300.0,3.0,6.0,,4.0,697.0,public,False,1345900029649.jpg,185189,511.965949018,,False,FALSE,FALSE,7.69230769230769,50,10,50,150,False,True,Fagen zaki primary school,education,Kano,0.0,Others,True,False,TRUE,Inf,2.32333333333333,FALSE,,kano_wudil,b00296b6-b192-4d85-91df-3756c4ba667f,False,b00296b6-b192-4d85-91df-3756c4ba667f,Northwest
False,False,361.7213222,False,FALSE,True,,,,religious_with_formal,Fagen zaki islamiyya,primary_only,1345899749353.jpg,True,False,,11.74091813 8.84214672 465.5 5.0,False,False,primary_only,Wudil,750,750,750.0,0.174528301886792,True,wudil,kano,northwest,FALSE,0.0,2.0,5.0,249.0,0.0,1.0,,0.0,94.0,public,False,1345899749353.jpg,185189,511.965949018,,False,FALSE,FALSE,Inf,49.8,Inf,249,,False,False,Fagen zaki islamiyya,education,Kano,0.0,Others,True,False,FALSE,Inf,0.377510040160643,FALSE,,kano_wudil,ae4ed72a-d1dd-4778-95fe-fff0e3650972,False,ae4ed72a-d1dd-4778-95fe-fff0e3650972,Northwest
False,True,361.7213222,False,TRUE,True,,,,formal_educ,UTAI CENTRAL PRIMARY SCHOOL,preprimary_and_primary,1346059145452.jpg,True,False,TRUE,11.74388936 8.8812469 478.5 5.0,False,False,preprimary_and_primary,Wudil,750,750,750.0,1.63952095808383,True,wudil,kano,northwest,TRUE,5.0,2.0,15.0,2204.0,4.0,15.0,,9.0,1588.0,public,True,1346059145452.jpg,185189,511.965949018,,False,FALSE,FALSE,34.4375,146.933333333333,27.55,146.933333333333,551,False,False,UTAI CENTRAL PRIMARY SCHOOL,education,Kano,0.0,Others,False,False,TRUE,Inf,0.720508166969147,FALSE,,kano_wudil,bc45bbbe-b738-4a77-a946-791e5b1fb12c,False,bc45bbbe-b738-4a77-a946-791e5b1fb12c,Northwest
False,True,361.7213222,False,TRUE,False,,,,religious_with_formal,Tahfizul Quran Makwalla,preprimary_and_primary,1346198226670.jpg,,False,,11.81066332 8.84225206 439.3999938964844 5.0,False,False,preprimary_and_primary,Wudil,750,750,750.0,0.758620689655172,True,wudil,kano,northwest,FALSE,0.0,1.0,3.0,510.0,1.0,4.0,,2.0,0.0,public,False,1346198226670.jpg,185189,511.965949018,,True,FALSE,FALSE,Inf,170,Inf,127.5,,False,False,Tahfizul Quran Makwalla,education,Kano,0.0,Others,False,False,FALSE,4,0,TRUE,,kano_wudil,ef8af023-c5cc-461a-b271-0a97ab2de543,False,ef8af023-c5cc-461a-b271-0a97ab2de543,Northwest
False,True,361.7213222,False,FALSE,False,,,,religious_with_formal,RAYATUL ISLAM ISLAMIYYA PRIMARY SCHOOL,preprimary_and_primary,1345898484913.jpg,,False,FALSE,11.66263766 8.9212043 477.6000061035156 5.0,False,False,preprimary_and_primary,Wudil,750,750,750.0,0.243523316062176,False,wudil,kano,northwest,FALSE,2.0,,7.0,480.0,1.0,12.0,,0.0,712.0,public,True,1345898484913.jpg,185189,511.965949018,,False,FALSE,FALSE,13.7142857142857,68.5714285714286,16,40,160,False,False,RAYATUL ISLAM ISLAMIYYA PRIMARY SCHOOL,education,Kano,0.0,Others,False,False,FALSE,Inf,1.48333333333333,FALSE,,kano_wudil,910bdeb5-9749-42bd-a88a-cb6eefe4b978,False,910bdeb5-9749-42bd-a88a-cb6eefe4b978,Northwest
False,False,361.7213222,False,FALSE,False,,,,formal_educ,GIRL CHILD EDUCATION CENTRE,primary_and_junior_sec,1346327278657.jpg,True,False,FALSE,11.80823415 8.84820629 460.29998779296875 5.0,False,False,primary_and_junior_sec,Wudil,750,750,750.0,0,False,wudil,kano,northwest,TRUE,0.0,2.0,4.0,85.0,2.0,7.0,,2.0,170.0,public,False,1346327278657.jpg,185189,511.965949018,,True,TRUE,TRUE,28.3333333333333,21.25,2.83333333333333,12.1428571428571,28.3333333333333,False,False,GIRL CHILD EDUCATION CENTRE,education,Kano,0.0,Others,False,False,FALSE,Inf,2,FALSE,,kano_wudil,68b6f01a-a645-4922-a782-9ba852d770bb,True,68b6f01a-a645-4922-a782-9ba852d770bb,Northwest
False,True,361.7213222,True,FALSE,True,,,,formal_educ,Kauyawa Pry Sch,preprimary_and_primary,1346114025164.jpg,,False,,11.85513419 8.93528883 468.70001220703125 5.0,False,False,preprimary_and_primary,Wudil,750,750,750.0,2.84,True,wudil,kano,northwest,TRUE,2.0,,2.0,480.0,6.0,8.0,,4.0,36.0,public,False,1346114025164.jpg,185189,511.965949018,,False,FALSE,FALSE,40,240,34.2857142857143,60,,True,False,Kauyawa Pry Sch,education,Kano,12.0,Others,False,False,TRUE,Inf,0.075,TRUE,,kano_wudil,e2283de9-b525-4436-ace4-bcf91dfb970a,False,e2283de9-b525-4436-ace4-bcf91dfb970a,Northwest
False,False,361.7213222,False,TRUE,False,,,,religious_only,Barhama Islamiyya school,primary_only,1345808405967.jpg,,False,FALSE,11.75870038 8.82647072 451.3999938964844 5.0,False,False,primary_only,Wudil,750,750,750.0,0.450704225352113,True,wudil,kano,northwest,FALSE,0.0,2.0,2.0,309.0,0.0,1.0,,0.0,0.0,public,True,1345808405967.jpg,185189,511.965949018,,True,TRUE,FALSE,154.5,154.5,Inf,309,309,False,True,Barhama Islamiyya school,education,Kano,0.0,Others,False,False,FALSE,Inf,0,FALSE,,kano_wudil,0ca592d3-e05d-46b5-bc5b-40ff5e771d52,False,0ca592d3-e05d-46b5-bc5b-40ff5e771d52,Northwest
False,True,361.7213222,True,TRUE,True,,,,formal_educ,Kausani Central Primary School,preprimary_only,1345800062307.jpg,,False,FALSE,11.83952834 8.89784422 450.5 5.0,False,False,preprimary_only,Wudil,750,750,750.0,1.40606060606061,False,wudil,kano,northwest,TRUE,0.0,2.0,6.0,397.0,2.0,8.0,,2.0,0.0,public,False,1345800062307.jpg,185189,511.965949018,,False,FALSE,FALSE,5.67142857142857,66.1666666666667,6.203125,49.625,99.25,False,True,Kausani Central Primary School,education,Kano,0.0,Others,False,False,TRUE,Inf,0,FALSE,,kano_wudil,a7480822-df7a-49f0-9f5a-760e7eeeca50,False,a7480822-df7a-49f0-9f5a-760e7eeeca50,Northwest
True,False,361.7213222,False,FALSE,False,,,,formal_educ,Government technical college wudil,junior_and_senior_sec,1346326882770.jpg,True,True,FALSE,11.80394225 8.85785657 442.5 5.0,False,False,junior_and_senior_sec,Wudil,750,750,750.0,0,False,wudil,kano,northwest,FALSE,,,26.0,890.0,18.0,44.0,,11.0,0.0,public,True,1346326882770.jpg,185189,511.965949018,,True,FALSE,FALSE,Inf,34.2307692307692,8.9,20.2272727272727,178,,True,Government technical college wudil,education,Kano,24.0,Others,False,False,TRUE,Inf,0,FALSE,,kano_wudil,ce35ff40-cc8a-4f66-8fa9-5aa2b79770b1,False,ce35ff40-cc8a-4f66-8fa9-5aa2b79770b1,Northwest
