breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,AJIWA,,,"Water Scheme, Source within 100m",1343389352023.jpg,Yes,12.9591454 7.73810256 490.8999938964844 5.0,True,Batagarawa,95,95,95.0,Tap (unknown lift),No,1343389352023.jpg,water,Katsina,katsina_batagarawa,df3d1462-3231-4b63-8bcc-b652419b4ccd,AJIWA,Tap,outlet,,df3d1462-3231-4b63-8bcc-b652419b4ccd,Northwest
Functional,,DAN IYAU,,,"Water Scheme, Source within 100m",1343392000344.jpg,Yes,12.97760758 7.70573061 499.29998779296875 5.0,True,Batagarawa,95,95,95.0,Tap (unknown lift),No,1343392000344.jpg,water,Katsina,katsina_batagarawa,3502ae69-70b2-4232-afb2-48b72a8553ee,AJIWA,Tap,outlet,,3502ae69-70b2-4232-afb2-48b72a8553ee,Northwest
Functional,,B/gawo,,,Stand Alone Water Point,1343306901109.jpg,Yes,12.86298113 7.62801133 568.0 5.0,True,Batagarawa,95,95,95.0,Hand Pump,No,1343306901109.jpg,water,Katsina,katsina_batagarawa,6f569dca-58ea-4317-8f31-39e064a8ae09,Bat. A,Borehole,water_source,borehole_tube_well,6f569dca-58ea-4317-8f31-39e064a8ae09,Northwest
Poorly Constructed,,TSANNI,,,"Water Scheme, Source within 100m",1343382382583.jpg,No,12.80588125 7.55812323 571.7000122070313 5.0,True,Batagarawa,95,95,95.0,Tap (unknown lift),No,1343382382583.jpg,water,Katsina,katsina_batagarawa,3cf6e722-c9b5-4cae-a427-918e5d078ae6,TSANNI,Tap,outlet,,3cf6e722-c9b5-4cae-a427-918e5d078ae6,Northwest
Mechanical Issue,,KURHUNDU MARKE,,,"Water Scheme, Source within 100m",1343468440170.jpg,No,13.00744862 7.679015 533.4000244140625 5.0,True,Batagarawa,95,95,95.0,Tap (unknown lift),No,1343468440170.jpg,water,Katsina,katsina_batagarawa,2a9f1f1d-c6ab-40e2-a6b0-d03bcf3ed171,KAYAUKI,Tap,outlet,,2a9f1f1d-c6ab-40e2-a6b0-d03bcf3ed171,Northwest
Functional,,KARAJE,,,"Water Scheme, Source within 100m",1343465027330.jpg,Yes,12.99811341 7.70415958 522.2999877929688 5.0,True,Batagarawa,95,95,95.0,Tap (unknown lift),No,1343465027330.jpg,water,Katsina,katsina_batagarawa,73b69031-d642-42d2-87c9-e5a3b0b1df1f,KAYAUKI,Tap,outlet,,73b69031-d642-42d2-87c9-e5a3b0b1df1f,Northwest
Functional,,SHAGUMBA,,,"Water Scheme, Source within 100m",1343382260146.jpg,Yes,12.95691157 7.71817837 519.7000122070313 5.0,True,Batagarawa,95,95,95.0,Tap (unknown lift),No,1343382260146.jpg,water,Katsina,katsina_batagarawa,57624f17-2cc4-48a5-b5a9-d41b3968ee62,AJIWA,Tap,outlet,,57624f17-2cc4-48a5-b5a9-d41b3968ee62,Northwest
Functional,,Kawo,,,Stand Alone Water Point,1343308428806.jpg,Yes,12.83657191 7.58550703 571.0 5.0,False,Batagarawa,95,95,95.0,Manual,No,1343308428806.jpg,water,Katsina,katsina_batagarawa,06556586-a168-4127-b8ec-497901271ea1,Bat. A,Unimproved Well,water_source,protected_dug_well,06556586-a168-4127-b8ec-497901271ea1,Northwest
Functional,,MAJE,,,"Water Scheme, Source within 100m",1343313046687.jpg,Yes,12.95053681 7.7015898 583.7999877929688 6.0,True,Batagarawa,95,95,95.0,Tap (unknown lift),No,1343313046687.jpg,water,Katsina,katsina_batagarawa,c171c349-22ed-4347-b3b2-ad5ac54cefdc,AJIWA,Tap,outlet,,c171c349-22ed-4347-b3b2-ad5ac54cefdc,Northwest
Functional,,AJIWA,,,"Water Scheme, Source within 100m",1343389808225.jpg,Yes,12.96470481 7.73855192 481.6000061035156 5.0,True,Batagarawa,95,95,95.0,Tap (unknown lift),No,1343389808225.jpg,water,Katsina,katsina_batagarawa,c18b7692-7573-440e-825a-ec0ee334eb2d,AJIWA,Tap,outlet,,c18b7692-7573-440e-825a-ec0ee334eb2d,Northwest
Functional,,KARAJE,,,"Water Scheme, Source within 100m",1343463264070.jpg,Yes,12.99741829 7.69865115 535.4000244140625 5.0,True,Batagarawa,95,95,95.0,Tap (unknown lift),No,1343463264070.jpg,water,Katsina,katsina_batagarawa,700eca77-5875-41f1-a4bc-f27f65c61a36,KAYAUKI,Tap,outlet,,700eca77-5875-41f1-a4bc-f27f65c61a36,Northwest
Dry Well,,KURHUNDU MARKE,,,Stand Alone Water Point,1343468042925.jpg,No,13.00741891 7.67834234 526.0 5.0,False,Batagarawa,95,95,95.0,Manual,No,1343468042925.jpg,water,Katsina,katsina_batagarawa,9592c4b9-98f3-43e8-b954-959fe106b631,KAYAUKI,Unimproved Well,water_source,unprotected_dug_well,9592c4b9-98f3-43e8-b954-959fe106b631,Northwest
Mechanical Issue,,Tsuntsuwa,,,Stand Alone Water Point,1343485747453.jpg,No,12.93500894 7.67110015 514.2000122070313 5.0,True,Batagarawa,95,95,95.0,Hand Pump,No,1343485747453.jpg,water,Katsina,katsina_batagarawa,8a47879a-38a4-48ff-8199-a40ea04b304c,D/goro,Borehole,water_source,borehole_tube_well,8a47879a-38a4-48ff-8199-a40ea04b304c,Northwest
Mechanical Issue,,BARDA,,,"Water Scheme, Source within 100m",1343400931981.jpg,No,12.98913156 7.68505446 512.5999755859375 5.0,True,Batagarawa,95,95,95.0,Tap (unknown lift),No,1343400931981.jpg,water,Katsina,katsina_batagarawa,1616b97a-f663-4161-8e50-45d29ec9ae21,KAYAUKI,Tap,outlet,,1616b97a-f663-4161-8e50-45d29ec9ae21,Northwest
Mechanical Issue,,KURHUNDU MARKE,,,Stand Alone Water Point,1343469305095.jpg,No,13.0076838 7.6815167 521.5 5.0,True,Batagarawa,95,95,95.0,Hand Pump,No,1343469305095.jpg,water,Katsina,katsina_batagarawa,c15c127a-7575-4333-8b91-d915520da761,KAYAUKI,Borehole,water_source,borehole_tube_well,c15c127a-7575-4333-8b91-d915520da761,Northwest
