"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",10964,"7e084b85-64ed-4399-9f53-515398e831ed","daura","katsina","northwest","13.03570689 8.35531401 502.79998779296875 5.0","Rimi pri. sch","primary_only","katsina_daura",152,"1347009156328.jpg","7e084b85-64ed-4399-9f53-515398e831ed","primary_only","1347009156328.jpg",5,"formal_educ",FALSE,FALSE,2,2,NA,NA,TRUE,TRUE,0,0.989717223650386,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,387,TRUE,FALSE,TRUE,TRUE,Inf,387,154.8,Inf,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2",10965,"34eb073e-6383-40bd-91cf-b9e7ed2c7580","daura","katsina","northwest","13.0380208 8.34386918 485.0 5.0","Kalgo pri. Sch","primary_only","katsina_daura",152,"1347008123902.jpg","34eb073e-6383-40bd-91cf-b9e7ed2c7580","primary_only","1347008123902.jpg",9,"formal_educ",FALSE,FALSE,0,6,NA,NA,TRUE,FALSE,0,1.25943396226415,TRUE,TRUE,79.8333333333333,FALSE,0,TRUE,FALSE,TRUE,FALSE,159.666666666667,FALSE,FALSE,TRUE,TRUE,19.16,38.32,106.444444444444,Inf,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",10966,"d4f67311-d1fc-4cc3-a4a4-6a6dc8378737","daura","katsina","northwest","13.04250955581665 8.320330381393433 490.0 4.0","Gen muhammadu buhari primary school","preprimary_and_primary","katsina_daura",152,"1347016274481.jpg","d4f67311-d1fc-4cc3-a4a4-6a6dc8378737","preprimary_and_primary","1347016274481.jpg",31,"formal_educ",FALSE,TRUE,0,19,870,7.25,TRUE,TRUE,0,0.6,TRUE,TRUE,20,TRUE,4,TRUE,FALSE,TRUE,TRUE,6.31578947368421,FALSE,FALSE,FALSE,FALSE,0.369230769230769,0.369230769230769,3.87096774193548,Inf,4,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"4",10967,"d309fa6f-0d12-4062-9905-f09d22d50281","daura","katsina","northwest","13.027355074882507 8.305213451385498 508.0 4.0","GDJSS Daura","juniors_sec_only","katsina_daura",152,"1347108548489.jpg","d309fa6f-0d12-4062-9905-f09d22d50281","juniors_sec_only","1347108548489.jpg",28,"formal_educ",TRUE,TRUE,0,19,0,NA,TRUE,NA,600,NA,TRUE,FALSE,NA,TRUE,4,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"5",10968,"237d17f0-dc06-4071-9ac5-d250d9735417","daura","katsina","northwest","13.02572535 8.3331535 485.0 5.0","Nasarawa pri sch","primary_only","katsina_daura",152,"1347015195247.jpg","237d17f0-dc06-4071-9ac5-d250d9735417","primary_only","1347015195247.jpg",28,"formal_educ",FALSE,FALSE,0,22,NA,NA,TRUE,TRUE,0,1.318359375,TRUE,FALSE,296.75,FALSE,0,TRUE,FALSE,TRUE,FALSE,131.888888888889,FALSE,FALSE,FALSE,TRUE,296.75,19.7833333333333,42.3928571428571,Inf,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",10969,"86460426-cfbb-4efe-9e2f-f211f04641bd","daura","katsina","northwest","13.0209495 8.33112013 505.79998779296875 5.0","Family support pri sch","preprimary_and_primary","katsina_daura",152,"1347017906426.jpg","86460426-cfbb-4efe-9e2f-f211f04641bd","preprimary_and_primary","1347017906426.jpg",23,"formal_educ",FALSE,TRUE,0,19,NA,NA,TRUE,FALSE,3,0.824817518248175,TRUE,TRUE,100,FALSE,0,TRUE,FALSE,TRUE,TRUE,45.4545454545455,FALSE,FALSE,FALSE,TRUE,Inf,4.0650406504065,21.7391304347826,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",10970,"ef7f2a60-03bc-420c-b0fe-87a79b5037b6","daura","katsina","northwest","13.025177121162415 8.302788734436035 511.0 4.0","GGSS daura","juniors_sec_only","katsina_daura",152,"1347108378730.jpg","ef7f2a60-03bc-420c-b0fe-87a79b5037b6","juniors_sec_only","1347108378730.jpg",25,"formal_educ",FALSE,FALSE,5,15,0,NA,TRUE,NA,600,NA,TRUE,FALSE,NA,TRUE,0,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"8",10971,"be0be5ea-7d25-4e02-91c9-8675c1a73382","daura","katsina","northwest","13.03791576 8.32435137 497.29998779296875 5.0","MUHAMMAD BASHAR","preprimary_and_primary","katsina_daura",152,"1347015700328.jpg","be0be5ea-7d25-4e02-91c9-8675c1a73382","preprimary_and_primary","1347015700328.jpg",58,"formal_educ",FALSE,FALSE,0,15,5200,0.919377652050919,TRUE,TRUE,0,1.56624319419238,TRUE,TRUE,235.666666666667,TRUE,0,TRUE,FALSE,TRUE,TRUE,157.111111111111,FALSE,FALSE,FALSE,TRUE,11.312,11.312,97.5172413793103,58,25,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"9",10972,"6dd3fb87-d034-41f9-99ac-074b1a4a88e3","daura","katsina","northwest","13.01811311 8.35609891 499.20001220703125 5.0","Gara pri sch","primary_only","katsina_daura",152,"1347010391575.jpg","6dd3fb87-d034-41f9-99ac-074b1a4a88e3","primary_only","1347010391575.jpg",8,"formal_educ",FALSE,FALSE,0,2,NA,NA,TRUE,TRUE,0,1.20417633410673,TRUE,TRUE,95,FALSE,2,FALSE,FALSE,TRUE,FALSE,237.5,TRUE,FALSE,TRUE,TRUE,Inf,475,118.75,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",10973,"16aef1d6-12f9-44b3-97ff-edf197100840","daura","katsina","northwest","13.0308513 8.32143791 493.20001220703125 5.0","SUCCESS DAYCARE NUR/PRI.","preprimary_and_primary","katsina_daura",152,"1347036821748.jpg","16aef1d6-12f9-44b3-97ff-edf197100840","preprimary_and_primary","1347036821748.jpg",14,"formal_educ",TRUE,FALSE,0,6,42,0.141891891891892,TRUE,TRUE,0,1.24242424242424,TRUE,FALSE,98.6666666666667,TRUE,0,FALSE,FALSE,TRUE,FALSE,22.7692307692308,FALSE,FALSE,FALSE,FALSE,2.27692307692308,2.27692307692308,21.1428571428571,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
