"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"32091",32091,"253c47a4-b994-4973-af89-39a12d221e52","253c47a4-b994-4973-af89-39a12d221e52","Faskari","Katsina","Northwest",223,"11.67722761631012 7.0267921686172485 641.0 4.0","1336035671462.jpg","katsina_faskari","1336035671462.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Unguwar nuhu","Sabon layin galadlma","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"32092",32092,"9edeff63-7f1d-45c2-af23-a37e901e63f1","9edeff63-7f1d-45c2-af23-a37e901e63f1","Faskari","Katsina","Northwest",223,"11.56092922 7.11233932 664.0 5.0","1336307191996.jpg","katsina_faskari","1336307191996.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Kadisau","Maigora","No","Manual","No","Dry Well","No","Stand Alone Water Point"
"32093",32093,"7d1dab86-b68d-4682-937b-d1ad892211b5","7d1dab86-b68d-4682-937b-d1ad892211b5","Faskari","Katsina","Northwest",223,"11.55557819 7.02410152 687.2000122070313 5.0","1336295303820.jpg","katsina_faskari","1336295303820.jpg","Tap",NA,"borehole_tube_well","water_source","Maigora","Maigora","Yes","Solar","No","Mechanical Issue","No","Stand Alone Water Point"
"32094",32094,"8608d74a-ccea-4da2-adf1-25be098256eb","8608d74a-ccea-4da2-adf1-25be098256eb","Faskari","Katsina","Northwest",223,"11.71297214 7.17290828 680.9000244140625 5.0","1336151083694.jpg","katsina_faskari","1336151083694.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Kwakware A","Ruwan Godiya","No","Manual","No","Dry Well","No","Stand Alone Water Point"
"32095",32095,"043043eb-8b64-4c06-b47f-23828c93dcbb","043043eb-8b64-4c06-b47f-23828c93dcbb","Faskari","Katsina","Northwest",223,"11.72248032 7.02648196 660.0999755859375 5.0","1336477751226.jpg","katsina_faskari","1336477751226.jpg","Borehole",NA,"borehole_tube_well","water_source","Faskari","Faskari","Yes","Hand Pump","No","Under Construction","No","Stand Alone Water Point"
"32096",32096,"442445ec-0cda-45b9-95bc-4ee77f00c05f","442445ec-0cda-45b9-95bc-4ee77f00c05f","Faskari","Katsina","Northwest",223,"11.6490259 7.19859294 674.0 5.0","1336233673682.jpg","katsina_faskari","1336233673682.jpg","Tap",NA,"borehole_tube_well","water_source","Kanon haki","Daudawa","Yes","Solar","No","Mechanical Issue","No","Stand Alone Water Point"
"32097",32097,"17a85d3a-0e82-4c2f-9d05-6a21ed0148a4","17a85d3a-0e82-4c2f-9d05-6a21ed0148a4","Faskari","Katsina","Northwest",223,"11.580179929733276 6.972246766090393 687.0 4.0","1335958286601.jpg","katsina_faskari","1335958286601.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","umUnguwan Doka","Sabon layi","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"32098",32098,"e07c4f33-d980-4410-aeb5-b9eb2002760f","e07c4f33-d980-4410-aeb5-b9eb2002760f","Faskari","Katsina","Northwest",223,"11.79600066 6.95384844 604.4000244140625 5.0","1336501818312.jpg","katsina_faskari","1336501818312.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Unguwar mai wasa","Faskari","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"32099",32099,"3dba837c-c3b3-41f9-9c05-3aa175b6d751","3dba837c-c3b3-41f9-9c05-3aa175b6d751","Faskari","Katsina","Northwest",223,"11.84516258 7.26620631 573.5 5.0","1336326035539.jpg","katsina_faskari","1336326035539.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Mununu","Yar malamai","No",NA,"No","Dry Well","No","Stand Alone Water Point"
"32100",32100,"3a3321fc-f5be-46a0-84ba-526029191b79","3a3321fc-f5be-46a0-84ba-526029191b79","Faskari","Katsina","Northwest",223,"11.72272189 7.0355089 638.2999877929688 5.0","1336473592679.jpg","katsina_faskari","1336473592679.jpg","Borehole",NA,"borehole_tube_well","water_source","Faskari","Faskari","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
