antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,892.4487239,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,DunduH/C,,healthpostdispensary,False,,False,,1347100466501.jpg,12.72418158 8.03010459 563.7999877929688 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Ingawa,349,349,349.0,False,False,False,False,False,False,False,False,False,False,FALSE,ingawa,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347100466501.jpg,169753,190.210367782,,False,False,health,False,TRUE,Katsina,,,Others,FALSE,katsina_ingawa,False,350d2ee3-4174-416e-8688-3a3664d33561,,,350d2ee3-4174-416e-8688-3a3664d33561,Northwest
False,892.4487239,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,0.00129390014695,0.142292933832,False,True,False,,,False,,,Dispensary,,healthpostdispensary,False,,False,,1347105131807.jpg,12.67138636 8.14430412 546.2999877929688 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Ingawa,349,349,658.0,False,False,False,False,False,False,False,False,False,False,FALSE,ingawa,katsina,northwest,0,0,0.0,0.0,0.0,0.0,False,public,,False,1347105131807.jpg,169753,190.210367782,True,False,False,health,False,FALSE,Katsina,,,Others,FALSE,katsina_ingawa,False,6affa84c-e1ac-43c8-9099-3f24065f21a7,,,6affa84c-e1ac-43c8-9099-3f24065f21a7,Northwest
False,892.4487239,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,,True,M.c.h.c ladan,FALSE,primaryhealthclinic,False,,False,,1347190283432.jpg,12.596725 8.17266936 520.5999755859375 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Ingawa,349,349,349.0,False,True,False,True,False,False,False,False,False,False,FALSE,ingawa,katsina,northwest,3,3,0.0,0.0,0.0,0.0,False,public,,False,1347190283432.jpg,169753,190.210367782,True,False,False,health,False,TRUE,Katsina,,True,Others,FALSE,katsina_ingawa,False,40f91db6-7dce-4323-ad09-d7dd6d0abb87,,,40f91db6-7dce-4323-ad09-d7dd6d0abb87,Northwest
False,892.4487239,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,False,True,M.C.H.C,FALSE,maternity,False,,False,,1347283197347.jpg,12.78735501 8.13267074 540.2000122070313 5.0,False,False,FALSE,False,True,True,False,TRUE,,True,False,False,False,False,False,False,Ingawa,349,349,349.0,False,True,True,True,False,False,False,False,False,False,FALSE,ingawa,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,True,1347283197347.jpg,169753,190.210367782,True,False,False,health,False,TRUE,Katsina,,True,Others,FALSE,katsina_ingawa,False,7caf0499-8492-4a5a-9018-d955f4ffbc25,False,False,7caf0499-8492-4a5a-9018-d955f4ffbc25,Northwest
False,892.4487239,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,True,M.c.h.c.ruruma,,primaryhealthcarecentre,False,True,False,True,1347183359565.jpg,12.60468252 8.220445 505.70001220703125 5.0,False,False,FALSE,False,False,False,False,FALSE,True,True,False,False,False,True,False,False,Ingawa,349,349,349.0,False,True,True,False,False,False,False,False,False,False,FALSE,ingawa,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347183359565.jpg,169753,190.210367782,,False,False,health,False,TRUE,Katsina,True,True,Others,FALSE,katsina_ingawa,False,e712f7a3-0eb4-4ca9-ae61-9d6ba4e7d80b,,,e712f7a3-0eb4-4ca9-ae61-9d6ba4e7d80b,Northwest
False,892.4487239,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.0111402291431,1.22494929507,False,True,False,,,False,,True,Damtsi H/C,,healthpostdispensary,False,,False,,1347095814058.jpg,12.73819969 7.98205364 540.5999755859375 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Ingawa,349,349,487.0,False,False,False,False,False,False,False,False,False,False,FALSE,ingawa,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347095814058.jpg,169753,190.210367782,,False,False,health,False,TRUE,Katsina,,,Others,FALSE,katsina_ingawa,False,f6727a17-8aa7-49cc-ae33-ac6b5d22b643,,,f6727a17-8aa7-49cc-ae33-ac6b5d22b643,Northwest
False,892.4487239,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,,True,Kurfeji MCHC,,primaryhealthcarecentre,False,,False,,1347013688052.jpg,12.69364332 7.98905428 540.0 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,True,False,False,False,Ingawa,349,349,349.0,False,True,True,False,False,False,False,False,False,False,FALSE,ingawa,katsina,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,True,1347013688052.jpg,169753,190.210367782,True,False,False,health,False,TRUE,Katsina,,True,Others,FALSE,katsina_ingawa,False,9336e709-a2b4-42f8-ba74-a98d2e7b5b55,,,9336e709-a2b4-42f8-ba74-a98d2e7b5b55,Northwest
False,892.4487239,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Santar Nakyalle H/C,,healthpostdispensary,False,,False,,1347017107699.jpg,12.70946974 7.96866752 539.7999877929688 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Ingawa,349,349,349.0,False,True,True,False,False,False,False,False,False,False,FALSE,ingawa,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1347017107699.jpg,169753,190.210367782,True,False,False,health,False,TRUE,Katsina,,,Others,FALSE,katsina_ingawa,False,aa92a4b3-a5f5-4b1c-a723-8beb62cf4a27,,,aa92a4b3-a5f5-4b1c-a723-8beb62cf4a27,Northwest
False,892.4487239,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Yallawal health centre,,healthpostdispensary,False,,False,,1347096378949.jpg,12.66217986 8.02432238 527.7999877929688 5.0,False,False,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Ingawa,349,349,349.0,False,True,False,False,False,False,False,False,False,False,FALSE,ingawa,katsina,northwest,1,1,0.0,0.0,1.0,0.0,False,public,,False,1347096378949.jpg,169753,190.210367782,,False,False,health,False,TRUE,Katsina,,True,Others,FALSE,katsina_ingawa,False,23df8d26-c086-4686-b514-6f8fd44d4c94,,,23df8d26-c086-4686-b514-6f8fd44d4c94,Northwest
False,892.4487239,False,False,False,False,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Tsamchini Health clinic,,healthpostdispensary,False,,False,,1347100398799.jpg,12.70116252 8.05774219 532.9000244140625 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Ingawa,349,349,349.0,False,True,False,False,False,False,False,False,False,False,FALSE,ingawa,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347100398799.jpg,169753,190.210367782,True,False,False,health,False,TRUE,Katsina,,True,Others,FALSE,katsina_ingawa,False,aebda501-af0d-48c7-bf73-8f62246ebad2,,,aebda501-af0d-48c7-bf73-8f62246ebad2,Northwest
