access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,1037.127793,True,FALSE,False,,,,formal_educ,Bihayyu Primary School Bihayyu,primary_only,1345807741320.jpg,,False,,13.05481467 7.38779413 500.29998779296875 5.0,False,False,primary_only,Jibia,388,388,388.0,2.5,True,jibia,katsina,northwest,TRUE,0.0,0.0,3.0,210.0,2.0,2.0,,0.0,580.0,public,False,1345807741320.jpg,169748,163.671247792,,False,TRUE,FALSE,7,70,7,105,,False,True,Bihayyu Primary School Bihayyu,education,Katsina,0.0,Others,False,False,FALSE,Inf,2.76190476190476,FALSE,,katsina_jibia,4171e2e2-055d-454f-93fb-6ac5f567939d,False,4171e2e2-055d-454f-93fb-6ac5f567939d,Northwest
False,True,1037.127793,True,TRUE,True,,,,formal_educ,Agangaro pri sch,primary_only,1345806706158.jpg,True,True,TRUE,13.15513197 7.53168091 480.3999938964844 5.0,False,False,primary_only,Jibia,388,388,388.0,0.915730337078652,False,jibia,katsina,northwest,TRUE,0.0,0.0,2.0,341.0,0.0,2.0,,0.0,375.0,public,False,1345806706158.jpg,169748,163.671247792,,False,FALSE,FALSE,17.05,170.5,17.05,170.5,68.2,False,False,Agangaro pri sch,education,Katsina,0.0,Others,False,False,TRUE,2,1.09970674486804,FALSE,,katsina_jibia,7bd9c4cc-d916-4f95-b6cb-98c16a4ad3c4,True,7bd9c4cc-d916-4f95-b6cb-98c16a4ad3c4,Northwest
False,True,1037.127793,False,TRUE,False,,,,formal_educ,Dan Masani,primary_only,1345805983744.jpg,,False,,13.09573402 7.30799139 421.29998779296875 5.0,False,False,primary_only,Jibia,388,388,388.0,0.851851851851852,True,jibia,katsina,northwest,TRUE,0.0,0.0,3.0,500.0,0.0,3.0,,1.0,440.0,public,False,1345805983744.jpg,169748,163.671247792,,False,FALSE,FALSE,17.2413793103448,166.666666666667,166.666666666667,166.666666666667,,False,False,Dan Masani,education,Katsina,0.0,Others,False,False,FALSE,Inf,0.88,FALSE,,katsina_jibia,47b1e1ea-8af0-47df-9571-457e396cce2a,False,47b1e1ea-8af0-47df-9571-457e396cce2a,Northwest
False,True,1037.127793,False,FALSE,False,,,,formal_educ,Yangayya Primary School Yangayy,primary_only,1345798643993.jpg,,False,FALSE,13.00909735 7.3583909 468.1000061035156 5.0,False,False,primary_only,Jibia,388,388,388.0,1.56382978723404,True,jibia,katsina,northwest,TRUE,3.0,,6.0,482.0,1.0,2.0,,0.0,750.0,public,False,1345798643993.jpg,169748,163.671247792,,False,TRUE,FALSE,10.7111111111111,80.3333333333333,10.7111111111111,241,120.5,False,True,Yangayya Primary School Yangayy,education,Katsina,0.0,Others,False,False,FALSE,Inf,1.55601659751037,FALSE,,katsina_jibia,d4fdd1e1-15fd-4893-b139-b80bdd6beaba,False,d4fdd1e1-15fd-4893-b139-b80bdd6beaba,Northwest
False,False,1037.127793,False,FALSE,False,,,,formal_educ,Nasarawa primary school,primary_only,1346066376500.jpg,,False,TRUE,12.99209522 7.50446991 504.0 5.0,False,False,primary_only,Jibia,388,388,388.0,1.28985507246377,True,jibia,katsina,northwest,TRUE,0.0,2.0,5.0,158.0,1.0,4.0,,3.0,394.0,public,False,1346066376500.jpg,169748,163.671247792,,False,FALSE,FALSE,Inf,31.6,Inf,39.5,39.5,False,False,Nasarawa primary school,education,Katsina,0.0,Others,False,False,FALSE,Inf,2.49367088607595,FALSE,,katsina_jibia,9ee9a155-8745-4d2a-831c-33e60cacf454,False,9ee9a155-8745-4d2a-831c-33e60cacf454,Northwest
False,False,1037.127793,True,FALSE,False,,,,formal_educ,Jaja Primary School,primary_only,1346073246080.jpg,,False,,13.0008097 7.42033779 488.79998779296875 5.0,False,False,primary_only,Jibia,388,388,388.0,2,False,jibia,katsina,northwest,TRUE,0.0,,3.0,381.0,0.0,3.0,,0.0,,public,False,1346073246080.jpg,169748,163.671247792,,False,FALSE,FALSE,7.47058823529412,127,7.47058823529412,127,,False,True,Jaja Primary School,education,Katsina,0.0,Others,False,False,FALSE,Inf,,FALSE,,katsina_jibia,ebfd4b57-0074-42d6-b5bd-3b9ca724196d,False,ebfd4b57-0074-42d6-b5bd-3b9ca724196d,Northwest
False,False,1037.127793,True,FALSE,True,0.0250725887925,2.75504611395,,formal_educ,Gandu Primary School,primary_only,1345894555450.jpg,True,False,FALSE,13.08078921 7.52650531 510.29998779296875 5.0,False,False,primary_only,Jibia,388,388,402.0,2.35,True,jibia,katsina,northwest,TRUE,0.0,0.0,4.0,469.0,0.0,3.0,,0.0,185.0,public,False,1345894555450.jpg,169748,163.671247792,,False,TRUE,TRUE,15.1290322580645,117.25,15.1290322580645,156.333333333333,156.333333333333,False,True,Gandu Primary School,education,Katsina,0.0,Others,True,False,TRUE,Inf,0.394456289978678,FALSE,,katsina_jibia,121547c9-edaf-4b09-9f9d-4953afd38021,False,121547c9-edaf-4b09-9f9d-4953afd38021,Northwest
False,True,1037.127793,True,FALSE,False,,,,formal_educ,Govt Junior Sec Sch ,juniors_sec_only,1346057416150.jpg,False,False,TRUE,13.08439337 7.22424304 440.8999938964844 5.0,False,False,juniors_sec_only,Jibia,388,388,388.0,0.681121099947118,False,jibia,katsina,northwest,TRUE,,,28.0,3179.0,5.0,17.0,,14.0,858.0,public,False,1346057416150.jpg,169748,163.671247792,,False,FALSE,FALSE,20.5096774193548,113.535714285714,20.5096774193548,187,105.966666666667,False,False,Govt Junior Sec Sch ,education,Katsina,0.0,Others,False,False,TRUE,Inf,0.269896193771626,FALSE,,katsina_jibia,a1dd419a-36f9-4d0a-a8f5-2ceb3910c358,False,a1dd419a-36f9-4d0a-a8f5-2ceb3910c358,Northwest
False,True,1037.127793,False,TRUE,False,,,,formal_educ,Garin gado primary school,primary_only,1345803412059.jpg,,False,FALSE,13.00935843 7.20122636 463.29998779296875 5.0,False,False,primary_only,Jibia,388,388,388.0,1.8389662027833,False,jibia,katsina,northwest,FALSE,2.0,0.0,4.0,1428.0,0.0,4.0,,2.0,443.0,public,False,1345803412059.jpg,169748,163.671247792,,False,TRUE,FALSE,68,357,68,357,714,False,True,Garin gado primary school,education,Katsina,103.0,Others,False,False,FALSE,Inf,0.310224089635854,FALSE,,katsina_jibia,b5bfedd9-fc3a-44b9-b1a6-90be11c98828,False,b5bfedd9-fc3a-44b9-b1a6-90be11c98828,Northwest
False,False,1037.127793,False,TRUE,True,,,,formal_educ,LGEA primary school,primary_only,1345809394481.jpg,,False,FALSE,12.83146113 7.07475415 527.4000244140625 5.0,False,False,primary_only,Jibia,388,388,388.0,1.47027027027027,True,jibia,katsina,northwest,FALSE,2.0,2.0,2.0,914.0,0.0,4.0,,1.0,335.0,public,False,1345809394481.jpg,169748,163.671247792,,False,FALSE,FALSE,91.4,457,91.4,228.5,457,False,False,LGEA primary school,education,Katsina,10.0,Others,False,False,FALSE,Inf,0.366520787746171,FALSE,,katsina_jibia,262832d9-5f81-45d2-80f5-a2ff8c842be4,False,262832d9-5f81-45d2-80f5-a2ff8c842be4,Northwest
