"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"58767",58767,"bd16d835-c306-47e1-b5cc-60fa67697214","bd16d835-c306-47e1-b5cc-60fa67697214","Kafur","Katsina","Northwest",398,"11.477306485176086 7.568947076797485 659.0 4.0","1336041894319.jpg","katsina_kafur","1336041894319.jpg","Tap",NA,NA,"outlet","UNGUWAR MATO","Gozaki","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"58768",58768,"f6d06222-1583-452e-a9dd-81138d5d2e52","f6d06222-1583-452e-a9dd-81138d5d2e52","Kafur","Katsina","Northwest",398,"11.699323654174805 7.876408696174622 568.0 3.0","1335872479339.jpg","katsina_kafur","1335872479339.jpg","Don't Know",NA,NA,"dk","Jamaa rawayya","Mahuta","No",NA,"Yes","Functional","No",NA
"58769",58769,"b301a8d1-8d01-408c-b391-ca871a0d7eb0","b301a8d1-8d01-408c-b391-ca871a0d7eb0","Kafur","Katsina","Northwest",398,"11.546990275382996 7.671278715133667 618.0 4.0","1336055772829.jpg","katsina_kafur","1336055772829.jpg","Tap",NA,NA,"outlet","sabuwar kasa","sabuwar kasa","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 1km"
"58770",58770,"50ade24b-46b8-483c-9b9d-bccebb05d4c9","50ade24b-46b8-483c-9b9d-bccebb05d4c9","Kafur","Katsina","Northwest",398,"11.784049272537231 7.703009247779846 632.0 4.0","1336218072394.jpg","katsina_kafur","1336218072394.jpg","Don't Know",NA,NA,"dk","Kurmi Dan ranko","Rigoji","No",NA,"Yes","Functional","No",NA
"58771",58771,"ea0bcb3b-2ea6-49b9-a02d-7bfac8b12547","ea0bcb3b-2ea6-49b9-a02d-7bfac8b12547","Kafur","Katsina","Northwest",398,"11.45914224 7.64314691 656.0999755859375 5.0","1336047786765.jpg","katsina_kafur","1336047786765.jpg","Tap",NA,NA,"outlet","Gozaki","Gozaki","Yes","Tap (unknown lift)","No","Poorly Constructed","No","Water Scheme, Source within 100m"
"58772",58772,"e0025ad4-c7bc-4a30-bd19-18cd979040eb","e0025ad4-c7bc-4a30-bd19-18cd979040eb","Kafur","Katsina","Northwest",398,"11.647787690162659 7.601487636566162 621.0 4.0","1336124862145.jpg","katsina_kafur","1336124862145.jpg","Tap",NA,NA,"outlet","yari bori","yari bori","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 1km"
"58773",58773,"df76cebc-8789-4001-8c7b-3b0a825fac92","df76cebc-8789-4001-8c7b-3b0a825fac92","Kafur","Katsina","Northwest",398,"11.64090111 7.68404799 628.0999755859375 5.0","1336205902727.jpg","katsina_kafur","1336205902727.jpg","Tap",NA,NA,"outlet","Masari","Masari","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"58774",58774,"f3509d90-f64e-4b58-ae99-d77895e12c6a","f3509d90-f64e-4b58-ae99-d77895e12c6a","Kafur","Katsina","Northwest",398,"11.576151251792908 7.689625024795532 607.0 4.0","1336045665540.jpg","katsina_kafur","1336045665540.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","danrimi","sabuwar kasa","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"58775",58775,"9ff2b66f-c971-473c-bb16-162159391910","9ff2b66f-c971-473c-bb16-162159391910","Kafur","Katsina","Northwest",398,"11.830156445503235 7.79703676700592 599.0 4.0","1336130582204.jpg","katsina_kafur","1336130582204.jpg","Don't Know",NA,NA,"dk","Uguwar Gari","Gamzago","No",NA,"Yes","Functional","No",NA
"58776",58776,"906655ce-ed88-4df2-99dd-8bdb01e659c5","906655ce-ed88-4df2-99dd-8bdb01e659c5","Kafur","Katsina","Northwest",398,"11.473090052604675 7.647299766540527 656.0 4.0","1336037632927.jpg","katsina_kafur","1336037632927.jpg","Don't Know",NA,NA,"dk","Kanya","Marabar kanya","No",NA,"Yes","Functional","No",NA
"58777",58777,"b3d14442-a53c-489e-b107-38f84ed64be9","b3d14442-a53c-489e-b107-38f84ed64be9","Kafur","Katsina","Northwest",398,"11.6528712 7.68951302 611.2999877929688 5.0","1336204857468.jpg","katsina_kafur","1336204857468.jpg","Tap",NA,NA,"outlet","Kafur","Kafur","Yes","Tap (unknown lift)","No","Under Construction","No","Water Scheme, Source within 100m"
"58778",58778,"89979d9d-8706-4a13-9b25-60aa5b1695cc","89979d9d-8706-4a13-9b25-60aa5b1695cc","Kafur","Katsina","Northwest",398,"11.752576231956482 7.856501340866089 569.0 2.0","1335964693486.jpg","katsina_kafur","1335964693486.jpg","Tap",NA,NA,"outlet","unguwar geego","dantuture","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 1km"
"58779",58779,"18fbb0ad-a36a-4d0b-9b3e-34b19fba182f","18fbb0ad-a36a-4d0b-9b3e-34b19fba182f","Kafur","Katsina","Northwest",398,"11.45054579 7.57833568 657.7000122070313 5.0","1336042597346.jpg","katsina_kafur","1336042597346.jpg","Tap",NA,NA,"outlet","Ung. Maina","Gozaki","Yes","Tap (unknown lift)","Yes","Functional","No",NA
"58780",58780,"861d9725-8c37-4d93-9ae7-0ad84dfb2b5f","861d9725-8c37-4d93-9ae7-0ad84dfb2b5f","Kafur","Katsina","Northwest",398,"11.576703786849976 7.691792249679565 606.0 4.0","1336045281573.jpg","katsina_kafur","1336045281573.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","danrimi","sabuwar kasa","No","Manual","Yes","Functional","No","Stand Alone Water Point"
