antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,925.0114838,False,False,False,False,False,False,False,False,False,False,False,False,False,False,yes,True,,,,False,False,False,False,False,False,,Clinic,yes,primaryhealthclinic,False,False,False,True,1301137544384.jpg,13.141086101531982 7.688477039337158 485.0 4.0,True,True,yes,False,True,True,True,yes,False,False,False,False,False,False,False,False,Kaita,402,402,402.0,False,False,False,True,True,True,False,False,False,False,,KAITA,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,,False,False,1301137544384.jpg,184401,199.349957519,True,False,False,health,False,yes,Katsina,False,False,113,yes,katsina_kaita,False,c28af063ed43524298e3f3231377a352,,True,5108,Northwest
False,925.0114838,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,,,,False,False,,Clinic,no,primaryhealthclinic,False,False,False,False,1301310789881.jpg,13.161540627479553 7.653120160102844 470.0 4.0,False,False,no,False,True,True,False,no,,,False,False,False,False,False,False,Kaita,402,402,402.0,False,,,False,False,False,False,False,False,False,,KAITA,katsina,northwest,1,0,0.0,0.0,0.0,0.0,False,,False,False,1301310789881.jpg,184401,199.349957519,True,False,,health,False,no,Katsina,False,False,113,no,katsina_kaita,False,6c8a7a12b3f611d8bde2d2376298318b,,False,5124,Northwest
False,925.0114838,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,,,,True,False,False,Nasarawa,no,primaryhealthclinic,False,False,False,False,1301326102755.jpg,13.212609887123108 7.867063879966736 471.0 3.0,False,True,no,False,False,False,False,yes,,,False,False,False,False,False,False,Kaita,402,402,402.0,False,True,False,False,False,True,False,False,False,False,,KAITA,katsina,northwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1301326102755.jpg,184401,199.349957519,False,False,True,health,False,yes,Katsina,False,False,113,no,katsina_kaita,False,65c265f4824248c2f63acfde02e30170,,False,5303,Northwest
False,925.0114838,False,False,False,False,False,False,False,False,False,False,False,False,,,no,True,,,,False,False,False,False,False,False,,Health Clinic,yes,primaryhealthclinic,False,False,False,False,1301317958201.jpg,13.22453498840332 7.646666765213013 486.0 4.0,False,True,no,False,True,True,False,no,False,False,False,False,False,False,False,False,Kaita,402,402,402.0,False,,,True,True,False,False,False,False,False,,KAITA,katsina,northwest,1,0,0.0,0.0,0.0,0.0,False,public,False,True,1301317958201.jpg,184401,199.349957519,True,True,False,health,False,yes,Katsina,False,,113,no,katsina_kaita,False,baff5ddaead90d8908a3debfbcab9743,,False,5134,Northwest
False,925.0114838,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,Baawa Health Clinic,no,primaryhealthclinic,False,False,False,False,1301313071151.jpg,13.187128901481628 7.888339161872864 493.0 4.0,False,True,no,False,True,True,True,yes,,,False,False,False,False,False,False,Kaita,402,402,402.0,False,False,True,False,False,True,True,False,False,False,,KAITA,katsina,northwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1301313071151.jpg,184401,199.349957519,True,False,True,health,False,yes,Katsina,False,True,113,no,katsina_kaita,False,ed04d1676ba02f53411397da6139a286,,False,5292,Northwest
False,925.0114838,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,Daurawa Health Clinic,no,primaryhealthclinic,False,False,False,True,1301309623164.jpg,13.190953731536865 7.864488959312439 492.0 3.0,False,True,no,False,True,True,False,no,,True,False,False,False,False,False,False,Kaita,402,402,402.0,False,True,True,False,False,True,True,True,True,True,,KAITA,katsina,northwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1301309623164.jpg,184401,199.349957519,False,False,True,health,False,yes,Katsina,False,True,113,no,katsina_kaita,False,7dd466d15a7d3198aca234b540f1a31d,,True,4976,Northwest
False,925.0114838,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,Sawarya health clinic,no,primaryhealthcarecentre,False,False,False,False,1301308387787.jpg,13.261613845825195 7.766019701957703 438.0 4.0,True,False,no,False,True,True,True,yes,,True,False,False,False,False,False,False,Kaita,402,402,402.0,False,True,True,False,False,True,True,True,True,True,,KAITA,katsina,northwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1301308387787.jpg,184401,199.349957519,False,False,True,health,False,yes,Katsina,False,True,113,no,katsina_kaita,False,de95df94ab85409e50a636622296a07b,,True,5278,Northwest
False,925.0114838,False,False,False,True,True,True,True,True,True,True,True,True,,,no,True,,,True,True,,,,True,True,True,Dankama primary health centre,yes,primaryhealthcarecentre,False,True,False,True,1301320977058.jpg,13.307098746299744 7.797342538833618 453.0 4.0,True,False,no,False,True,True,True,yes,,True,True,True,True,True,True,True,Kaita,402,402,402.0,True,True,False,False,False,True,True,True,True,True,yes,KAITA,katsina,northwest,21,20,0.0,1.0,0.0,0.0,True,,False,True,1301320977058.jpg,184401,199.349957519,True,False,True,health,False,yes,Katsina,False,False,113,yes,katsina_kaita,True,f9858dbf2a628a6871df7acfd32ce12e,True,True,5286,Northwest
False,925.0114838,True,True,True,False,False,False,,False,False,False,False,False,,,no,True,0.00179534365592,0.197284308622,True,True,,,,True,True,False,Dutsin safe MDGs Clinic,yes,primaryhealthcarecentre,False,True,False,True,1300362494244.jpg,13.07122528553009 7.616491913795471 515.0 3.0,True,True,no,,True,True,True,yes,,True,False,False,False,False,False,False,Kaita,402,402,419.0,False,True,True,False,False,True,True,True,True,True,,KAITA,katsina,northwest,3,3,1.0,0.0,0.0,0.0,True,public,False,True,1300362494244.jpg,184401,199.349957519,True,True,True,health,True,yes,Katsina,False,True,113,yes,katsina_kaita,True,f1f3d4e958981e0ef16ee4e2cf777a6b,,False,4869,Northwest
False,925.0114838,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,Zabakau Health Clinic,no,primaryhealthclinic,False,False,False,False,1301043834264.jpg,13.116533160209656 7.829411029815674 459.0 4.0,False,True,no,False,False,False,False,yes,,,False,False,False,False,False,False,Kaita,402,402,402.0,False,True,True,False,False,True,True,True,True,False,,KAITA,katsina,northwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1301043834264.jpg,184401,199.349957519,True,False,True,health,False,yes,Katsina,False,False,113,no,katsina_kaita,False,7232eaa0c2709ec4704cce1edb7f0a4b,,True,5236,Northwest
