"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"7234",7234,"e90b5b86-ce87-4fed-a722-30dfcb108a3f","e90b5b86-ce87-4fed-a722-30dfcb108a3f","Arewa-Dandi","Kebbi","Northwest",60,"12.65624358 3.83455138 280.1000061035156 5.0","1293997267524.jpg","kebbi_arewa_dandi","1293997267524.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Shalwai","Falde Ward","No",NA,"No","Under Construction","No","Stand Alone Water Point"
"7235",7235,"ce25054e-a1bd-447d-8d89-df916d1aab1d","ce25054e-a1bd-447d-8d89-df916d1aab1d","Arewa-Dandi","Kebbi","Northwest",60,"12.60821815 4.04878253 241.8000030517578 5.0","1294261296500.jpg","kebbi_arewa_dandi","1294261296500.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Gubawa","Gorun Dikko","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"7236",7236,"9d97dbb8-a81d-4163-b51f-d3c15e8e98d9","9d97dbb8-a81d-4163-b51f-d3c15e8e98d9","Arewa-Dandi","Kebbi","Northwest",60,"12.824885845184326 4.163389205932617 248.0 4.0","1336382712130.jpg","kebbi_arewa_dandi","1336382712130.jpg","Overhead Tank (1,000)","one_thousand_overhead","unprotected_dug_well","water_source","Matankari","Yeldu","Yes","Diesel","Yes","Functional","Yes","Stand Alone Water Point"
"7237",7237,"fa37d06a-ffd7-4cfa-94e1-1785950a4d61","fa37d06a-ffd7-4cfa-94e1-1785950a4d61","Arewa-Dandi","Kebbi","Northwest",60,"12.596029043197632 3.8619571924209595 240.0 4.0","1336228382312.jpg","kebbi_arewa_dandi","1336228382312.jpg","Overhead Tank (1,000)","one_thousand_overhead","borehole_tube_well","water_source","Kuri-Baba","Feske/Jeffeji","Yes","Diesel","Yes","Functional","No","Stand Alone Water Point"
"7238",7238,"eb03a01f-beda-401e-b663-31ff8248bfba","eb03a01f-beda-401e-b663-31ff8248bfba","Arewa-Dandi","Kebbi","Northwest",60,"12.55831835 3.95023339 225.0 5.0","1294249528859.jpg","kebbi_arewa_dandi","1294249528859.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Unguwar Tuwo","Gorun Dikko","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"7239",7239,"d5aa174d-ab87-4898-a6ec-1dce7fe2d54a","d5aa174d-ab87-4898-a6ec-1dce7fe2d54a","Arewa-Dandi","Kebbi","Northwest",60,"12.371791005134583 3.7207603454589844 227.0 4.0","1336060516133.jpg","kebbi_arewa_dandi","1336060516133.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Gumundai","Gumundai","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"7240",7240,"2488d87e-c5dd-4478-889b-90e32fd9971d","2488d87e-c5dd-4478-889b-90e32fd9971d","Arewa-Dandi","Kebbi","Northwest",60,"12.9451185464859 4.234746694564819 277.0 4.0","1335979074454.jpg","kebbi_arewa_dandi","1335979074454.jpg","Unimproved","unimproved",NA,"dk","laima","laima","No",NA,"Yes","Functional","No",NA
"7241",7241,"a8918b9b-6545-4114-9c23-cbb7d2ac37b2","a8918b9b-6545-4114-9c23-cbb7d2ac37b2","Arewa-Dandi","Kebbi","Northwest",60,"12.840163707733154 4.296228289604187 233.0 8.0","1336209221454.jpg","kebbi_arewa_dandi","1336209221454.jpg","Tap","tap",NA,"outlet","Zagabu","Yeldu","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"7242",7242,"90cda1fd-1934-4525-b9ca-f57df50c7cc4","90cda1fd-1934-4525-b9ca-f57df50c7cc4","Arewa-Dandi","Kebbi","Northwest",60,"13.161900043487549 4.144484996795654 247.0 4.0","1335958336504.jpg","kebbi_arewa_dandi","1335958336504.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","bachaka","bachaka","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"7243",7243,"6b00dc21-2ea7-467a-850a-86151d338867","6b00dc21-2ea7-467a-850a-86151d338867","Arewa-Dandi","Kebbi","Northwest",60,"12.63189674 4.05738707 249.8000030517578 5.0","1294186383235.jpg","kebbi_arewa_dandi","1294186383235.jpg","Handpump","handpump","protected_dug_well","water_source","Hakimawa","Gorun Dikko","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
