"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"4457",4457,4457,"b2460c1f-e6fc-4274-84a6-b847746c154a","argungu","kebbi","northwest","12.68209821 4.49226932 239.8000030517578 5.0","Felande Model Primary School","primary_only","kebbi_argungu",61,"1336232494104.jpg","b2460c1f-e6fc-4274-84a6-b847746c154a","primary_only","1336232494104.jpg",17,"formal_educ",FALSE,TRUE,0,8,NA,NA,TRUE,FALSE,0,2.30872483221477,TRUE,FALSE,246.5,FALSE,2,TRUE,FALSE,TRUE,FALSE,70.4285714285714,FALSE,FALSE,FALSE,TRUE,70.4285714285714,7.58461538461538,29,Inf,12,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"4458",4458,4458,"f98c9b1e-ec11-4cac-9c62-5fc979472be6","argungu","kebbi","northwest","12.708359956741333 4.373867511749268 245.0 4.0","ZAZZAGAWA PRY SCHL","primary_only","kebbi_argungu",61,"1336034219545.jpg","f98c9b1e-ec11-4cac-9c62-5fc979472be6","primary_only","1336034219545.jpg",5,"formal_educ",FALSE,FALSE,3,2,NA,NA,TRUE,TRUE,0,5,TRUE,TRUE,5,FALSE,0,FALSE,FALSE,FALSE,FALSE,5,TRUE,FALSE,TRUE,FALSE,1.5,1.5,6,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"4459",4459,4459,"1b176394-237d-4d11-9487-ae0fc6c1abb2","argungu","kebbi","northwest","12.75291255 4.53270707 242.6999969482422 4.0","Kanta Unity College","junior_and_senior_sec","kebbi_argungu",61,"1336380271017.jpg","1b176394-237d-4d11-9487-ae0fc6c1abb2","junior_and_senior_sec","1336380271017.jpg",123,"formal_educ",FALSE,TRUE,0,60,2300,0.643356643356643,TRUE,FALSE,0,Inf,TRUE,FALSE,111.71875,TRUE,20,FALSE,TRUE,FALSE,FALSE,77.7173913043478,FALSE,FALSE,FALSE,FALSE,13.6450381679389,7.12151394422311,29.0650406504065,41,38,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"4460",4460,4460,"d100b89a-129e-4001-bd7d-1a3323cb3624","argungu","kebbi","northwest","12.73939847946167 4.535282850265503 249.0 4.0","ARgungu Emirate Model Primary School","primary_only","kebbi_argungu",61,"1336379831993.jpg","d100b89a-129e-4001-bd7d-1a3323cb3624","primary_only","1336379831993.jpg",34,"formal_educ",FALSE,TRUE,0,25,NA,NA,TRUE,TRUE,130,1.42105263157895,TRUE,TRUE,14.1538461538462,TRUE,2,TRUE,TRUE,FALSE,TRUE,10.8235294117647,FALSE,FALSE,FALSE,TRUE,0.416289592760181,0.416289592760181,5.41176470588235,6.8,6,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"education"
"4461",4461,4461,"0fcf629f-18dd-4235-8222-bf49da46b6f5","argungu","kebbi","northwest","12.75338888168335 4.533399939537048 237.0 4.0","pri  sch","primary_only","kebbi_argungu",61,"1336382704087.jpg","0fcf629f-18dd-4235-8222-bf49da46b6f5","primary_only","1336382704087.jpg",7,"formal_educ",FALSE,FALSE,1,6,NA,NA,TRUE,TRUE,30,1.66666666666667,TRUE,FALSE,40,FALSE,1,TRUE,FALSE,FALSE,TRUE,16,FALSE,FALSE,TRUE,FALSE,2.16216216216216,1.53846153846154,11.4285714285714,3.5,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"4462",4462,4462,"f78902b2-7b87-4f9a-b195-804aba012a10","argungu","kebbi","northwest","12.73933598 4.52979982 243.6999969482422 5.0","Model pri sch GTC Arg","preprimary_and_primary","kebbi_argungu",61,"1335976118658.jpg","f78902b2-7b87-4f9a-b195-804aba012a10","preprimary_and_primary","1335976118658.jpg",49,"formal_educ",TRUE,TRUE,0,42,1435,0.993079584775087,TRUE,FALSE,53,0.942204301075269,TRUE,TRUE,361.25,TRUE,10,TRUE,FALSE,TRUE,FALSE,103.214285714286,FALSE,FALSE,FALSE,FALSE,4.91496598639456,4.91496598639456,29.4897959183673,Inf,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"4463",4463,4463,"64d80879-c77f-41c4-b726-0a19019b0df9","argungu","kebbi","northwest","12.71023235 4.51728501 247.3000030517578 5.0","GOVT. GIRL‘S SCIENCE COLLEGE","junior_and_senior_sec","kebbi_argungu",61,"1336315246019.jpg","64d80879-c77f-41c4-b726-0a19019b0df9","junior_and_senior_sec","1336315246019.jpg",106,"formal_educ",NA,TRUE,0,72,1250,1.40134529147982,TRUE,NA,200,0,TRUE,FALSE,19.8222222222222,TRUE,16,TRUE,TRUE,FALSE,FALSE,24.7777777777778,FALSE,FALSE,FALSE,TRUE,0.892,0.892,8.41509433962264,Inf,8,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"4464",4464,4464,"66ffb5e6-f7f9-475e-ac71-1503f83072e9","argungu","kebbi","northwest","12.71593987941742 4.6359193325042725 279.0 4.0","wali primary school","primary_only","kebbi_argungu",61,"1335974633960.jpg","66ffb5e6-f7f9-475e-ac71-1503f83072e9","primary_only","1335974633960.jpg",6,"formal_educ",FALSE,TRUE,2,6,NA,NA,TRUE,TRUE,0,1.63157894736842,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,41.6666666666667,TRUE,FALSE,TRUE,FALSE,1.25,1.61290322580645,41.6666666666667,Inf,3,TRUE,NA,FALSE,FALSE,TRUE,FALSE,"education"
"4465",4465,4465,"ea8a10a0-ead4-479b-8d28-33644e2bca9c","argungu","kebbi","northwest","12.746613621711731 4.536484479904175 247.0 3.0","FADAMA SCHOOL FOR BASIC EDUCATION","preprimary_and_primary","kebbi_argungu",61,"1336385078008.jpg","ea8a10a0-ead4-479b-8d28-33644e2bca9c","preprimary_and_primary","1336385078008.jpg",16,"formal_educ",TRUE,FALSE,0,14,0,0,TRUE,FALSE,30,1.28691983122363,TRUE,TRUE,135.5,TRUE,0,FALSE,TRUE,FALSE,TRUE,38.7142857142857,FALSE,FALSE,FALSE,FALSE,14.2631578947368,1.93571428571429,33.875,16,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"4466",4466,4466,"7f20a91e-a27c-45f5-942d-75fd975dec5b","argungu","kebbi","northwest","12.63578474521637 4.454258680343628 243.0 4.0","TUNGARMARINA PRY SCHL.","primary_only","kebbi_argungu",61,"1336211791050.jpg","7f20a91e-a27c-45f5-942d-75fd975dec5b","primary_only","1336211791050.jpg",6,"formal_educ",FALSE,TRUE,0,3,NA,NA,TRUE,FALSE,0,2.57142857142857,TRUE,FALSE,Inf,FALSE,5,FALSE,FALSE,TRUE,FALSE,8.33333333333333,FALSE,FALSE,FALSE,FALSE,1.66666666666667,1.66666666666667,8.33333333333333,Inf,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
