access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,2248.811864,False,FALSE,False,,,,formal_educ,Amiru Primary School,primary_only,1343397808296.jpg,,False,,11.49352834 4.74860125 287.8999938964844 11.0,False,False,primary_only,Fakai,222,222,222.0,,False,fakai,kebbi,northwest,TRUE,1.0,0.0,3.0,,2.0,3.0,,2.0,980.0,public,False,1343397808296.jpg,121212,53.9004627023,,False,FALSE,FALSE,,,,,,False,True,Amiru Primary School,education,Kebbi,,Others,,,TRUE,Inf,,FALSE,,kebbi_fakai,a47883dc-15b2-4fe3-8f11-dead8e5c13eb,False,a47883dc-15b2-4fe3-8f11-dead8e5c13eb,Northwest
False,False,2248.811864,False,TRUE,False,,,,formal_educ,T Kawo P Sch,primary_only,1343398925903.jpg,,False,FALSE,11.457817554473877 5.012785792350769 274.0 6.0,False,False,primary_only,Fakai,222,222,222.0,1.4,False,fakai,kebbi,northwest,TRUE,1.0,2.0,6.0,120.0,1.0,1.0,,1.0,151.0,public,False,1343398925903.jpg,121212,53.9004627023,,False,FALSE,FALSE,8,20,4,120,Inf,False,False,T Kawo P Sch,education,Kebbi,0.0,Others,False,False,TRUE,0.5,1.25833333333333,FALSE,,kebbi_fakai,6f32070a-b163-46fb-b048-117c3f2ac20b,False,6f32070a-b163-46fb-b048-117c3f2ac20b,Northwest
False,False,2248.811864,False,TRUE,False,,,,formal_educ,GYAZAMA,primary_only,1343651109843.jpg,,False,,11.52135877 4.85034907 315.6000061035156 5.0,False,False,primary_only,Fakai,222,222,222.0,2.7741935483871,False,fakai,kebbi,northwest,TRUE,2.0,0.0,2.0,234.0,1.0,2.0,,1.0,880.0,public,False,1343651109843.jpg,121212,53.9004627023,,False,FALSE,FALSE,Inf,117,Inf,117,,False,True,GYAZAMA,education,Kebbi,0.0,Others,False,False,TRUE,Inf,3.76068376068376,FALSE,,kebbi_fakai,b5b1a3f1-86f2-4b67-aa9a-88f40b0d95f5,False,b5b1a3f1-86f2-4b67-aa9a-88f40b0d95f5,Northwest
False,False,2248.811864,False,FALSE,False,,,,formal_educ,xxx,primary_only,1343487044244.jpg,False,False,,11.554822325706482 4.839633107185364 316.0 4.0,False,False,primary_only,Fakai,222,222,222.0,4,False,fakai,kebbi,northwest,FALSE,1.0,1.0,4.0,60.0,1.0,2.0,,1.0,153.0,public,False,1343487044244.jpg,121212,53.9004627023,,False,FALSE,FALSE,2.5,15,2.5,30,,False,False,xxx,education,Kebbi,0.0,Others,False,False,FALSE,Inf,2.55,FALSE,,kebbi_fakai,1be3754b-a02a-409a-9463-472fab94909a,False,1be3754b-a02a-409a-9463-472fab94909a,Northwest
False,False,2248.811864,False,FALSE,False,,,,formal_educ,Awal primary school,primary_only,1343556752117.jpg,,False,,11.65932717 4.76908998 259.8999938964844 5.0,False,False,primary_only,Fakai,222,222,222.0,,False,fakai,kebbi,northwest,TRUE,0.0,,4.0,,2.0,2.0,,2.0,905.0,public,False,1343556752117.jpg,121212,53.9004627023,,False,FALSE,FALSE,,,,,,False,,Awal primary school,education,Kebbi,0.0,Others,,False,TRUE,Inf,,FALSE,,kebbi_fakai,35b1ebf8-90e6-41ce-83e2-cfc867bc8237,False,35b1ebf8-90e6-41ce-83e2-cfc867bc8237,Northwest
False,False,2248.811864,True,FALSE,False,,,,formal_educ,Sabongari P School,primary_only,1343488719473.jpg,,False,,11.555578708648682 4.8816633224487305 302.0 4.0,False,False,primary_only,Fakai,222,222,222.0,1.75,False,fakai,kebbi,northwest,FALSE,1.0,1.0,3.0,110.0,1.0,2.0,,0.0,167.0,public,False,1343488719473.jpg,121212,53.9004627023,,False,FALSE,FALSE,Inf,36.6666666666667,Inf,55,,False,False,Sabongari P School,education,Kebbi,0.0,Others,False,False,FALSE,Inf,1.51818181818182,FALSE,,kebbi_fakai,e1a044d6-c615-438c-869c-80d3bfcca8c6,False,e1a044d6-c615-438c-869c-80d3bfcca8c6,Northwest
False,False,2248.811864,False,TRUE,False,,,,formal_educ,Fakai Model primary school,preprimary_and_primary,1343471734161.jpg,True,False,,11.50917159 5.10560077 360.6000061035156 5.0,False,False,preprimary_and_primary,Fakai,222,222,222.0,0.906976744186046,True,fakai,kebbi,northwest,TRUE,0.0,2.0,7.0,246.0,4.0,24.0,,9.0,395.0,public,False,1343471734161.jpg,121212,53.9004627023,,False,FALSE,FALSE,30.75,35.1428571428571,4.92,10.25,,False,True,Fakai Model primary school,education,Kebbi,45.0,Others,False,False,FALSE,Inf,1.60569105691057,FALSE,,kebbi_fakai,571d0f65-a556-4919-899f-0aa170492198,False,571d0f65-a556-4919-899f-0aa170492198,Northwest
False,False,2248.811864,True,FALSE,False,,,,formal_educ,Rumfa Primary School,primary_only,1343394603983.jpg,,False,,11.5498612 4.70827568 243.89999389648438 5.0,False,False,primary_only,Fakai,222,222,222.0,,False,fakai,kebbi,northwest,TRUE,0.0,,3.0,,1.0,2.0,,1.0,885.0,public,False,1343394603983.jpg,121212,53.9004627023,,False,FALSE,FALSE,,,,,,False,True,Rumfa Primary School,education,Kebbi,0.0,Others,False,False,TRUE,Inf,,FALSE,,kebbi_fakai,c4dbf50e-575d-4249-8cee-808ca980b409,False,c4dbf50e-575d-4249-8cee-808ca980b409,Northwest
False,False,2248.811864,False,FALSE,False,,,,formal_educ,Rijiyar Kaza,primary_only,1343573411693.jpg,False,False,FALSE,11.595768928527832 4.971045255661011 315.0 4.0,False,False,primary_only,Fakai,222,222,222.0,5,True,fakai,kebbi,northwest,TRUE,2.0,2.0,4.0,150.0,2.0,3.0,,1.0,196.0,public,False,1343573411693.jpg,121212,53.9004627023,,False,FALSE,FALSE,15,37.5,10,50,75,False,True,Rijiyar Kaza,education,Kebbi,150.0,Others,False,False,FALSE,Inf,1.30666666666667,FALSE,,kebbi_fakai,b91eeeda-4038-4fe2-a87f-09dee7df62de,False,b91eeeda-4038-4fe2-a87f-09dee7df62de,Northwest
False,False,2248.811864,False,TRUE,False,,,,formal_educ,Tungan daji primary school,primary_only,1343642429463.jpg,,False,,11.53694976 4.94373901 295.3999938964844 5.0,False,False,primary_only,Fakai,222,222,222.0,,True,fakai,kebbi,northwest,FALSE,3.0,0.0,3.0,,0.0,3.0,,3.0,16.0,public,False,1343642429463.jpg,121212,53.9004627023,,False,FALSE,FALSE,,,,,,False,,Tungan daji primary school,education,Kebbi,,Others,False,False,FALSE,Inf,,FALSE,,kebbi_fakai,a8d77979-bf70-4205-b951-45ce4a0c544a,False,a8d77979-bf70-4205-b951-45ce4a0c544a,Northwest
False,True,2248.811864,False,FALSE,False,,,,formal_educ,Zangalli Pry Sch,primary_only,1343469277789.jpg,True,False,FALSE,11.54073326 5.01290007 304.6000061035156 5.0,False,False,primary_only,Fakai,222,222,222.0,0.839285714285714,True,fakai,kebbi,northwest,TRUE,0.0,2.0,6.0,103.0,2.0,8.0,,2.0,609.0,public,False,1343469277789.jpg,121212,53.9004627023,,False,FALSE,FALSE,1.53731343283582,17.1666666666667,1.53731343283582,12.875,51.5,False,True,Zangalli Pry Sch,education,Kebbi,67.0,Others,False,False,FALSE,Inf,5.9126213592233,FALSE,,kebbi_fakai,ee4a9332-ce07-428f-b2d3-a2b3bb8648e9,False,ee4a9332-ce07-428f-b2d3-a2b3bb8648e9,Northwest
False,False,2248.811864,True,FALSE,False,,,,formal_educ,Kukum  Junior Sec Sch,juniors_sec_only,1343555725141.jpg,True,False,FALSE,11.419204473495483 5.096529722213745 290.0 4.0,False,False,juniors_sec_only,Fakai,222,222,222.0,2.04347826086957,False,fakai,kebbi,northwest,TRUE,0.0,,3.0,70.0,3.0,6.0,,5.0,,public,False,1343555725141.jpg,121212,53.9004627023,,False,FALSE,FALSE,2,23.3333333333333,2,11.6666666666667,35,True,,Kukum  Junior Sec Sch,education,Kebbi,0.0,Others,False,False,FALSE,Inf,,FALSE,,kebbi_fakai,5efa3bfe-653e-464b-b7cb-1280efd1fe13,False,5efa3bfe-653e-464b-b7cb-1280efd1fe13,Northwest
False,False,2248.811864,False,FALSE,False,,,,formal_educ,T WADA BOKO PRY SCH,primary_only,1343399471790.jpg,,False,FALSE,11.457908749580383 5.01302182674408 278.0 3.0,False,False,primary_only,Fakai,222,222,222.0,3,False,fakai,kebbi,northwest,FALSE,0.0,,6.0,8.0,0.0,8.0,,3.0,214.0,public,False,1343399471790.jpg,121212,53.9004627023,,False,FALSE,FALSE,0.32,1.33333333333333,0.32,1,Inf,True,True,T WADA BOKO PRY SCH,education,Kebbi,2.0,Others,False,False,FALSE,Inf,26.75,FALSE,,kebbi_fakai,2e27a630-560c-4892-aa52-93668c3a6040,False,2e27a630-560c-4892-aa52-93668c3a6040,Northwest
