breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,handpump,Makatai,,,Stand Alone Water Point,1343581038217.jpg,Yes,10.38278312 4.71231904 188.1999969482422 5.0,True,Ngaski,527,527,527.0,Hand Pump,No,1343581038217.jpg,water,Kebbi,kebbi_ngaski,8dcdd1eb-21bf-4b36-ab08-2fa8a237d583,Gafara,Handpump,water_source,borehole_tube_well,8dcdd1eb-21bf-4b36-ab08-2fa8a237d583,Northwest
Poorly Constructed,handpump,KWAKWARA,,,,1343651603083.jpg,No,10.27922577 4.65110715 181.6999969482422 5.0,True,Ngaski,527,527,527.0,Hand Pump,Don't Know,1343651603083.jpg,water,Kebbi,kebbi_ngaski,09cc3bf3-7705-4455-9ef5-ed149a8e107c,SABO GERI DILLI,Handpump,dk,,09cc3bf3-7705-4455-9ef5-ed149a8e107c,Northwest
Functional,handpump,BIRNIN YAURI,,,Stand Alone Water Point,1343407518973.jpg,Yes,10.78589939 4.80677669 243.6999969482422 5.0,True,Ngaski,527,527,527.0,Hand Pump,No,1343407518973.jpg,water,Kebbi,kebbi_ngaski,7163441b-8bd5-49b1-b370-bc22af07af1e,BIRNIN YAURI,Handpump,water_source,borehole_tube_well,7163441b-8bd5-49b1-b370-bc22af07af1e,Northwest
Functional,handpump,Takakume,,,Stand Alone Water Point,1343654044525.jpg,Yes,10.34025086 4.67241497 177.39999389648438 5.0,True,Ngaski,527,527,527.0,Hand Pump,No,1343654044525.jpg,water,Kebbi,kebbi_ngaski,7349e271-acdc-498d-bdec-93e1088c1893,Gafara,Handpump,water_source,dam,7349e271-acdc-498d-bdec-93e1088c1893,Northwest
Functional,handpump,LIBATA,,,Stand Alone Water Point,1343660688182.jpg,Yes,10.1945856 4.62220836 195.0 5.0,True,Ngaski,527,527,527.0,Hand Pump,No,1343660688182.jpg,water,Kebbi,kebbi_ngaski,01f7ebf3-1ab9-4b2e-b382-ad2daf5733ac,LIBATA,Handpump,water_source,borehole_tube_well,01f7ebf3-1ab9-4b2e-b382-ad2daf5733ac,Northwest
Don't Know,one_thousand_overhead,KWAKWARA,,,,1343648686256.jpg,No,10.2934952 4.67357179 183.39999389648438 5.0,True,Ngaski,527,527,527.0,,Don't Know,1343648686256.jpg,water,Kebbi,kebbi_ngaski,cdcf170d-25dc-409f-b343-25c5eb640562,CUPMINI,"Overhead Tank (1,000)",dk,,cdcf170d-25dc-409f-b343-25c5eb640562,Northwest
Functional,handpump,Mamburo,,,Stand Alone Water Point,1343480889424.jpg,Yes,10.93914644 5.03105793 272.0 5.0,True,Ngaski,527,527,527.0,Hand Pump,No,1343480889424.jpg,water,Kebbi,kebbi_ngaski,6d579d26-adc8-4a8e-9559-69f908771d40,Kambuwa,Handpump,water_source,borehole_tube_well,6d579d26-adc8-4a8e-9559-69f908771d40,Northwest
Functional,handpump,Lopa,,,Stand Alone Water Point,1343570563846.jpg,Yes,10.48868729 4.63342004 175.39999389648438 5.0,True,Ngaski,527,527,527.0,Hand Pump,No,1343570563846.jpg,water,Kebbi,kebbi_ngaski,fb0fc7b1-8e08-49fe-8c44-f06f31176926,Gafara,Handpump,water_source,borehole_tube_well,fb0fc7b1-8e08-49fe-8c44-f06f31176926,Northwest
Functional,handpump,LIBATA,,,"Water Scheme, Source within 1km",1343662861031.jpg,Yes,10.19489384 4.62311899 192.0 5.0,True,Ngaski,527,527,527.0,Hand Pump,No,1343662861031.jpg,water,Kebbi,kebbi_ngaski,e335a159-fcf2-4b0a-8f63-8f10f6f59995,LIBATA,Handpump,outlet,,e335a159-fcf2-4b0a-8f63-8f10f6f59995,Northwest
Mechanical Issue,ten_thousand_overhead,LIBATA,,,Stand Alone Water Point,1343660264689.jpg,No,10.19560071 4.62113236 200.39999389648438 5.0,True,Ngaski,527,527,527.0,Diesel,No,1343660264689.jpg,water,Kebbi,kebbi_ngaski,04f9d211-abfe-44ef-b6cb-7bb5fe88985a,LIBATA,"Overhead Tank (10,000)",water_source,borehole_tube_well,04f9d211-abfe-44ef-b6cb-7bb5fe88985a,Northwest
Mechanical Issue,handpump,Kambuwa,,,Stand Alone Water Point,1343412314655.jpg,No,10.93992972 5.03351102 257.1000061035156 5.0,True,Ngaski,527,527,527.0,Hand Pump,No,1343412314655.jpg,water,Kebbi,kebbi_ngaski,82bbd855-6065-4a1d-a328-3b7e3fc2e41c,Kambuwa,Handpump,water_source,borehole_tube_well,82bbd855-6065-4a1d-a328-3b7e3fc2e41c,Northwest
Don't Know,one_thousand_overhead,WARA,,,Stand Alone Water Point,1343664143087.jpg,No,10.226806998252869 4.63422954082489 188.0 4.0,True,Ngaski,527,527,527.0,Diesel,No,1343664143087.jpg,water,Kebbi,kebbi_ngaski,9293ebb6-5d88-4333-b88e-fcbd0ce183d6,WARA,"Overhead Tank (1,000)",water_source,borehole_tube_well,9293ebb6-5d88-4333-b88e-fcbd0ce183d6,Northwest
Functional,ten_thousand_overhead,KABATA,,,Stand Alone Water Point,1343663914905.jpg,Yes,10.22502064704895 4.63197648525238 196.0 4.0,True,Ngaski,527,527,527.0,Diesel,No,1343663914905.jpg,water,Kebbi,kebbi_ngaski,b7bed103-65ee-45dc-9faa-bb6913183dcd,WARA,"Overhead Tank (10,000)",water_source,borehole_tube_well,b7bed103-65ee-45dc-9faa-bb6913183dcd,Northwest
Mechanical Issue,one_thousand_overhead,KWANGA,,,Stand Alone Water Point,1343656165827.jpg,No,10.20577631 4.62295877 176.6999969482422 5.0,True,Ngaski,527,527,527.0,Diesel,No,1343656165827.jpg,water,Kebbi,kebbi_ngaski,65ec68a9-2b2f-4a47-ac0c-899c5bb93ec9,LIBATA,"Overhead Tank (1,000)",water_source,borehole_tube_well,65ec68a9-2b2f-4a47-ac0c-899c5bb93ec9,Northwest
