"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"49841",49841,49841,"201d6032-c01f-4e27-950a-aa7a44b9c479","sakaba","kebbi","northwest","11.14663662 5.66315904 429.79998779296875 5.0","Gwanja primary school","primary_only","kebbi_sakaba",664,"1343561448455.jpg","201d6032-c01f-4e27-950a-aa7a44b9c479","primary_only","1343561448455.jpg",3,"formal_educ",FALSE,TRUE,0,0,NA,NA,TRUE,FALSE,0,5.1875,FALSE,FALSE,49.5,FALSE,4,FALSE,FALSE,FALSE,FALSE,24.75,FALSE,FALSE,FALSE,TRUE,3.3,3.3,33,Inf,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"49842",49842,49842,"150389c2-147b-4e89-86cb-58818814e9bd","sakaba","kebbi","northwest","11.037917733192444 5.456079840660095 317.0 4.0","Dokan Kambari pry school","primary_only","kebbi_sakaba",664,"1343490354544.jpg","150389c2-147b-4e89-86cb-58818814e9bd","primary_only","1343490354544.jpg",7,"formal_educ",FALSE,TRUE,1,6,NA,NA,FALSE,TRUE,0,2.98,TRUE,FALSE,99.5,FALSE,1,FALSE,FALSE,FALSE,FALSE,66.3333333333333,TRUE,FALSE,FALSE,TRUE,2.31395348837209,2.31395348837209,28.4285714285714,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"49843",49843,49843,"8f506ed1-ee77-4c46-aa13-1c61c8cc007c","sakaba","kebbi","northwest","11.34702524 5.36002266 397.8999938964844 5.0","Sose gomo primary school","primary_only","kebbi_sakaba",664,"1343641980996.jpg","8f506ed1-ee77-4c46-aa13-1c61c8cc007c","primary_only","1343641980996.jpg",10,"formal_educ",FALSE,FALSE,4,4,NA,NA,FALSE,FALSE,0,1.31632653061224,TRUE,TRUE,37.8333333333333,FALSE,2,FALSE,FALSE,TRUE,FALSE,22.7,FALSE,FALSE,FALSE,FALSE,4.12727272727273,2.46739130434783,22.7,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"education"
"49844",49844,49844,"93575370-4fca-4987-a664-2f7840062a38","sakaba","kebbi","northwest","11.178143620491028 5.399463772773743 345.0 4.0","Tungan Bere pry school","primary_only","kebbi_sakaba",664,"1343640756315.jpg","93575370-4fca-4987-a664-2f7840062a38","primary_only","1343640756315.jpg",2,"formal_educ",FALSE,TRUE,1,1,NA,NA,FALSE,FALSE,0,2,TRUE,FALSE,52,FALSE,1,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,TRUE,3.12,3.12,78,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"49845",49845,49845,"9bd58556-7ae8-4d44-9f84-6c8440c5c745","sakaba","kebbi","northwest","11.096577644348145 5.443317890167236 329.0 4.0","Madu pry school","primary_only","kebbi_sakaba",664,"1343575845329.jpg","9bd58556-7ae8-4d44-9f84-6c8440c5c745","primary_only","1343575845329.jpg",2,"formal_educ",TRUE,FALSE,0,2,NA,NA,FALSE,TRUE,10,1.33333333333333,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,35,TRUE,FALSE,FALSE,TRUE,7,7,35,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"49846",49846,49846,"879679a1-967c-4b0b-8910-cf7a354cd477","sakaba","kebbi","northwest","11.38834834098816 5.421280860900879 437.0 4.0","Arosr pry school","primary_only","kebbi_sakaba",664,"1343657083001.jpg","879679a1-967c-4b0b-8910-cf7a354cd477","primary_only","1343657083001.jpg",3,"formal_educ",FALSE,FALSE,3,2,NA,NA,FALSE,FALSE,0,2.25,FALSE,FALSE,21.6666666666667,FALSE,2,FALSE,FALSE,FALSE,FALSE,10.8333333333333,TRUE,FALSE,FALSE,FALSE,2.6,2.6,21.6666666666667,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"49847",49847,49847,"5d7b41d0-b952-4258-b9c1-26a832dc4825","sakaba","kebbi","northwest","11.247441172599792 5.469233393669128 356.0 4.0","Islamiya","primary_only","kebbi_sakaba",664,"1343397812865.jpg","5d7b41d0-b952-4258-b9c1-26a832dc4825","primary_only","1343397812865.jpg",7,"religious_with_formal",FALSE,FALSE,3,0,0,0,FALSE,FALSE,0,2,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,20,FALSE,TRUE,FALSE,TRUE,5,5,8.57142857142857,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"49848",49848,49848,"3aed1d8d-01e6-46c6-bc81-83fa6f133a27","sakaba","kebbi","northwest","11.05531799 5.44919502 322.20001220703125 5.0","Mahuta Pri Sch","primary_only","kebbi_sakaba",664,"1343485524617.jpg","3aed1d8d-01e6-46c6-bc81-83fa6f133a27","primary_only","1343485524617.jpg",3,"formal_educ",FALSE,TRUE,0,2,NA,NA,TRUE,FALSE,0,3.79411764705882,TRUE,FALSE,81.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,32.6,FALSE,FALSE,TRUE,TRUE,32.6,32.6,54.3333333333333,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"49849",49849,49849,"b8075bfe-6b7e-4dcd-821b-4d0671615a9e","sakaba","kebbi","northwest","11.03292426 5.75313967 460.0 5.0","Dankolo model pri. Sch","primary_only","kebbi_sakaba",664,"1343476346591.jpg","b8075bfe-6b7e-4dcd-821b-4d0671615a9e","primary_only","1343476346591.jpg",17,"formal_educ",FALSE,TRUE,2,5,NA,NA,TRUE,FALSE,7,2.67669172932331,TRUE,TRUE,40.75,FALSE,2,TRUE,FALSE,FALSE,FALSE,48.9,FALSE,FALSE,FALSE,FALSE,9.78,9.78,28.7647058823529,Inf,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"49850",49850,49850,"5dfb63da-889f-4442-a793-a7de5780522d","sakaba","kebbi","northwest","11.117514967918396 5.465006232261658 335.0 4.0","Tungan Gwamna pry sc","primary_only","kebbi_sakaba",664,"1343559888822.jpg","5dfb63da-889f-4442-a793-a7de5780522d","primary_only","1343559888822.jpg",2,"formal_educ",FALSE,FALSE,2,1,NA,NA,FALSE,TRUE,0,1.28205128205128,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,14.8333333333333,FALSE,FALSE,FALSE,FALSE,8.9,8.9,44.5,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
