"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"50841",50841,50841,"5f82216c-b132-4e40-974a-7ba3227aec11","shanga","kebbi","northwest","11.11566047 4.58834853 189.1999969482422 5.0","Dugu 2 Primary School","primary_only","kebbi_shanga",673,"1336144140043.jpg","5f82216c-b132-4e40-974a-7ba3227aec11","primary_only","1336144140043.jpg",6,"formal_educ",FALSE,FALSE,0,2,NA,NA,TRUE,FALSE,0,1.15346534653465,TRUE,TRUE,108.75,FALSE,2,TRUE,FALSE,FALSE,FALSE,72.5,FALSE,FALSE,FALSE,TRUE,3.88392857142857,12.7941176470588,72.5,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"50842",50842,50842,"a36c9b90-6530-46e6-8275-000d792c32d7","shanga","kebbi","northwest","10.94261531 4.7230484 190.5 5.0","Sakace Modern Primary School","primary_only","kebbi_shanga",673,"1336238010133.jpg","a36c9b90-6530-46e6-8275-000d792c32d7","primary_only","1336238010133.jpg",15,"formal_educ",FALSE,FALSE,4,3,NA,NA,FALSE,FALSE,0,2.69090909090909,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,33.8333333333333,TRUE,FALSE,FALSE,FALSE,2.36046511627907,11.2777777777778,13.5333333333333,Inf,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"50843",50843,50843,"e1e8c9cc-31da-4ab4-b816-8a97fa7f629d","shanga","kebbi","northwest","11.1673458 4.37450563 187.8000030517578 5.0","Guro. MODEL PRI.  SCH
O","primary_only","kebbi_shanga",673,"1336395053776.jpg","e1e8c9cc-31da-4ab4-b816-8a97fa7f629d","primary_only","1336395053776.jpg",3,"formal_educ",FALSE,FALSE,1,1,NA,NA,FALSE,NA,8,1.6,FALSE,FALSE,32.5,FALSE,1,FALSE,FALSE,FALSE,FALSE,16.25,FALSE,FALSE,FALSE,TRUE,3.61111111111111,3.61111111111111,21.6666666666667,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"50844",50844,50844,"97067600-31d6-4eeb-bb76-c01a8bae55c3","shanga","kebbi","northwest","11.24931827 4.53819513 196.5 5.0","Primary School Yar Besse","primary_only","kebbi_shanga",673,"1336211942204.jpg","97067600-31d6-4eeb-bb76-c01a8bae55c3","primary_only","1336211942204.jpg",10,"formal_educ",FALSE,TRUE,2,2,NA,NA,TRUE,FALSE,0,1.8780487804878,TRUE,FALSE,177,FALSE,1,FALSE,FALSE,FALSE,FALSE,59,FALSE,FALSE,FALSE,TRUE,2.765625,5.53125,35.4,Inf,8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"50845",50845,50845,"412dd7b6-7f88-4e33-b6e2-21c956567072","shanga","kebbi","northwest","10.92025516 4.74533672 182.0 5.0","Dakin Gari Model pri. Sch.","primary_only","kebbi_shanga",673,"1336479070256.jpg","412dd7b6-7f88-4e33-b6e2-21c956567072","primary_only","1336479070256.jpg",4,"formal_educ",TRUE,FALSE,2,2,NA,NA,TRUE,TRUE,20,3.8,TRUE,FALSE,60,FALSE,0,FALSE,FALSE,FALSE,FALSE,30,FALSE,FALSE,FALSE,TRUE,6,4.28571428571429,30,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"50846",50846,50846,"f686792c-237c-4835-9ec0-5eb61772d93f","shanga","kebbi","northwest","11.19556881 4.72094391 224.6999969482422 5.0","Kubai primary school","primary_only","kebbi_shanga",673,"1335961717652.jpg","f686792c-237c-4835-9ec0-5eb61772d93f","primary_only","1335961717652.jpg",8,"formal_educ",FALSE,FALSE,0,1,NA,NA,TRUE,TRUE,0,0.9,FALSE,FALSE,6.33333333333333,FALSE,0,TRUE,FALSE,FALSE,FALSE,4.75,FALSE,FALSE,FALSE,TRUE,0.76,1.26666666666667,2.375,8,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"50847",50847,50847,"fab9a5a5-3977-408d-b7cb-60d712ab4637","shanga","kebbi","northwest","11.21503374 4.57797195 178.89999389648438 5.0","Shanga Model Primary School","primary_only","kebbi_shanga",673,"1335962383017.jpg","fab9a5a5-3977-408d-b7cb-60d712ab4637","primary_only","1335962383017.jpg",61,"formal_educ",FALSE,FALSE,2,16,NA,NA,TRUE,FALSE,0,2.05828220858896,FALSE,TRUE,166.166666666667,FALSE,2,FALSE,FALSE,TRUE,FALSE,90.6363636363636,FALSE,FALSE,FALSE,TRUE,8.30833333333333,39.88,16.344262295082,20.3333333333333,30,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"50848",50848,50848,"058e1392-d9eb-499d-850b-7fb429fa936b","shanga","kebbi","northwest","10.99330352 4.69224683 166.39999389648438 5.0","Dala Mai-Ruwa Nomadic Primary School","primary_only","kebbi_shanga",673,"1336230230624.jpg","058e1392-d9eb-499d-850b-7fb429fa936b","primary_only","1336230230624.jpg",7,"formal_educ",FALSE,FALSE,3,0,NA,NA,TRUE,FALSE,0,2.90909090909091,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,28.6666666666667,TRUE,FALSE,TRUE,TRUE,1.26470588235294,10.75,12.2857142857143,Inf,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"50849",50849,50849,"a7a9cd1c-329a-424c-9475-1a353f799cd8","shanga","kebbi","northwest","11.33508899 4.52889303 202.39999389648438 5.0","Takwaren kadi Nizamiya Primary School","primary_only","kebbi_shanga",673,"1336214966136.jpg","a7a9cd1c-329a-424c-9475-1a353f799cd8","primary_only","1336214966136.jpg",6,"religious_with_formal",FALSE,FALSE,0,1,NA,NA,TRUE,TRUE,0,1.55813953488372,TRUE,FALSE,55,FALSE,3,FALSE,FALSE,FALSE,FALSE,36.6666666666667,FALSE,FALSE,FALSE,TRUE,2.5,2.5,18.3333333333333,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"50850",50850,50850,"44600b2e-977f-4d1a-93f4-f3848c3192c5","shanga","kebbi","northwest","10.98471193 4.53441091 200.10000610351563 5.0","Kosodhi. MODEL. PRI.SCH.","primary_only","kebbi_shanga",673,"1336319408637.jpg","44600b2e-977f-4d1a-93f4-f3848c3192c5","primary_only","1336319408637.jpg",3,"formal_educ",TRUE,FALSE,0,0,NA,NA,FALSE,NA,12,4.41666666666667,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,32.5,TRUE,FALSE,FALSE,TRUE,7.22222222222222,7.22222222222222,21.6666666666667,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
