breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,LAFIA,,,"Water Scheme, Source within 1km",1338209498744.jpg,Yes,7.5541090965271 6.231629848480225 349.0 4.0,True,Okene,584,584,584.0,Tap (unknown lift),Yes,1338209498744.jpg,water,Kogi,kogi_okene,3a4a9fc0-a71b-47ee-9b82-a575f7a98c6d,LAFIA OBESSA,Tap,outlet,,3a4a9fc0-a71b-47ee-9b82-a575f7a98c6d,North-Central
Under Construction,,OHUMALAKA,,,Stand Alone Water Point,1337945982780.jpg,No,7.5471460819244385 6.202951669692993 448.0 4.0,True,Okene,584,584,584.0,Electric,Yes,1337945982780.jpg,water,Kogi,kogi_okene,0c464d2a-c133-4eb4-8263-669d87831816,OBEHIRA UVETE,Borehole,water_source,borehole_tube_well,0c464d2a-c133-4eb4-8263-669d87831816,North-Central
Functional,,INIKE,,,"Water Scheme, Source within 100m",1337936185114.jpg,Yes,7.545794248580933 6.251773238182068 363.0 4.0,True,Okene,584,584,584.0,Tap (unknown lift),No,1337936185114.jpg,water,Kogi,kogi_okene,f60b18ad-a4bc-446f-86f0-a06800c4f5ea,IDOJI,Tap,outlet,,f60b18ad-a4bc-446f-86f0-a06800c4f5ea,North-Central
Functional,,ESIOMI,,,"Water Scheme, Source within 100m",1338031955484.jpg,Yes,7.526686191558838 6.254407167434692 382.0 4.0,True,Okene,584,584,584.0,Tap (unknown lift),Yes,1338031955484.jpg,water,Kogi,kogi_okene,a0316fc6-e262-4091-bb33-a18e8494c641,ONYUKOKO,Tap,outlet,,a0316fc6-e262-4091-bb33-a18e8494c641,North-Central
Mechanical Issue,,ESIOMI,,,"Water Scheme, Source within 100m",1338035825490.jpg,No,7.537254095077515 6.245362758636475 375.0 3.0,True,Okene,584,584,584.0,Tap (unknown lift),No,1338035825490.jpg,water,Kogi,kogi_okene,a76be2c7-2d10-4085-969b-88192682b3ea,ONYUKOKO,Tap,outlet,,a76be2c7-2d10-4085-969b-88192682b3ea,North-Central
Functional,,LAFIA,,,"Water Scheme, Source within 100m",1338026180207.jpg,Yes,7.55509614944458 6.234070658683777 367.0 3.0,True,Okene,584,584,584.0,Tap (unknown lift),No,1338026180207.jpg,water,Kogi,kogi_okene,74c71763-fdcd-40c7-a8b7-e9ff43e45e93,LAFIA OBESSA,Tap,outlet,,74c71763-fdcd-40c7-a8b7-e9ff43e45e93,North-Central
Functional,,BADOKO,,,Stand Alone Water Point,1338206619372.jpg,Yes,7.544876933097839 6.236865520477295 441.0 4.0,False,Okene,584,584,584.0,Manual,No,1338206619372.jpg,water,Kogi,kogi_okene,7fce90b2-4f13-4877-8e56-55169badd03e,ORIETESU,Unimproved Well,water_source,protected_dug_well,7fce90b2-4f13-4877-8e56-55169badd03e,North-Central
Functional,,OKENGWE,,,Stand Alone Water Point,1338280293373.jpg,Yes,7.5486695766448975 6.195479035377502 442.0 4.0,False,Okene,584,584,584.0,Manual,No,1338280293373.jpg,water,Kogi,kogi_okene,9e496d00-38c1-4d90-b123-b6897724d4ce,OZUJA,Unimproved Well,water_source,protected_dug_well,9e496d00-38c1-4d90-b123-b6897724d4ce,North-Central
Functional,,Abuga,,,Stand Alone Water Point,1337938263959.jpg,Yes,7.552757263183594 6.190146803855896 458.0 4.0,False,Okene,584,584,584.0,,No,1337938263959.jpg,water,Kogi,kogi_okene,830bd6bf-8861-4c18-b6dd-fd4b89678ed5,Ozuja,Unimproved Well,water_source,protected_dug_well,830bd6bf-8861-4c18-b6dd-fd4b89678ed5,North-Central
Don't Know,,Behind nitel office,,,Stand Alone Water Point,1338164353064.jpg,No,7.55759238 6.23272411 396.6000061035156 5.0,True,Okene,584,584,584.0,Electric,Don't Know,1338164353064.jpg,water,Kogi,kogi_okene,c071defb-ce10-4596-8551-f551503a7099,Laffia. Obessa,Borehole,water_source,borehole_tube_well,c071defb-ce10-4596-8551-f551503a7099,North-Central
Under Construction,,IDOGIDO,,,Stand Alone Water Point,1338023652492.jpg,No,7.5519150495529175 6.239113211631775 418.0 4.0,True,Okene,584,584,584.0,Hand Pump,No,1338023652492.jpg,water,Kogi,kogi_okene,05f68a3b-bbff-42bf-9f9a-b6339b8f0211,OTUTU,Borehole,water_source,borehole_tube_well,05f68a3b-bbff-42bf-9f9a-b6339b8f0211,North-Central
