access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,1132.022936,True,FALSE,False,,,,formal_educ,L.G.E.A. Pri. Sch. Ikem.,primary_only,1346038182900.jpg,,False,,7.20406408 7.36217444 274.3999938964844 5.0,False,False,primary_only,Olamabolo,591,591,591.0,1.18867924528302,False,olamabolo,kogi,north_central,TRUE,1.0,1.0,7.0,232.0,5.0,8.0,,7.0,280.0,public,False,1346038182900.jpg,160152,141.474165326,,False,FALSE,FALSE,4.64,33.1428571428571,4.64,29,,False,True,L.G.E.A. Pri. Sch. Ikem.,education,Kogi,0.0,Others,True,False,FALSE,Inf,1.20689655172414,FALSE,,kogi_olamabolo,f605f572-875c-4f08-b797-e93754279a7f,False,f605f572-875c-4f08-b797-e93754279a7f,North-Central
False,False,1132.022936,False,TRUE,False,,,,formal_educ,LGEA PRIM. SCH. EMONOGA OGUGU,primary_only,1346167912378.jpg,,False,FALSE,7.14195474 7.4829327 288.6000061035156 5.0,False,False,primary_only,Olamabolo,591,591,591.0,0.5,True,olamabolo,kogi,north_central,TRUE,4.0,2.0,6.0,150.0,1.0,7.0,,6.0,380.0,public,False,1346167912378.jpg,160152,141.474165326,,False,FALSE,FALSE,3.40909090909091,25,5,21.4285714285714,75,False,False,LGEA PRIM. SCH. EMONOGA OGUGU,education,Kogi,0.0,Others,True,False,TRUE,Inf,2.53333333333333,FALSE,,kogi_olamabolo,ed25efb3-5adc-4443-866a-1907493c522b,False,ed25efb3-5adc-4443-866a-1907493c522b,North-Central
False,True,1132.022936,False,FALSE,False,,,,formal_educ,Olamaboro CommGram Sch Okpo,junior_and_senior_sec,1345883810714.jpg,,False,,7.2060667 7.57220855 394.20001220703125 5.0,False,False,junior_and_senior_sec,Olamabolo,591,591,591.0,1.13569321533923,True,olamabolo,kogi,north_central,TRUE,,,18.0,724.0,11.0,14.0,,5.0,6.0,public,False,1345883810714.jpg,160152,141.474165326,,False,FALSE,FALSE,3.62,40.2222222222222,9.05,51.7142857142857,,True,False,Olamaboro CommGram Sch Okpo,education,Kogi,20.0,Others,False,False,FALSE,3.5,0.00828729281767956,FALSE,,kogi_olamabolo,9f720b66-a001-4692-9d87-3468a76fb484,False,9f720b66-a001-4692-9d87-3468a76fb484,North-Central
False,True,1132.022936,True,TRUE,False,,,,formal_educ,ETUTEKPE PRIMARY SCHOOL,primary_and_junior_sec,1345886759117.jpg,False,False,,7.18466814 7.6110147 377.29998779296875 5.0,False,False,primary_and_junior_sec,Olamabolo,591,591,591.0,0.918032786885246,False,olamabolo,kogi,north_central,FALSE,,2.0,10.0,234.0,4.0,25.0,,19.0,745.0,public,False,1345886759117.jpg,160152,141.474165326,,False,FALSE,FALSE,11.7,23.4,7.8,9.36,,False,False,ETUTEKPE PRIMARY SCHOOL,education,Kogi,0.0,Others,True,False,FALSE,25,3.18376068376068,FALSE,,kogi_olamabolo,4127e4aa-edd0-47c5-8850-cc9d16d5b066,False,4127e4aa-edd0-47c5-8850-cc9d16d5b066,North-Central
False,True,1132.022936,False,TRUE,False,,,,formal_educ,LGEA PRIMARY SCHOOL,primary_only,1345914499039.jpg,,False,,7.18093649 7.55981042 420.70001220703125 5.0,False,False,primary_only,Olamabolo,591,591,591.0,0.981308411214953,False,olamabolo,kogi,north_central,FALSE,2.0,0.0,6.0,424.0,0.0,16.0,,16.0,276.0,public,False,1345914499039.jpg,160152,141.474165326,,False,TRUE,FALSE,26.5,70.6666666666667,14.1333333333333,26.5,,False,True,LGEA PRIMARY SCHOOL,education,Kogi,100.0,Others,True,False,FALSE,Inf,0.650943396226415,FALSE,,kogi_olamabolo,6af5e423-793e-442c-8b94-f3ef1beed4bf,False,6af5e423-793e-442c-8b94-f3ef1beed4bf,North-Central
False,False,1132.022936,True,TRUE,False,,,,formal_educ,"L.G.E.A. Primary School,OCHEKWO OKPO",primary_only,1345775987918.jpg,,False,FALSE,7.25557328 7.50309822 344.79998779296875 5.0,False,False,primary_only,Olamabolo,591,591,591.0,1.02281368821293,True,olamabolo,kogi,north_central,FALSE,1.0,,4.0,532.0,0.0,8.0,,7.0,230.0,public,False,1345775987918.jpg,160152,141.474165326,,False,FALSE,FALSE,88.6666666666667,133,5.0188679245283,66.5,177.333333333333,False,False,"L.G.E.A. Primary School,OCHEKWO OKPO",education,Kogi,0.0,Others,True,True,FALSE,Inf,0.432330827067669,FALSE,,kogi_olamabolo,b5f47d21-e722-41ac-888f-b357c86958b2,False,b5f47d21-e722-41ac-888f-b357c86958b2,North-Central
False,False,1132.022936,False,FALSE,False,,,,formal_educ,Lgea primary sch obrachi,primary_and_junior_sec,1346153475372.jpg,,False,,7.11244308 7.58210791 349.0 5.0,False,False,primary_and_junior_sec,Olamabolo,591,591,591.0,1.06493506493506,True,olamabolo,kogi,north_central,FALSE,,0.0,8.0,477.0,3.0,8.0,,7.0,260.0,public,False,1346153475372.jpg,160152,141.474165326,,False,FALSE,TRUE,68.1428571428571,59.625,47.7,59.625,,False,False,Lgea primary sch obrachi,education,Kogi,0.0,Others,True,True,FALSE,Inf,0.545073375262054,FALSE,,kogi_olamabolo,dc3bf057-faa1-4a79-8558-8ac607b64268,False,dc3bf057-faa1-4a79-8558-8ac607b64268,North-Central
False,True,1132.022936,True,FALSE,True,,,,formal_educ,LGEA primary school,primary_only,1346169989577.jpg,,False,FALSE,7.12103998 7.46392265 339.29998779296875 5.0,False,False,primary_only,Olamabolo,591,591,591.0,,False,olamabolo,kogi,north_central,TRUE,0.0,0.0,6.0,,0.0,0.0,,,,public,False,1346169989577.jpg,160152,141.474165326,,False,FALSE,FALSE,,,,,,True,True,LGEA primary school,education,Kogi,,Others,,,TRUE,,,FALSE,,kogi_olamabolo,33cb7e70-62b2-422d-9fef-5173127d4091,False,33cb7e70-62b2-422d-9fef-5173127d4091,North-Central
False,True,1132.022936,True,FALSE,False,,,,formal_educ,LGEA PRIM. SCH.OJIAGBACHU IMANE,primary_only,1346065542616.jpg,,False,TRUE,7.26476654 7.66694839 456.6000061035156 5.0,False,False,primary_only,Olamabolo,591,591,591.0,1.06194690265487,False,olamabolo,kogi,north_central,TRUE,2.0,0.0,6.0,233.0,1.0,11.0,,8.0,24.0,public,False,1346065542616.jpg,160152,141.474165326,,False,FALSE,FALSE,2.74117647058824,38.8333333333333,2.42708333333333,21.1818181818182,38.8333333333333,False,False,LGEA PRIM. SCH.OJIAGBACHU IMANE,education,Kogi,0.0,Others,True,False,TRUE,Inf,0.103004291845494,FALSE,,kogi_olamabolo,b60f9203-b03e-4ae1-9ee3-0dd470f6a4bb,False,b60f9203-b03e-4ae1-9ee3-0dd470f6a4bb,North-Central
False,True,1132.022936,True,FALSE,True,,,,formal_educ,Ayegbaunubi Nur/Pri sch,preprimary_and_primary,1346117019479.jpg,True,True,TRUE,7.1580942 7.47160707 268.20001220703125 5.0,False,False,preprimary_and_primary,Olamabolo,591,591,591.0,0.893203883495146,True,olamabolo,kogi,north_central,TRUE,3.0,,8.0,195.0,2.0,8.0,,4.0,32.0,private,False,1346117019479.jpg,160152,141.474165326,,True,TRUE,FALSE,2.70833333333333,24.375,2.70833333333333,24.375,48.75,False,True,Ayegbaunubi Nur/Pri sch,education,Kogi,7.0,Others,False,False,TRUE,4,0.164102564102564,FALSE,,kogi_olamabolo,64bfb405-a1b1-4167-baa3-ee6144281ee5,True,64bfb405-a1b1-4167-baa3-ee6144281ee5,North-Central
False,False,1132.022936,False,FALSE,False,,,,formal_educ,LGEA PRIMARY SCHOL,primary_only,1346087530375.jpg,,False,,7.22423632 7.64275652 422.0 5.0,False,False,primary_only,Olamabolo,591,591,591.0,,False,olamabolo,kogi,north_central,FALSE,3.0,1.0,6.0,,,0.0,,,,public,False,1346087530375.jpg,160152,141.474165326,,False,FALSE,FALSE,,,,,,False,,LGEA PRIMARY SCHOL,education,Kogi,,Others,,,TRUE,,,FALSE,,kogi_olamabolo,3b8419c6-f0ed-40fb-b569-5e4e2bbd082e,False,3b8419c6-f0ed-40fb-b569-5e4e2bbd082e,North-Central
False,True,1132.022936,False,TRUE,False,,,,religious_with_formal,AL-NUR ISLAMIC PRIM. SCHOOL,primary_only,1345905518774.jpg,True,True,FALSE,7.21456513 7.56355841 371.79998779296875 5.0,False,False,primary_only,Olamabolo,591,591,591.0,0.777777777777778,True,olamabolo,kogi,north_central,TRUE,2.0,2.0,7.0,160.0,2.0,7.0,,4.0,715.0,private,True,1345905518774.jpg,160152,141.474165326,,True,FALSE,FALSE,2.66666666666667,22.8571428571429,3.2,22.8571428571429,53.3333333333333,False,False,AL-NUR ISLAMIC PRIM. SCHOOL,education,Kogi,10.0,Others,False,False,TRUE,Inf,4.46875,FALSE,,kogi_olamabolo,d1da2c60-967f-4aec-bc99-666bbf64f999,False,d1da2c60-967f-4aec-bc99-666bbf64f999,North-Central
False,False,1132.022936,True,FALSE,False,,,,formal_educ,L.G.E.A. PRI. SCH. EMENEGA/EMACHADU.,primary_only,1346034182192.jpg,,False,,7.15361598 7.31460072 223.3000030517578 5.0,False,False,primary_only,Olamabolo,591,591,591.0,0.994845360824742,False,olamabolo,kogi,north_central,FALSE,0.0,,6.0,387.0,3.0,3.0,,2.0,149.0,public,False,1346034182192.jpg,160152,141.474165326,,False,FALSE,FALSE,3.225,64.5,3.225,129,,True,True,L.G.E.A. PRI. SCH. EMENEGA/EMACHADU.,education,Kogi,60.0,Others,True,False,FALSE,Inf,0.385012919896641,FALSE,,kogi_olamabolo,0fc229a3-04f0-4b7d-9d79-8496708745d0,False,0fc229a3-04f0-4b7d-9d79-8496708745d0,North-Central
False,False,1132.022936,True,FALSE,False,,,,formal_educ,"L.G.E.A. PRIMARY SCHOOL, OGOH-OKPO.",primary_only,1345778615751.jpg,,False,FALSE,7.2569935 7.52249943 367.6000061035156 5.0,False,False,primary_only,Olamabolo,591,591,591.0,0.752212389380531,True,olamabolo,kogi,north_central,TRUE,3.0,2.0,5.0,198.0,0.0,16.0,,13.0,20.0,public,False,1345778615751.jpg,160152,141.474165326,,False,FALSE,FALSE,16.5,39.6,3.53571428571429,12.375,99,False,False,"L.G.E.A. PRIMARY SCHOOL, OGOH-OKPO.",education,Kogi,15.0,Others,True,False,TRUE,Inf,0.101010101010101,TRUE,,kogi_olamabolo,eaa1dd10-2b59-4768-8970-7a141bacc522,False,eaa1dd10-2b59-4768-8970-7a141bacc522,North-Central
False,False,1132.022936,False,FALSE,False,,,,formal_educ,Ube primary school ibana,primary_only,1345899288990.jpg,,False,TRUE,7.23209793 7.58966591 364.3999938964844 5.0,False,False,primary_only,Olamabolo,591,591,591.0,1.15384615384615,False,olamabolo,kogi,north_central,FALSE,3.0,2.0,7.0,84.0,5.0,16.0,,14.0,17.0,public,False,1345899288990.jpg,160152,141.474165326,,False,FALSE,FALSE,4.2,12,1.86666666666667,5.25,21,False,False,Ube primary school ibana,education,Kogi,0.0,Others,True,True,FALSE,16,0.202380952380952,FALSE,,kogi_olamabolo,df5fb429-080c-43df-bb94-0f318dad97b8,False,df5fb429-080c-43df-bb94-0f318dad97b8,North-Central
