breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Don't Know,,OGBE,,,Stand Alone Water Point,1342178429717.jpg,No,8.08494455 5.6132326 426.6000061035156 5.0,True,Yagba West,756,756,756.0,Electric,No,1342178429717.jpg,water,Kogi,kogi_yagba_west,fbdfec0d-d0bf-4c67-a673-c3ee56c54a94,OGBE,Borehole,water_source,borehole_tube_well,fbdfec0d-d0bf-4c67-a673-c3ee56c54a94,North-Central
Functional,,ISANLU- ESA,,,Stand Alone Water Point,1342193179307.jpg,Yes,8.47991002 5.4835963 315.29998779296875 5.0,True,Yagba West,756,756,756.0,Hand Pump,No,1342193179307.jpg,water,Kogi,kogi_yagba_west,b4437f41-fc7b-484a-9146-0c67561c1a34,ISANLU - ESA OKUNRAN OKOLOKE,Borehole,water_source,borehole_tube_well,b4437f41-fc7b-484a-9146-0c67561c1a34,North-Central
Functional,,EGBE,,,Stand Alone Water Point,1342190136373.jpg,Yes,8.23641582 5.51048787 345.5 5.0,False,Yagba West,756,756,756.0,,No,1342190136373.jpg,water,Kogi,kogi_yagba_west,523477e2-1845-4fb8-ba99-572aab6237b8,WARD 03,Unimproved Well,water_source,protected_dug_well,523477e2-1845-4fb8-ba99-572aab6237b8,North-Central
Poorly Constructed,,OGBE,,,Stand Alone Water Point,1342176039589.jpg,No,8.09094415 5.60986669 395.79998779296875 5.0,True,Yagba West,756,756,756.0,Hand Pump,No,1342176039589.jpg,water,Kogi,kogi_yagba_west,ed2d3ae4-b9b1-4024-83e2-0dad9e121449,OGBE,Borehole,water_source,borehole_tube_well,ed2d3ae4-b9b1-4024-83e2-0dad9e121449,North-Central
Poorly Constructed,,OGBE,,,Stand Alone Water Point,1342105925990.jpg,No,8.22919623 5.51029253 353.5 5.0,True,Yagba West,756,756,756.0,,No,1342105925990.jpg,water,Kogi,kogi_yagba_west,85834596-98df-4c35-8dac-22e98ca47c0a,02 ODO EGBE,Borehole,water_source,borehole_tube_well,85834596-98df-4c35-8dac-22e98ca47c0a,North-Central
Functional,,IGBARUKU OKERI,,,Stand Alone Water Point,1342084442254.jpg,Yes,8.24819198 5.58272094 358.3999938964844 5.0,True,Yagba West,756,756,756.0,Hand Pump,No,1342084442254.jpg,water,Kogi,kogi_yagba_west,8cc68330-5608-4f6b-8edf-db5b8ca8aec8,IYAMERI IGBARUKU,Borehole,water_source,borehole_tube_well,8cc68330-5608-4f6b-8edf-db5b8ca8aec8,North-Central
Functional,,OkERI,,,Stand Alone Water Point,1342105181185.jpg,Yes,8.24405717 5.57273437 367.6000061035156 5.0,True,Yagba West,756,756,756.0,Hand Pump,No,1342105181185.jpg,water,Kogi,kogi_yagba_west,15eab27c-fb24-4863-8d4b-30875e1bd668,IYANAMERIN OKERI,Borehole,water_source,borehole_tube_well,15eab27c-fb24-4863-8d4b-30875e1bd668,North-Central
Under Construction,,OMI,,,Stand Alone Water Point,1342094456197.jpg,No,8.21125158 5.63406683 270.20001220703125 5.0,False,Yagba West,756,756,756.0,Electric,Don't Know,1342094456197.jpg,water,Kogi,kogi_yagba_west,ebcc62a0-404f-419d-9e39-6d3d2f2c8fca,ODO ARA/OMI/OGGA,Untreated Surface Water,water_source,dam,ebcc62a0-404f-419d-9e39-6d3d2f2c8fca,North-Central
Functional,,ISANLU ESA,,,Stand Alone Water Point,1342193760841.jpg,Yes,8.48233901 5.48551474 307.3999938964844 5.0,True,Yagba West,756,756,756.0,Hand Pump,No,1342193760841.jpg,water,Kogi,kogi_yagba_west,89e04c4f-3e49-4e05-8c59-180e13997368,"ISANLU ESA/OKUNRAN
/OKOLOKE",Borehole,water_source,borehole_tube_well,89e04c4f-3e49-4e05-8c59-180e13997368,North-Central
Functional,,ODO ERi,,,Stand Alone Water Point,1342012913153.jpg,Yes,8.28173923 5.5855485 327.79998779296875 5.0,True,Yagba West,756,756,756.0,Hand Pump,No,1342012913153.jpg,water,Kogi,kogi_yagba_west,35426359-ff23-4b9b-ae08-bfa56273bd08,ODO ERi,Borehole,water_source,borehole_tube_well,35426359-ff23-4b9b-ae08-bfa56273bd08,North-Central
Functional,,EGBE,,,Stand Alone Water Point,1342183591550.jpg,Yes,8.22451026 5.51626131 412.3999938964844 5.0,False,Yagba West,756,756,756.0,,No,1342183591550.jpg,water,Kogi,kogi_yagba_west,81effcd7-1139-4439-b4af-9ac3fe56f85c,01 ODO EBGE,Unimproved Well,water_source,protected_dug_well,81effcd7-1139-4439-b4af-9ac3fe56f85c,North-Central
Functional,,EGBE,,,Stand Alone Water Point,1342191775893.jpg,Yes,8.22662433 5.51227321 375.0 5.0,False,Yagba West,756,756,756.0,,No,1342191775893.jpg,water,Kogi,kogi_yagba_west,c4d72002-a295-4a66-919b-b7f911e0ef03,02 ODO EGBE,Unimproved Well,water_source,protected_dug_well,c4d72002-a295-4a66-919b-b7f911e0ef03,North-Central
Functional,,ISANLU ESA,,,Stand Alone Water Point,1342194351463.jpg,Yes,8.47946514 5.48400288 312.6000061035156 5.0,True,Yagba West,756,756,756.0,Diesel,No,1342194351463.jpg,water,Kogi,kogi_yagba_west,b1a6e96d-dd8e-4b4d-96c1-d3b93e0893b6,ISANLU ESA/OKUNRAN/OKOLOKE,Borehole,water_source,borehole_tube_well,b1a6e96d-dd8e-4b4d-96c1-d3b93e0893b6,North-Central
