"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"25948",25948,"fbdd2a6e-15fb-4639-b338-b01b65e5d810","fbdd2a6e-15fb-4639-b338-b01b65e5d810","Edu","Kwara","North-Central",172,"8.844294548034668 5.4166728258132935 127.0 4.0","1337955340489.jpg","kwara_edu","1337955340489.jpg","Borehole",NA,"borehole_tube_well","water_source","emi ndamiworogi","lafiagi ward 2","Yes",NA,"No","Mechanical Issue","No","Stand Alone Water Point"
"25949",25949,"bbf0beba-0a74-4a8c-a2c7-6c296660a3bc","bbf0beba-0a74-4a8c-a2c7-6c296660a3bc","Edu","Kwara","North-Central",172,"8.75865808 5.19450592 271.6000061035156 5.0","1338045336884.jpg","kwara_edu","1338045336884.jpg","Borehole",NA,"borehole_tube_well","water_source","Macha","3","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"25950",25950,"fc88bfbb-8502-44a9-8b65-269c8ddee7f5","fc88bfbb-8502-44a9-8b65-269c8ddee7f5","Edu","Kwara","North-Central",172,"8.804919719696045 5.239577293395996 212.0 4.0","1338139257284.jpg","kwara_edu","1338139257284.jpg","Borehole",NA,"borehole_tube_well","water_source","Gamalegi","3","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"25951",25951,"a7b14eea-057e-47ba-a815-97667a256354","a7b14eea-057e-47ba-a815-97667a256354","Edu","Kwara","North-Central",172,"9.0321879 4.9203331 188.3000030517578 5.0","1338216523394.jpg","kwara_edu","1338216523394.jpg","Borehole",NA,"borehole_tube_well","water_source","DARACHITA","TSARAGI 1","Yes","Hand Pump","No","Poor Water Quality","No","Stand Alone Water Point"
"25952",25952,"c1a0330f-836d-4bc0-ac29-775f1f2924fa","c1a0330f-836d-4bc0-ac29-775f1f2924fa","Edu","Kwara","North-Central",172,"8.770694732666016 5.235157012939453 256.0 4.0","1338030427922.jpg","kwara_edu","1338030427922.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Maganiko Toga","3","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"25953",25953,"809fe32a-2cac-45ea-80d7-5b07550b6ee4","809fe32a-2cac-45ea-80d7-5b07550b6ee4","Edu","Kwara","North-Central",172,"8.82562322 5.2451209 206.8000030517578 3.0","1338138050664.jpg","kwara_edu","1338138050664.jpg","Tap",NA,NA,"outlet","HARUNA TAKA","3","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"25954",25954,"147ac435-ade2-434e-8603-f25f20c2fe21","147ac435-ade2-434e-8603-f25f20c2fe21","Edu","Kwara","North-Central",172,"8.85302881 5.41558031 134.3000030517578 5.0","1337947737433.jpg","kwara_edu","1337947737433.jpg","Tap",NA,NA,"outlet","LAFIAGI","2","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source further than 1km"
"25955",25955,"ebe96ae3-02b0-4cd4-a08d-782dfdddb13f","ebe96ae3-02b0-4cd4-a08d-782dfdddb13f","Edu","Kwara","North-Central",172,"8.78535681 5.29324226 276.8999938964844 5.0","1338119448443.jpg","kwara_edu","1338119448443.jpg","Unimproved Well",NA,"protected_dug_well","water_source","GBUGBU","3","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"25956",25956,"9e6b5f7d-8d47-4b5d-9f28-eddcf05b0995","9e6b5f7d-8d47-4b5d-9f28-eddcf05b0995","Edu","Kwara","North-Central",172,"8.890015482902527 4.941294193267822 322.0 4.0","1338286628837.jpg","kwara_edu","1338286628837.jpg","Don't Know",NA,NA,"dk","Ninguba","Tsaragi","No",NA,"No","Mechanical Issue","No",NA
"25957",25957,"5a60e923-9d52-4389-aa41-0c71ac15972b","5a60e923-9d52-4389-aa41-0c71ac15972b","Edu","Kwara","North-Central",172,"8.838570713996887 5.411099195480347 143.0 2.0","1337959956359.jpg","kwara_edu","1337959956359.jpg","Borehole",NA,"borehole_tube_well","water_source","shephard area","lafiagi ward 2","Yes",NA,"No","Under Construction","No","Stand Alone Water Point"
