access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,480.0864902,False,FALSE,False,,,,formal_educ,OSi COMMUNITY PRIMARY SCHOOL 1,primary_only,1338367882619.jpg,False,False,FALSE,8.082300424575806 5.217475891113281 535.0 4.0,False,False,primary_only,Ekiti,187,187,187.0,1.84615384615385,False,ekiti,kwara,north_central,FALSE,4.0,0.0,11.0,74.0,7.0,9.0,,9.0,260.0,public,False,1338367882619.jpg,54850,114.250246819,,False,FALSE,FALSE,1.23333333333333,6.72727272727273,1.23333333333333,8.22222222222222,37,False,False,OSi COMMUNITY PRIMARY SCHOOL 1,education,Kwara,0.0,148,True,False,FALSE,Inf,3.51351351351351,FALSE,,kwara_ekiti,77588ae2-306e-4200-a7dd-b8a3f93f21a4,False,77588ae2-306e-4200-a7dd-b8a3f93f21a4,North-Central
False,False,480.0864902,True,FALSE,False,,,,formal_educ,Co operatve Pry School Eruku 1,primary_only,1338023987863.jpg,,False,,8.138245940208435 5.42300820350647 415.0 4.0,False,False,primary_only,Ekiti,187,187,187.0,1.29452054794521,True,ekiti,kwara,north_central,FALSE,5.0,0.0,7.0,335.0,0.0,6.0,,4.0,169.0,public,False,1338023987863.jpg,54850,114.250246819,,False,FALSE,FALSE,9.57142857142857,47.8571428571429,9.57142857142857,55.8333333333333,,False,False,Co operatve Pry School Eruku 1,education,Kwara,0.0,148,True,False,FALSE,Inf,0.504477611940298,FALSE,,kwara_ekiti,ccc398e3-7922-4a1c-8572-928f359a0e3f,False,ccc398e3-7922-4a1c-8572-928f359a0e3f,North-Central
False,False,480.0864902,False,FALSE,False,,,,formal_educ,ISARE OPIN GRAMMER SCHOOL ISARE,senior_sec_only,1337947368304.jpg,True,False,,8.095110654830933 5.224787592887878 535.0 3.0,False,False,senior_sec_only,Ekiti,187,187,187.0,1.66666666666667,False,ekiti,kwara,north_central,FALSE,1.0,1.0,3.0,40.0,1.0,1.0,,0.0,0.0,public,False,1337947368304.jpg,54850,114.250246819,,False,FALSE,FALSE,0.666666666666667,13.3333333333333,0.666666666666667,40,,False,False,ISARE OPIN GRAMMER SCHOOL ISARE,education,Kwara,0.0,148,True,False,TRUE,Inf,0,FALSE,,kwara_ekiti,21899206-5ca5-4a71-9358-f0dac04e2259,False,21899206-5ca5-4a71-9358-f0dac04e2259,North-Central
False,True,480.0864902,False,FALSE,True,,,,formal_educ,methpdist high school,junior_and_senior_sec,1338023435712.jpg,,False,,8.139705061912537 5.4298049211502075 388.0 3.0,False,False,junior_and_senior_sec,Ekiti,187,187,187.0,0.622222222222222,True,ekiti,kwara,north_central,TRUE,4.0,2.0,8.0,365.0,2.0,15.0,,3.0,752.0,public,False,1338023435712.jpg,54850,114.250246819,,True,FALSE,FALSE,14.6,45.625,2.43333333333333,24.3333333333333,,False,False,methpdist high school,education,Kwara,0.0,148,False,False,TRUE,15,2.06027397260274,FALSE,,kwara_ekiti,53e1fae8-058b-4dc8-8a9c-326943973020,False,53e1fae8-058b-4dc8-8a9c-326943973020,North-Central
False,True,480.0864902,True,FALSE,False,,,,formal_educ,Benevonet comprehensive School obbo Ayegunle,senior_sec_only,1338196395584.jpg,,False,,8.01207748 5.27084966 521.5999755859375 5.0,False,False,senior_sec_only,Ekiti,187,187,187.0,1.34210526315789,False,ekiti,kwara,north_central,TRUE,4.0,0.0,4.0,89.0,1.0,5.0,,3.0,0.0,public,False,1338196395584.jpg,54850,114.250246819,,False,FALSE,FALSE,1.48333333333333,22.25,1.48333333333333,17.8,,True,True,Benevonet comprehensive School obbo Ayegunle,education,Kwara,0.0,148,False,False,TRUE,Inf,0,FALSE,,kwara_ekiti,80ca1f02-a530-4d62-907d-3cccb8ac27cd,False,80ca1f02-a530-4d62-907d-3cccb8ac27cd,North-Central
False,False,480.0864902,False,FALSE,True,,,,formal_educ,JUNIOR SECONDARY SCHOOL ISARE OPIN,juniors_sec_only,1337945710295.jpg,True,False,,8.095067739486694 5.224916338920593 537.0 4.0,False,False,juniors_sec_only,Ekiti,187,187,187.0,0.46875,False,ekiti,kwara,north_central,TRUE,4.0,0.0,6.0,47.0,2.0,10.0,,6.0,,public,False,1337945710295.jpg,54850,114.250246819,,False,FALSE,FALSE,1.56666666666667,7.83333333333333,1.56666666666667,4.7,,True,False,JUNIOR SECONDARY SCHOOL ISARE OPIN,education,Kwara,0.0,148,True,False,FALSE,Inf,,FALSE,,kwara_ekiti,de125262-0edf-497f-b409-04e29a4fee74,False,de125262-0edf-497f-b409-04e29a4fee74,North-Central
False,False,480.0864902,True,FALSE,True,,,,religious_with_formal,Junior sec ikerin,juniors_sec_only,1337942127137.jpg,True,False,,8.10419193 5.23414166 542.0 5.0,False,False,juniors_sec_only,Ekiti,187,187,187.0,1.64705882352941,False,ekiti,kwara,north_central,TRUE,0.0,2.0,3.0,45.0,5.0,8.0,,3.0,54.0,public,False,1337942127137.jpg,54850,114.250246819,,False,FALSE,FALSE,2.25,15,1.125,5.625,,True,False,Junior sec ikerin,education,Kwara,0.0,148,False,False,TRUE,4,1.2,FALSE,,kwara_ekiti,610cf154-a940-4cfa-835d-d333e3d46bc4,False,610cf154-a940-4cfa-835d-d333e3d46bc4,North-Central
False,True,480.0864902,True,FALSE,False,,,,formal_educ,Central School 1 Oke Opin,preprimary_and_primary,1337958892025.jpg,True,True,,8.06962933 5.2392156 569.2999877929688 5.0,False,False,preprimary_and_primary,Ekiti,187,187,187.0,0.890243902439024,False,ekiti,kwara,north_central,FALSE,2.0,2.0,6.0,155.0,7.0,14.0,,12.0,170.0,public,False,1337958892025.jpg,54850,114.250246819,,False,FALSE,TRUE,3.1,25.8333333333333,3.1,11.0714285714286,,False,False,Central School 1 Oke Opin,education,Kwara,0.0,148,False,True,FALSE,Inf,1.09677419354839,FALSE,,kwara_ekiti,0eff01aa-7e8f-446e-b315-b4ff8f4de8dc,False,0eff01aa-7e8f-446e-b315-b4ff8f4de8dc,North-Central
False,False,480.0864902,True,FALSE,False,,,,formal_educ,COMMUNITY PRY. SCHOOL,primary_only,1337944360331.jpg,,False,,8.098753094673157 5.237538814544678 568.0 4.0,False,False,primary_only,Ekiti,187,187,187.0,0.7,False,ekiti,kwara,north_central,FALSE,2.0,2.0,4.0,17.0,0.0,3.0,,3.0,8.0,public,False,1337944360331.jpg,54850,114.250246819,,False,FALSE,FALSE,4.25,4.25,4.25,5.66666666666667,,False,True,COMMUNITY PRY. SCHOOL,education,Kwara,0.0,148,True,False,FALSE,Inf,0.470588235294118,FALSE,,kwara_ekiti,0c4e04a1-180b-4954-91f2-7b56d2272ed2,False,0c4e04a1-180b-4954-91f2-7b56d2272ed2,North-Central
False,True,480.0864902,True,FALSE,False,,,,formal_educ,COMMUNITY SCHOOL,preprimary_and_primary,1337946893529.jpg,,False,FALSE,8.09258172 5.23164174 517.2000122070313 5.0,False,False,preprimary_and_primary,Ekiti,187,187,187.0,1.31818181818182,False,ekiti,kwara,north_central,TRUE,0.0,,10.0,102.0,10.0,12.0,,10.0,342.0,public,False,1337946893529.jpg,54850,114.250246819,,False,FALSE,FALSE,1.02,10.2,1.02,8.5,51,False,False,COMMUNITY SCHOOL,education,Kwara,0.0,148,False,False,TRUE,12,3.35294117647059,FALSE,,kwara_ekiti,a69b568e-49d3-4c0b-9620-34a993ca29a2,False,a69b568e-49d3-4c0b-9620-34a993ca29a2,North-Central
