"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"5040",5040,5040,"735cb8d1-5de9-4350-b099-f6a508c99453","ekiti","kwara","north_central",187,"1338210756753.jpg","kwara_ekiti","735cb8d1-5de9-4350-b099-f6a508c99453","1338210756753.jpg","8.07594818 5.21469126 534.2000122070313 5.0","New era hospital","cottagehospital",TRUE,TRUE,NA,TRUE,TRUE,7,NA,TRUE,4,4,5,1,4,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"health"
"5041",5041,5041,"1fa2aa18-89b4-4139-aa9e-6ced7e0a5690","ekiti","kwara","north_central",187,"1338372261280.jpg","kwara_ekiti","1fa2aa18-89b4-4139-aa9e-6ced7e0a5690","1338372261280.jpg","8.073309659957886 5.231707692146301 546.0 4.0","CAROSI CATHOLIC HOSPITAL","comprehensivehealthcentre",TRUE,TRUE,NA,TRUE,TRUE,1,NA,FALSE,0,1,1,0,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"5042",5042,5042,"1d6ad3fa-77ec-459a-8035-e4d444e25cda","ekiti","kwara","north_central",187,"1338202391019.jpg","kwara_ekiti","1d6ad3fa-77ec-459a-8035-e4d444e25cda","1338202391019.jpg","8.03850531578064 5.213082432746887 558.0 4.0","PHC","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,FALSE,2,TRUE,FALSE,2,NA,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"health"
"5043",5043,5043,"77d0639b-cdbe-4e0c-ac51-ecdac1652fba","ekiti","kwara","north_central",187,"1338023316298.jpg","kwara_ekiti","77d0639b-cdbe-4e0c-ac51-ecdac1652fba","1338023316298.jpg","8.13338577747345 5.421178936958313 392.0 4.0","Cottage hospital","cottagehospital",FALSE,NA,NA,TRUE,FALSE,1,FALSE,FALSE,1,NA,0,NA,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health"
"5044",5044,5044,"c94e8075-b259-45d1-b8c8-e331739a7057","ekiti","kwara","north_central",187,"1338026751135.jpg","kwara_ekiti","c94e8075-b259-45d1-b8c8-e331739a7057","1338026751135.jpg","8.1363844871521 5.4215008020401 424.0 4.0","ECWA Health Centre","healthpostdispensary",FALSE,NA,NA,TRUE,FALSE,1,NA,FALSE,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"5045",5045,5045,"82eb650b-dec6-44dc-a65e-11c1977ced90","ekiti","kwara","north_central",187,"1337940405477.jpg","kwara_ekiti","82eb650b-dec6-44dc-a65e-11c1977ced90","1337940405477.jpg","8.078974485397339 5.320789217948914 436.0 4.0","cottage hospital","cottagehospital",TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE,5,2,6,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"5046",5046,5046,"bc2d4089-f433-42bc-b768-e707afa2defd","ekiti","kwara","north_central",187,"1337933290418.jpg","kwara_ekiti","bc2d4089-f433-42bc-b768-e707afa2defd","1337933290418.jpg","8.07530322 5.24971789 555.0 5.0","Health centre isolo","primaryhealthclinic",TRUE,TRUE,TRUE,FALSE,TRUE,4,FALSE,FALSE,4,0,1,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"5047",5047,5047,"3121232a-8690-48f1-8c86-3263411adc9c","ekiti","kwara","north_central",187,"1338193550477.jpg","kwara_ekiti","3121232a-8690-48f1-8c86-3263411adc9c","1338193550477.jpg","8.015883564949036 5.266426205635071 541.0 4.0","Cottage Hospital","cottagehospital",FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,FALSE,3,1,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"5048",5048,5048,"1cc750ba-f77e-4669-9eb5-4ae4b3a9c7fc","ekiti","kwara","north_central",187,"1338209890659.jpg","kwara_ekiti","1cc750ba-f77e-4669-9eb5-4ae4b3a9c7fc","1338209890659.jpg","8.07633307 5.23106446 536.7000122070313 5.0","Osi comprehensive healt centre","comprehensivehealthcentre",TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,FALSE,3,0,1,1,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health"
"5049",5049,5049,"2aeac229-de04-4ddf-a50d-6d68da1713bf","ekiti","kwara","north_central",187,"1337956676226.jpg","kwara_ekiti","2aeac229-de04-4ddf-a50d-6d68da1713bf","1337956676226.jpg","8.0707276 5.23709395 542.5 5.0","OKE OPIN HEALTH CENTRE","primaryhealthcarecentre",FALSE,FALSE,NA,TRUE,TRUE,7,FALSE,FALSE,7,0,2,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"health"
