antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,174.6443191,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0212604989386,2.35382883285,False,True,False,,,False,,,Danialu clinic and mat,FALSE,maternity,False,True,False,True,1345818694979.jpg,8.46504992 4.60060121 389.6000061035156 5.0,False,True,FALSE,False,,,False,TRUE,,True,True,False,True,False,False,False,Ilorin South,346,346,345.0,False,True,False,True,False,False,False,False,False,False,FALSE,ilorin_south,kwara,north_central,1,1,0.0,0.0,1.0,1.0,False,public,False,False,1345818694979.jpg,208691,1194.94868814,True,False,False,health,True,TRUE,Kwara,False,False,Others,FALSE,kwara_ilorin_south,False,9db44e48-1b5b-4545-a779-706059de5e0f,,,9db44e48-1b5b-4545-a779-706059de5e0f,North-Central
False,174.6443191,False,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.00244693094469,0.270907889198,False,True,False,False,False,False,,True,Jalala health centre,FALSE,primaryhealthclinic,False,True,False,True,1345897184989.jpg,8.4743652 4.6284552 379.29998779296875 5.0,False,True,FALSE,False,True,True,False,FALSE,True,True,False,False,False,False,False,False,Ilorin South,346,346,345.0,False,True,True,True,False,False,False,False,False,False,FALSE,ilorin_south,kwara,north_central,1,1,0.0,0.0,3.0,2.0,False,public,False,True,1345897184989.jpg,208691,1194.94868814,False,False,False,health,True,TRUE,Kwara,False,True,Others,TRUE,kwara_ilorin_south,False,0d93d121-9b0c-4e48-b5fa-b96c9fc30518,,,0d93d121-9b0c-4e48-b5fa-b96c9fc30518,North-Central
False,174.6443191,True,True,True,True,False,True,False,False,True,True,True,False,False,True,TRUE,False,0.0758095553955,8.39241902303,False,True,False,True,False,False,,,COTTAGE HOSPITAL OGIDI,TRUE,cottagehospital,False,True,False,True,1345901937413.jpg,8.51392148 4.50784311 348.6000061035156 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Ilorin South,346,346,347.0,False,True,True,True,True,False,False,False,False,False,FALSE,ilorin_south,kwara,north_central,11,10,2.0,2.0,10.0,6.0,False,public,False,True,1345901937413.jpg,208691,1194.94868814,True,False,False,health,True,FALSE,Kwara,False,True,Others,TRUE,kwara_ilorin_south,False,315c78c2-cf6c-4f62-9b39-c98507ababb4,,,315c78c2-cf6c-4f62-9b39-c98507ababb4,North-Central
False,174.6443191,False,False,False,True,False,False,False,True,True,True,True,True,True,True,TRUE,False,0.0191933893603,2.12493135011,True,True,False,True,True,False,True,,Civil service hospital,TRUE,generalhospital,False,True,False,True,1345912877947.jpg,8.48044663 4.5696674 363.20001220703125 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Ilorin South,346,346,345.0,False,True,True,True,True,False,False,False,False,False,FALSE,ilorin_south,kwara,north_central,9,9,,,0.0,,False,public,False,True,1345912877947.jpg,208691,1194.94868814,True,False,False,health,False,TRUE,Kwara,True,True,Others,TRUE,kwara_ilorin_south,False,8fa8a91b-0973-4e22-87bd-62819e2e097c,False,False,8fa8a91b-0973-4e22-87bd-62819e2e097c,North-Central
False,174.6443191,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.000976843770642,0.108148201982,False,True,False,True,True,False,,,Tanke Health care centre,TRUE,primaryhealthcarecentre,False,True,False,True,1345906265887.jpg,8.4851684 4.60357113 406.29998779296875 5.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,True,False,False,Ilorin South,346,346,345.0,False,True,True,True,True,False,False,False,False,False,FALSE,ilorin_south,kwara,north_central,3,3,0.0,2.0,16.0,8.0,False,public,,False,1345906265887.jpg,208691,1194.94868814,True,False,False,health,True,TRUE,Kwara,False,True,Others,TRUE,kwara_ilorin_south,False,73633ca6-c588-4f43-a797-16d3db220db0,,,73633ca6-c588-4f43-a797-16d3db220db0,North-Central
False,174.6443191,True,True,True,True,False,True,False,True,True,True,True,True,True,True,TRUE,False,0.027601555802,3.05576110872,False,True,False,True,False,False,True,,WARD COMMUNITY CLINIC AND MATERNITY,TRUE,primaryhealthclinic,False,True,False,True,1345680802263.jpg,8.49068142 4.55596207 315.6000061035156 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Ilorin South,346,346,345.0,False,True,True,True,True,False,False,False,False,False,FALSE,ilorin_south,kwara,north_central,11,8,0.0,2.0,16.0,1.0,False,public,False,True,1345680802263.jpg,208691,1194.94868814,True,False,False,health,True,TRUE,Kwara,False,True,Others,FALSE,kwara_ilorin_south,False,3c43c5f9-eaf1-4984-8463-8a3126044347,False,False,3c43c5f9-eaf1-4984-8463-8a3126044347,North-Central
False,174.6443191,False,False,True,True,False,True,False,True,True,True,True,False,,False,FALSE,False,0.0144866329731,1.60389904462,False,True,False,,,False,True,,Ero omo primary health Centre,TRUE,primaryhealthclinic,False,True,False,True,1345820543935.jpg,8.45284485 4.58533989 361.0 5.0,False,False,FALSE,False,True,True,False,TRUE,,False,True,False,True,False,False,False,Ilorin South,346,346,345.0,False,True,False,True,True,False,False,False,False,False,FALSE,ilorin_south,kwara,north_central,11,10,0.0,4.0,2.0,0.0,False,public,,True,1345820543935.jpg,208691,1194.94868814,True,False,False,health,True,TRUE,Kwara,False,True,Others,TRUE,kwara_ilorin_south,False,354e5c93-e610-40e2-be96-09aaa0960c7f,False,False,354e5c93-e610-40e2-be96-09aaa0960c7f,North-Central
False,174.6443191,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,0.00576025005619,0.637741946944,False,True,False,,,False,,True,Mogaji Ajomu Health centre,,primaryhealthclinic,False,,False,,1345731971244.jpg,8.46655371 4.74244935 415.70001220703125 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Ilorin South,346,346,,False,True,False,False,False,False,False,False,False,False,FALSE,ilorin_south,kwara,north_central,10,10,0.0,0.0,0.0,0.0,False,public,False,True,1345731971244.jpg,208691,1194.94868814,True,False,False,health,False,TRUE,Kwara,,,Others,FALSE,kwara_ilorin_south,False,01c3b92b-1721-4304-aa9f-ca95cdffe00c,,,01c3b92b-1721-4304-aa9f-ca95cdffe00c,North-Central
False,174.6443191,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,False,False,False,,,Prototype clinic,FALSE,primaryhealthclinic,False,True,False,True,1345737130029.jpg,8.45203895 4.71994634 442.5 5.0,False,True,FALSE,False,True,True,False,FALSE,True,True,False,False,True,False,False,False,Ilorin South,346,346,346.0,False,True,False,True,False,False,False,False,False,False,FALSE,ilorin_south,kwara,north_central,2,2,1.0,0.0,0.0,0.0,False,public,False,True,1345737130029.jpg,208691,1194.94868814,False,False,False,health,True,TRUE,Kwara,False,False,Others,FALSE,kwara_ilorin_south,False,95987e7a-7fa5-41f4-84c4-cc9e32894702,,,95987e7a-7fa5-41f4-84c4-cc9e32894702,North-Central
False,174.6443191,True,True,True,True,True,True,False,True,True,True,True,True,True,True,TRUE,False,0.0554814455314,6.14190505108,True,True,False,True,True,False,False,True,Sobi Specialist Hospital,TRUE,specialisthospital,False,True,False,True,1346066418179.jpg,8.5351041 4.53962294 346.6000061035156 5.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,True,False,False,Ilorin South,346,346,345.0,False,True,True,True,True,False,False,False,False,False,FALSE,ilorin_south,kwara,north_central,0,0,39.0,,12.0,,False,public,False,True,1346066418179.jpg,208691,1194.94868814,True,False,False,health,True,TRUE,Kwara,True,True,Others,TRUE,kwara_ilorin_south,False,efaf5035-a916-4dc4-816c-a967404cde9d,False,False,efaf5035-a916-4dc4-816c-a967404cde9d,North-Central
