breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,,Pamo,,,,1342096548045.jpg,No,8.29184911 5.0390245 534.5999755859375 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342096548045.jpg,water,Kwara,kwara_isin,7956ad24-d949-471b-b3ce-aa94cbe86b3e,Pamo sabaja oba ward,Tap,outlet,,7956ad24-d949-471b-b3ce-aa94cbe86b3e,North-Central
Mechanical Issue,,Olla,,,Stand Alone Water Point,1342089721803.jpg,No,8.20963879 5.18261387 479.70001220703125 5.0,True,Isin,365,365,365.0,Hand Pump,No,1342089721803.jpg,water,Kwara,kwara_isin,0f178d8c-47bb-486d-92bd-e910ece6d545,Olla ward ,Borehole,water_source,borehole_tube_well,0f178d8c-47bb-486d-92bd-e910ece6d545,North-Central
Functional,,Olla,,,Stand Alone Water Point,1342084046690.jpg,Yes,8.20810745 5.18269395 491.20001220703125 5.0,False,Isin,365,365,365.0,Manual,No,1342084046690.jpg,water,Kwara,kwara_isin,2a94d4ef-cafc-43a1-ada8-6c2dfa5d2e7a,Olla ward,Unimproved Well,water_source,protected_dug_well,2a94d4ef-cafc-43a1-ada8-6c2dfa5d2e7a,North-Central
Functional,,Alla,,,"Water Scheme, Source within 100m",1341995114612.jpg,Yes,8.26130134 4.95447542 492.6000061035156 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1341995114612.jpg,water,Kwara,kwara_isin,cc0c4a10-6679-4efd-a03e-14db84311435,Alla,Tap,outlet,,cc0c4a10-6679-4efd-a03e-14db84311435,North-Central
Functional,,Owu,,,"Water Scheme, Source within 100m",1342167485587.jpg,Yes,8.28318272 5.0207615 479.0 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342167485587.jpg,water,Kwara,kwara_isin,65a8198a-c5bc-4104-8b2a-c24facf92dfc,OWU ISIN,Tap,outlet,,65a8198a-c5bc-4104-8b2a-c24facf92dfc,North-Central
Functional,,Igbesi,,,Stand Alone Water Point,1342087809217.jpg,Yes,8.21049583 4.96701079 483.0 5.0,False,Isin,365,365,365.0,,No,1342087809217.jpg,water,Kwara,kwara_isin,408ec900-43c3-4925-b8f7-4a89300e7e87,Oke onigbin,Unimproved Well,water_source,protected_dug_well,408ec900-43c3-4925-b8f7-4a89300e7e87,North-Central
Functional,,Isanlu Isin,,,"Water Scheme, Source within 100m",1342255960296.jpg,Yes,8.2322499 5.08864078 603.0999755859375 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342255960296.jpg,water,Kwara,kwara_isin,fe93156e-20b6-4bee-a66d-90c69b62e52a,Ward2,Tap,outlet,,fe93156e-20b6-4bee-a66d-90c69b62e52a,North-Central
Functional,,Olla,,,Stand Alone Water Point,1342087666911.jpg,Yes,8.21438167 5.17947214 496.1000061035156 5.0,False,Isin,365,365,365.0,,No,1342087666911.jpg,water,Kwara,kwara_isin,c9eb0a8a-9ec4-4af2-bb7c-baa9aa83d3e3,Olla,Unimproved Well,water_source,protected_dug_well,c9eb0a8a-9ec4-4af2-bb7c-baa9aa83d3e3,North-Central
Functional,,Oke onigbin,,,Stand Alone Water Point,1342173281737.jpg,Yes,8.21736461 5.00356693 501.0 5.0,False,Isin,365,365,365.0,Diesel,No,1342173281737.jpg,water,Kwara,kwara_isin,ca7ba3a6-18e8-4364-8111-b1fc8c6ca668,Oke onigbin,Unimproved Well,water_source,protected_dug_well,ca7ba3a6-18e8-4364-8111-b1fc8c6ca668,North-Central
Functional,,Isanlu lsin,,,Stand Alone Water Point,1342255185551.jpg,Yes,8.23331329 5.08704192 607.7999877929688 5.0,False,Isin,365,365,365.0,Manual,No,1342255185551.jpg,water,Kwara,kwara_isin,73a7f3be-4fec-4ea7-a2e6-9ab6f7868443,Isanlu lsin ward ll,Unimproved Well,water_source,protected_dug_well,73a7f3be-4fec-4ea7-a2e6-9ab6f7868443,North-Central
Functional,,Oke onigbin,,,Stand Alone Water Point,1342174743418.jpg,Yes,8.21898714 4.9993042 512.0 5.0,False,Isin,365,365,365.0,,No,1342174743418.jpg,water,Kwara,kwara_isin,092acc71-d0e7-4ad2-b0c4-48c9bf477229,Oke onigbin,Unimproved Well,water_source,unprotected_dug_well,092acc71-d0e7-4ad2-b0c4-48c9bf477229,North-Central
Dry Well,,Eleyin community,,,"Water Scheme, Source within 1km",1341992067483.jpg,No,8.17311484 5.04221712 523.5999755859375 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1341992067483.jpg,water,Kwara,kwara_isin,6e1521a9-0d54-44ff-8242-2f9cb011d83e,Ward 1,Tap,outlet,,6e1521a9-0d54-44ff-8242-2f9cb011d83e,North-Central
Functional,,Alla,,,Stand Alone Water Point,1341998644809.jpg,Yes,8.27109567 4.95237026 443.29998779296875 5.0,False,Isin,365,365,365.0,,No,1341998644809.jpg,water,Kwara,kwara_isin,01b4ed86-a664-4c55-9c5f-b1ecbb867ced,Alla,Unimproved Well,water_source,unprotected_dug_well,01b4ed86-a664-4c55-9c5f-b1ecbb867ced,North-Central
Functional,,Isanlu Isin,,,Stand Alone Water Point,1342253215691.jpg,Yes,8.23676992 5.08781081 595.7999877929688 5.0,True,Isin,365,365,365.0,Hand Pump,No,1342253215691.jpg,water,Kwara,kwara_isin,e2058065-42fe-44e8-85d0-62895108a47a,Isanlu Isin ward ll,Borehole,water_source,borehole_tube_well,e2058065-42fe-44e8-85d0-62895108a47a,North-Central
Functional,,Ijara isin,,,Stand Alone Water Point,1342091112134.jpg,Yes,8.25970567 5.02819605 476.20001220703125 5.0,False,Isin,365,365,365.0,,No,1342091112134.jpg,water,Kwara,kwara_isin,8536f40b-9d69-434f-b888-9e42736e9322,Ijara isin,Unimproved Well,water_source,protected_dug_well,8536f40b-9d69-434f-b888-9e42736e9322,North-Central
Functional,,Oke oyi,,,"Water Scheme, Source within 100m",1341990020395.jpg,Yes,8.25239649 4.98640678 477.79998779296875 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1341990020395.jpg,water,Kwara,kwara_isin,dd5d058a-0edc-4ac5-8c69-530bcd37dde4,Owu,Tap,outlet,,dd5d058a-0edc-4ac5-8c69-530bcd37dde4,North-Central
Functional,,Edidi,,,"Water Scheme, Source within 100m",1341928246366.jpg,Yes,8.23310547 4.94003364 452.79998779296875 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1341928246366.jpg,water,Kwara,kwara_isin,c3d31ef8-2f19-485c-9865-1b924f9f2a91,Edidi,Tap,outlet,,c3d31ef8-2f19-485c-9865-1b924f9f2a91,North-Central
Functional,,Olla,,,Stand Alone Water Point,1342088111131.jpg,Yes,8.21471752 5.18027267 494.70001220703125 5.0,False,Isin,365,365,365.0,Manual,No,1342088111131.jpg,water,Kwara,kwara_isin,6c41b7f1-b431-4868-bfb3-2587892e352d,Olla ward,Unimproved Well,water_source,protected_dug_well,6c41b7f1-b431-4868-bfb3-2587892e352d,North-Central
Functional,,Oke_oyi,,,"Water Scheme, Source within 100m",1341991934124.jpg,Yes,8.25444028 4.98932874 447.20001220703125 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1341991934124.jpg,water,Kwara,kwara_isin,9342ec69-afad-4e44-9b6c-b6647541def4,Owu,Tap,outlet,,9342ec69-afad-4e44-9b6c-b6647541def4,North-Central
Functional,,Oba isin,,,"Water Scheme, Source within 100m",1342251599785.jpg,Yes,8.29254301 5.0565738 477.5 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342251599785.jpg,water,Kwara,kwara_isin,25ce08b7-5570-41a7-a04d-92d00891e245,OBA ISIN,Tap,outlet,,25ce08b7-5570-41a7-a04d-92d00891e245,North-Central
Functional,,Odo eku,,,Stand Alone Water Point,1342008059386.jpg,Yes,8.33584291 4.9804944 458.20001220703125 5.0,True,Isin,365,365,365.0,,No,1342008059386.jpg,water,Kwara,kwara_isin,13d24caf-ec17-45e4-9ade-a01169bfa046,Oke aba,Borehole,water_source,borehole_tube_well,13d24caf-ec17-45e4-9ade-a01169bfa046,North-Central
Functional,,Edidi,,,"Water Scheme, Source within 1km",1341929039234.jpg,Yes,8.2293762 4.93841445 444.20001220703125 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1341929039234.jpg,water,Kwara,kwara_isin,c01563c0-5ec1-46a5-bca0-d862867af3b8,Edidi,Tap,outlet,,c01563c0-5ec1-46a5-bca0-d862867af3b8,North-Central
Functional,,Pamo isin,,,"Water Scheme, Source within 100m",1342097357678.jpg,Yes,8.29372842 5.03864833 524.5999755859375 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342097357678.jpg,water,Kwara,kwara_isin,b4371279-f296-4158-b32a-059f3eefc268,Pamo isin,Tap,outlet,,b4371279-f296-4158-b32a-059f3eefc268,North-Central
Mechanical Issue,,Olla,,,"Water Scheme, Source within 100m",1342085652765.jpg,No,8.20867287 5.1840456 495.70001220703125 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342085652765.jpg,water,Kwara,kwara_isin,8545b256-4222-45be-9d01-b443384edd9f,Olla,Tap,outlet,,8545b256-4222-45be-9d01-b443384edd9f,North-Central
Mechanical Issue,,Olla,,,"Water Scheme, Source within 100m",1342085338609.jpg,No,8.20926236 5.18422334 480.8999938964844 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342085338609.jpg,water,Kwara,kwara_isin,2e72d05a-9508-43fd-89dc-98e36ea6d7b7,Olla,Tap,outlet,,2e72d05a-9508-43fd-89dc-98e36ea6d7b7,North-Central
Functional,,OKE EKU,,,"Water Scheme, Source within 100m",1342008454000.jpg,Yes,8.3345065 4.98091394 460.29998779296875 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342008454000.jpg,water,Kwara,kwara_isin,0cc79e7a-8ba1-4559-917b-94bae6c7e786,ODO ABA,Tap,outlet,,0cc79e7a-8ba1-4559-917b-94bae6c7e786,North-Central
Poor Water Quality,,Oke onigbin,,,"Water Scheme, Source within 100m",1342171910704.jpg,No,8.22304633 4.99903589 512.7000122070313 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342171910704.jpg,water,Kwara,kwara_isin,2c315882-66c0-4606-978b-6be3ff99f7d8,Oke onigbin,Tap,outlet,,2c315882-66c0-4606-978b-6be3ff99f7d8,North-Central
Mechanical Issue,,Olla,,,Stand Alone Water Point,1342087477132.jpg,No,8.21387817 5.17996532 508.0 5.0,False,Isin,365,365,365.0,Diesel,No,1342087477132.jpg,water,Kwara,kwara_isin,1fc6e7d2-77c0-4ce1-b231-f0b44eb72267,Olla ward,Unimproved Well,water_source,protected_dug_well,1fc6e7d2-77c0-4ce1-b231-f0b44eb72267,North-Central
Functional,,Isanlu isin,,,Stand Alone Water Point,1342250650095.jpg,Yes,8.22944542 5.08153499 597.0 5.0,False,Isin,365,365,365.0,,No,1342250650095.jpg,water,Kwara,kwara_isin,721762d1-dd49-44b2-a690-6adc0138940f,Isinlu ward 1,Unimproved Well,water_source,protected_dug_well,721762d1-dd49-44b2-a690-6adc0138940f,North-Central
Functional,,Oponda,,,Stand Alone Water Point,1342077059648.jpg,Yes,8.31487824 4.96517896 417.3999938964844 5.0,True,Isin,365,365,365.0,,No,1342077059648.jpg,water,Kwara,kwara_isin,1829c1a4-aefb-4cc8-9a1d-bbf33884a33e,Alla,Borehole,water_source,borehole_tube_well,1829c1a4-aefb-4cc8-9a1d-bbf33884a33e,North-Central
Dry Well,,Ijara,,,"Water Scheme, Source within 100m",1342013169606.jpg,No,8.27295883 5.01358119 472.3999938964844 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342013169606.jpg,water,Kwara,kwara_isin,c973bd37-e118-4bb4-861f-cf9f1342bad4,Ijara ward,Tap,outlet,,c973bd37-e118-4bb4-861f-cf9f1342bad4,North-Central
Functional,,Owu isin,,,"Water Scheme, Source within 100m",1342164787157.jpg,Yes,8.28266072 5.01683985 459.20001220703125 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342164787157.jpg,water,Kwara,kwara_isin,f610cd12-8c34-4e94-ae11-4e47892456e2,Owu,Tap,outlet,,f610cd12-8c34-4e94-ae11-4e47892456e2,North-Central
Mechanical Issue,,OKE_ONIGBIN,,,"Water Scheme, Source within 100m",1342174176902.jpg,No,8.21694617 4.9993767 505.3999938964844 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342174176902.jpg,water,Kwara,kwara_isin,65a9bf62-80f2-4326-a88a-b8db61bac56b,OKE-ONIGBIN,Tap,outlet,,65a9bf62-80f2-4326-a88a-b8db61bac56b,North-Central
Functional,,Opega,,,"Water Scheme, Source within 100m",1342080044655.jpg,Yes,8.30502619 4.95796065 451.6000061035156 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342080044655.jpg,water,Kwara,kwara_isin,1be7c159-2959-47b1-8b58-860dda03b3a1,Alla,Tap,outlet,,1be7c159-2959-47b1-8b58-860dda03b3a1,North-Central
Functional,,OKE-ONIGBIN,,,Stand Alone Water Point,1342172297996.jpg,Yes,8.22226296 5.00073544 513.5 5.0,False,Isin,365,365,365.0,Electric,No,1342172297996.jpg,water,Kwara,kwara_isin,12be77f9-7ef9-4832-aad9-7323b789fa82,OKE_ONIGBIN,Unimproved Well,water_source,protected_dug_well,12be77f9-7ef9-4832-aad9-7323b789fa82,North-Central
Functional,,Sabaja,,,Stand Alone Water Point,1342098876434.jpg,Yes,8.29699134 5.03511111 514.2999877929688 5.0,False,Isin,365,365,365.0,,No,1342098876434.jpg,water,Kwara,kwara_isin,a9113c01-9ab8-4928-8c40-1a43a91ffd0e,Pamo sabaja oba ward,Unimproved Well,water_source,protected_dug_well,a9113c01-9ab8-4928-8c40-1a43a91ffd0e,North-Central
Functional,,Olla,,,Stand Alone Water Point,1342083796173.jpg,Yes,8.2076488 5.18350092 480.6000061035156 5.0,False,Isin,365,365,365.0,,No,1342083796173.jpg,water,Kwara,kwara_isin,0c78bd5b-ae4e-4e39-acd7-86abe9316d9a,Olla ward,Unimproved Well,water_source,protected_dug_well,0c78bd5b-ae4e-4e39-acd7-86abe9316d9a,North-Central
Functional,,Isanlu lsin,,,Stand Alone Water Point,1342250800009.jpg,Yes,8.22922877 5.08231152 622.0 5.0,True,Isin,365,365,365.0,Electric,No,1342250800009.jpg,water,Kwara,kwara_isin,12f1bfc9-ecb8-43a9-ada4-8e510382b3df,Isanlu Isin ward l,Borehole,water_source,borehole_tube_well,12f1bfc9-ecb8-43a9-ada4-8e510382b3df,North-Central
Functional,,OKE ONIGBIN,,,"Water Scheme, Source within 100m",1342176209981.jpg,Yes,8.22115659 4.99729982 514.4000244140625 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342176209981.jpg,water,Kwara,kwara_isin,f5eab995-c9f6-4213-b6ad-6c4f789e5df4,OKE ONIGBIN,Tap,outlet,,f5eab995-c9f6-4213-b6ad-6c4f789e5df4,North-Central
Functional,,Ijara isin,,,Stand Alone Water Point,1342090840128.jpg,Yes,8.2602038 5.02854118 479.70001220703125 5.0,False,Isin,365,365,365.0,,No,1342090840128.jpg,water,Kwara,kwara_isin,938467d6-39bc-4e8e-a30d-aa05e4ab7677,Ijara isin,Unimproved Well,water_source,protected_dug_well,938467d6-39bc-4e8e-a30d-aa05e4ab7677,North-Central
Functional,, Oba isin,,,,1342254155988.jpg,Yes,8.29415065 5.05921545 478.3999938964844 5.0,False,Isin,365,365,365.0,,No,1342254155988.jpg,water,Kwara,kwara_isin,a583ffc8-dd2c-43e6-aa42-57dab7c6f689,Pamo sabaja oba,Don't Know,dk,,a583ffc8-dd2c-43e6-aa42-57dab7c6f689,North-Central
Dry Well,,Owu,,,Stand Alone Water Point,1342174138286.jpg,No,8.28680208 5.03022533 486.1000061035156 5.0,False,Isin,365,365,365.0,Manual,No,1342174138286.jpg,water,Kwara,kwara_isin,23e2daf2-f594-40f7-85af-73ebddcdd9c9,Owu ,Unimproved Well,water_source,protected_dug_well,23e2daf2-f594-40f7-85af-73ebddcdd9c9,North-Central
Functional,,Sabaja,,,"Water Scheme, Source within 100m",1342099142127.jpg,Yes,8.29716532 5.03546765 516.0 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342099142127.jpg,water,Kwara,kwara_isin,49097d20-6b65-4083-8d91-75e5a4270f4d,Pamo sabaja oba ward,Tap,outlet,,49097d20-6b65-4083-8d91-75e5a4270f4d,North-Central
Functional,,OPONDA,,,"Water Scheme, Source within 1km",1342076695241.jpg,Yes,8.31463614 4.96473792 425.79998779296875 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342076695241.jpg,water,Kwara,kwara_isin,31244a03-c744-4f94-b62f-3be4ef9865f7,ALLA,Tap,outlet,,31244a03-c744-4f94-b62f-3be4ef9865f7,North-Central
Functional,,Ijara isin ,,,,1342087470371.jpg,Yes,8.25612352 5.02697371 495.3999938964844 5.0,False,Isin,365,365,365.0,,No,1342087470371.jpg,water,Kwara,kwara_isin,4502d647-cf14-4f5c-981d-56bb92d27544,Ijara isin,Don't Know,dk,,4502d647-cf14-4f5c-981d-56bb92d27544,North-Central
Poorly Constructed,,Isanlu lsin,,,Stand Alone Water Point,1342262000687.jpg,No,8.22669968 5.08294308 635.4000244140625 5.0,True,Isin,365,365,365.0,,No,1342262000687.jpg,water,Kwara,kwara_isin,3f17f1b0-05e0-4599-8e51-da8a4dcdd409,Isanlu lsin ward l,Borehole,water_source,borehole_tube_well,3f17f1b0-05e0-4599-8e51-da8a4dcdd409,North-Central
Mechanical Issue,,ODE Eku,,,"Water Scheme, Source within 100m",1342008206487.jpg,No,8.33578189 4.98037562 454.29998779296875 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342008206487.jpg,water,Kwara,kwara_isin,b48c9d0c-0b41-4e2c-8221-2b3bff0fe5dc,OKE ABA,Tap,outlet,,b48c9d0c-0b41-4e2c-8221-2b3bff0fe5dc,North-Central
Functional,,Olla,,,Stand Alone Water Point,1342088490830.jpg,Yes,8.21418521 5.18178872 506.29998779296875 5.0,True,Isin,365,365,365.0,Solar,No,1342088490830.jpg,water,Kwara,kwara_isin,5070418e-9b78-4766-b420-d328338ce30c,Olla ward,Borehole,water_source,borehole_tube_well,5070418e-9b78-4766-b420-d328338ce30c,North-Central
Mechanical Issue,,OKE ONIGBIN,,,"Water Scheme, Source within 100m",1342176708317.jpg,No,8.21929128 4.99829138 522.9000244140625 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342176708317.jpg,water,Kwara,kwara_isin,31695430-820c-4d24-bfbe-2861553e756f,OKE ONIGBIN,Tap,outlet,,31695430-820c-4d24-bfbe-2861553e756f,North-Central
Functional,,EDIDI,,,,1342083643272.jpg,Yes,8.23871584 4.94304626 471.1000061035156 5.0,True,Isin,365,365,365.0,Tap (unknown lift),No,1342083643272.jpg,water,Kwara,kwara_isin,49aa67c5-45e9-43db-8a98-84738d471763,EDIDI,Tap,outlet,,49aa67c5-45e9-43db-8a98-84738d471763,North-Central
Mechanical Issue,,Isanlu lsin,,,Stand Alone Water Point,1342258320207.jpg,No,8.23236742 5.08196629 599.4000244140625 5.0,True,Isin,365,365,365.0,Electric,No,1342258320207.jpg,water,Kwara,kwara_isin,85332c1f-97b9-42a6-b2a4-bb68c884925e,Isanlu lsin ward ll,Borehole,water_source,borehole_tube_well,85332c1f-97b9-42a6-b2a4-bb68c884925e,North-Central
