"","X","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn"
"1",14670,"72461323-a257-4944-b919-3a4a9a046b65","offa","kwara","north_central",560,"1342003634710.jpg","kwara_offa","72461323-a257-4944-b919-3a4a9a046b65","1342003634710.jpg","8.148829 4.72061444 439.70001220703125 5.0","PHC balogun","primaryhealthcarecentre",FALSE,FALSE,NA,TRUE,TRUE,8,TRUE,FALSE,7,3,6,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"2",14671,"94b80c66-6915-457b-b56b-6bb872194fbf","offa","kwara","north_central",560,"1342434778161.jpg","kwara_offa","94b80c66-6915-457b-b56b-6bb872194fbf","1342434778161.jpg","8.22049407 4.66492187 434.29998779296875 5.0","Xxx","comprehensivehealthcentre",FALSE,FALSE,TRUE,TRUE,FALSE,3,TRUE,FALSE,2,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"3",14672,"06a4449b-c388-4054-a557-096933e4b9fb","offa","kwara","north_central",560,"1342113397141.jpg","kwara_offa","06a4449b-c388-4054-a557-096933e4b9fb","1342113397141.jpg","8.15449032 4.71346886 456.20001220703125 5.0","Carol‘s Clinic And Maternity","maternity",TRUE,TRUE,NA,TRUE,TRUE,1,NA,FALSE,1,0,1,0,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"4",14673,"d64089e6-fc54-466e-ad7c-ec3ceafbf9fc","offa","kwara","north_central",560,"1342101828995.jpg","kwara_offa","d64089e6-fc54-466e-ad7c-ec3ceafbf9fc","1342101828995.jpg","8.16380102 4.72491317 436.29998779296875 5.0","Comprehensive Health Centre","comprehensivehealthcentre",TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE,TRUE,6,2,3,4,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"5",14674,"c0a65910-b020-4de9-8056-c512f90b50f3","offa","kwara","north_central",560,"1342016179627.jpg","kwara_offa","c0a65910-b020-4de9-8056-c512f90b50f3","1342016179627.jpg","8.15383534 4.73232152 438.70001220703125 5.0","Olanipekun Medical Clinic","wardmodelphccentre",TRUE,TRUE,NA,TRUE,TRUE,6,NA,TRUE,6,1,0,2,2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"6",14675,"76c81b12-64f6-4417-a498-b935c0edd6c0","offa","kwara","north_central",560,"1341925533260.jpg","kwara_offa","76c81b12-64f6-4417-a498-b935c0edd6c0","1341925533260.jpg","8.14603888 4.72400258 442.5 5.0","Primary Heath Centre Igbo-oro","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,TRUE,16,TRUE,FALSE,14,0,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"7",14676,"665903b8-3862-49ee-9936-ffb4822fe5dc","offa","kwara","north_central",560,"1342190614089.jpg","kwara_offa","665903b8-3862-49ee-9936-ffb4822fe5dc","1342190614089.jpg","8.15781958 4.7239982 450.0 5.0","Owode market base clinic","primaryhealthclinic",FALSE,NA,TRUE,TRUE,FALSE,2,TRUE,FALSE,1,0,0,0,0,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"8",14677,"77f007b7-7a1d-4575-8a51-7f59f2e21d14","offa","kwara","north_central",560,"1342188256657.jpg","kwara_offa","77f007b7-7a1d-4575-8a51-7f59f2e21d14","1342188256657.jpg","8.15331214 4.7154304 471.6000061035156 5.0","National programme on immunization","primaryhealthcarecentre",FALSE,NA,NA,FALSE,FALSE,5,TRUE,FALSE,1,0,0,0,0,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",14678,"42bf8f32-1f65-4f18-ab28-a096f54f245b","offa","kwara","north_central",560,"1342016922433.jpg","kwara_offa","42bf8f32-1f65-4f18-ab28-a096f54f245b","1342016922433.jpg","8.16091113 4.72800137 434.8999938964844 5.0","THE CLINIC","primaryhealthclinic",TRUE,TRUE,NA,TRUE,TRUE,4,NA,TRUE,4,0,0,1,2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
"10",14679,"16edab90-1daf-4f50-ac61-e8a3dbd06c05","offa","kwara","north_central",560,"1342085120132.jpg","kwara_offa","16edab90-1daf-4f50-ac61-e8a3dbd06c05","1342085120132.jpg","8.15641478 4.71505273 448.29998779296875 5.0","General Hospital Offa","generalhospital",TRUE,TRUE,FALSE,TRUE,TRUE,2,TRUE,TRUE,1,5,4,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
