breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,,Ile-obatiwajoye,,,"Water Scheme, Source further than 1km",1342087134570.jpg,No,8.1544145 4.72198602 453.3999938964844 5.0,True,Offa,560,560,560.0,Tap (unknown lift),No,1342087134570.jpg,water,Kwara,kwara_offa,be43d05b-e602-4319-8ba9-fa44958b7138,Ojomu central b,Tap,outlet,,be43d05b-e602-4319-8ba9-fa44958b7138,North-Central
Functional,,Ile-ade,,,Stand Alone Water Point,1342081134985.jpg,Yes,8.15073702 4.71962202 452.79998779296875 5.0,False,Offa,560,560,560.0,Manual,No,1342081134985.jpg,water,Kwara,kwara_offa,c52045b4-c873-40eb-92e5-869cd88e8380,Ojomu central a,Unimproved Well,water_source,protected_dug_well,c52045b4-c873-40eb-92e5-869cd88e8380,North-Central
Mechanical Issue,,Obanimomo,,,"Water Scheme, Source further than 1km",1342109025496.jpg,No,8.15669706 4.70979382 460.20001220703125 5.0,True,Offa,560,560,560.0,Tap (unknown lift),No,1342109025496.jpg,water,Kwara,kwara_offa,6f8e296b-51fb-407c-aabd-efb7c3f792f7,Ojomu NNW,Tap,outlet,,6f8e296b-51fb-407c-aabd-efb7c3f792f7,North-Central
Functional,,Oye Balogun,,,Stand Alone Water Point,1342024340565.jpg,Yes,8.15216673 4.72364807 456.20001220703125 5.0,False,Offa,560,560,560.0,Manual,No,1342024340565.jpg,water,Kwara,kwara_offa,3bce096e-11ad-4ff3-9fa8-b93a923b202a,Ojomu S/E,Unimproved Well,water_source,protected_dug_well,3bce096e-11ad-4ff3-9fa8-b93a923b202a,North-Central
Functional,,Elerin,,,Stand Alone Water Point,1341994239019.jpg,Yes,8.14396896 4.72117829 442.70001220703125 5.0,False,Offa,560,560,560.0,Manual,No,1341994239019.jpg,water,Kwara,kwara_offa,4b7cad84-93d4-479e-8913-206fbd238b95,Essa B,Unimproved Well,water_source,protected_dug_well,4b7cad84-93d4-479e-8913-206fbd238b95,North-Central
Don't Know,,Gedegbe,,,"Water Scheme, Source further than 1km",1342021536805.jpg,No,8.15118695 4.72618313 440.79998779296875 5.0,True,Offa,560,560,560.0,Tap (unknown lift),No,1342021536805.jpg,water,Kwara,kwara_offa,ce8b6894-2292-476f-86da-173705effbaa,Ojomu,Tap,outlet,,ce8b6894-2292-476f-86da-173705effbaa,North-Central
Mechanical Issue,,Ijewu,,,"Water Scheme, Source within 100m",1342023509434.jpg,No,8.15089412 4.72430366 441.20001220703125 5.0,True,Offa,560,560,560.0,Tap (unknown lift),No,1342023509434.jpg,water,Kwara,kwara_offa,384cb716-936e-404f-b634-c81bd0e70ffd,Ojomu South-East,Tap,outlet,,384cb716-936e-404f-b634-c81bd0e70ffd,North-Central
Under Construction,,Obada,,,Stand Alone Water Point,1342265850249.jpg,No,8.14537572 4.71442379 458.70001220703125 5.0,True,Offa,560,560,560.0,,No,1342265850249.jpg,water,Kwara,kwara_offa,3fb609d9-e893-4d31-a77f-b77f40411095,Sawo central,Borehole,water_source,borehole_tube_well,3fb609d9-e893-4d31-a77f-b77f40411095,North-Central
Functional,,Itafa,,,Stand Alone Water Point,1341992736407.jpg,Yes,8.13889388 4.72225813 458.70001220703125 5.0,True,Offa,560,560,560.0,Electric,No,1341992736407.jpg,water,Kwara,kwara_offa,d29dc2d2-8c26-4058-b359-a73ff455de40,Essa C,Borehole,water_source,borehole_tube_well,d29dc2d2-8c26-4058-b359-a73ff455de40,North-Central
Functional,,Itafa,,,Stand Alone Water Point,1341929427190.jpg,Yes,8.14456315 4.7242079 441.20001220703125 5.0,False,Offa,560,560,560.0,,No,1341929427190.jpg,water,Kwara,kwara_offa,77db052d-3c6b-465c-9649-7cda4b4b3545,Essa,Unimproved Well,water_source,unprotected_dug_well,77db052d-3c6b-465c-9649-7cda4b4b3545,North-Central
