breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,handpump,Edogi Chapa,,,Stand Alone Water Point,1338038193492.jpg,Yes,8.83076548576355 5.583318471908569 81.0 4.0,True,Patigi,644,644,644.0,Hand Pump,No,1338038193492.jpg,water,Kwara,kwara_patigi,6f3025d6-8cbb-414f-972f-d607387e2e25,Lade  3,Handpump,water_source,borehole_tube_well,6f3025d6-8cbb-414f-972f-d607387e2e25,North-Central
Don't Know,handpump,Chenegi,,,Stand Alone Water Point,1338026281608.jpg,No,8.81156857 5.59528606 100.0 5.0,True,Patigi,644,644,644.0,Hand Pump,No,1338026281608.jpg,water,Kwara,kwara_patigi,219ebaca-ab62-4908-9e66-30266cc9a4ec,Lade III,Handpump,water_source,borehole_tube_well,219ebaca-ab62-4908-9e66-30266cc9a4ec,North-Central
Mechanical Issue,handpump,Emi Zetsu Kpada,,,Stand Alone Water Point,1337954811532.jpg,No,8.653804063796997 6.088142395019531 156.0 4.0,True,Patigi,644,644,644.0,Hand Pump,No,1337954811532.jpg,water,Kwara,kwara_patigi,170bfb17-f7c4-4507-895a-e5d857c34697,Kpada 1,Handpump,water_source,borehole_tube_well,170bfb17-f7c4-4507-895a-e5d857c34697,North-Central
Functional,unimproved,Magya,,,Stand Alone Water Point,1338120073815.jpg,Yes,8.73666912 5.67117279 173.6999969482422 5.0,False,Patigi,644,644,644.0,Manual,No,1338120073815.jpg,water,Kwara,kwara_patigi,efc983b2-f21e-45f7-a18a-b0e3bbb0c27e,Lade I,Unimproved,water_source,protected_dug_well,efc983b2-f21e-45f7-a18a-b0e3bbb0c27e,North-Central
Don't Know,tap,LADE,,,,1338138224266.jpg,No,8.76148087 5.61711363 135.60000610351563 5.0,True,Patigi,644,644,644.0,Tap (unknown lift),No,1338138224266.jpg,water,Kwara,kwara_patigi,9f4a57ad-b719-4d2e-a42f-cfb63ae1add0,LADE WARD 2,Tap,outlet,,9f4a57ad-b719-4d2e-a42f-cfb63ae1add0,North-Central
Functional,handpump,Bongi,,,Stand Alone Water Point,1338129645779.jpg,Yes,8.72903593 5.68905014 157.8000030517578 5.0,True,Patigi,644,644,644.0,Hand Pump,No,1338129645779.jpg,water,Kwara,kwara_patigi,5d47d31f-c3e7-417f-a64d-3b04591ff141,Lade I,Handpump,water_source,borehole_tube_well,5d47d31f-c3e7-417f-a64d-3b04591ff141,North-Central
Functional,one_thousand_overhead,Garogi,,,"Water Scheme, Source within 100m",1338216250614.jpg,Yes,8.69017481803894 5.745034217834473 139.0 4.0,True,Patigi,644,644,644.0,Tap (unknown lift),No,1338216250614.jpg,water,Kwara,kwara_patigi,76269e9f-b22a-486a-b655-e3395f2bd6d2,Kpada 3.,"Overhead Tank (1,000)",outlet,,76269e9f-b22a-486a-b655-e3395f2bd6d2,North-Central
Functional,unimproved,KPADA,,,Stand Alone Water Point,1337955854843.jpg,Yes,8.649571537971497 6.089140176773071 157.0 4.0,False,Patigi,644,644,644.0,Diesel,No,1337955854843.jpg,water,Kwara,kwara_patigi,49efb329-5314-4085-99c6-94f463a7a299,KPADA1,Unimproved,water_source,borehole_tube_well,49efb329-5314-4085-99c6-94f463a7a299,North-Central
Mechanical Issue,tap,Gudugi,,,Stand Alone Water Point,1338205588442.jpg,No,8.734286427497864 5.776104927062988 81.0 4.0,True,Patigi,644,644,644.0,,No,1338205588442.jpg,water,Kwara,kwara_patigi,aeb0da40-9409-4189-a239-8213c58a12f4,Patugi  Ward  4,Tap,water_source,borehole_tube_well,aeb0da40-9409-4189-a239-8213c58a12f4,North-Central
Poor Water Quality,unimproved,PATIGI,,,Stand Alone Water Point,1338291075407.jpg,No,8.728294372558594 5.75383186340332 154.0 4.0,False,Patigi,644,644,644.0,,No,1338291075407.jpg,water,Kwara,kwara_patigi,9bd9e4e4-ed10-4ac7-8608-152d1565c0d2,PATIGI 3,Unimproved,water_source,protected_dug_well,9bd9e4e4-ed10-4ac7-8608-152d1565c0d2,North-Central
Don't Know,handpump,Kusogi,,,Stand Alone Water Point,1338034881142.jpg,No,8.718579411506653 5.9288084506988525 102.0 4.0,True,Patigi,644,644,644.0,Hand Pump,No,1338034881142.jpg,water,Kwara,kwara_patigi,1b9fa58d-c125-4076-b3ce-b1bf035a5438,Kpada 2,Handpump,water_source,borehole_tube_well,1b9fa58d-c125-4076-b3ce-b1bf035a5438,North-Central
Functional,handpump,Egwamaman,,,Stand Alone Water Point,1338037346052.jpg,Yes,8.717485070228577 5.921630859375 87.0 4.0,True,Patigi,644,644,644.0,Hand Pump,No,1338037346052.jpg,water,Kwara,kwara_patigi,14154842-138f-43bd-bd80-eb98bdce589d,Kpada Ward 2.,Handpump,water_source,borehole_tube_well,14154842-138f-43bd-bd80-eb98bdce589d,North-Central
Functional,unimproved,LALAGI,,,Stand Alone Water Point,1338120525012.jpg,Yes,8.82910479 5.52115359 101.80000305175781 5.0,False,Patigi,644,644,644.0,,No,1338120525012.jpg,water,Kwara,kwara_patigi,d90c2ff5-5c80-4572-9289-b723aec6aff3,LADE WARD 3,Unimproved,water_source,developed_protected_spring_water,d90c2ff5-5c80-4572-9289-b723aec6aff3,North-Central
Don't Know,one_thousand_overhead,LADE,,,Stand Alone Water Point,1338141144598.jpg,No,8.75217626 5.61910301 140.3000030517578 5.0,True,Patigi,644,644,644.0,,Don't Know,1338141144598.jpg,water,Kwara,kwara_patigi,7a15ed5b-11ea-4076-b3d2-e95dce9748d0,LADE WARD 2,"Overhead Tank (1,000)",water_source,dk,7a15ed5b-11ea-4076-b3d2-e95dce9748d0,North-Central
Poorly Constructed,handpump,ESANTI,,,Stand Alone Water Point,1338049085119.jpg,No,8.737505078315735 5.479511618614197 231.0 4.0,True,Patigi,644,644,644.0,Hand Pump,No,1338049085119.jpg,water,Kwara,kwara_patigi,de782d71-f515-46b0-85d6-6fdfdb6faf96,LADE3,Handpump,water_source,borehole_tube_well,de782d71-f515-46b0-85d6-6fdfdb6faf96,North-Central
Functional,handpump,Tankpafu,,,Stand Alone Water Point,1338204846785.jpg,Yes,8.671823143959045 5.754191279411316 177.0 4.0,True,Patigi,644,644,644.0,Hand Pump,No,1338204846785.jpg,water,Kwara,kwara_patigi,9246c9b7-500f-4bd8-a283-4a348526aa13,Kpada 3.,Handpump,water_source,borehole_tube_well,9246c9b7-500f-4bd8-a283-4a348526aa13,North-Central
Dry Well,tap,Patigi,,,Stand Alone Water Point,1338287899919.jpg,No,8.730778098106384 5.757683515548706 135.0 4.0,True,Patigi,644,644,644.0,Diesel,No,1338287899919.jpg,water,Kwara,kwara_patigi,450a24ec-9ec5-420a-a2c1-907df85e6fd1,Patigi  Ward  1,Tap,water_source,borehole_tube_well,450a24ec-9ec5-420a-a2c1-907df85e6fd1,North-Central
Functional,handpump,PATIGI,,,Stand Alone Water Point,1338295923182.jpg,Yes,8.73436152935028 5.756487250328064 132.0 4.0,True,Patigi,644,644,644.0,Hand Pump,No,1338295923182.jpg,water,Kwara,kwara_patigi,b5f86537-918a-482f-8b23-20b927e2e489,PATIGI 2,Handpump,water_source,borehole_tube_well,b5f86537-918a-482f-8b23-20b927e2e489,North-Central
Functional,unimproved,Kpada Market,,,Stand Alone Water Point,1337955548870.jpg,Yes,8.652377128601074 6.088989973068237 155.0 4.0,False,Patigi,644,644,644.0,,No,1337955548870.jpg,water,Kwara,kwara_patigi,e60a7610-6e00-4537-8cca-18161d74235c,Kpada 1,Unimproved,water_source,protected_dug_well,e60a7610-6e00-4537-8cca-18161d74235c,North-Central
Functional,one_thousand_overhead,General Hospital Road,,,"Water Scheme, Source within 100m",1338286624391.jpg,Yes,8.723976016044617 5.753805041313171 130.0 4.0,True,Patigi,644,644,644.0,Tap (unknown lift),No,1338286624391.jpg,water,Kwara,kwara_patigi,874c6a82-86f3-4be1-be87-7c6939840314,Patigi 3,"Overhead Tank (1,000)",outlet,,874c6a82-86f3-4be1-be87-7c6939840314,North-Central
Functional,tap,Dakani,,,Stand Alone Water Point,1338046661542.jpg,Yes,8.81449251 5.63081752 102.4000015258789 5.0,True,Patigi,644,644,644.0,Diesel,No,1338046661542.jpg,water,Kwara,kwara_patigi,d287e8ac-cdab-4e6f-b791-e2c8ab6480af,Lade I,Tap,water_source,borehole_tube_well,d287e8ac-cdab-4e6f-b791-e2c8ab6480af,North-Central
