breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Poorly Constructed,,Keke,0.00013645688239,0.0151396987408,"Water Scheme, Source within 100m",1347284260808.jpg,No,6.62366404 3.33119039 81.9000015258789 5.0,True,Agege,21,21,300.0,Tap (unknown lift),No,1347284260808.jpg,water,Lagos,lagos_agege,16a91550-327d-407d-b1d1-91a613f40f82,G,Tap,outlet,,16a91550-327d-407d-b1d1-91a613f40f82,Southwest
Functional,,Papa Ashafa,0.000630194925653,0.0699198979471,"Water Scheme, Source within 100m",1347448783300.jpg,Yes,6.61411485 3.30470662 81.5 5.0,True,Agege,21,21,44.0,Tap (unknown lift),Yes,1347448783300.jpg,water,Lagos,lagos_agege,d076fa01-9fa3-4c98-b8b5-3716066e0eeb,Papa Ashafa,Tap,outlet,,d076fa01-9fa3-4c98-b8b5-3716066e0eeb,Southwest
Functional,,Isiaka,,,"Water Scheme, Source within 100m",1347279661286.jpg,Yes,6.63998621 3.31541952 81.80000305175781 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347279661286.jpg,water,Lagos,lagos_agege,330b06d1-33d7-432c-beba-3353282b4171,I,Tap,outlet,,330b06d1-33d7-432c-beba-3353282b4171,Southwest
Functional,,Oyewale,,,"Water Scheme, Source within 100m",1347114951117.jpg,Yes,6.62171643 3.30743435 102.9000015258789 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347114951117.jpg,water,Lagos,lagos_agege,1f17bf41-f4a0-40c1-8f3f-5cb4ed0d5014,Oyewale,Tap,outlet,,1f17bf41-f4a0-40c1-8f3f-5cb4ed0d5014,Southwest
Functional,,Tabon tabon,,,"Water Scheme, Source within 100m",1347115199183.jpg,Yes,6.63136574 3.3189151 68.30000305175781 5.0,True,Agege,21,21,21.0,Tap (unknown lift),No,1347115199183.jpg,water,Lagos,lagos_agege,fcfc8925-94f0-4249-a7c4-6f170f3bd60d,F,Tap,outlet,,fcfc8925-94f0-4249-a7c4-6f170f3bd60d,Southwest
Functional,,Oko Oba,,,"Water Scheme, Source within 100m",1347105022064.jpg,Yes,6.64341315 3.31333063 80.9000015258789 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347105022064.jpg,water,Lagos,lagos_agege,8afe7c4a-d97d-4bbb-b294-c88ac8cd5129,J,Tap,outlet,,8afe7c4a-d97d-4bbb-b294-c88ac8cd5129,Southwest
Functional,,Alaramimo,,,"Water Scheme, Source within 100m",1347110970053.jpg,Yes,6.63517942 3.31129487 85.9000015258789 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347110970053.jpg,water,Lagos,lagos_agege,0003ef8f-27c4-42cf-990c-ddd2d160dd1a,J,Tap,outlet,,0003ef8f-27c4-42cf-990c-ddd2d160dd1a,Southwest
Mechanical Issue,,Egbatedo,,,"Water Scheme, Source within 100m",1347109937431.jpg,No,6.63782625 3.31278412 65.30000305175781 5.0,True,Agege,21,21,21.0,Tap (unknown lift),No,1347109937431.jpg,water,Lagos,lagos_agege,43f6d3fa-6908-4b3d-b82e-a370c39db745,J,Tap,outlet,,43f6d3fa-6908-4b3d-b82e-a370c39db745,Southwest
Functional,,Iloro,,,"Water Scheme, Source within 100m",1347364737123.jpg,Yes,6.61178732 3.318503 66.80000305175781 5.0,True,Agege,21,21,21.0,Tap (unknown lift),No,1347364737123.jpg,water,Lagos,lagos_agege,53618493-e9a8-4875-8737-5282a514ccb0,D,Tap,outlet,,53618493-e9a8-4875-8737-5282a514ccb0,Southwest
Functional,,Oyewale,,,"Water Scheme, Source within 100m",1347365918549.jpg,Yes,6.62174253 3.30430086 72.80000305175781 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347365918549.jpg,water,Lagos,lagos_agege,5d4714a1-2e18-4df1-8702-757be97617d7,Oyewale,Tap,outlet,,5d4714a1-2e18-4df1-8702-757be97617d7,Southwest
Functional,,Papauku,,,"Water Scheme, Source within 100m",1347365059392.jpg,Yes,6.62023201 3.32207672 71.69999694824219 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347365059392.jpg,water,Lagos,lagos_agege,e490000e-aa25-4af3-81a9-7813d39f1f4c,C,Tap,outlet,,e490000e-aa25-4af3-81a9-7813d39f1f4c,Southwest
Functional,,Afuwape,,,"Water Scheme, Source within 100m",1347277837141.jpg,Yes,6.63656093 3.31657221 78.19999694824219 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347277837141.jpg,water,Lagos,lagos_agege,adae3d6f-f87f-4a9a-a527-aa722b8548b9,I,Tap,outlet,,adae3d6f-f87f-4a9a-a527-aa722b8548b9,Southwest
Functional,,Oko Oba,,,"Water Scheme, Source within 100m",1347109333148.jpg,Yes,6.64132666 3.31251024 67.5 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347109333148.jpg,water,Lagos,lagos_agege,98e01ed2-00d0-4a1b-b55a-1283768b4dc4,J,Tap,outlet,,98e01ed2-00d0-4a1b-b55a-1283768b4dc4,Southwest
Functional,,Oko oba,,,Stand Alone Water Point,1347104761364.jpg,Yes,6.64348738 3.31329521 75.5999984741211 5.0,False,Agege,21,21,21.0,Diesel,Yes,1347104761364.jpg,water,Lagos,lagos_agege,5aa32eff-b78d-42b4-8316-9d1d947e2589,J,Unimproved Well,water_source,protected_dug_well,5aa32eff-b78d-42b4-8316-9d1d947e2589,Southwest
Under Construction,,Magbon,,,Stand Alone Water Point,1347272845107.jpg,No,6.62704419 3.31172903 82.0 5.0,False,Agege,21,21,21.0,Manual,No,1347272845107.jpg,water,Lagos,lagos_agege,02533944-f14d-43b8-9a2b-4e6f1925e7a5,F,Unimproved Well,water_source,protected_dug_well,02533944-f14d-43b8-9a2b-4e6f1925e7a5,Southwest
Functional,,Efunloja,,,"Water Scheme, Source within 100m",1347277549699.jpg,Yes,6.63664932 3.31661659 71.0 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347277549699.jpg,water,Lagos,lagos_agege,d340c1fe-1b3b-47ec-8680-1140cbd359f3,I,Tap,outlet,,d340c1fe-1b3b-47ec-8680-1140cbd359f3,Southwest
Functional,,Olaleye,,,Stand Alone Water Point,1347112362192.jpg,Yes,6.63658715 3.31075098 63.29999923706055 5.0,True,Agege,21,21,21.0,Diesel,No,1347112362192.jpg,water,Lagos,lagos_agege,65ad5d8a-bac8-4f33-9856-9d4ac2553091,J,Borehole,water_source,borehole_tube_well,65ad5d8a-bac8-4f33-9856-9d4ac2553091,Southwest
Functional,,Oko Oba,,,"Water Scheme, Source within 100m",1347106092174.jpg,Yes,6.64290914 3.31360505 62.20000076293945 5.0,True,Agege,21,21,21.0,Tap (unknown lift),No,1347106092174.jpg,water,Lagos,lagos_agege,8feb45f9-70cb-4607-9c31-cb879d318b6e,J,Tap,outlet,,8feb45f9-70cb-4607-9c31-cb879d318b6e,Southwest
Functional,,Oyewole,,,"Water Scheme, Source within 100m",1347451143507.jpg,Yes,6.62526355 3.30773819 61.5 4.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347451143507.jpg,water,Lagos,lagos_agege,c1e69580-b11c-4174-9d4d-52b236feda56,Oyewole,Tap,outlet,,c1e69580-b11c-4174-9d4d-52b236feda56,Southwest
Functional,,Dopemu,,,"Water Scheme, Source within 100m",1347097570356.jpg,Yes,6.60980013 3.31757724 80.69999694824219 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347097570356.jpg,water,Lagos,lagos_agege,757b633b-d683-41f8-af15-f8105ec1ac5f,D,Tap,outlet,,757b633b-d683-41f8-af15-f8105ec1ac5f,Southwest
Functional,,Papa Ashafa,,,"Water Scheme, Source within 100m",1347112783199.jpg,Yes,6.61757134 3.30980436 92.19999694824219 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347112783199.jpg,water,Lagos,lagos_agege,c6c9f25a-6375-46d5-9155-ee90cd754ab0,Papa Ashafa,Tap,outlet,,c6c9f25a-6375-46d5-9155-ee90cd754ab0,Southwest
Functional,,Olabuwa,,,"Water Scheme, Source within 100m",1347275208346.jpg,Yes,6.63248045 3.31122161 81.0 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347275208346.jpg,water,Lagos,lagos_agege,7a00fd37-3aff-4a5c-9940-6aacb2d56c2f,F,Tap,outlet,,7a00fd37-3aff-4a5c-9940-6aacb2d56c2f,Southwest
Functional,,Papa Ashafa,,,"Water Scheme, Source within 100m",1347281271305.jpg,Yes,6.62258752 3.30842335 78.0 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347281271305.jpg,water,Lagos,lagos_agege,79e97a64-7f4b-4bbd-bfdf-dbbf127ed9d7,A,Tap,outlet,,79e97a64-7f4b-4bbd-bfdf-dbbf127ed9d7,Southwest
Functional,,Oyewale,,,"Water Scheme, Source within 100m",1347366140299.jpg,Yes,6.62063647 3.30630868 76.0 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347366140299.jpg,water,Lagos,lagos_agege,42fe5033-ef43-4229-9a1b-01c6b0085f27,Oyewale,Tap,outlet,,42fe5033-ef43-4229-9a1b-01c6b0085f27,Southwest
Functional,,Egbatedo,,,"Water Scheme, Source within 100m",1347110243075.jpg,Yes,6.6338502 3.31081843 76.80000305175781 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347110243075.jpg,water,Lagos,lagos_agege,aaff3ee1-467f-45be-9953-222999c65fcb,J,Tap,outlet,,aaff3ee1-467f-45be-9953-222999c65fcb,Southwest
Functional,,Ifeloju,,,"Water Scheme, Source within 100m",1347277115504.jpg,Yes,6.63562889 3.31367535 76.4000015258789 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347277115504.jpg,water,Lagos,lagos_agege,aa8c7368-76c6-4160-9443-cebac29379c8,I,Tap,outlet,,aa8c7368-76c6-4160-9443-cebac29379c8,Southwest
Functional,,Isiaka,,,"Water Scheme, Source within 100m",1347279561930.jpg,Yes,6.63976586 3.31546969 77.69999694824219 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347279561930.jpg,water,Lagos,lagos_agege,e75436e2-870a-4455-92d0-098863971a6f,I,Tap,outlet,,e75436e2-870a-4455-92d0-098863971a6f,Southwest
Functional,,Papa Ashafa,,,"Water Scheme, Source within 100m",1347281380673.jpg,Yes,6.62075812 3.30805373 78.69999694824219 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347281380673.jpg,water,Lagos,lagos_agege,9315829c-900c-461a-b96a-b6f073a6dc8c,Papa Ashafa,Tap,outlet,,9315829c-900c-461a-b96a-b6f073a6dc8c,Southwest
Functional,,Ladoje,,,Stand Alone Water Point,1347106464351.jpg,Yes,6.64173399 3.31193469 64.30000305175781 5.0,True,Agege,21,21,21.0,Diesel,Yes,1347106464351.jpg,water,Lagos,lagos_agege,c77acb58-5d81-4786-9973-50229f266e5e,J,Borehole,water_source,borehole_tube_well,c77acb58-5d81-4786-9973-50229f266e5e,Southwest
Functional,,Dopemu,,,"Water Scheme, Source within 100m",1347280984338.jpg,Yes,6.62178387 3.30817574 70.4000015258789 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347280984338.jpg,water,Lagos,lagos_agege,8a492db6-4947-42aa-a880-4c8fc612b023,A,Tap,outlet,,8a492db6-4947-42aa-a880-4c8fc612b023,Southwest
Functional,,Ifeloju,,,"Water Scheme, Source within 100m",1347277430523.jpg,Yes,6.63609526 3.31435114 65.80000305175781 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347277430523.jpg,water,Lagos,lagos_agege,22e6cf67-12d4-43e8-ad58-70ee9573dff6,I,Tap,outlet,,22e6cf67-12d4-43e8-ad58-70ee9573dff6,Southwest
Functional,,Atobaje,,,"Water Scheme, Source within 100m",1347372733449.jpg,Yes,6.62617598 3.32283906 75.5999984741211 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347372733449.jpg,water,Lagos,lagos_agege,b52e37e4-c605-4290-8178-1aebd98e292d,F,Tap,outlet,,b52e37e4-c605-4290-8178-1aebd98e292d,Southwest
Functional,,Orile Agege,,,"Water Scheme, Source within 100m",1347102441449.jpg,Yes,6.64031494 3.30751703 52.79999923706055 5.0,True,Agege,21,21,21.0,Tap (unknown lift),No,1347102441449.jpg,water,Lagos,lagos_agege,49a4130b-b46d-4e6c-8f24-d5204fc7d512,K,Tap,outlet,,49a4130b-b46d-4e6c-8f24-d5204fc7d512,Southwest
Functional,,Papa Ashafa,,,"Water Scheme, Source within 100m",1347112609444.jpg,Yes,6.61709383 3.31056089 69.4000015258789 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347112609444.jpg,water,Lagos,lagos_agege,6bc701ef-7712-4cbe-bc36-dbf1a7dbd9c2,Papa Ashafa,Tap,outlet,,6bc701ef-7712-4cbe-bc36-dbf1a7dbd9c2,Southwest
Functional,,Papa Ashafa,,,"Water Scheme, Source within 100m",1347113522071.jpg,Yes,6.61911227 3.30880641 75.30000305175781 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347113522071.jpg,water,Lagos,lagos_agege,a3852857-6285-47b9-89ac-a636d15fab2f,Papa Ashafa,Tap,outlet,,a3852857-6285-47b9-89ac-a636d15fab2f,Southwest
Functional,,Felodu,,,"Water Scheme, Source within 100m",1347276750915.jpg,Yes,6.63547756 3.31344038 66.5 5.0,True,Agege,21,21,21.0,Tap (unknown lift),Yes,1347276750915.jpg,water,Lagos,lagos_agege,7b3a2afb-64eb-4801-acef-f63a74382507,I,Tap,outlet,,7b3a2afb-64eb-4801-acef-f63a74382507,Southwest
