"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"66534",66534,"92da9db6-455d-4bba-b464-2fa81c8a1709","92da9db6-455d-4bba-b464-2fa81c8a1709","Kosofe","Lagos","Southwest",441,"6.63622692 3.379974 57.0 5.0","1347023851481.jpg","lagos_kosofe","1347023851481.jpg","Don't Know",NA,NA,"dk","Isheri","A","No",NA,"Yes","Functional","Yes",NA
"66535",66535,"fb6e26ee-869f-498a-9a9d-2f196c5a73d8","fb6e26ee-869f-498a-9a9d-2f196c5a73d8","Kosofe","Lagos","Southwest",441,"6.6096918 3.42873086 47.70000076293945 5.0","1347224580937.jpg","lagos_kosofe","1347224580937.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Ajewole","G","No",NA,"No","Poor Water Quality","No","Stand Alone Water Point"
"66536",66536,"2692e53c-96cd-40ce-8d09-113ed17a3b1b","2692e53c-96cd-40ce-8d09-113ed17a3b1b","Kosofe","Lagos","Southwest",441,"6.58510946 3.39585647 65.30000305175781 5.0","1347026187358.jpg","lagos_kosofe","1347026187358.jpg","Tap",NA,NA,"outlet","Araba","E","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"66537",66537,"0ebda45f-736a-402a-a7ab-45ac823b9ad9","0ebda45f-736a-402a-a7ab-45ac823b9ad9","Kosofe","Lagos","Southwest",441,"6.5835729 3.37748105 56.400001525878906 5.0","1347091161579.jpg","lagos_kosofe","1347091161579.jpg","Tap",NA,NA,"outlet","L A pry sch","Oworo","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"66538",66538,"1ae2eaee-fefe-41ae-9219-6725cdfccd65","1ae2eaee-fefe-41ae-9219-6725cdfccd65","Kosofe","Lagos","Southwest",441,"6.63713619 3.37521932 44.70000076293945 5.0","1346977281705.jpg","lagos_kosofe","1346977281705.jpg","Tap",NA,"borehole_tube_well","water_source","Isheri","F","Yes","Diesel","Yes","Functional","Yes","Stand Alone Water Point"
"66539",66539,"e1172db1-e998-421a-80f1-504c4834863f","e1172db1-e998-421a-80f1-504c4834863f","Kosofe","Lagos","Southwest",441,"6.5903167 3.39137766 32.29999923706055 5.0","1347107349439.jpg","lagos_kosofe","1347107349439.jpg","Tap",NA,NA,"outlet","Bamgbe Elebiju","E","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"66540",66540,"ff5803c8-ad7c-405f-92d1-e068e0d40982","ff5803c8-ad7c-405f-92d1-e068e0d40982","Kosofe","Lagos","Southwest",441,"6.57079636 3.39526035 43.599998474121094 5.0","1347007460269.jpg","lagos_kosofe","1347007460269.jpg","Tap",NA,NA,"outlet","Epetedo Str, Ojodu","G","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"66541",66541,"b81ac8fd-f6f1-43aa-a43e-0a230919c8f8","b81ac8fd-f6f1-43aa-a43e-0a230919c8f8","Kosofe","Lagos","Southwest",441,"6.59094619 3.39543994 16.299999237060547 5.0","1347096922685.jpg","lagos_kosofe","1347096922685.jpg","Tap",NA,NA,"outlet","Bakare","E","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source further than 1km"
"66542",66542,"5e5d6702-9f3b-474e-aaa3-5ee8f4275ac8","5e5d6702-9f3b-474e-aaa3-5ee8f4275ac8","Kosofe","Lagos","Southwest",441,"6.55480866 3.38878685 41.900001525878906 5.0","1347095192072.jpg","lagos_kosofe","1347095192072.jpg","Tap",NA,NA,"outlet","Mende rd","Mende","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"66543",66543,"9fd144a4-e287-4340-afdf-af3e070402bd","9fd144a4-e287-4340-afdf-af3e070402bd","Kosofe","Lagos","Southwest",441,"6.61468995 3.37581711 52.900001525878906 5.0","1346987954969.jpg","lagos_kosofe","1346987954969.jpg","Tap",NA,NA,"outlet","Shangisha","F","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"66544",66544,"7b9b6552-5bae-4c46-8ba1-870905a50c64","7b9b6552-5bae-4c46-8ba1-870905a50c64","Kosofe","Lagos","Southwest",441,"6.58244351 3.39555525 42.400001525878906 5.0","1347016013468.jpg","lagos_kosofe","1347016013468.jpg","Don't Know",NA,NA,"dk","Ezobi","E","No",NA,"Yes","Functional","Yes",NA
"66545",66545,"1382f513-8741-43cf-87d9-2392df55e7c8","1382f513-8741-43cf-87d9-2392df55e7c8","Kosofe","Lagos","Southwest",441,"6.58896303 3.40426261 38.79999923706055 5.0","1347284731125.jpg","lagos_kosofe","1347284731125.jpg","Tap",NA,NA,"outlet","Agidi","E","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"66546",66546,"23240826-7831-419c-9727-3d876d23c0ec","23240826-7831-419c-9727-3d876d23c0ec","Kosofe","Lagos","Southwest",441,"6.58986539 3.40358546 26.100000381469727 5.0","1347284158691.jpg","lagos_kosofe","1347284158691.jpg","Tap",NA,NA,"outlet","Agidi","E","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"66547",66547,"32e2d781-e802-4203-bec4-d8c6935f78cf","32e2d781-e802-4203-bec4-d8c6935f78cf","Kosofe","Lagos","Southwest",441,"6.55128507 3.40547264 37.400001525878906 5.0","1347275577251.jpg","lagos_kosofe","1347275577251.jpg","Tap",NA,NA,"outlet","Akilabake str oworo","Oworoshoki","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"66548",66548,"51f721f8-d970-42d1-9727-72e2361f693a","51f721f8-d970-42d1-9727-72e2361f693a","Kosofe","Lagos","Southwest",441,"6.61099275 3.39076204 32.0 5.0","1347243701189.jpg","lagos_kosofe","1347243701189.jpg","Tap",NA,"borehole_tube_well","water_source","Kosofe","G","Yes","Diesel","Yes","Functional","Yes","Stand Alone Water Point"
"66549",66549,"88260f03-2b20-4cf4-a6ac-cf77354c6cea","88260f03-2b20-4cf4-a6ac-cf77354c6cea","Kosofe","Lagos","Southwest",441,"6.57033599 3.39419259 33.900001525878906 5.0","1347014773092.jpg","lagos_kosofe","1347014773092.jpg","Borehole",NA,"borehole_tube_well","water_source","Ogudu","Ogudu","Yes","Hand Pump","Yes","Functional","Yes","Stand Alone Water Point"
"66550",66550,"279f26c8-6025-4757-a7a8-6589d71d5fd5","279f26c8-6025-4757-a7a8-6589d71d5fd5","Kosofe","Lagos","Southwest",441,"6.60928171 3.43488052 37.29999923706055 5.0","1347222934565.jpg","lagos_kosofe","1347222934565.jpg","Unimproved Rainwater Harvesting System",NA,"rainwater_harvesting_scheme","water_source","Owukiri","G","No",NA,"Yes","Functional","Yes","Stand Alone Water Point"
