"","X","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn"
"1",11985,"45245e62-ffec-4bde-a066-b087a66469fd","lagos_mainland","lagos","southwest",461,"1347111610544.jpg","lagos_lagos_mainland","45245e62-ffec-4bde-a066-b087a66469fd","1347111610544.jpg","6.48095086 3.37443923 61.099998474121094 5.0","Imperial medical center","generalhospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,1,6,5,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"2",11986,"c1648a9f-6b44-4caf-abf6-a01873f513fa","lagos_mainland","lagos","southwest",461,"1347274072322.jpg","lagos_lagos_mainland","c1648a9f-6b44-4caf-abf6-a01873f513fa","1347274072322.jpg","6.50206447 3.37295436 20.600000381469727 5.0","Nigerian railway hospital","comprehensivehealthcentre",FALSE,NA,TRUE,TRUE,TRUE,2,TRUE,FALSE,2,0,4,3,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"3",11987,"cde6eb06-2535-424e-9294-a0d18610474d","lagos_mainland","lagos","southwest",461,"1347191134177.jpg","lagos_lagos_mainland","cde6eb06-2535-424e-9294-a0d18610474d","1347191134177.jpg","6.48372363 3.37170567 49.20000076293945 5.0","Family health clinic","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,TRUE,0,NA,FALSE,0,5,1,2,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"4",11988,"e3e6e55c-4233-495a-be21-e0af88f8fc7f","lagos_mainland","lagos","southwest",461,"1347612111816.jpg","lagos_lagos_mainland","e3e6e55c-4233-495a-be21-e0af88f8fc7f","1347612111816.jpg","6.48422101 3.38013548 27.5 5.0","Federal Medical center,Ebute Meta",NA,TRUE,TRUE,NA,TRUE,TRUE,0,TRUE,TRUE,0,25,20,15,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"5",11989,"ddca4845-0192-4e5d-a12d-fb7add3199cd","lagos_mainland","lagos","southwest",461,"1347461580540.jpg","lagos_lagos_mainland","ddca4845-0192-4e5d-a12d-fb7add3199cd","1347461580540.jpg","6.5240549 3.36934671 52.400001525878906 5.0","Tare‘s Clinic","maternity",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,4,1,2,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"6",11990,"713c3a6a-7cbd-467c-9b23-d12ebab180c9","lagos_mainland","lagos","southwest",461,"1347363623170.jpg","lagos_lagos_mainland","713c3a6a-7cbd-467c-9b23-d12ebab180c9","1347363623170.jpg","6.48457143 3.38766617 25.100000381469727 5.0","Dunik Medical Centre","cottagehospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,4,3,3,2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"7",11991,"8357962a-0497-4e92-b9bc-c39014fcf8b7","lagos_mainland","lagos","southwest",461,"1347279081698.jpg","lagos_lagos_mainland","8357962a-0497-4e92-b9bc-c39014fcf8b7","1347279081698.jpg","6.52450221 3.37817883 40.29999923706055 5.0","Bethelzer shallom health care","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,TRUE,1,NA,FALSE,0,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"8",11992,"75c57925-579d-4dbf-8722-89d69fd7bf10","lagos_mainland","lagos","southwest",461,"1347187083169.jpg","lagos_lagos_mainland","75c57925-579d-4dbf-8722-89d69fd7bf10","1347187083169.jpg","6.48288556 3.37714955 44.400001525878906 5.0","Idera clinic","primaryhealthcarecentre",FALSE,NA,NA,TRUE,TRUE,3,NA,FALSE,3,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"9",11993,"ebb90fd8-c312-40b1-974d-dab31ad7aabc","lagos_mainland","lagos","southwest",461,"1347187224032.jpg","lagos_lagos_mainland","ebb90fd8-c312-40b1-974d-dab31ad7aabc","1347187224032.jpg","6.50672194 3.39142483 35.29999923706055 5.0","Primary Health Clinic Iwaya","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,TRUE,2,TRUE,FALSE,1,0,4,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",11994,"6e09263e-2a6b-4df2-86e2-8d6d5c9c9a1a","lagos_mainland","lagos","southwest",461,"1347186268091.jpg","lagos_lagos_mainland","6e09263e-2a6b-4df2-86e2-8d6d5c9c9a1a","1347186268091.jpg","6.48236736 3.37803472 59.900001525878906 5.0","Xxx","wardmodelphccentre",TRUE,TRUE,NA,TRUE,TRUE,2,NA,TRUE,2,2,1,1,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
