access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,17.50485671,True,FALSE,False,,,,formal_educ,Alafia oluwo pry schl,primary_only,1342087450363.jpg,True,False,TRUE,6.52279425 3.3454284 40.900001525878906 5.0,False,False,primary_only,Mushin,516,516,516.0,0.880829015544041,False,mushin,lagos,southwest,TRUE,3.0,,12.0,363.0,6.0,12.0,,5.0,4600.0,public,False,1342087450363.jpg,633009,36161.9069774,,True,FALSE,FALSE,3.025,30.25,3.025,30.25,45.375,False,False,Alafia oluwo pry schl,education,Lagos,1.0,Others,False,False,TRUE,6,12.6721763085399,FALSE,,lagos_mushin,800eb87d-bed3-42e4-a658-8dd280105f7b,False,800eb87d-bed3-42e4-a658-8dd280105f7b,Southwest
False,False,17.50485671,True,FALSE,False,,,,formal_educ,Eko Boys Senior High School Mushin,senior_sec_only,1342180176282.jpg,True,False,FALSE,6.52279679 3.35858876 33.599998474121094 5.0,False,False,senior_sec_only,Mushin,516,516,516.0,Inf,False,mushin,lagos,southwest,TRUE,15.0,0.0,15.0,510.0,25.0,40.0,,2.0,0.0,public,True,1342180176282.jpg,633009,36161.9069774,,True,FALSE,FALSE,1.7,34,1.7,12.75,72.8571428571429,True,,Eko Boys Senior High School Mushin,education,Lagos,180.0,Others,False,False,TRUE,Inf,0,FALSE,,lagos_mushin,645dd11b-7f83-4333-9dfd-c03f68f41359,False,645dd11b-7f83-4333-9dfd-c03f68f41359,Southwest
False,True,17.50485671,False,FALSE,False,0.00050704890161,0.0562601506065,,formal_educ,Ffg,juniors_sec_only,1342444926600.jpg,True,True,TRUE,6.55627001 3.35485135 50.29999923706055 5.0,False,False,juniors_sec_only,Mushin,516,516,326.0,0.881863560732113,False,mushin,lagos,southwest,TRUE,,,12.0,1131.0,8.0,40.0,,9.0,20.0,public,True,1342444926600.jpg,633009,36161.9069774,,True,FALSE,FALSE,3.77,94.25,3.77,28.275,188.5,False,,Ffg,education,Lagos,0.0,Others,False,False,TRUE,5.71428571428571,0.017683465959328,FALSE,,lagos_mushin,5eac660c-7a49-452e-9361-ef632c9d7da3,False,5eac660c-7a49-452e-9361-ef632c9d7da3,Southwest
False,True,17.50485671,False,FALSE,False,,,,formal_educ,Royal Children Schools,preprimary_and_primary,1342094911877.jpg,True,False,TRUE,6.53463805 3.34252365 45.400001525878906 5.0,False,False,preprimary_and_primary,Mushin,516,516,516.0,,False,mushin,lagos,southwest,FALSE,0.0,1.0,10.0,,2.0,11.0,,5.0,28.0,private,True,1342094911877.jpg,633009,36161.9069774,,True,FALSE,FALSE,,,,,,False,False,Royal Children Schools,education,Lagos,,Others,False,False,TRUE,5.5,,FALSE,,lagos_mushin,a9740e8d-5415-44b6-8850-d67dfec7f846,True,a9740e8d-5415-44b6-8850-d67dfec7f846,Southwest
False,True,17.50485671,True,FALSE,True,,,,formal_educ,Estatr Primary,preprimary_and_primary,1342176427944.jpg,,False,FALSE,6.53846589 3.34707186 62.599998474121094 5.0,False,False,preprimary_and_primary,Mushin,516,516,516.0,0.865384615384615,False,mushin,lagos,southwest,TRUE,0.0,0.0,11.0,194.0,7.0,11.0,,8.0,176.0,public,True,1342176427944.jpg,633009,36161.9069774,,False,FALSE,FALSE,3.88,17.6363636363636,Inf,17.6363636363636,97,False,False,Estatr Primary,education,Lagos,2.0,Others,False,False,TRUE,1,0.907216494845361,FALSE,,lagos_mushin,714a09f0-b2a4-4281-925c-72a8516d9353,False,714a09f0-b2a4-4281-925c-72a8516d9353,Southwest
False,True,17.50485671,,FALSE,True,,,,formal_educ,Nastaudeen pry schl,preprimary_and_primary,1342441932118.jpg,,True,TRUE,6.53299583 3.35404715 49.79999923706055 5.0,False,False,preprimary_and_primary,Mushin,516,516,516.0,0.4,False,mushin,lagos,southwest,FALSE,0.0,0.0,,70.0,0.0,15.0,,5.0,560.0,private,False,1342441932118.jpg,633009,36161.9069774,,True,FALSE,FALSE,1,,1,4.66666666666667,14,False,False,Nastaudeen pry schl,education,Lagos,0.0,Others,False,False,FALSE,5,8,FALSE,,lagos_mushin,8b891bc3-f80b-4885-b820-2faff323c38b,True,8b891bc3-f80b-4885-b820-2faff323c38b,Southwest
False,False,17.50485671,False,TRUE,False,,,,formal_educ,KOSY-BETHEL PRY SCHOOL.,preprimary_and_primary,1342440431430.jpg,,False,TRUE,6.5391425 3.36084742 53.5 5.0,False,False,preprimary_and_primary,Mushin,516,516,516.0,1.04081632653061,False,mushin,lagos,southwest,TRUE,,0.0,16.0,300.0,12.0,12.0,,8.0,1169.0,public,False,1342440431430.jpg,633009,36161.9069774,,False,FALSE,FALSE,2.4390243902439,18.75,2.4390243902439,25,25,False,False,KOSY-BETHEL PRY SCHOOL.,education,Lagos,10.0,Others,False,False,TRUE,Inf,3.89666666666667,FALSE,,lagos_mushin,34e21d4d-57e3-4527-977c-ae0bcc0b76e2,False,34e21d4d-57e3-4527-977c-ae0bcc0b76e2,Southwest
False,True,17.50485671,True,FALSE,False,,,,formal_educ,Nigeria premier college,junior_and_senior_sec,1342015367868.jpg,True,False,TRUE,6.53154103 3.34279349 56.400001525878906 5.0,False,False,junior_and_senior_sec,Mushin,516,516,516.0,0.8,False,mushin,lagos,southwest,TRUE,10.0,,22.0,180.0,18.0,18.0,,3.0,88.0,private,True,1342015367868.jpg,633009,36161.9069774,,True,FALSE,FALSE,0.8,8.18181818181818,0.8,10,22.5,False,False,Nigeria premier college,education,Lagos,20.0,Others,False,False,TRUE,4.5,0.488888888888889,FALSE,,lagos_mushin,af011e63-8b8e-48e9-9065-1eafe6844274,False,af011e63-8b8e-48e9-9065-1eafe6844274,Southwest
False,True,17.50485671,False,FALSE,False,,,,formal_educ,ELEJA PRIMARY SCHOOL,primary_only,1342084274441.jpg,,False,,6.51465079 3.34143745 42.099998474121094 5.0,False,False,primary_only,Mushin,516,516,516.0,0.787234042553192,True,mushin,lagos,southwest,TRUE,0.0,,7.0,168.0,6.0,7.0,,4.0,341.0,public,True,1342084274441.jpg,633009,36161.9069774,,True,FALSE,FALSE,3.16981132075472,24,3.16981132075472,24,,False,False,ELEJA PRIMARY SCHOOL,education,Lagos,0.0,Others,False,False,TRUE,7,2.0297619047619,FALSE,,lagos_mushin,75dc6b03-e659-4c6a-b5bc-8bfa0a90c771,False,75dc6b03-e659-4c6a-b5bc-8bfa0a90c771,Southwest
False,True,17.50485671,True,FALSE,True,,,,formal_educ,Am,preprimary_and_primary,1342448479943.jpg,,False,TRUE,6.52765699 3.36126076 36.79999923706055 5.0,False,False,preprimary_and_primary,Mushin,516,516,516.0,0.785714285714286,False,mushin,lagos,southwest,TRUE,,,20.0,625.0,,0.0,,,50.0,private,True,1342448479943.jpg,633009,36161.9069774,,True,FALSE,TRUE,12.5,31.25,12.5,Inf,62.5,False,False,Am,education,Lagos,15.0,Others,False,False,TRUE,0,0.08,FALSE,,lagos_mushin,a7724a0f-636f-4031-9ed5-da0d7b3990f5,False,a7724a0f-636f-4031-9ed5-da0d7b3990f5,Southwest
