antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,158.3905153,False,False,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,ISASHI PHC,,primaryhealthcarecentre,False,True,False,True,1338818683249.jpg,6.50242148 3.17185718 39.900001525878906 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Ojo,581,581,581.0,False,True,False,False,False,False,False,False,False,False,FALSE,ojo,lagos,southwest,2,1,0.0,0.0,2.0,0.0,False,public,,True,1338818683249.jpg,598071,3775.92685312,,False,False,health,True,TRUE,Lagos,False,True,Others,TRUE,lagos_ojo,False,b6cf1607-a58d-4206-93cb-a86e0f0e2af9,,,b6cf1607-a58d-4206-93cb-a86e0f0e2af9,Southwest
False,158.3905153,False,False,False,True,False,False,False,False,True,True,False,True,,False,FALSE,False,0.0132056803933,1.46532806911,False,True,False,,,False,,True,Primary Health Post,,healthpostdispensary,False,True,False,True,1338895603677.jpg,6.49831401 3.24734041 22.200000762939453 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Ojo,581,581,44.0,False,True,False,False,False,False,False,False,False,False,FALSE,ojo,lagos,southwest,0,0,0.0,0.0,0.0,1.0,False,public,,True,1338895603677.jpg,598071,3775.92685312,True,False,False,health,True,TRUE,Lagos,False,False,Others,FALSE,lagos_ojo,False,78f1beae-b242-4b52-8015-759c73f72a7d,,,78f1beae-b242-4b52-8015-759c73f72a7d,Southwest
False,158.3905153,False,False,False,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Ishagira. P.H.C,,primaryhealthclinic,False,True,False,True,1338804234589.jpg,6.44310582 3.12696527 37.20000076293945 5.0,False,False,FALSE,False,True,True,False,FALSE,,True,False,False,False,False,False,False,Ojo,581,581,581.0,False,True,True,False,False,False,False,False,False,False,FALSE,ojo,lagos,southwest,0,0,0.0,0.0,0.0,1.0,False,public,,True,1338804234589.jpg,598071,3775.92685312,True,False,False,health,True,TRUE,Lagos,False,True,Others,FALSE,lagos_ojo,False,5fe87afd-7f26-46da-ad0d-85f9d6a77967,,,5fe87afd-7f26-46da-ad0d-85f9d6a77967,Southwest
False,158.3905153,False,False,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,True,False,False,,,PRY HEALTH CARE CENTRE,,primaryhealthcarecentre,False,True,False,True,1338562354869.jpg,6.4707644 3.19112621 37.0 4.0,False,False,FALSE,False,True,False,False,FALSE,True,False,False,False,True,False,False,False,Ojo,581,581,581.0,False,True,False,False,False,False,False,False,False,False,FALSE,ojo,lagos,southwest,1,0,0.0,0.0,2.0,0.0,False,public,,True,1338562354869.jpg,598071,3775.92685312,,False,False,health,True,TRUE,Lagos,False,True,Others,TRUE,lagos_ojo,False,0bad6f9c-e71e-43a3-839c-377d4a02c298,,,0bad6f9c-e71e-43a3-839c-377d4a02c298,Southwest
False,158.3905153,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,,True,Afromedia PHC,,primaryhealthcarecentre,False,True,False,True,1338554858372.jpg,6.47490631 3.17942662 33.400001525878906 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,True,False,False,False,Ojo,581,581,581.0,False,True,True,False,False,False,False,False,False,False,FALSE,ojo,lagos,southwest,1,0,0.0,0.0,2.0,0.0,False,public,,True,1338554858372.jpg,598071,3775.92685312,True,False,False,health,True,TRUE,Lagos,False,True,Others,FALSE,lagos_ojo,False,3ab44725-3ac1-4c0a-b3e5-49f05e3e727d,,,3ab44725-3ac1-4c0a-b3e5-49f05e3e727d,Southwest
False,158.3905153,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Igbede PHC,FALSE,primaryhealthcarecentre,False,True,False,True,1338711026276.jpg,6.45252866 3.16274693 31.100000381469727 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Ojo,581,581,581.0,False,True,True,True,False,False,False,False,False,False,FALSE,ojo,lagos,southwest,1,1,0.0,0.0,6.0,3.0,False,public,,True,1338711026276.jpg,598071,3775.92685312,True,False,False,health,True,TRUE,Lagos,False,True,Others,FALSE,lagos_ojo,False,0e75e1a0-a956-43d1-a5b4-6e8ce1e031c8,,,0e75e1a0-a956-43d1-a5b4-6e8ce1e031c8,Southwest
False,158.3905153,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,True,True,False,,,False,,,P H C Imude,,primaryhealthclinic,False,,False,,1339068414182.jpg,6.46679769 3.11466417 46.5 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Ojo,581,581,581.0,False,False,False,False,False,False,False,False,False,False,FALSE,ojo,lagos,southwest,0,0,0.0,0.0,0.0,0.0,False,public,,True,1339068414182.jpg,598071,3775.92685312,True,False,False,health,False,FALSE,Lagos,,,Others,FALSE,lagos_ojo,False,350b8e5e-2ee7-4c61-a4d4-4ea4d588590d,,,350b8e5e-2ee7-4c61-a4d4-4ea4d588590d,Southwest
False,158.3905153,False,False,False,True,False,False,False,True,True,True,False,True,,False,FALSE,False,,,False,True,False,,,False,,True,Shibiri PHC,FALSE,primaryhealthcarecentre,False,True,False,True,1339085447909.jpg,6.46166282 3.14438568 36.099998474121094 5.0,False,False,FALSE,False,True,False,False,FALSE,,False,False,False,True,False,False,False,Ojo,581,581,581.0,False,True,True,True,False,False,False,False,False,False,FALSE,ojo,lagos,southwest,1,1,0.0,0.0,1.0,0.0,False,public,,True,1339085447909.jpg,598071,3775.92685312,,False,False,health,True,TRUE,Lagos,False,True,Others,TRUE,lagos_ojo,False,48ba23b6-2cc1-46b4-99ab-dfaeb8527c3f,,,48ba23b6-2cc1-46b4-99ab-dfaeb8527c3f,Southwest
False,158.3905153,False,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,False,False,False,,True,Era Mini General Hospital,TRUE,primaryhealthclinic,False,,False,,1338554700463.jpg,6.47697325 3.12414418 35.900001525878906 5.0,False,False,FALSE,False,True,True,False,FALSE,False,False,False,False,False,False,False,False,Ojo,581,581,581.0,False,True,False,True,True,False,False,False,False,False,FALSE,ojo,lagos,southwest,2,2,1.0,1.0,1.0,1.0,False,public,,False,1338554700463.jpg,598071,3775.92685312,True,False,False,health,True,TRUE,Lagos,,True,Others,TRUE,lagos_ojo,False,2456838b-34ea-4d66-825c-87bc72c25a95,,,2456838b-34ea-4d66-825c-87bc72c25a95,Southwest
False,158.3905153,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,False,False,False,,True,Primary. Heath care ijanikin,TRUE,primaryhealthclinic,False,True,False,True,1338894150477.jpg,6.49757052 3.11851918 28.600000381469727 5.0,False,False,FALSE,False,True,False,False,TRUE,True,False,False,False,False,False,False,False,Ojo,581,581,581.0,False,True,True,True,True,False,False,False,False,False,FALSE,ojo,lagos,southwest,6,4,0.0,0.0,13.0,7.0,False,public,,True,1338894150477.jpg,598071,3775.92685312,True,False,False,health,True,TRUE,Lagos,False,True,Others,TRUE,lagos_ojo,False,edeb1111-63e9-405e-bef7-ba9593c5bb26,,,edeb1111-63e9-405e-bef7-ba9593c5bb26,Southwest
