"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"87149",87149,"5a02ee27-68a1-41d2-9a9c-e23f9807878b","5a02ee27-68a1-41d2-9a9c-e23f9807878b","Ojo","Lagos","Southwest",581,"6.4614105 3.16820156 29.200000762939453 5.0","1338713768738.jpg","lagos_ojo","1338713768738.jpg","Tap",NA,NA,"outlet","Ilemba-Hausa","Ward C","Yes","Tap (unknown lift)","No","Don't Know","No","Water Scheme, Source within 100m"
"87150",87150,"2f2e59d6-b50f-4424-b515-231558f90eb6","2f2e59d6-b50f-4424-b515-231558f90eb6","Ojo","Lagos","Southwest",581,"6.49542137 3.11616352 41.79999923706055 5.0","1338631657791.jpg","lagos_ojo","1338631657791.jpg","Tap",NA,NA,"outlet","Oto awori","F","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source further than 1km"
"87151",87151,"80cb4fb9-88cb-4f62-918c-d80f630f4b7d","80cb4fb9-88cb-4f62-918c-d80f630f4b7d","Ojo","Lagos","Southwest",581,"6.49615577 3.14997776 44.0 5.0","1338889901004.jpg","lagos_ojo","1338889901004.jpg","Tap",NA,NA,"outlet","Simens ayetoro","D","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 1km"
"87152",87152,"ed8ff896-660d-441f-8386-5fb35121794c","ed8ff896-660d-441f-8386-5fb35121794c","Ojo","Lagos","Southwest",581,"6.41743559 3.14377993 25.5 5.0","1338984698068.jpg","lagos_ojo","1338984698068.jpg","Tap",NA,NA,"outlet","Irewe","G","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source further than 1km"
"87153",87153,"60688d20-c024-408a-ba5b-8d9602adfde9","60688d20-c024-408a-ba5b-8d9602adfde9","Ojo","Lagos","Southwest",581,"6.40778208 3.05947087 27.100000381469727 5.0","1338980059455.jpg","lagos_ojo","1338980059455.jpg","Tap",NA,NA,"outlet","Moba","Ward E","Yes","Tap (unknown lift)","No","Don't Know","No","Water Scheme, Source within 100m"
"87154",87154,"0c0b358e-b463-408c-b142-49e5a90059a3","0c0b358e-b463-408c-b142-49e5a90059a3","Ojo","Lagos","Southwest",581,"6.48760637 3.1886588 36.20000076293945 5.0","1338638427348.jpg","lagos_ojo","1338638427348.jpg","Tap",NA,NA,"outlet","Igbo elerin","Ward D.","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"87155",87155,"4dfc658c-6ba5-4f3d-8b3f-0e57a85f8d5c","4dfc658c-6ba5-4f3d-8b3f-0e57a85f8d5c","Ojo","Lagos","Southwest",581,"6.49652406 3.11280157 27.399999618530273 5.0","1338631011338.jpg","lagos_ojo","1338631011338.jpg","Tap",NA,NA,"outlet","Oto awori","F","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"87156",87156,"3efd24ec-4fb4-4897-8d34-c1a12f5d5e03","3efd24ec-4fb4-4897-8d34-c1a12f5d5e03","Ojo","Lagos","Southwest",581,"6.44161769 3.1472951 32.70000076293945 5.0","1338806556410.jpg","lagos_ojo","1338806556410.jpg","Tap",NA,NA,"outlet","Esofin","I","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"87157",87157,"05f46bed-59e3-44da-a897-54a28e7ecb4e","05f46bed-59e3-44da-a897-54a28e7ecb4e","Ojo","Lagos","Southwest",581,"6.45646761 3.20895802 37.0 5.0","1338551598185.jpg","lagos_ojo","1338551598185.jpg","Tap",NA,NA,"outlet","Ilado","Ojo ward A","Yes","Tap (unknown lift)","No","Don't Know","Don't Know","Water Scheme, Source within 100m"
"87158",87158,"45e3f0f4-ba7f-4787-bda6-97284eb6229d","45e3f0f4-ba7f-4787-bda6-97284eb6229d","Ojo","Lagos","Southwest",581,"6.45469032 3.20560751 23.200000762939453 5.0","1338553888501.jpg","lagos_ojo","1338553888501.jpg","Tap",NA,NA,"outlet","Ikemo","Ojo ward A","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
