breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,ten_thousand_overhead,jangarigari,0.0100769309477,1.11623701162,"Water Scheme, Source within 100m",1306376514551.jpg,Yes,8.052828311920166 9.066091775894165 233.0 4.0,True,Awe,72,72,258.0,Tap (unknown lift),No,1306376514551.jpg,water,Nasarawa,nasarawa_awe,b9ea4043-0453-4750-a077-daaad59f2330,madaki,"Overhead Tank (10,000)",outlet,,b9ea4043-0453-4750-a077-daaad59f2330,North-Central
Functional,unimproved,chorun,0.092707577345,10.2622829042,Stand Alone Water Point,1338124581932.jpg,Yes,8.568949699401855 8.907803893089294 151.0 4.0,False,Awe,72,72,458.0,,No,1338124581932.jpg,water,Nasarawa,nasarawa_awe,89e0e959-5ad4-4c3f-838c-b6cd520f1f07,assakia,Unimproved,water_source,unprotected_dug_well,89e0e959-5ad4-4c3f-838c-b6cd520f1f07,North-Central
Functional,handpump,JANGARGARI,0.0104343740072,1.15583375698,"Water Scheme, Source within 100m",1337944432757.jpg,Yes,8.051122426986694 9.066923260688782 223.0 4.0,True,Awe,72,72,258.0,Hand Pump,No,1337944432757.jpg,water,Nasarawa,nasarawa_awe,ee005507-935d-4b05-8df1-5e5a96ce9f0c,MADAKI WARD,Handpump,outlet,,ee005507-935d-4b05-8df1-5e5a96ce9f0c,North-Central
Functional,handpump,AZARA,,,"Water Scheme, Source within 100m",1338048723513.jpg,Yes,8.3645761013031 9.247323274612427 129.0 4.0,True,Awe,72,72,72.0,Hand Pump,Yes,1338048723513.jpg,water,Nasarawa,nasarawa_awe,ddcf9966-56e7-4efe-9635-8b25f997b3a8,AZARA WARD,Handpump,outlet,,ddcf9966-56e7-4efe-9635-8b25f997b3a8,North-Central
Functional,one_thousand_overhead,Kekura,,,"Water Scheme, Source within 100m",1338033587440.jpg,Yes,8.11335305 9.18008155 171.10000610351563 5.0,True,Awe,72,72,72.0,Tap (unknown lift),No,1338033587440.jpg,water,Nasarawa,nasarawa_awe,f517a3ec-7147-4f60-87e6-f4293506d127,Makwangiji,"Overhead Tank (1,000)",outlet,,f517a3ec-7147-4f60-87e6-f4293506d127,North-Central
Functional,unimproved,AZARA,,,Stand Alone Water Point,1338047503349.jpg,Yes,8.36108386516571 9.24497902393341 135.0 4.0,False,Awe,72,72,72.0,Manual,No,1338047503349.jpg,water,Nasarawa,nasarawa_awe,e1a036ae-022f-493b-aea1-2b2f341e59af,AZARA WARD,Unimproved,water_source,unprotected_dug_well,e1a036ae-022f-493b-aea1-2b2f341e59af,North-Central
Functional,handpump,Mahanga,,,"Water Scheme, Source within 100m",1337957454575.jpg,Yes,8.149135708808899 9.120363593101501 173.0 4.0,True,Awe,72,72,72.0,Hand Pump,Yes,1337957454575.jpg,water,Nasarawa,nasarawa_awe,161bd32b-aa90-4fda-bac2-b68c808087b0,Galadima,Handpump,outlet,,161bd32b-aa90-4fda-bac2-b68c808087b0,North-Central
Functional,tap,AWE,,,"Water Scheme, Source within 100m",1337957867330.jpg,Yes,8.108119368553162 9.142652750015259 152.0 4.0,True,Awe,72,72,72.0,Tap (unknown lift),No,1337957867330.jpg,water,Nasarawa,nasarawa_awe,28983de1-c214-4b8f-ab5a-487b90af7deb,madaki,Tap,outlet,,28983de1-c214-4b8f-ab5a-487b90af7deb,North-Central
Functional,unimproved,Dooga,,,Stand Alone Water Point,1337951508450.jpg,Yes,8.01579837 9.13253224 127.80000305175781 5.0,False,Awe,72,72,72.0,Manual,No,1337951508450.jpg,water,Nasarawa,nasarawa_awe,6a3e084e-5054-4227-b315-0e2ca3183a8c,Jangaru,Unimproved,water_source,protected_dug_well,6a3e084e-5054-4227-b315-0e2ca3183a8c,North-Central
Functional,unimproved,Vigher,,,Stand Alone Water Point,1337953454013.jpg,Yes,8.04481824 9.33490734 136.3000030517578 5.0,False,Awe,72,72,72.0,,No,1337953454013.jpg,water,Nasarawa,nasarawa_awe,bdbd90af-3794-414f-8b89-23f9d5b34a25,Tunga,Unimproved,water_source,unprotected_dug_well,bdbd90af-3794-414f-8b89-23f9d5b34a25,North-Central
Functional,handpump,Undera,,,"Water Scheme, Source within 100m",1338047915179.jpg,Yes,8.189434 9.10247841 140.0 5.0,True,Awe,72,72,72.0,Hand Pump,No,1338047915179.jpg,water,Nasarawa,nasarawa_awe,84c2ce42-fb47-4738-a1f7-02ebb8089282,Kanje Abuni,Handpump,outlet,,84c2ce42-fb47-4738-a1f7-02ebb8089282,North-Central
Mechanical Issue,handpump,WUSE,,,"Water Scheme, Source within 100m",1338121357383.jpg,No,8.37431252002716 9.309040904045105 127.0 4.0,True,Awe,72,72,72.0,Hand Pump,No,1338121357383.jpg,water,Nasarawa,nasarawa_awe,56b59996-f9f1-4529-a051-bdd12681a464,WUSE WARD,Handpump,outlet,,56b59996-f9f1-4529-a051-bdd12681a464,North-Central
Functional,handpump,Ribi,,,"Water Scheme, Source within 100m",1338127328054.jpg,Yes,8.365960121154785 9.12188708782196 167.0 4.0,True,Awe,72,72,72.0,Hand Pump,No,1338127328054.jpg,water,Nasarawa,nasarawa_awe,dd8b8f21-3925-4deb-9732-6bcc14ad4719,Ribi,Handpump,outlet,,dd8b8f21-3925-4deb-9732-6bcc14ad4719,North-Central
Functional,handpump,Dakin gishiri Awe,,,"Water Scheme, Source within 100m",1337962026543.jpg,Yes,8.104079961776733 9.138838648796082 127.0 4.0,True,Awe,72,72,72.0,Hand Pump,Yes,1337962026543.jpg,water,Nasarawa,nasarawa_awe,8c95b480-fcb5-4e0b-ace4-d0ef7e8b7d25,Galadima,Handpump,outlet,,8c95b480-fcb5-4e0b-ace4-d0ef7e8b7d25,North-Central
Functional,unimproved,jangwa,,,Stand Alone Water Point,1338110240160.jpg,Yes,8.434453010559082 9.09966766834259 119.0 4.0,False,Awe,72,72,72.0,Manual,No,1338110240160.jpg,water,Nasarawa,nasarawa_awe,c613339e-6a00-43fd-9fc2-0a49fd7c4839,ribi,Unimproved,water_source,protected_dug_well,c613339e-6a00-43fd-9fc2-0a49fd7c4839,North-Central
