"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"30498",30498,30498,"d9a9329c-3817-4a5b-9764-3cbd7ed852e2","karu","nasarawa","north_central","9.02205795 7.60249664 448.29998779296875 5.0","Maraba Gurku School","primary_junior_and_senior_sec","nasarawa_karu",416,"1342515015872.jpg","d9a9329c-3817-4a5b-9764-3cbd7ed852e2","primary_junior_and_senior_sec","1342515015872.jpg",31,"formal_educ",TRUE,FALSE,14,8,24,0.184615384615385,FALSE,TRUE,20,1.24137931034483,FALSE,TRUE,21.6666666666667,FALSE,0,FALSE,FALSE,TRUE,FALSE,9.28571428571429,FALSE,FALSE,FALSE,TRUE,Inf,0.8125,4.19354838709677,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"30499",30499,30499,"47d90022-9575-4e1d-8aa2-33e4e0889681","karu","nasarawa","north_central","9.06687644 7.61554655 474.3999938964844 5.0","Zhewu jidna primary sch","primary_only","nasarawa_karu",416,"1342433077268.jpg","47d90022-9575-4e1d-8aa2-33e4e0889681","primary_only","1342433077268.jpg",1,"formal_educ",FALSE,FALSE,2,1,NA,NA,FALSE,FALSE,20,0.933333333333333,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,14.5,FALSE,FALSE,FALSE,FALSE,1,1,29,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"30500",30500,30500,"9fc73222-e4b7-4152-a310-b5b8c686e792","karu","nasarawa","north_central","9.00318573 7.66785384 420.5 5.0","God‘s Own School Masaka","primary_junior_and_senior_sec","nasarawa_karu",416,"1342445076507.jpg","9fc73222-e4b7-4152-a310-b5b8c686e792","primary_junior_and_senior_sec","1342445076507.jpg",26,"formal_educ",TRUE,TRUE,0,12,1622,1.8082497212932,TRUE,FALSE,300,0.888421052631579,TRUE,TRUE,74.75,TRUE,7,FALSE,FALSE,TRUE,TRUE,59.8,FALSE,FALSE,FALSE,TRUE,8.97,8.97,34.5,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"30501",30501,30501,"f1cfa511-2755-4e3a-9af1-84fb163c38e0","karu","nasarawa","north_central","8.95402507 7.67940283 366.3999938964844 5.0","L.G.E.A kodape primary school","primary_only","nasarawa_karu",416,"1342443355585.jpg","f1cfa511-2755-4e3a-9af1-84fb163c38e0","primary_only","1342443355585.jpg",9,"formal_educ",TRUE,FALSE,4,9,NA,NA,TRUE,FALSE,150,1.27272727272727,TRUE,TRUE,83.3333333333333,FALSE,2,TRUE,FALSE,FALSE,FALSE,71.4285714285714,FALSE,FALSE,FALSE,FALSE,Inf,3.33333333333333,55.5555555555556,Inf,6,NA,NA,FALSE,FALSE,TRUE,FALSE,"education"
"30502",30502,30502,"23db7d5f-5ad1-4e98-a447-4a195bc23f12","karu","nasarawa","north_central","8.97851473 7.68562734 374.3999938964844 5.0","Great talents primary","primary_only","nasarawa_karu",416,"1342453464618.jpg","23db7d5f-5ad1-4e98-a447-4a195bc23f12","primary_only","1342453464618.jpg",0,"formal_educ",FALSE,FALSE,0,0,0,NA,FALSE,TRUE,0,NA,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"30503",30503,30503,"998dea15-3b8e-4786-ad0b-8123318105ad","karu","nasarawa","north_central","9.00340577 7.90063444 368.6000061035156 5.0","LGEA Primary School","primary_only","nasarawa_karu",416,"1342273697211.jpg","998dea15-3b8e-4786-ad0b-8123318105ad","primary_only","1342273697211.jpg",3,"formal_educ",FALSE,FALSE,2,2,NA,NA,FALSE,TRUE,15,1.25,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,9,FALSE,FALSE,FALSE,FALSE,Inf,Inf,15,Inf,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"30504",30504,30504,"2cf3708f-a667-4769-9933-1dfb2d0f9f9a","karu","nasarawa","north_central","9.066526293754578 7.937316298484802 399.0 4.0","LGEA Pri Sch Rafin Pa","primary_only","nasarawa_karu",416,"1342275370469.jpg","2cf3708f-a667-4769-9933-1dfb2d0f9f9a","primary_only","1342275370469.jpg",7,"formal_educ",FALSE,FALSE,2,5,0,0,FALSE,TRUE,0,1.30952380952381,FALSE,NA,NA,FALSE,4,FALSE,FALSE,FALSE,FALSE,16.1666666666667,FALSE,FALSE,FALSE,TRUE,Inf,Inf,13.8571428571429,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"30505",30505,30505,"a1648f5b-f01a-4988-8686-5a0d66e81865","karu","nasarawa","north_central","9.24644755 8.03106837 446.70001220703125 5.0","LGEA PRIMARY SCH. ANGWAN MAYO","primary_only","nasarawa_karu",416,"1342272422994.jpg","a1648f5b-f01a-4988-8686-5a0d66e81865","primary_only","1342272422994.jpg",9,"formal_educ",FALSE,FALSE,3,7,NA,NA,TRUE,TRUE,0,0.791666666666667,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,35.8333333333333,FALSE,FALSE,FALSE,FALSE,Inf,Inf,23.8888888888889,Inf,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"30506",30506,30506,"0e829e6b-7663-4eab-9617-8da2afd0631e","karu","nasarawa","north_central","9.03499684 7.87104383 418.29998779296875 5.0","LGEA Prim Sch","primary_only","nasarawa_karu",416,"1342359925469.jpg","0e829e6b-7663-4eab-9617-8da2afd0631e","primary_only","1342359925469.jpg",3,"formal_educ",TRUE,FALSE,3,1,0,0,TRUE,TRUE,20,1.8,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,23.3333333333333,TRUE,FALSE,FALSE,FALSE,Inf,Inf,23.3333333333333,Inf,0,NA,NA,FALSE,FALSE,TRUE,FALSE,"education"
"30507",30507,30507,"68a2e942-cb60-4ece-80db-87cb84196384","karu","nasarawa","north_central","9.07907222 7.60011529 482.5 5.0","Nomadic pri dch jewu yelwa","primary_only","nasarawa_karu",416,"1342433565192.jpg","68a2e942-cb60-4ece-80db-87cb84196384","primary_only","1342433565192.jpg",3,"formal_educ",FALSE,FALSE,3,2,NA,NA,TRUE,TRUE,0,1.45833333333333,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,19.6666666666667,TRUE,FALSE,FALSE,FALSE,Inf,Inf,19.6666666666667,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"30508",30508,30508,"55efc605-ebf6-41f9-bb75-ab29b525aaa6","karu","nasarawa","north_central","9.128662347793579 7.845380902290344 423.0 4.0","LGEA Pri Sch","primary_only","nasarawa_karu",416,"1342346471835.jpg","55efc605-ebf6-41f9-bb75-ab29b525aaa6","primary_only","1342346471835.jpg",5,"formal_educ",FALSE,FALSE,2,5,0,0,FALSE,TRUE,0,1.59090909090909,FALSE,NA,NA,FALSE,4,FALSE,FALSE,FALSE,FALSE,9.5,FALSE,FALSE,FALSE,TRUE,Inf,Inf,11.4,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"30509",30509,30509,"d084776a-2873-46f6-bbc8-2b83bdc48fb1","karu","nasarawa","north_central","9.010585 7.66436429 442.70001220703125 5.0","WISDOM ACADEMY","preprimary_and_primary","nasarawa_karu",416,"1342446005817.jpg","d084776a-2873-46f6-bbc8-2b83bdc48fb1","preprimary_and_primary","1342446005817.jpg",2,"formal_educ",FALSE,FALSE,0,1,16,0.372093023255814,FALSE,TRUE,0,0.72,FALSE,NA,NA,FALSE,0,TRUE,FALSE,TRUE,TRUE,8.6,FALSE,FALSE,FALSE,TRUE,14.3333333333333,1.72,21.5,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"30510",30510,30510,"e4f105b7-763c-41be-ae68-25ac5b0aca7c","karu","nasarawa","north_central","9.1520256 7.62751016 519.5999755859375 5.0","LGEA PRIMARY SCH. KUCHIGNA VINGOPE","primary_only","nasarawa_karu",416,"1342442316930.jpg","e4f105b7-763c-41be-ae68-25ac5b0aca7c","primary_only","1342442316930.jpg",3,"formal_educ",FALSE,FALSE,4,3,NA,NA,TRUE,TRUE,0,0.967741935483871,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,45.75,FALSE,FALSE,FALSE,FALSE,Inf,Inf,61,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"30511",30511,30511,"994d3317-2464-4712-81d4-cef22aaeb066","karu","nasarawa","north_central","9.120706915855408 7.822158336639404 403.0 4.0","LGEA Pri Sch Digizi","primary_only","nasarawa_karu",416,"1342347942295.jpg","994d3317-2464-4712-81d4-cef22aaeb066","primary_only","1342347942295.jpg",6,"formal_educ",FALSE,FALSE,2,6,0,0,FALSE,TRUE,0,1.68,FALSE,NA,NA,FALSE,4,FALSE,FALSE,FALSE,FALSE,11.1666666666667,FALSE,FALSE,FALSE,TRUE,Inf,Inf,11.1666666666667,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"30512",30512,30512,"f325fbc6-0062-482a-9b52-87a52c93b495","karu","nasarawa","north_central","9.0069793 7.63747878 398.6000061035156 19.0","SETA Int. Nur and Primary","preprimary_and_primary","nasarawa_karu",416,"1342437813867.jpg","f325fbc6-0062-482a-9b52-87a52c93b495","preprimary_and_primary","1342437813867.jpg",9,"formal_educ",TRUE,FALSE,0,9,13,0.0734463276836158,TRUE,NA,20,0.824742268041237,TRUE,TRUE,29.5,TRUE,0,TRUE,FALSE,TRUE,TRUE,22.125,FALSE,FALSE,FALSE,TRUE,2.39189189189189,2.39189189189189,19.6666666666667,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"30513",30513,30513,"e56a2fed-39bc-4915-bb40-395e4da82323","karu","nasarawa","north_central","9.04112903 7.60692546 461.79998779296875 5.0","MATER DEI INTERNATIINAL SCHOOL","preprimary_and_primary","nasarawa_karu",416,"1342518756139.jpg","e56a2fed-39bc-4915-bb40-395e4da82323","preprimary_and_primary","1342518756139.jpg",16,"formal_educ",TRUE,TRUE,0,7,8,0.0207253886010363,FALSE,TRUE,0,0.93,TRUE,TRUE,96.5,TRUE,0,TRUE,FALSE,TRUE,TRUE,21.4444444444444,FALSE,FALSE,FALSE,TRUE,25.7333333333333,4.94871794871795,24.125,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"30514",30514,30514,"ce015977-0f24-43e6-9ed0-607ad05d6965","karu","nasarawa","north_central","9.0791463 8.03143671 377.29998779296875 5.0","LGEA. Prim sch","primary_only","nasarawa_karu",416,"1342347322647.jpg","ce015977-0f24-43e6-9ed0-607ad05d6965","primary_only","1342347322647.jpg",5,"formal_educ",TRUE,FALSE,6,1,0,0,TRUE,TRUE,35,1.82352941176471,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,16,TRUE,FALSE,FALSE,FALSE,Inf,Inf,19.2,Inf,1,FALSE,NA,FALSE,FALSE,TRUE,FALSE,"education"
"30515",30515,30515,"b984eea0-a342-40cc-8b58-42db0f553fcd","karu","nasarawa","north_central","9.0404119 7.69669426 429.3999938964844 5.0","PREVILEGE AND PEACE INTETNARTIONAL SCHOOL","junior_and_senior_sec","nasarawa_karu",416,"1342434468941.jpg","b984eea0-a342-40cc-8b58-42db0f553fcd","junior_and_senior_sec","1342434468941.jpg",13,"formal_educ",TRUE,TRUE,0,6,280,3.04347826086957,TRUE,NA,0,1.42105263157895,TRUE,TRUE,5.75,FALSE,0,TRUE,FALSE,TRUE,TRUE,5.75,FALSE,FALSE,FALSE,TRUE,0.657142857142857,0.657142857142857,7.07692307692308,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"30516",30516,30516,"98084e05-7e63-4f5e-912f-92f1fcf0f74e","karu","nasarawa","north_central","8.97961811 7.8967369 345.20001220703125 5.0","LGLE Primary School. A/far I","primary_only","nasarawa_karu",416,"1342271863883.jpg","98084e05-7e63-4f5e-912f-92f1fcf0f74e","primary_only","1342271863883.jpg",5,"formal_educ",FALSE,FALSE,4,5,NA,NA,FALSE,FALSE,0,1.2,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,8.25,TRUE,FALSE,TRUE,FALSE,16.5,16.5,6.6,Inf,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"30517",30517,30517,"ea0fcaca-b64f-46fb-82b3-909976c35f6c","karu","nasarawa","north_central","9.03056323 7.67937803 438.70001220703125 5.0","GOVERNMENT SECONDARY SCHOOL","senior_sec_only","nasarawa_karu",416,"1342433653964.jpg","ea0fcaca-b64f-46fb-82b3-909976c35f6c","senior_sec_only","1342433653964.jpg",9,"formal_educ",FALSE,TRUE,6,5,0,0,FALSE,FALSE,0,0.725,TRUE,FALSE,69,FALSE,0,FALSE,FALSE,FALSE,FALSE,23,FALSE,FALSE,FALSE,FALSE,13.8,1.15,15.3333333333333,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"30518",30518,30518,"98516b86-8116-4372-855a-30959c50f66f","karu","nasarawa","north_central","8.71650623 7.88534226 336.0 5.0","Govt. Sec. School","juniors_sec_only","nasarawa_karu",416,"1342269746086.jpg","98516b86-8116-4372-855a-30959c50f66f","juniors_sec_only","1342269746086.jpg",3,"formal_educ",TRUE,FALSE,0,2,NA,NA,TRUE,TRUE,5,3.07142857142857,FALSE,NA,NA,FALSE,2,TRUE,FALSE,FALSE,FALSE,14.25,FALSE,FALSE,FALSE,TRUE,57,2.375,19,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"30519",30519,30519,"08dbd6a8-ea50-4416-9d77-16b624e3d4fc","karu","nasarawa","north_central","9.01344865 7.64362576 411.0 5.0","New nyanya gbagi pri sch","primary_only","nasarawa_karu",416,"1342529289930.jpg","08dbd6a8-ea50-4416-9d77-16b624e3d4fc","primary_only","1342529289930.jpg",23,"formal_educ",TRUE,TRUE,6,22,NA,NA,TRUE,FALSE,0,0.853191489361702,TRUE,FALSE,217.75,FALSE,0,FALSE,FALSE,FALSE,FALSE,96.7777777777778,FALSE,FALSE,TRUE,FALSE,43.55,16.1296296296296,37.8695652173913,Inf,23,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"30520",30520,30520,"42cb6a7a-7563-46f7-b361-f2ec98c9aadf","karu","nasarawa","north_central","8.95381198 7.67892787 365.5 5.0","Gss kodape","junior_and_senior_sec","nasarawa_karu",416,"1342442881316.jpg","42cb6a7a-7563-46f7-b361-f2ec98c9aadf","junior_and_senior_sec","1342442881316.jpg",12,"formal_educ",TRUE,FALSE,6,8,19,0.0440835266821346,TRUE,FALSE,100,1.2565445026178,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,71.8333333333333,FALSE,FALSE,TRUE,TRUE,4.31,4.31,35.9166666666667,Inf,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"30521",30521,30521,"82d64e22-700c-4076-a45e-ca82a768ef32","karu","nasarawa","north_central","9.22307865 8.1111067 492.0 5.0","GJSS DUTSEN GOGO","juniors_sec_only","nasarawa_karu",416,"1342279651901.jpg","82d64e22-700c-4076-a45e-ca82a768ef32","juniors_sec_only","1342279651901.jpg",5,"formal_educ",FALSE,FALSE,3,3,NA,NA,TRUE,TRUE,15,1.08,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,17.3333333333333,FALSE,FALSE,FALSE,FALSE,Inf,Inf,10.4,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
