"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"11151",11151,11151,"a1ce14d7-8fa1-4161-b56c-813ac3876e38","kokona","nasarawa","north_central",436,"1342021436787.jpg","nasarawa_kokona","a1ce14d7-8fa1-4161-b56c-813ac3876e38","1342021436787.jpg","9.02061003 8.10939619 465.79998779296875 5.0","NINKORO PRIMARY HEALTH CARE CLINIC","primaryhealthclinic",FALSE,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"11152",11152,11152,"7a76225c-8c91-4448-9a5a-21374151ad77","kokona","nasarawa","north_central",436,"1342093155905.jpg","nasarawa_kokona","7a76225c-8c91-4448-9a5a-21374151ad77","1342093155905.jpg","8.43596796 8.15774995 117.4000015258789 5.0","PHC","primaryhealthclinic",FALSE,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"11153",11153,11153,"dd9fdab0-4835-495b-8953-b1d971f90a75","kokona","nasarawa","north_central",436,"1342020639699.jpg","nasarawa_kokona","dd9fdab0-4835-495b-8953-b1d971f90a75","1342020639699.jpg","8.65322789 7.93684761 275.8999938964844 5.0","Shaba clinic","primaryhealthclinic",FALSE,NA,NA,FALSE,FALSE,1,NA,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"health"
"11154",11154,11154,"c830f60a-00e8-4b27-ba5b-4de3bfe9597b","kokona","nasarawa","north_central",436,"1341928274958.jpg","nasarawa_kokona","c830f60a-00e8-4b27-ba5b-4de3bfe9597b","1341928274958.jpg","8.54502532 7.91660756 329.79998779296875 5.0","Kana clinic","primaryhealthcarecentre",FALSE,TRUE,NA,FALSE,TRUE,2,NA,FALSE,2,1,0,0,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"11155",11155,11155,"0ceb98c2-7e81-49c4-b9a2-b900921429d8","kokona","nasarawa","north_central",436,"1342028441697.jpg","nasarawa_kokona","0ceb98c2-7e81-49c4-b9a2-b900921429d8","1342028441697.jpg","8.93513475 8.0061742 378.29998779296875 5.0","BAZARIYE PRIMARY HEALTH CARE CLINIC","primaryhealthclinic",FALSE,TRUE,TRUE,TRUE,FALSE,2,FALSE,FALSE,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"11156",11156,11156,"457d4b2f-7772-4c07-bbc2-269423bf30bc","kokona","nasarawa","north_central",436,"1342103175036.jpg","nasarawa_kokona","457d4b2f-7772-4c07-bbc2-269423bf30bc","1342103175036.jpg","8.75519719 8.0119989 337.79998779296875 5.0","PRIMARY HEALTH CARE CENTRE","primaryhealthclinic",FALSE,TRUE,TRUE,TRUE,FALSE,2,FALSE,FALSE,2,0,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"11157",11157,11157,"43b5e25a-52f5-4f39-b458-e7482b727d1b","kokona","nasarawa","north_central",436,"1342012963751.jpg","nasarawa_kokona","43b5e25a-52f5-4f39-b458-e7482b727d1b","1342012963751.jpg","8.52531854 7.93975569 398.6000061035156 5.0","NATIONAL MODEL PRIMARY HEALTH CENTRE AGWADA","primaryhealthcarecentre",FALSE,TRUE,TRUE,TRUE,TRUE,6,TRUE,FALSE,6,1,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health"
"11158",11158,11158,"f9212490-e681-432a-bae6-bbb062c16c90","kokona","nasarawa","north_central",436,"1341939705621.jpg","nasarawa_kokona","f9212490-e681-432a-bae6-bbb062c16c90","1341939705621.jpg","8.54218841 7.93672793 334.29998779296875 5.0","Clinic","primaryhealthcarecentre",FALSE,NA,NA,FALSE,FALSE,3,NA,FALSE,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"11159",11159,11159,"b83ede8e-347f-4ed7-ba2a-4364bb94f767","kokona","nasarawa","north_central",436,"1342098275163.jpg","nasarawa_kokona","b83ede8e-347f-4ed7-ba2a-4364bb94f767","1342098275163.jpg","8.67843388 8.1183616 369.70001220703125 5.0","Phc sabon ruwa","primaryhealthcarecentre",FALSE,NA,TRUE,TRUE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"11160",11160,11160,"967caad2-c730-44a3-ad1f-bc7cc02142cb","kokona","nasarawa","north_central",436,"1342001049149.jpg","nasarawa_kokona","967caad2-c730-44a3-ad1f-bc7cc02142cb","1342001049149.jpg","8.54407559 8.00127646 316.0 5.0","Phc","primaryhealthclinic",FALSE,FALSE,NA,TRUE,FALSE,3,TRUE,FALSE,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"health"
