breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Poor Water Quality,,Daddere,,,"Water Scheme, Source within 100m",,No,8.440080285072327 8.715038895606995 232.0 4.0,True,Obi,546,546,547.0,Hand Pump,No,1305198596621.jpg,water,Nasarawa,nasarawa_obi,f2dc51f8f58576e46981d49146dedc3c,DADDERE,Handpump,,,,
Functional,,Agyaragu,,,Stand Alone Water Point,,Yes,8.400008082389832 8.550919890403748 235.0 4.0,True,Obi,546,546,547.0,Hand Pump,No,1305382829060.jpg,water,Nasarawa,nasarawa_obi,2da86f61031c0c7682c3fac219fd99d7,Gidan Ausa 1,Handpump,,,,
Functional,,Angwan Iliya,,,"Water Scheme, Source within 100m",,Yes,8.402518630027771 8.509265184402466 198.0 4.0,True,Obi,546,546,458.0,Electric,No,1305631791741.jpg,water,Nasarawa,nasarawa_obi,217cbe57061ffce95f7b2df18e5eaea7,Gidan Ausa 1,Tap,,,,
Don't Know,,Obi,,,"Water Scheme, Source within 100m",,No,8.371415734291077 8.772132396697998 196.0 4.0,True,Obi,546,546,547.0,Electric,No,1305111447533.jpg,water,Nasarawa,nasarawa_obi,2ba70505ff525fe930821deb41aaa395,Oriso,Tap,,,,
Don't Know,,Nyitwev,,,Stand Alone Water Point,,No,8.224956393241882 8.944464325904846 215.0 3.0,True,Obi,546,546,425.0,Hand Pump,No,1305209846075.jpg,water,Nasarawa,nasarawa_obi,3f4e9c374921f6bae02a7e3d5bcb37ca,Adudu,Handpump,,,,
Under Construction,,Secretariate,,,"Water Scheme, Source within 100m",,No,8.37759554386139 8.781632781028748 178.0 4.0,True,Obi,546,546,547.0,Solar,No,1305120304521.jpg,water,Nasarawa,nasarawa_obi,944a2bc37a48a125ad0250590b585a5f,OBI WARD,Tap,,,,
Functional,,kaito,,,Stand Alone Water Point,,Yes,8.302708268165588 8.979703187942505 211.0 4.0,False,Obi,546,546,547.0,Manual,No,1305194701409.jpg,water,Nasarawa,nasarawa_obi,ae57f006eb638a74996ea399168c0534,Adudu,Unimproved Large Diameter Well,,,,
Under Construction,,Apita,,,"Water Scheme, Source within 100m",,No,8.406590223312378 8.496353030204773 210.0 4.0,True,Obi,546,546,160.0,,Don't Know,1305637457792.jpg,water,Nasarawa,nasarawa_obi,29e6cead175c24a7dd5820bbc3ba1aa0,Gidan Ausa 1,Borehole,,,,
Mechanical Issue,,Obi,,,Stand Alone Water Point,,No,8.36881399154663 8.774363994598389 192.0 4.0,True,Obi,546,546,547.0,Hand Pump,No,1305041397565.jpg,water,Nasarawa,nasarawa_obi,0eb0361b0ef730c063003889d0dc9d6b,Obi,Handpump,,,,
Functional,,Agwatashi,,,Stand Alone Water Point,,Yes,8.315218091011047 8.850141763687134 190.0 4.0,True,Obi,546,546,547.0,Hand Pump,No,1305286158948.jpg,water,Nasarawa,nasarawa_obi,5cab636220ad96181ff9adb22c5abbc3,Agwatashi,Handpump,,,,
