breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Lakan 1,0.00882185899364,0.976288119919,Stand Alone Water Point,1342084652651.jpg,Yes,8.79205584526062 6.334943175315857 120.0 4.0,False,Agaie,18,18,418.0,Manual,No,1342084652651.jpg,water,Niger,niger_agaie,7cd110bb-6504-4aa1-b6f5-55384e9610cb,Baro,Unimproved Well,water_source,unprotected_dug_well,7cd110bb-6504-4aa1-b6f5-55384e9610cb,North-Central
Functional,,Gudungu,0.00699050869151,0.773260248633,Stand Alone Water Point,1342259538949.jpg,Yes,9.133034348487854 6.298368573188782 157.0 4.0,True,Agaie,18,18,418.0,,No,1342259538949.jpg,water,Niger,niger_agaie,ed6a36c2-5649-4a44-a588-f3a7d85840ad,Etsugaie,Borehole,water_source,borehole_tube_well,ed6a36c2-5649-4a44-a588-f3a7d85840ad,North-Central
Mechanical Issue,,koptun,0.00285263047242,0.315573237255,Stand Alone Water Point,1342253105836.jpg,No,9.071552753448486 6.287140846252441 142.0 3.0,True,Agaie,18,18,418.0,,No,1342253105836.jpg,water,Niger,niger_agaie,d541de04-489a-4c6f-bb72-29ed389716c6,Etsuagaie,Borehole,water_source,borehole_tube_well,d541de04-489a-4c6f-bb72-29ed389716c6,North-Central
Functional,,Lakan 1,0.00930886425064,1.03018417059,Stand Alone Water Point,1342084998597.jpg,Yes,8.791396021842957 6.3347285985946655 103.0 3.0,True,Agaie,18,18,418.0,Hand Pump,No,1342084998597.jpg,water,Niger,niger_agaie,7a60e162-7219-4812-aadd-d594f2b88b38,Baro,Borehole,water_source,borehole_tube_well,7a60e162-7219-4812-aadd-d594f2b88b38,North-Central
Poorly Constructed,,GOYI,0.0169215592544,1.87248071215,Stand Alone Water Point,1342258861154.jpg,No,8.859529495239258 6.2816959619522095 121.0 3.0,True,Agaie,18,18,418.0,Hand Pump,No,1342258861154.jpg,water,Niger,niger_agaie,c996788f-fc23-491d-b82b-4e7e97e5ef90,MAGAJI,Borehole,water_source,borehole_tube_well,c996788f-fc23-491d-b82b-4e7e97e5ef90,North-Central
Functional,,Etsugaie,0.00936636179208,1.03601331762,"Water Scheme, Source within 100m",1342252752548.jpg,Yes,9.169507026672363 6.286845803260803 131.0 3.0,True,Agaie,18,18,418.0,Tap (unknown lift),No,1342252752548.jpg,water,Niger,niger_agaie,94aaa333-f031-49f8-89c9-7a0573f28f16,Etsugaie,Tap,outlet,,94aaa333-f031-49f8-89c9-7a0573f28f16,North-Central
Functional,,LOGUMA,0.0134167405501,1.48488865782,Stand Alone Water Point,1342088179822.jpg,Yes,8.740283846855164 6.32611870765686 107.0 4.0,False,Agaie,18,18,418.0,Manual,No,1342088179822.jpg,water,Niger,niger_agaie,b4cfc5f4-14e5-446c-85f3-3e0baf560e4e,BARO,Unimproved Well,water_source,unprotected_dug_well,b4cfc5f4-14e5-446c-85f3-3e0baf560e4e,North-Central
Poorly Constructed,,Etsugaie,0.00928571764165,1.02709253443,Stand Alone Water Point,1342252540211.jpg,No,9.170048832893372 6.286899447441101 126.0 2.0,True,Agaie,18,18,418.0,Hand Pump,Yes,1342252540211.jpg,water,Niger,niger_agaie,e467f85d-9573-4b7e-935d-6b9e190f9319,Etsugaie,Borehole,water_source,borehole_tube_well,e467f85d-9573-4b7e-935d-6b9e190f9319,North-Central
Mechanical Issue,,Gudungu,0.00331675824821,0.366895353098,Stand Alone Water Point,1342260577850.jpg,No,9.115219116210938 6.313624978065491 170.0 4.0,True,Agaie,18,18,418.0,,No,1342260577850.jpg,water,Niger,niger_agaie,b9a2babe-c862-4686-b54d-937f75935c5c,Etsugaie,Borehole,water_source,borehole_tube_well,b9a2babe-c862-4686-b54d-937f75935c5c,North-Central
Mechanical Issue,,Loguma,0.0129386291402,1.43197465939,Stand Alone Water Point,1342088914104.jpg,No,8.74010682106018 6.3265639543533325 109.0 4.0,True,Agaie,18,18,418.0,Hand Pump,No,1342088914104.jpg,water,Niger,niger_agaie,7b880eab-5e80-45bf-b0b3-1c58580bd64d,Baro,Borehole,water_source,borehole_tube_well,7b880eab-5e80-45bf-b0b3-1c58580bd64d,North-Central
Mechanical Issue,,Wodata,0.00498294646213,0.551254672539,Stand Alone Water Point,1342254489409.jpg,No,9.051677584648132 6.271219253540039 134.0 3.0,True,Agaie,18,18,418.0,,No,1342254489409.jpg,water,Niger,niger_agaie,da949b73-148d-4b1d-bdbc-d51492d266b4,Etsuagaie,Borehole,water_source,borehole_tube_well,da949b73-148d-4b1d-bdbc-d51492d266b4,North-Central
Functional,,MAGAJI,0.000307503702503,0.0340254868887,Stand Alone Water Point,1342254821223.jpg,Yes,8.90465497970581 6.288374662399292 139.0 4.0,False,Agaie,18,18,418.0,Manual,No,1342254821223.jpg,water,Niger,niger_agaie,1558a943-5028-4a22-bb7b-be77916e1017,MAGAJI,Unimproved Well,water_source,unprotected_dug_well,1558a943-5028-4a22-bb7b-be77916e1017,North-Central
Poorly Constructed,,GBOGU,0.00717762341863,0.794262896584,Stand Alone Water Point,1342262202059.jpg,No,8.851611614227295 6.320207118988037 144.0 4.0,True,Agaie,18,18,418.0,Hand Pump,No,1342262202059.jpg,water,Niger,niger_agaie,d0d1bd80-e967-408a-81bf-118057ea99b3,MAGAJI,Borehole,water_source,borehole_tube_well,d0d1bd80-e967-408a-81bf-118057ea99b3,North-Central
Poorly Constructed,,Akwun,0.00851595916192,0.9426862669,Stand Alone Water Point,1342111387215.jpg,No,8.590160608291626 6.423922777175903 91.0 4.0,True,Agaie,18,18,464.0,Hand Pump,No,1342111387215.jpg,water,Niger,niger_agaie,ecf2c674-dc7f-4f05-a4ea-818f0600d6d6,Baro,Borehole,water_source,borehole_tube_well,ecf2c674-dc7f-4f05-a4ea-818f0600d6d6,North-Central
Mechanical Issue,,MAGAJI,0.00248622649989,0.27510107464,Stand Alone Water Point,1342253877253.jpg,No,8.907980918884277 6.287140846252441 145.0 4.0,True,Agaie,18,18,418.0,Hand Pump,No,1342253877253.jpg,water,Niger,niger_agaie,27bbcce6-2cb8-498e-b841-a7fd09e3f400,MAGAJI,Borehole,water_source,borehole_tube_well,27bbcce6-2cb8-498e-b841-a7fd09e3f400,North-Central
Mechanical Issue,,Gadza,0.0122006225165,1.34964860945,Stand Alone Water Point,1342256931242.jpg,No,9.094861149787903 6.301040053367615 156.0 4.0,True,Agaie,18,18,418.0,,No,1342256931242.jpg,water,Niger,niger_agaie,c2b22236-4f67-4c8a-98ac-3f06ae05bc15,Etsuagaie,Borehole,water_source,borehole_tube_well,c2b22236-4f67-4c8a-98ac-3f06ae05bc15,North-Central
Poorly Constructed,,Afuwagi,0.00111355857492,0.123165129092,Stand Alone Water Point,1342255554354.jpg,No,9.204992651939392 6.3233184814453125 149.0 4.0,True,Agaie,18,18,418.0,Hand Pump,No,1342255554354.jpg,water,Niger,niger_agaie,9b3d2f3f-da71-4633-8c91-ddb0edadf719,Etsugaie,Borehole,water_source,borehole_tube_well,9b3d2f3f-da71-4633-8c91-ddb0edadf719,North-Central
Mechanical Issue,,MAGAJI WORO,0.00372373762351,0.412033810195,Stand Alone Water Point,1342256256736.jpg,No,8.903818130493164 6.284136772155762 139.0 4.0,True,Agaie,18,18,418.0,Hand Pump,No,1342256256736.jpg,water,Niger,niger_agaie,d6d3565b-4dc0-4aa5-a0c3-659fbffc699f,MAGAJI,Borehole,water_source,borehole_tube_well,d6d3565b-4dc0-4aa5-a0c3-659fbffc699f,North-Central
Mechanical Issue,,Gudungu,0.00312410102295,0.345583765696,Stand Alone Water Point,1342260746935.jpg,No,9.115503430366516 6.313689351081848 172.0 4.0,True,Agaie,18,18,418.0,,No,1342260746935.jpg,water,Niger,niger_agaie,15b3f975-8c84-40a5-a2b2-286b0a624b93,Etsugaie,Borehole,water_source,borehole_tube_well,15b3f975-8c84-40a5-a2b2-286b0a624b93,North-Central
Functional,,Loguma,0.0120083785284,1.32902289962,Stand Alone Water Point,1342089501550.jpg,Yes,8.738653063774109 6.326960921287537 107.0 4.0,False,Agaie,18,18,418.0,Manual,No,1342089501550.jpg,water,Niger,niger_agaie,8d8f8390-4c0e-4ee6-bd4c-51dc8afec7a6,Baro,Unimproved Well,water_source,unprotected_dug_well,8d8f8390-4c0e-4ee6-bd4c-51dc8afec7a6,North-Central
Poorly Constructed,,Patigi Gambo,0.0204960174137,2.26767774869,Stand Alone Water Point,1342170570881.jpg,No,8.96907091140747 6.262823939323425 178.0 3.0,True,Agaie,18,18,418.0,Hand Pump,No,1342170570881.jpg,water,Niger,niger_agaie,d07ea3ed-8c0c-4682-aeee-cf06aba335f8,Ewugi,Borehole,water_source,borehole_tube_well,d07ea3ed-8c0c-4682-aeee-cf06aba335f8,North-Central
Functional,,GOYIKO,0.0175244022995,1.93919161606,Stand Alone Water Point,1342259313432.jpg,Yes,8.858397603034973 6.281706690788269 125.0 4.0,False,Agaie,18,18,418.0,Manual,No,1342259313432.jpg,water,Niger,niger_agaie,b150c3fe-73d3-4441-8d9e-004683107a83,MAGAJI,Unimproved Well,water_source,unprotected_dug_well,b150c3fe-73d3-4441-8d9e-004683107a83,North-Central
Mechanical Issue,,MAGAJI WORO,0.00372373762351,0.412033810195,Stand Alone Water Point,1342256256736.jpg,No,8.903818130493164 6.284136772155762 139.0 4.0,True,Agaie,18,18,418.0,Hand Pump,No,1342256256736.jpg,water,Niger,niger_agaie,1fe61a62-75ba-4987-a706-cf9715e6af7c,MAGAJI,Borehole,water_source,borehole_tube_well,1fe61a62-75ba-4987-a706-cf9715e6af7c,North-Central
Functional,,Akwano,0.00753765999996,0.834390359468,Stand Alone Water Point,1342112456422.jpg,Yes,8.59205424785614 6.420468091964722 87.0 4.0,True,Agaie,18,18,464.0,Electric,No,1342112456422.jpg,water,Niger,niger_agaie,75ccf96b-2d4b-4d96-93fc-8c4bd754b1a8,Baro,Borehole,water_source,borehole_tube_well,75ccf96b-2d4b-4d96-93fc-8c4bd754b1a8,North-Central
