breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,handpump,nnatatigi,,,Stand Alone Water Point,1342097329743.jpg,Yes,9.090805649757385 5.443360805511475 133.0 4.0,True,Edati,169,169,169.0,Hand Pump,No,1342097329743.jpg,water,Niger,niger_edati,f87ffbb5-ac82-4104-9773-0d1fbb7087cd,Rokota,Handpump,water_source,borehole_tube_well,f87ffbb5-ac82-4104-9773-0d1fbb7087cd,North-Central
Functional,unimproved,Gogata,,,Stand Alone Water Point,1342012374183.jpg,Yes,9.149009585380554 5.590490698814392 212.0 4.0,False,Edati,169,169,169.0,Manual,No,1342012374183.jpg,water,Niger,niger_edati,056ccda4-e8ef-4106-a352-a920c2cad116,Enagi,Unimproved,water_source,unprotected_dug_well,056ccda4-e8ef-4106-a352-a920c2cad116,North-Central
Functional,handpump,Nakonai,,,Stand Alone Water Point,1342020205522.jpg,Yes,8.988495469093323 5.642343163490295 114.0 4.0,True,Edati,169,169,169.0,Hand Pump,No,1342020205522.jpg,water,Niger,niger_edati,193b4f49-f6ea-41c7-9965-99e91aa080e9,Gonagi,Handpump,water_source,borehole_tube_well,193b4f49-f6ea-41c7-9965-99e91aa080e9,North-Central
Functional,handpump,Gata lile,,,Stand Alone Water Point,1342008659077.jpg,Yes,8.979493975639343 5.634645223617554 104.0 4.0,True,Edati,169,169,169.0,Hand Pump,No,1342008659077.jpg,water,Niger,niger_edati,c60b4b1b-af4d-4286-b9a1-66afbd949664,Gonagi,Handpump,water_source,borehole_tube_well,c60b4b1b-af4d-4286-b9a1-66afbd949664,North-Central
Functional,handpump,Dokopa,,,Stand Alone Water Point,1342099623762.jpg,Yes,9.027859568595886 5.7918548583984375 105.0 4.0,True,Edati,169,169,169.0,Hand Pump,No,1342099623762.jpg,water,Niger,niger_edati,2954dfbf-863f-4575-865b-8333f72ca0f1,Gazshe 1,Handpump,water_source,borehole_tube_well,2954dfbf-863f-4575-865b-8333f72ca0f1,North-Central
Mechanical Issue,handpump,Kukpa,,,Stand Alone Water Point,1342013186583.jpg,No,9.1605806350708 5.59153139591217 229.0 4.0,True,Edati,169,169,169.0,Hand Pump,No,1342013186583.jpg,water,Niger,niger_edati,f011f51f-5512-4637-9eb5-8ccf12b0521b,Enagi,Handpump,water_source,borehole_tube_well,f011f51f-5512-4637-9eb5-8ccf12b0521b,North-Central
Functional,unimproved,Kusodu,,,Stand Alone Water Point,1342024621253.jpg,Yes,9.086814522743225 5.523397922515869 224.0 4.0,False,Edati,169,169,169.0,Manual,No,1342024621253.jpg,water,Niger,niger_edati,6464b8f1-3f25-4c85-9662-d87aca4958cd,Enagi,Unimproved,water_source,protected_dug_well,6464b8f1-3f25-4c85-9662-d87aca4958cd,North-Central
Mechanical Issue,handpump,Lenfa Bororo,,,Stand Alone Water Point,1342268066828.jpg,No,8.973727226257324 5.753509998321533 139.0 4.0,True,Edati,169,169,169.0,Hand Pump,No,1342268066828.jpg,water,Niger,niger_edati,1e938d8e-73d7-4045-a396-f53e4e848a0a,Gazhe,Handpump,water_source,borehole_tube_well,1e938d8e-73d7-4045-a396-f53e4e848a0a,North-Central
Functional,handpump,Sakpe,,,Stand Alone Water Point,1342110903374.jpg,Yes,9.080897569656372 5.6294310092926025 158.0 4.0,True,Edati,169,169,169.0,Hand Pump,No,1342110903374.jpg,water,Niger,niger_edati,827ae57f-7520-489d-8d49-e909d5e5e737,Sakpe,Handpump,water_source,borehole_tube_well,827ae57f-7520-489d-8d49-e909d5e5e737,North-Central
Functional,handpump,Gbafu Emidakosu,,,Stand Alone Water Point,1342089332278.jpg,Yes,8.946046829223633 5.786581635475159 96.0 4.0,True,Edati,169,169,169.0,Hand Pump,No,1342089332278.jpg,water,Niger,niger_edati,b470cb37-3f0e-4803-8473-c5dc2ad3b836,Gazhe 1,Handpump,water_source,borehole_tube_well,b470cb37-3f0e-4803-8473-c5dc2ad3b836,North-Central
