"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"32642",32642,32642,"adb3e346-194f-4db5-97ed-0f30214080d5","kontagora","niger","north_central","10.29744029045105 5.472720265388489 282.0 4.0","Masaha Prinmary School","primary_only","niger_kontagora",440,"1338285129899.jpg","adb3e346-194f-4db5-97ed-0f30214080d5","primary_only","1338285129899.jpg",6,"formal_educ",FALSE,FALSE,4,3,NA,NA,FALSE,TRUE,50,2.41935483870968,FALSE,NA,NA,FALSE,2,FALSE,FALSE,TRUE,FALSE,53,FALSE,FALSE,FALSE,FALSE,6.36,6.36,53,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"32643",32643,32643,"762f276e-8af0-4942-98db-31cc99677999","kontagora","niger","north_central","10.395534038543701 5.444380044937134 374.0 4.0","Govt sec schoo A kwantagora","junior_and_senior_sec","niger_kontagora",440,"1338204284482.jpg","762f276e-8af0-4942-98db-31cc99677999","junior_and_senior_sec","1338204284482.jpg",36,"formal_educ",FALSE,TRUE,6,20,212,0.218106995884774,TRUE,FALSE,281,26,TRUE,FALSE,81,TRUE,8,FALSE,TRUE,FALSE,FALSE,81,FALSE,FALSE,FALSE,FALSE,9.16981132075472,9.16981132075472,27,Inf,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"32644",32644,32644,"a49b2142-eb28-418c-9258-d67de01a8182","kontagora","niger","north_central","10.396252870559692 5.462731719017029 384.0 4.0","Maigari godabe madarasul ulum wasakafatul Islamiya","primary_only","niger_kontagora",440,"1338046831204.jpg","a49b2142-eb28-418c-9258-d67de01a8182","primary_only","1338046831204.jpg",1,"religious_only",FALSE,TRUE,0,1,0,0,FALSE,NA,13,0.555555555555556,FALSE,NA,NA,TRUE,0,TRUE,FALSE,FALSE,FALSE,23.3333333333333,FALSE,FALSE,FALSE,FALSE,2.33333333333333,2.33333333333333,70,Inf,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"32645",32645,32645,"7a517f57-5b23-4536-b490-d4ad27672965","kontagora","niger","north_central","10.411600470542908 5.369782447814941 328.0 4.0","alh agga pry school","primary_only","niger_kontagora",440,"1338217856624.jpg","7a517f57-5b23-4536-b490-d4ad27672965","primary_only","1338217856624.jpg",1,"formal_educ",FALSE,FALSE,0,0,NA,NA,FALSE,TRUE,0,0.777777777777778,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,80,TRUE,FALSE,FALSE,FALSE,8,Inf,80,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"32647",32647,32647,"c209a04b-1cbf-4655-9bf2-4f592a810601","kontagora","niger","north_central","10.39832353591919 5.481700301170349 356.0 2.0","Model senior sec school","junior_and_senior_sec","niger_kontagora",440,"1338035577027.jpg","c209a04b-1cbf-4655-9bf2-4f592a810601","junior_and_senior_sec","1338035577027.jpg",28,"formal_educ",FALSE,FALSE,6,18,68,0.0991253644314869,TRUE,FALSE,50,2.5360824742268,TRUE,TRUE,171.5,TRUE,6,FALSE,FALSE,TRUE,FALSE,68.6,FALSE,FALSE,FALSE,FALSE,13.72,13.72,24.5,NA,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"32648",32648,32648,"7f8611a7-5e81-4e53-ac7d-695eec3b75ae","kontagora","niger","north_central","10.326799750328064 5.305489897727966 342.0 4.0","j s s madangyan","juniors_sec_only","niger_kontagora",440,"1338290659874.jpg","7f8611a7-5e81-4e53-ac7d-695eec3b75ae","juniors_sec_only","1338290659874.jpg",7,"formal_educ",FALSE,FALSE,0,6,NA,NA,TRUE,FALSE,0,2,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,20,FALSE,FALSE,FALSE,TRUE,1.36363636363636,1.36363636363636,8.57142857142857,Inf,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"32649",32649,32649,"9eff6852-7738-4ed9-8c6f-887f6cf0d49e","kontagora","niger","north_central","10.172996520996094 5.5626654624938965 211.0 4.0","UBE Primary school mai komo","primary_only","niger_kontagora",440,"1338375646558.jpg","9eff6852-7738-4ed9-8c6f-887f6cf0d49e","primary_only","1338375646558.jpg",2,"formal_educ",FALSE,FALSE,0,1,NA,NA,TRUE,TRUE,0,4.4,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,54,TRUE,FALSE,TRUE,FALSE,2.4,2.4,54,Inf,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"32650",32650,32650,"da00cc53-de02-464b-b0c2-c7dd33156d85","kontagora","niger","north_central","10.394756197929382 5.498930811882019 354.0 4.0","u b e pry school","primary_only","niger_kontagora",440,"1338129173902.jpg","da00cc53-de02-464b-b0c2-c7dd33156d85","primary_only","1338129173902.jpg",8,"formal_educ",FALSE,TRUE,1,4,NA,NA,TRUE,TRUE,0,1.34351145038168,TRUE,FALSE,Inf,FALSE,0,TRUE,FALSE,FALSE,FALSE,51.1666666666667,FALSE,FALSE,TRUE,FALSE,12.7916666666667,12.7916666666667,38.375,NA,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"32651",32651,32651,"a02a679e-db9d-46d7-b466-aa6c742763e2","kontagora","niger","north_central","10.324707627296448 5.428935885429382 358.0 4.0","U B E madara","primary_only","niger_kontagora",440,"1338296165860.jpg","a02a679e-db9d-46d7-b466-aa6c742763e2","primary_only","1338296165860.jpg",4,"formal_educ",FALSE,FALSE,0,3,NA,NA,TRUE,TRUE,0,1.47435897435897,FALSE,NA,NA,FALSE,2,FALSE,FALSE,TRUE,FALSE,96.5,TRUE,FALSE,TRUE,FALSE,7.72,7.72,48.25,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"32652",32652,32652,"82edecb4-c606-440c-b645-90e493280bf9","kontagora","niger","north_central","10.31864801 5.6282446 321.5 5.0","Kafanin Waya Primary School","primary_only","niger_kontagora",440,"1338199605479.jpg","82edecb4-c606-440c-b645-90e493280bf9","primary_only","1338199605479.jpg",5,"formal_educ",TRUE,FALSE,2,1,NA,NA,TRUE,FALSE,13,3.18032786885246,FALSE,NA,NA,FALSE,3,FALSE,FALSE,TRUE,FALSE,28.3333333333333,TRUE,FALSE,FALSE,FALSE,63.75,8.5,51,Inf,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"education"
