"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"70535",70535,"1b919539-fd4d-487f-b45f-13be2bcca4f3","1b919539-fd4d-487f-b45f-13be2bcca4f3","Lapai","Niger","North-Central",464,"9.179399013519287 6.537830829620361 287.0 4.0","1342287443935.jpg","niger_lapai","1342287443935.jpg","Tap",NA,NA,"outlet","Takuti Shaba","Takuti Shaku","Yes","Tap (unknown lift)","No","Mechanical Issue","Yes","Water Scheme, Source within 100m"
"70536",70536,"f47af62b-0548-4344-b98e-ee6a761751a7","f47af62b-0548-4344-b98e-ee6a761751a7","Lapai","Niger","North-Central",464,"8.253521919250488 6.722205877304077 82.0 4.0","1342001903710.jpg","niger_lapai","1342001903710.jpg","Borehole",NA,"borehole_tube_well","water_source","muye","Muye egba","Yes","Hand Pump","No","Poor Water Quality","No","Stand Alone Water Point"
"70537",70537,"48ac904a-a5a5-4dda-abbe-5c74171b9506","48ac904a-a5a5-4dda-abbe-5c74171b9506","Lapai","Niger","North-Central",464,"8.994932770729065 6.718445420265198 221.0 4.0","1342105612236.jpg","niger_lapai","1342105612236.jpg","Borehole",NA,"borehole_tube_well","water_source","Tashibo","Birninmaza  Tashibo","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70538",70538,"130c7338-7df3-4973-aa03-c430d3035f21","130c7338-7df3-4973-aa03-c430d3035f21","Lapai","Niger","North-Central",464,"8.524859547615051 6.656733155250549 148.0 4.0","1342105231657.jpg","niger_lapai","1342105231657.jpg","Tap",NA,NA,"outlet","jijibu","evuti","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"70539",70539,"4b1357ae-6faf-48a6-8f8f-f39c6e8837fc","4b1357ae-6faf-48a6-8f8f-f39c6e8837fc","Lapai","Niger","North-Central",464,"8.371753692626953 6.677246689796448 107.0 4.0","1342003042330.jpg","niger_lapai","1342003042330.jpg","Don't Know",NA,NA,"dk","Chepa","Gupa/Abugi","No",NA,"No","Mechanical Issue","No",NA
"70540",70540,"3961617c-afdc-4c8b-9540-3083c396bed5","3961617c-afdc-4c8b-9540-3083c396bed5","Lapai","Niger","North-Central",464,"8.892043232917786 6.625598073005676 154.0 4.0","1341995919777.jpg","niger_lapai","1341995919777.jpg","Borehole",NA,"borehole_tube_well","water_source","Duma","Duma Zago","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"70541",70541,"f5af0556-56b6-4b75-8143-f4b60a0458b2","f5af0556-56b6-4b75-8143-f4b60a0458b2","Lapai","Niger","North-Central",464,"9.10167396068573 6.635157465934753 280.0 4.0","1342176414998.jpg","niger_lapai","1342176414998.jpg","Borehole",NA,"borehole_tube_well","water_source","Gabi","Takuti/Shaku","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"70542",70542,"551a793b-f44d-4d78-8ec3-326a2bbba925","551a793b-f44d-4d78-8ec3-326a2bbba925","Lapai","Niger","North-Central",464,"8.347173929214478 6.717195510864258 244.0 4.0","1342012435380.jpg","niger_lapai","1342012435380.jpg","Don't Know",NA,NA,"dk","Dagbaje","Gupa/Abugi","No",NA,"Yes","Functional","No",NA
"70543",70543,"c194a68c-9a6f-4547-a0a6-e704d52f5a46","c194a68c-9a6f-4547-a0a6-e704d52f5a46","Lapai","Niger","North-Central",464,"8.795467615127563 6.788188219070435 116.0 4.0","1342023251780.jpg","niger_lapai","1342023251780.jpg","Borehole",NA,"borehole_tube_well","water_source","Kache","Duma/Zago","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"70544",70544,"d0da322d-60d9-4613-b531-ec511b227b44","d0da322d-60d9-4613-b531-ec511b227b44","Lapai","Niger","North-Central",464,"8.42003345489502 6.73212468624115 277.0 4.0","1342108966900.jpg","niger_lapai","1342108966900.jpg","Borehole",NA,"borehole_tube_well","water_source","Bwaje","Gupa/Abugi","Yes",NA,"No","Poorly Constructed","No","Stand Alone Water Point"
"70545",70545,"191497fb-7120-4610-9362-21d92bad76a8","191497fb-7120-4610-9362-21d92bad76a8","Lapai","Niger","North-Central",464,"9.170746207237244 6.6220468282699585 263.0 4.0","1342265194847.jpg","niger_lapai","1342265194847.jpg","Tap",NA,NA,"outlet","Zolegi","Takuti Shaku","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 1km"
"70546",70546,"722efc14-5e03-4337-82fd-c87d19f94c11","722efc14-5e03-4337-82fd-c87d19f94c11","Lapai","Niger","North-Central",464,"8.658165335655212 6.587435603141785 138.0 4.0","1342181580448.jpg","niger_lapai","1342181580448.jpg","Tap",NA,"borehole_tube_well","water_source","Gulu Vatsa","Gulu","Yes","Solar","No","Mechanical Issue","No","Stand Alone Water Point"
"70547",70547,"c54ec0a2-7d56-41bb-a89f-81d5064c738d","c54ec0a2-7d56-41bb-a89f-81d5064c738d","Lapai","Niger","North-Central",464,"8.869142532348633 6.678485870361328 175.0 4.0","1342104884574.jpg","niger_lapai","1342104884574.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Bwacha","Birnin Maza/Tashibo","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"70548",70548,"cb7895c1-5e5d-42fa-b634-369fffedfe17","cb7895c1-5e5d-42fa-b634-369fffedfe17","Lapai","Niger","North-Central",464,"9.117279052734375 6.5882134437561035 258.0 4.0","1342260092365.jpg","niger_lapai","1342260092365.jpg","Borehole",NA,"borehole_tube_well","water_source","Mikugi Tsaza","Takuti Shaku","Yes",NA,"No","Under Construction","No","Stand Alone Water Point"
"70549",70549,"8c86d2e9-605a-4655-85c6-f1a2fb28bf73","8c86d2e9-605a-4655-85c6-f1a2fb28bf73","Lapai","Niger","North-Central",464,"8.589838743209839 6.689954996109009 197.0 4.0","1342188436918.jpg","niger_lapai","1342188436918.jpg","Don't Know",NA,NA,"dk","ekkun","evuti kpada","No",NA,"No","Mechanical Issue","No",NA
"70550",70550,"c7fbcbd3-eb36-48e7-aabe-23e102051936","c7fbcbd3-eb36-48e7-aabe-23e102051936","Lapai","Niger","North-Central",464,"9.112032651901245 6.757321357727051 280.0 4.0","1342182508689.jpg","niger_lapai","1342182508689.jpg","Borehole",NA,"borehole_tube_well","water_source","Saminaka","Birninmaza Tashibo","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70551",70551,"0ca3f4a0-f815-4986-ac1d-3fbab29866e1","0ca3f4a0-f815-4986-ac1d-3fbab29866e1","Lapai","Niger","North-Central",464,"9.042643904685974 6.573718786239624 181.0 4.0","1342277601892.jpg","niger_lapai","1342277601892.jpg","Borehole",NA,"borehole_tube_well","water_source","Efugwaja","Gabas/Kudu","Yes",NA,"No","Poorly Constructed","No","Stand Alone Water Point"
"70552",70552,"18545fce-3e96-4e45-b999-be215ff06ca8","18545fce-3e96-4e45-b999-be215ff06ca8","Lapai","Niger","North-Central",464,"8.617197275161743 6.617980599403381 154.0 4.0","1342187278681.jpg","niger_lapai","1342187278681.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Ewugi","Gulu","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"70553",70553,"f7adaf80-9072-4d47-b13b-04d19d08df76","f7adaf80-9072-4d47-b13b-04d19d08df76","Lapai","Niger","North-Central",464,"8.891565799713135 6.623232364654541 144.0 4.0","1341996188282.jpg","niger_lapai","1341996188282.jpg","Borehole",NA,"borehole_tube_well","water_source","Duma","Duma Zago","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"70554",70554,"5f720727-8ed0-47d1-86b6-a81c66095d79","5f720727-8ed0-47d1-86b6-a81c66095d79","Lapai","Niger","North-Central",464,"9.214450120925903 6.5629953145980835 240.0 4.0","1342279993798.jpg","niger_lapai","1342279993798.jpg","Tap",NA,"borehole_tube_well","water_source","Lenfa","Takuti/Shaku","Yes","Electric","Yes","Functional","No","Stand Alone Water Point"
"70555",70555,"2ad60c5b-05ae-404c-a42b-ce5a89c969c8","2ad60c5b-05ae-404c-a42b-ce5a89c969c8","Lapai","Niger","North-Central",464,"9.180783033370972 6.54511034488678 262.0 4.0","1342287802850.jpg","niger_lapai","1342287802850.jpg","Borehole",NA,"borehole_tube_well","water_source","Takuti Abuja","Takuti Shaku","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"70556",70556,"91029a44-ebac-4900-ac27-13463f988303","91029a44-ebac-4900-ac27-13463f988303","Lapai","Niger","North-Central",464,"8.625630140304565 6.679242253303528 199.0 4.0","1342191580551.jpg","niger_lapai","1342191580551.jpg","Tap",NA,NA,"outlet","kpada","evuti kpada","Yes","Tap (unknown lift)","No","Don't Know","No","Water Scheme, Source within 100m"
"70557",70557,"60827617-27f6-458a-9c9b-4ca4a6e7e4cd","60827617-27f6-458a-9c9b-4ca4a6e7e4cd","Lapai","Niger","North-Central",464,"8.448126912117004 6.586137413978577 80.0 4.0","1342093544787.jpg","niger_lapai","1342093544787.jpg","Borehole",NA,"borehole_tube_well","water_source","Gwari","Ebbo","Yes","Hand Pump","No","Poor Water Quality","No","Stand Alone Water Point"
"70558",70558,"951055cb-6dcf-41b5-a632-4d9fbd7c19ea","951055cb-6dcf-41b5-a632-4d9fbd7c19ea","Lapai","Niger","North-Central",464,"8.60876977443695 6.579791307449341 131.0 4.0","1342172681353.jpg","niger_lapai","1342172681353.jpg","Borehole",NA,"borehole_tube_well","water_source","Kandi","Gulu Vatsa","Yes",NA,"No","Mechanical Issue","No","Stand Alone Water Point"
"70559",70559,"01fa1cf6-8f9c-4bf6-a8fd-7812e12d4cf3","01fa1cf6-8f9c-4bf6-a8fd-7812e12d4cf3","Lapai","Niger","North-Central",464,"8.252513408660889 6.722409725189209 81.0 4.0","1342002264112.jpg","niger_lapai","1342002264112.jpg","Borehole",NA,"borehole_tube_well","water_source","muye","Muye Ebga","Yes","Hand Pump","No","Poor Water Quality","No","Stand Alone Water Point"
"70560",70560,"74b10347-1665-49a2-9699-1ff8dadb428d","74b10347-1665-49a2-9699-1ff8dadb428d","Lapai","Niger","North-Central",464,"8.421562314033508 6.607503890991211 73.0 4.0","1342083411038.jpg","niger_lapai","1342083411038.jpg","Borehole",NA,"borehole_tube_well","water_source","Akoyi","Ebbo","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70561",70561,"ccac56aa-1d56-4249-bc1e-5bd7a8eb3e61","ccac56aa-1d56-4249-bc1e-5bd7a8eb3e61","Lapai","Niger","North-Central",464,"8.668427467346191 6.592955589294434 145.0 4.0","1342206341721.jpg","niger_lapai","1342206341721.jpg","Don't Know",NA,NA,"dk","gulu anguwa","gulu vatsa","No",NA,"No","Don't Know","No",NA
"70562",70562,"f1ee1837-5ccb-4b4f-b9bc-f7bbb36b309d","f1ee1837-5ccb-4b4f-b9bc-f7bbb36b309d","Lapai","Niger","North-Central",464,"9.044178128242493 6.5709346532821655 193.0 4.0","1342277561591.jpg","niger_lapai","1342277561591.jpg","Don't Know",NA,NA,"dk","lapai","Arewa yamma","No",NA,"Yes","Functional","No",NA
"70563",70563,"49da9609-c82c-4fa1-8a33-98ed3d7ce52f","49da9609-c82c-4fa1-8a33-98ed3d7ce52f","Lapai","Niger","North-Central",464,"8.997395038604736 6.6334086656570435 187.0 4.0","1342020284830.jpg","niger_lapai","1342020284830.jpg","Borehole",NA,"borehole_tube_well","water_source","Ung. Gwari Dangana","Birnin Maza Tashibo","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70564",70564,"9a21489f-ea08-49de-85d3-e4bb56024007","9a21489f-ea08-49de-85d3-e4bb56024007","Lapai","Niger","North-Central",464,"10.660691857337952 5.988256931304932 396.0 4.0","1338298418327.jpg","niger_lapai","1338298418327.jpg","Tap",NA,NA,"outlet","Madaki b","Wanba","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"70565",70565,"ac7baa54-c27a-40a1-8e5c-656fb306b864","ac7baa54-c27a-40a1-8e5c-656fb306b864","Lapai","Niger","North-Central",464,"8.482126593589783 6.563183069229126 72.0 3.0","1342167337777.jpg","niger_lapai","1342167337777.jpg","Borehole",NA,"borehole_tube_well","water_source","Anguwan Gwari","Gbachiko","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"70566",70566,"ae89f630-0a6f-4f41-9dd7-ac7aaadf0be6","ae89f630-0a6f-4f41-9dd7-ac7aaadf0be6","Lapai","Niger","North-Central",464,"9.04224693775177 6.567378044128418 192.0 4.0","1342274684641.jpg","niger_lapai","1342274684641.jpg","Don't Know",NA,NA,"dk","lapai","Arewa yamma","No",NA,"No","Don't Know","No",NA
"70567",70567,"4a5996f9-f4cb-46c5-a264-0502004b813e","4a5996f9-f4cb-46c5-a264-0502004b813e","Lapai","Niger","North-Central",464,"9.200851321220398 6.53461217880249 253.0 4.0","1342284100460.jpg","niger_lapai","1342284100460.jpg","Borehole",NA,"borehole_tube_well","water_source","Takuti Wadata","Takuti Shaku","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70568",70568,"570c9133-0eee-4003-b901-a946ea9f39f9","570c9133-0eee-4003-b901-a946ea9f39f9","Lapai","Niger","North-Central",464,"8.954179286956787 6.602005362510681 192.0 4.0","1342016541662.jpg","niger_lapai","1342016541662.jpg","Borehole",NA,"borehole_tube_well","water_source","Gidan Isah","Birnin Maza Tashibo","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70569",70569,"48d0872a-d989-4dbc-924a-6b340b8b3545","48d0872a-d989-4dbc-924a-6b340b8b3545","Lapai","Niger","North-Central",464,"9.005366563796997 6.672810316085815 226.0 4.0","1342189289400.jpg","niger_lapai","1342189289400.jpg","Borehole",NA,"borehole_tube_well","water_source","Emiluku","Birninnmaza Tashibo","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70570",70570,"5b2ad399-ec25-48b3-b0e4-0b9aaac36a9e","5b2ad399-ec25-48b3-b0e4-0b9aaac36a9e","Lapai","Niger","North-Central",464,"9.118925929069519 6.598062515258789 260.0 4.0","1342258415673.jpg","niger_lapai","1342258415673.jpg","Borehole",NA,"borehole_tube_well","water_source","Mukugi Adaku","Takuti Shaku","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70571",70571,"d8736612-df90-4eff-8581-858708590f30","d8736612-df90-4eff-8581-858708590f30","Lapai","Niger","North-Central",464,"8.518272042274475 6.562609076499939 115.0 4.0","1342170029496.jpg","niger_lapai","1342170029496.jpg","Borehole",NA,"borehole_tube_well","water_source","Nugbagi","Evuti","Yes",NA,"No","Poor Water Quality","No","Stand Alone Water Point"
"70572",70572,"00d5747a-76f3-4018-918b-ba3caf5d7173","00d5747a-76f3-4018-918b-ba3caf5d7173","Lapai","Niger","North-Central",464,"9.040685892105103 6.700683832168579 276.0 4.0","1342112946296.jpg","niger_lapai","1342112946296.jpg","Borehole",NA,"borehole_tube_well","water_source","Rugamugu","Birninmaza Tashibo","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70573",70573,"c7e69606-a4d9-4de5-b23f-a558d58e1a20","c7e69606-a4d9-4de5-b23f-a558d58e1a20","Lapai","Niger","North-Central",464,"8.991596102714539 6.6750794649124146 216.0 4.0","1342099174712.jpg","niger_lapai","1342099174712.jpg","Borehole",NA,"borehole_tube_well","water_source","Sonfada","Birninmaza Tashibo","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70574",70574,"9db0aba9-5228-4b5a-bd2c-305a6e357d0d","9db0aba9-5228-4b5a-bd2c-305a6e357d0d","Lapai","Niger","North-Central",464,"9.038030505180359 6.572871208190918 170.0 4.0","1342265571817.jpg","niger_lapai","1342265571817.jpg","Borehole",NA,"borehole_tube_well","water_source","Malle","Gabas/Kudu","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"70575",70575,"289cafd9-4480-47e3-ad0c-7c26b12a109e","289cafd9-4480-47e3-ad0c-7c26b12a109e","Lapai","Niger","North-Central",464,"8.487517833709717 6.490527391433716 100.0 4.0","1342000510513.jpg","niger_lapai","1342000510513.jpg","Borehole",NA,"borehole_tube_well","water_source","Mumbu","Ebbo","Yes",NA,"No","Poor Water Quality","No","Stand Alone Water Point"
"70576",70576,"783e6318-f306-4d8e-8e42-5a3d7e36dfdb","783e6318-f306-4d8e-8e42-5a3d7e36dfdb","Lapai","Niger","North-Central",464,"8.517440557479858 6.649630665779114 141.0 4.0","1342106219911.jpg","niger_lapai","1342106219911.jpg","Borehole",NA,"borehole_tube_well","water_source","effon","evuti","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"70577",70577,"4f4e8499-1bbe-4033-891f-5509137fd2d6","4f4e8499-1bbe-4033-891f-5509137fd2d6","Lapai","Niger","North-Central",464,"8.646637201309204 6.576213240623474 145.0 4.0","1342176649299.jpg","niger_lapai","1342176649299.jpg","Borehole",NA,"borehole_tube_well","water_source","Vulegbo","Gulu","Yes","Hand Pump","No","Poor Water Quality","No","Stand Alone Water Point"
"70578",70578,"b97c9580-2b1b-42c5-a96c-3d2e9ebbbd87","b97c9580-2b1b-42c5-a96c-3d2e9ebbbd87","Lapai","Niger","North-Central",464,"9.059675931930542 6.712297797203064 280.0 4.0","1342114690772.jpg","niger_lapai","1342114690772.jpg","Tap",NA,NA,"outlet","Birminmaza","Birninmaza Tachibo","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"70579",70579,"34c4894a-330e-4cdb-964b-9f080233b19c","34c4894a-330e-4cdb-964b-9f080233b19c","Lapai","Niger","North-Central",464,"9.099040031433105 6.633778810501099 278.0 4.0","1342175300005.jpg","niger_lapai","1342175300005.jpg","Borehole",NA,"borehole_tube_well","water_source","Gabi","TAKUTI/SHAKU","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70580",70580,"368b1959-150b-4fc1-b9a4-6dd3bc397a57","368b1959-150b-4fc1-b9a4-6dd3bc397a57","Lapai","Niger","North-Central",464,"8.427393436431885 6.693227291107178 157.0 4.0","1342116100173.jpg","niger_lapai","1342116100173.jpg","Borehole",NA,"borehole_tube_well","water_source","Gbedu","Gupa/Abugi","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"70581",70581,"f5d5d950-8e50-4e1b-80f5-5a62fb870e79","f5d5d950-8e50-4e1b-80f5-5a62fb870e79","Lapai","Niger","North-Central",464,"9.172162413597107 6.623988747596741 256.0 4.0","1342265589732.jpg","niger_lapai","1342265589732.jpg","Borehole",NA,"borehole_tube_well","water_source","Zolegu","Takuti shaku","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70582",70582,"c385e791-5114-4fab-8b46-0b9257238166","c385e791-5114-4fab-8b46-0b9257238166","Lapai","Niger","North-Central",464,"8.711434006690979 6.727436184883118 144.0 4.0","1342019131494.jpg","niger_lapai","1342019131494.jpg","Borehole",NA,"borehole_tube_well","water_source","Lafiyanzago","Duma/Zago","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"70583",70583,"04a98f32-5396-4e47-8429-7345c19a6213","04a98f32-5396-4e47-8429-7345c19a6213","Lapai","Niger","North-Central",464,"8.217730522155762 6.702325344085693 72.0 4.0","1342026821912.jpg","niger_lapai","1342026821912.jpg","Don't Know",NA,NA,"dk","eshi","muyegba","No",NA,"No","Mechanical Issue","No",NA
"70584",70584,"dd5c3bf9-6915-4e67-b2ff-5e2b6b63e7cb","dd5c3bf9-6915-4e67-b2ff-5e2b6b63e7cb","Lapai","Niger","North-Central",464,"8.43525767326355 6.59704327583313 81.0 4.0","1342086660549.jpg","niger_lapai","1342086660549.jpg","Tap",NA,"borehole_tube_well","water_source","Puji","Ebbo","Yes","Diesel","No","Poor Water Quality","No","Stand Alone Water Point"
"70585",70585,"f3a6a5e4-3cb4-450f-9fc8-b9abd1b67d62","f3a6a5e4-3cb4-450f-9fc8-b9abd1b67d62","Lapai","Niger","North-Central",464,"8.837352991104126 6.7292386293411255 194.0 4.0","1342098931722.jpg","niger_lapai","1342098931722.jpg","Borehole",NA,"borehole_tube_well","water_source","Kpashimi","Duma/Zago","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"70586",70586,"eb0dac06-9feb-4a46-a032-c3aff619d0d6","eb0dac06-9feb-4a46-a032-c3aff619d0d6","Lapai","Niger","North-Central",464,"8.988640308380127 6.674140691757202 213.0 4.0","1342099494712.jpg","niger_lapai","1342099494712.jpg","Borehole",NA,"borehole_tube_well","water_source","Sonfada","Birninmaza Tashibo","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70587",70587,"b8fb165b-b4a6-4b22-995e-17ee80af160a","b8fb165b-b4a6-4b22-995e-17ee80af160a","Lapai","Niger","North-Central",464,"8.641144037246704 6.553500294685364 122.0 4.0","1342178858471.jpg","niger_lapai","1342178858471.jpg","Borehole",NA,"borehole_tube_well","water_source","Atsu","Gulu","Yes","Hand Pump","No","Poor Water Quality","No","Stand Alone Water Point"
"70588",70588,"59c31516-c4ea-4a71-b8cc-2b7b6284c6a4","59c31516-c4ea-4a71-b8cc-2b7b6284c6a4","Lapai","Niger","North-Central",464,"8.857195973396301 6.610057353973389 160.0 4.0","1341999563147.jpg","niger_lapai","1341999563147.jpg","Borehole",NA,"borehole_tube_well","water_source","Sabon Warai","Duma Zago","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"70589",70589,"f18bf671-dd7c-4946-b1f5-0beeda5e0104","f18bf671-dd7c-4946-b1f5-0beeda5e0104","Lapai","Niger","North-Central",464,"8.370868563652039 6.683313846588135 106.0 4.0","1342006732732.jpg","niger_lapai","1342006732732.jpg","Don't Know",NA,NA,"dk","Alaba","Gupa/Abugi","No",NA,"Yes","Functional","No",NA
"70590",70590,"7b640f62-f5ca-4792-9cda-be131cb647a5","7b640f62-f5ca-4792-9cda-be131cb647a5","Lapai","Niger","North-Central",464,"9.12515938282013 6.611967086791992 281.0 4.0","1342261289904.jpg","niger_lapai","1342261289904.jpg","Borehole",NA,"borehole_tube_well","water_source","Ndawashi","Takuti Shaku","Yes",NA,"No","Mechanical Issue","No","Stand Alone Water Point"
"70591",70591,"2123bfb4-db75-4718-ace7-0061307f25da","2123bfb4-db75-4718-ace7-0061307f25da","Lapai","Niger","North-Central",464,"9.03376579284668 6.605331301689148 186.0 4.0","1342108533117.jpg","niger_lapai","1342108533117.jpg","Borehole",NA,"borehole_tube_well","water_source","Ganamadi","Gabas/Kudu","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
