antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,3198.330985,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,BHC darangi,FALSE,primaryhealthclinic,False,True,False,True,1338199254017.jpg,11.272197961807251 5.277621746063232 345.0 4.0,False,True,FALSE,False,False,False,False,TRUE,,False,False,False,True,False,False,False,Rijau,652,652,652.0,False,True,False,True,False,False,False,False,False,False,FALSE,rijau,niger,north_central,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1338199254017.jpg,176053,55.0452723079,,False,False,health,False,TRUE,Niger,False,True,Others,FALSE,niger_rijau,False,8835f9d5-3080-409d-955d-2066e12d33a0,,,8835f9d5-3080-409d-955d-2066e12d33a0,North-Central
,3198.330985,False,False,True,,,,,,,,,,,False,FALSE,,,,False,True,,True,False,,,,Rahusa Medical Clinic,,primaryhealthclinic,,True,,True,1338315851425.jpg,11.112220287322998 5.263481140136719 370.0 4.0,,,,,,,,TRUE,True,,,,,,,,Rijau,652,652,652.0,,True,,False,False,,,,,,,rijau,niger,north_central,8,4,1.0,1.0,0.0,1.0,,,,,1338315851425.jpg,176053,55.0452723079,,,,health,True,,Niger,False,True,Others,FALSE,niger_rijau,,6c2c9428-54b1-4bf2-ab26-c482b15cc91a,,,6c2c9428-54b1-4bf2-ab26-c482b15cc91a,North-Central
False,3198.330985,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,False,False,,True,Inana BHC,FALSE,primaryhealthclinic,False,,False,,1338211616167.jpg,10.98586855 5.39347558 317.3999938964844 5.0,False,True,FALSE,False,True,True,False,FALSE,True,True,False,False,False,False,False,False,Rijau,652,652,652.0,False,False,True,True,False,False,False,False,False,False,FALSE,rijau,niger,north_central,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1338211616167.jpg,176053,55.0452723079,,False,False,health,False,TRUE,Niger,,,Others,FALSE,niger_rijau,False,d880b56f-1265-4613-9349-9d117e989783,,,d880b56f-1265-4613-9349-9d117e989783,North-Central
False,3198.330985,False,False,False,True,False,False,False,True,True,True,True,False,,False,FALSE,False,,,False,True,False,True,False,False,,True,Embog Health Centre,FALSE,healthpostdispensary,False,True,False,True,1338406048275.jpg,11.174259781837463 5.304341912269592 373.0 4.0,False,False,FALSE,False,True,True,False,FALSE,True,False,False,False,False,False,False,False,Rijau,652,652,652.0,False,True,False,True,False,False,False,False,False,False,FALSE,rijau,niger,north_central,2,2,0.0,0.0,0.0,0.0,False,public,,False,1338406048275.jpg,176053,55.0452723079,True,False,False,health,False,TRUE,Niger,False,True,Others,FALSE,niger_rijau,False,9bc0899e-acd5-42b8-96bd-0b8298de8ead,,,9bc0899e-acd5-42b8-96bd-0b8298de8ead,North-Central
False,3198.330985,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Basic Health Facility,TRUE,primaryhealthclinic,False,True,False,True,1338044474677.jpg,11.2352854013443 4.9053955078125 272.0 4.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,True,False,False,False,Rijau,652,652,652.0,False,True,True,True,False,False,False,False,False,False,FALSE,rijau,niger,north_central,5,5,,,0.0,,False,public,False,False,1338044474677.jpg,176053,55.0452723079,True,False,False,health,False,FALSE,Niger,False,True,Others,TRUE,niger_rijau,False,1a39e0ad-4755-4a0f-b8ab-456b99dc3946,,,1a39e0ad-4755-4a0f-b8ab-456b99dc3946,North-Central
False,3198.330985,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Yora health Facility,,healthpostdispensary,False,True,False,True,1338208270061.jpg,11.219685673713684 5.300833582878113 348.0 4.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,True,False,False,False,Rijau,652,652,652.0,False,False,False,False,False,False,False,False,False,False,FALSE,rijau,niger,north_central,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1338208270061.jpg,176053,55.0452723079,,False,False,health,False,FALSE,Niger,False,,Others,FALSE,niger_rijau,False,5c2554e1-0771-4452-bfa0-853b78973e76,,,5c2554e1-0771-4452-bfa0-853b78973e76,North-Central
False,3198.330985,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Birnin Amina Dispensary,,healthpostdispensary,False,,False,,1338125951848.jpg,11.01505994796753 5.185117721557617 324.0 4.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,True,False,False,False,Rijau,652,652,652.0,False,False,False,False,False,False,False,False,False,False,FALSE,rijau,niger,north_central,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1338125951848.jpg,176053,55.0452723079,,False,False,health,False,FALSE,Niger,,,Others,FALSE,niger_rijau,False,c72a1845-107d-4c40-9083-2d9ba6c17bd0,,,c72a1845-107d-4c40-9083-2d9ba6c17bd0,North-Central
False,3198.330985,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,XXX,TRUE,primaryhealthcarecentre,False,,False,,1338209519188.jpg,11.065190434455872 5.3010642528533936 356.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,True,True,False,True,False,False,False,Rijau,652,652,652.0,False,True,False,True,False,False,False,False,False,False,FALSE,rijau,niger,north_central,4,3,0.0,1.0,0.0,0.0,False,public,False,False,1338209519188.jpg,176053,55.0452723079,True,False,False,health,False,TRUE,Niger,,False,Others,FALSE,niger_rijau,False,d011b218-097c-4a76-859a-066138e09d69,,,d011b218-097c-4a76-859a-066138e09d69,North-Central
False,3198.330985,False,False,False,False,False,False,False,False,False,True,True,False,,False,FALSE,False,,,False,True,False,True,False,False,,True,Argida health facility,,healthpostdispensary,False,True,False,False,1338046146227.jpg,10.818207263946533 5.188277363777161 302.0 4.0,False,False,FALSE,False,False,False,False,TRUE,True,True,False,False,False,False,False,False,Rijau,652,652,652.0,False,False,False,False,False,False,False,False,False,False,FALSE,rijau,niger,north_central,1,1,,,0.0,,False,public,,False,1338046146227.jpg,176053,55.0452723079,,False,False,health,False,TRUE,Niger,False,,Others,FALSE,niger_rijau,False,7be66010-296e-4490-8d5d-f623b6527c5a,,,7be66010-296e-4490-8d5d-f623b6527c5a,North-Central
False,3198.330985,False,False,False,True,False,True,False,False,True,True,False,False,,False,FALSE,False,,,False,True,False,True,False,False,,,PHC,,healthpostdispensary,False,False,False,False,1338118372698.jpg,10.832412242889404 5.346951484680176 302.0 4.0,False,True,FALSE,False,,,False,FALSE,True,False,False,False,False,False,False,False,Rijau,652,652,652.0,False,False,False,False,False,False,False,False,False,False,FALSE,rijau,niger,north_central,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1338118372698.jpg,176053,55.0452723079,,False,False,health,False,TRUE,Niger,False,,Others,FALSE,niger_rijau,False,0216523f-5a0c-4d5d-8c69-6e109c5d1d49,,,0216523f-5a0c-4d5d-8c69-6e109c5d1d49,North-Central
