"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"46126",46126,"f32093e4-d851-4a70-a952-447baff22217","f32093e4-d851-4a70-a952-447baff22217","Ijebu East","Ogun","Southwest",315,"6.75619619 4.02254555 55.599998474121094 5.0","1337945083247.jpg","ogun_ijebu_east","1337945083247.jpg","Tap",NA,"protected_dug_well","water_source","Idomodu","1","Yes","Diesel","No","Mechanical Issue","No","Stand Alone Water Point"
"46127",46127,"9c532e7d-e5ab-4114-91a8-54c0335f31d5","9c532e7d-e5ab-4114-91a8-54c0335f31d5","Ijebu East","Ogun","Southwest",315,"6.78445103 4.02680731 93.5999984741211 5.0","1337932430880.jpg","ogun_ijebu_east","1337932430880.jpg","Tap",NA,"borehole_tube_well","water_source","Eyin Idin","Ward 2","Yes","Electric","Yes","Functional","No","Stand Alone Water Point"
"46128",46128,"cdd0a0bc-c6f6-4c07-a571-e263babbde6f","cdd0a0bc-c6f6-4c07-a571-e263babbde6f","Ijebu East","Ogun","Southwest",315,"6.765984892845154 4.062119722366333 72.0 4.0","1338037559864.jpg","ogun_ijebu_east","1338037559864.jpg","Tap",NA,NA,"outlet","Itele","ward 7","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"46130",46130,"946c8993-9e72-4e88-8c44-48eb5a7b5ef0","946c8993-9e72-4e88-8c44-48eb5a7b5ef0","Ijebu East","Ogun","Southwest",315,"6.73982449 4.39876504 51.5 5.0","1338287216941.jpg","ogun_ijebu_east","1338287216941.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Surulere","11","No","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"46131",46131,"5c625c69-8771-459e-9da1-3e319b517539","5c625c69-8771-459e-9da1-3e319b517539","Ijebu East","Ogun","Southwest",315,"6.66011196 4.17971107 70.69999694824219 5.0","1338196510403.jpg","ogun_ijebu_east","1338196510403.jpg","Tap",NA,NA,"outlet","Fowoseje Imobi 1","9","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"46133",46133,"41c7a9d6-5063-47de-8d66-bbe4f75baeca","41c7a9d6-5063-47de-8d66-bbe4f75baeca","Ijebu East","Ogun","Southwest",315,"6.763259768486023 4.064737558364868 79.0 4.0","1338041500593.jpg","ogun_ijebu_east","1338041500593.jpg","Tap",NA,NA,"outlet","Itele","ward 7","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"46134",46134,"c711ff77-8b36-4ba4-8b72-75f0930560e2","c711ff77-8b36-4ba4-8b72-75f0930560e2","Ijebu East","Ogun","Southwest",315,"6.6312836 4.15341991 51.0 5.0","1338209993617.jpg","ogun_ijebu_east","1338209993617.jpg","Tap",NA,NA,"outlet","Uba imobi 1","9","Yes","Tap (unknown lift)","No","Poorly Constructed","No","Water Scheme, Source within 100m"
"46135",46135,"a18a2d36-68ae-4ace-b3cd-fea8755d522c","a18a2d36-68ae-4ace-b3cd-fea8755d522c","Ijebu East","Ogun","Southwest",315,"6.76246769 4.0682864 67.80000305175781 5.0","1338039581343.jpg","ogun_ijebu_east","1338039581343.jpg","Tap",NA,NA,"outlet","Aledo Quarters itele","7","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"46138",46138,"b800193c-914b-4a75-be55-a2be646c9e35","b800193c-914b-4a75-be55-a2be646c9e35","Ijebu East","Ogun","Southwest",315,"6.84250673 4.0394545 89.69999694824219 5.0","1338020233913.jpg","ogun_ijebu_east","1338020233913.jpg","Tap",NA,NA,"outlet","Isomu","5","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"46139",46139,"cfa3429b-0b3d-439a-adb0-b8fed34aa3c6","cfa3429b-0b3d-439a-adb0-b8fed34aa3c6","Ijebu East","Ogun","Southwest",315,"6.8020981550216675 3.9947855472564697 102.0 3.0","1337947660632.jpg","ogun_ijebu_east","1337947660632.jpg","Tap",NA,NA,"outlet","isewo","ward2","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"46141",46141,"5e6455f8-cc15-46dd-9bd8-1cd2f1fc3d29","5e6455f8-cc15-46dd-9bd8-1cd2f1fc3d29","Ijebu East","Ogun","Southwest",315,"6.7092132568359375 4.323715567588806 72.0 4.0","1338281464181.jpg","ogun_ijebu_east","1338281464181.jpg","Tap",NA,NA,"outlet","ORITA 11","ward 11","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
