antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,630.3391939,True,True,True,False,False,False,False,False,True,False,False,False,False,True,TRUE,False,,,False,False,False,False,False,False,False,,Xxx,FALSE,primaryhealthcarecentre,False,True,False,True,1342019382883.jpg,6.51231612 2.7208642 48.5 5.0,False,True,FALSE,False,,,False,TRUE,False,False,False,False,True,False,False,False,Ipokia,351,351,351.0,False,True,False,True,False,False,False,False,False,False,FALSE,ipokia,ogun,southwest,4,3,1.0,1.0,2.0,1.0,False,public,,True,1342019382883.jpg,150426,238.642942491,True,False,False,health,True,FALSE,Ogun,False,True,Others,FALSE,ogun_ipokia,False,40afc6d2-64f0-4821-a99a-37977f809fcf,False,False,40afc6d2-64f0-4821-a99a-37977f809fcf,Southwest
False,630.3391939,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,True,False,,,Agada health center,TRUE,primaryhealthcarecentre,False,,False,,1342170181380.jpg,6.48312986 2.78778869 38.29999923706055 5.0,False,True,FALSE,False,True,True,False,TRUE,False,False,False,False,False,False,False,False,Ipokia,351,351,351.0,False,False,False,True,True,False,False,False,False,False,FALSE,ipokia,ogun,southwest,3,1,0.0,0.0,1.0,1.0,False,public,,False,1342170181380.jpg,150426,238.642942491,True,False,False,health,True,TRUE,Ogun,,True,Others,FALSE,ogun_ipokia,False,b87cb18d-bcd3-4d40-aa78-5b7b73250b03,,,b87cb18d-bcd3-4d40-aa78-5b7b73250b03,Southwest
False,630.3391939,True,True,True,False,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,,True,Tube health clinic,TRUE,primaryhealthclinic,False,True,False,True,1342009934009.jpg,6.52842535 2.78449576 60.29999923706055 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,True,False,False,False,Ipokia,351,351,351.0,False,True,True,True,True,False,False,False,False,False,FALSE,ipokia,ogun,southwest,1,1,1.0,1.0,3.0,0.0,False,public,False,True,1342009934009.jpg,150426,238.642942491,True,False,False,health,True,TRUE,Ogun,False,True,Others,TRUE,ogun_ipokia,False,2ebfcdde-31d1-4ad5-abbe-8d86eae0638b,,,2ebfcdde-31d1-4ad5-abbe-8d86eae0638b,Southwest
False,630.3391939,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,"HEALTH CLINIC,ASIPA IKORODU",TRUE,primaryhealthclinic,False,,False,,1342170486042.jpg,6.74748006 2.83073549 96.5 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Ipokia,351,351,351.0,False,True,False,True,False,False,False,False,False,False,FALSE,ipokia,ogun,southwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1342170486042.jpg,150426,238.642942491,,False,False,health,False,TRUE,Ogun,,True,Others,FALSE,ogun_ipokia,False,28b2a0b2-a1f3-4523-b54f-5281ad0fdf57,,,28b2a0b2-a1f3-4523-b54f-5281ad0fdf57,Southwest
False,630.3391939,False,False,False,False,False,True,False,False,True,True,False,False,,False,FALSE,False,,,False,True,False,True,False,False,,True,Agosasa Health Centre,TRUE,primaryhealthclinic,False,True,False,True,1342026875099.jpg,6.58047609 2.7624162 60.0 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,False,False,False,False,Ipokia,351,351,351.0,False,True,True,True,True,False,False,False,False,False,FALSE,ipokia,ogun,southwest,2,2,1.0,0.0,0.0,0.0,False,public,False,True,1342026875099.jpg,150426,238.642942491,True,False,False,health,True,TRUE,Ogun,True,True,Others,TRUE,ogun_ipokia,False,98dad1a6-8c37-45da-ad93-5c44e276cc39,,,98dad1a6-8c37-45da-ad93-5c44e276cc39,Southwest
False,630.3391939,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Model Pry HealthCentre,TRUE,wardmodelphccentre,False,True,False,True,1342105454845.jpg,6.58816754 2.77066671 36.400001525878906 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,True,False,False,Ipokia,351,351,351.0,False,True,True,True,True,False,False,False,False,False,FALSE,ipokia,ogun,southwest,4,3,1.0,1.0,0.0,0.0,False,public,False,True,1342105454845.jpg,150426,238.642942491,True,False,False,health,True,TRUE,Ogun,False,True,Others,FALSE,ogun_ipokia,False,bf7ec862-fccd-4b51-badd-cc44b6e4f2f1,,,bf7ec862-fccd-4b51-badd-cc44b6e4f2f1,Southwest
False,630.3391939,False,False,True,False,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,,,"HEALTH CLINIC, IFONYINTEDO",TRUE,primaryhealthclinic,False,True,False,True,1342014769272.jpg,6.7788141 2.79458688 139.10000610351563 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,True,False,True,False,False,False,Ipokia,351,351,351.0,False,True,False,True,True,False,False,False,False,False,FALSE,ipokia,ogun,southwest,1,1,0.0,0.0,1.0,1.0,False,public,False,True,1342014769272.jpg,150426,238.642942491,,False,False,health,True,TRUE,Ogun,False,True,Others,TRUE,ogun_ipokia,False,f0feb069-37ec-4020-a74d-d2d6f4e75ae1,,,f0feb069-37ec-4020-a74d-d2d6f4e75ae1,Southwest
False,630.3391939,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,HEALTH CLINIC.ILASE,TRUE,primaryhealthclinic,False,False,False,True,1342181878837.jpg,6.6930297 2.79251539 95.69999694824219 4.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Ipokia,351,351,351.0,False,True,False,True,False,False,False,False,False,False,FALSE,ipokia,ogun,southwest,1,1,0.0,0.0,0.0,0.0,False,public,False,True,1342181878837.jpg,150426,238.642942491,,False,False,health,False,TRUE,Ogun,False,True,Others,FALSE,ogun_ipokia,False,5cc83a5f-6e63-4874-b628-bf2e87041d2a,,,5cc83a5f-6e63-4874-b628-bf2e87041d2a,Southwest
False,630.3391939,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,,Xxx,TRUE,primaryhealthcarecentre,False,False,False,False,1342086012971.jpg,6.48640497 2.77350719 21.399999618530273 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,True,False,True,False,False,False,Ipokia,351,351,351.0,False,True,False,True,True,False,False,False,False,False,FALSE,ipokia,ogun,southwest,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1342086012971.jpg,150426,238.642942491,True,False,False,health,False,TRUE,Ogun,False,True,Others,TRUE,ogun_ipokia,False,3d1c20f7-b5bd-4fda-a313-9e021c7b0217,,,3d1c20f7-b5bd-4fda-a313-9e021c7b0217,Southwest
False,630.3391939,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Mat Centre .Madoga,TRUE,maternity,False,True,False,True,1342028098257.jpg,6.78731282 2.73821892 141.0 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,True,False,False,False,Ipokia,351,351,351.0,False,True,False,True,False,False,False,False,False,False,FALSE,ipokia,ogun,southwest,0,0,0.0,0.0,0.0,1.0,False,public,False,True,1342028098257.jpg,150426,238.642942491,,False,False,health,True,TRUE,Ogun,False,True,Others,TRUE,ogun_ipokia,False,717d20a2-1a99-45ba-bba6-75f4cf73e849,,,717d20a2-1a99-45ba-bba6-75f4cf73e849,Southwest
