antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
,512.7781109,False,True,True,False,False,False,True,False,False,False,False,False,,,no,True,,,False,True,,,,,True,,Molana Medical Centre,yes,primaryhealthclinic,,False,False,False,1291901289968.jpg,7.56632387638092 5.773192048072815 444.0 4.0,True,True,no,True,True,,True,no,False,,False,False,False,False,False,False,Akoko North West,34,34,34.0,False,,,False,False,True,,,,,,AKOKO_NORTH_WEST,ondo,southwest,0,0,3.0,0.0,,,,private,True,True,1291901289968.jpg,213792,416.928873241,True,,,health,True,yes,Ondo,False,,Pilot,no,ondo_akoko_north_west,,1408d6de723e0411aedcc17d9f097981,False,,34552,Southwest
,512.7781109,False,False,False,False,False,False,True,False,False,False,False,False,,,yes,True,,,False,False,,,,,False,,Comprehensive Health Centre,yes,comprehensivehealthcentre,,False,False,False,1291993467606.jpg,7.579981684684753 5.700584650039673 556.0 24.0,False,True,no,False,,,True,yes,False,,False,False,False,False,False,True,Akoko North West,34,34,34.0,False,,,False,False,True,,,,,,AKOKO_NORTH_WEST,ondo,southwest,4,4,1.0,2.0,,,,public,False,True,1291993467606.jpg,213792,416.928873241,False,False,,health,True,no,Ondo,False,,Pilot,no,ondo_akoko_north_west,,94b3a45f5fba8f848e90935323dec2a0,False,,34114,Southwest
,512.7781109,False,True,True,False,False,False,True,False,False,False,False,False,,,no,True,,,False,False,,,,,False,,Aknw Lga Staff Clinic,no,primaryhealthclinic,,False,False,False,1291718695531.jpg,7.6343876123428345 5.762286186218262 520.0 3.0,False,True,no,False,,,True,no,False,,False,False,False,False,False,False,Akoko North West,34,34,34.0,False,,,False,False,True,,,,,,AKOKO_NORTH_WEST,ondo,southwest,0,0,3.0,0.0,,,,public,False,True,1291718695531.jpg,213792,416.928873241,True,,,health,True,yes,Ondo,False,False,Pilot,no,ondo_akoko_north_west,,a9e3016247fd3fb989092cc3829f382b,True,,34532,Southwest
,512.7781109,False,False,False,False,False,False,True,False,False,False,False,False,,,yes,True,,,False,False,,,,,False,,"Basic Health Centre, Ogbagi Akoko",yes,primaryhealthclinic,,False,False,False,1291991512393.jpg,7.576092481613159 5.699034333229065 547.0 8.0,False,True,no,True,True,,True,yes,True,,False,False,False,False,False,False,Akoko North West,34,34,34.0,False,,,True,False,True,,,,,,AKOKO_NORTH_WEST,ondo,southwest,2,2,1.0,0.0,,,,public,False,True,1291991512393.jpg,213792,416.928873241,True,False,,health,True,yes,Ondo,False,,Pilot,yes,ondo_akoko_north_west,,32edb0d5fdd944e5e2e131eac9d1b67a,False,,34137,Southwest
,512.7781109,True,True,True,True,True,True,False,True,True,True,True,True,,,no,True,,,False,True,,,,,True,False,Adeola Medical Clinic,yes,primaryhealthcarecentre,,False,False,False,1292332436618.jpg,7.585775256156921 5.670238137245178 487.0 4.0,True,True,yes,True,True,,True,yes,False,,False,False,False,False,False,False,Akoko North West,34,34,34.0,False,,,False,False,True,,,,,,AKOKO_NORTH_WEST,ondo,southwest,6,6,5.0,0.0,,,,private,True,True,1292332436618.jpg,213792,416.928873241,True,,,health,True,yes,Ondo,False,,Pilot,yes,ondo_akoko_north_west,,9092ef716a39ae3fe2d16e976e2dbdb1,True,,33825,Southwest
,512.7781109,False,False,False,True,True,True,True,True,True,True,True,True,,,no,False,,,False,False,,,,,False,,Basic Health Center,yes,primaryhealthcarecentre,,,,,1292413874975.jpg,7.725529074668884 5.795352458953857 546.0 4.0,False,True,no,True,True,,False,yes,False,,False,False,False,False,False,False,Akoko North West,34,34,34.0,False,,,False,False,False,,,,,,AKOKO_NORTH_WEST,ondo,southwest,3,3,0.0,0.0,,,,public,True,True,1292413874975.jpg,213792,416.928873241,False,,,health,,yes,Ondo,,,Pilot,no,ondo_akoko_north_west,,75910e085dd024175e4a014b143eeb1b,False,,34185,Southwest
,512.7781109,False,False,True,,,,True,,,,,,,,no,True,,,False,False,,,,,True,False,Basic Health Centre Oke Agbe,yes,primaryhealthcarecentre,,False,False,False,1291729376570.jpg,7.645620703697205 5.756696462631226 533.0 4.0,False,,no,True,True,,True,yes,False,,False,False,False,False,False,False,Akoko North West,34,34,34.0,False,,,False,False,True,,,,,,AKOKO_NORTH_WEST,ondo,southwest,3,3,2.0,0.0,,,,public,,True,1291729376570.jpg,213792,416.928873241,True,,,health,True,yes,Ondo,False,,Pilot,no,ondo_akoko_north_west,,029c83a0ea2a55922d3b9bc43e6fa431,True,,33863,Southwest
,512.7781109,False,False,True,False,False,False,True,False,False,False,False,False,,,no,False,,,False,False,,,,,False,,Basic Health Center Irun Akoko,yes,primaryhealthcarecentre,,False,False,False,1291821577857.jpg,7.586241960525513 5.669068694114685 492.0 4.0,False,True,no,True,True,,True,yes,False,,False,False,False,False,False,False,Akoko North West,34,34,34.0,False,,,False,False,True,,,,,,AKOKO_NORTH_WEST,ondo,southwest,4,4,2.0,0.0,,,,public,False,True,1291821577857.jpg,213792,416.928873241,True,False,,health,True,yes,Ondo,False,,Pilot,no,ondo_akoko_north_west,,81374e5260eb9ef404fe93c4b56360a6,False,,34113,Southwest
,512.7781109,False,False,False,False,False,False,True,False,False,False,False,False,,,no,True,,,True,True,,,,,True,,Aridek Clinic,yes,primaryhealthclinic,,False,False,False,1291740127401.jpg,7.560610771179199 5.779618620872498 433.0 4.0,False,True,no,False,True,,True,no,False,,True,False,True,True,False,True,Akoko North West,34,34,34.0,False,,,False,False,True,,,,,,AKOKO_NORTH_WEST,ondo,southwest,2,2,1.0,0.0,,,,private,True,True,1291740127401.jpg,213792,416.928873241,True,,,health,True,yes,Ondo,False,False,Pilot,no,ondo_akoko_north_west,,8c91db2892389cb67c736b970d6de0dd,False,,34508,Southwest
,512.7781109,False,False,False,,,,True,,,,,,,,no,True,,,False,False,,,,,False,False,Basic Health Centre Arigidi,yes,primaryhealthcarecentre,,False,False,False,1291738836528.jpg,7.563062310218811 5.776196122169495 431.0 4.0,False,,no,True,,,True,yes,False,,False,False,False,False,False,False,Akoko North West,34,34,34.0,False,,,False,False,True,,,,,,AKOKO_NORTH_WEST,ondo,southwest,4,4,1.0,0.0,,,,public,,True,1291738836528.jpg,213792,416.928873241,True,,,health,True,yes,Ondo,False,,Pilot,no,ondo_akoko_north_west,,536ce02cf15b0768c9dc3f71783ca593,False,,33813,Southwest
