access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,295.5063647,False,FALSE,False,,,,formal_educ,Community P/S Ero,primary_only,1342090185015.jpg,,False,FALSE,7.38927297 5.09307665 388.8999938964844 5.0,False,False,primary_only,Ifedore,302,302,302.0,1.04504504504505,True,ifedore,ondo,southwest,TRUE,,,10.0,227.0,7.0,7.0,,7.0,400.0,public,False,1342090185015.jpg,176327,596.694423753,,False,FALSE,FALSE,3.38805970149254,22.7,3.38805970149254,32.4285714285714,227,False,False,Community P/S Ero,education,Ondo,30.0,148,False,False,TRUE,Inf,1.76211453744493,FALSE,,ondo_ifedore,4957937c-ded9-4f21-8eee-9c38c86c9649,False,4957937c-ded9-4f21-8eee-9c38c86c9649,Southwest
False,True,295.5063647,True,FALSE,True,,,,formal_educ,Holland. Int. College,primary_junior_and_senior_sec,1342434487725.jpg,,True,TRUE,7.35214756 5.10238161 355.5 5.0,False,False,primary_junior_and_senior_sec,Ifedore,302,302,302.0,1.015625,False,ifedore,ondo,southwest,TRUE,0.0,0.0,17.0,516.0,5.0,25.0,,20.0,,private,False,1342434487725.jpg,176327,596.694423753,,True,FALSE,FALSE,1.29,30.3529411764706,1.29,20.64,129,True,True,Holland. Int. College,education,Ondo,105.0,148,False,False,TRUE,5,,FALSE,,ondo_ifedore,bdf21f93-5aed-460b-87ca-0bec1eb4ba47,True,bdf21f93-5aed-460b-87ca-0bec1eb4ba47,Southwest
False,True,295.5063647,True,FALSE,True,0.00457100588496,0.506765137639,,formal_educ,Emmanuel Ang Pry,preprimary_and_primary,1342092175391.jpg,,False,TRUE,7.33190926 5.16321509 410.29998779296875 5.0,False,False,preprimary_and_primary,Ifedore,302,302,40.0,1.06,False,ifedore,ondo,southwest,TRUE,5.0,0.0,16.0,206.0,14.0,14.0,,13.0,2260.0,public,False,1342092175391.jpg,176327,596.694423753,,False,FALSE,FALSE,0.686666666666667,12.875,0.686666666666667,14.7142857142857,51.5,True,False,Emmanuel Ang Pry,education,Ondo,196.0,148,False,False,TRUE,Inf,10.9708737864078,FALSE,,ondo_ifedore,aab4ffeb-d743-4f9e-bdd3-9f37299fb8cb,False,aab4ffeb-d743-4f9e-bdd3-9f37299fb8cb,Southwest
False,True,295.5063647,True,FALSE,False,,,,formal_educ,"St. Joseph‘s R. C. M. Pry.School, Igbara-Oke",primary_only,1341994679003.jpg,,False,FALSE,7.40803742 5.06256477 372.70001220703125 5.0,False,False,primary_only,Ifedore,302,302,302.0,1.02614379084967,False,ifedore,ondo,southwest,TRUE,0.0,,10.0,310.0,3.0,11.0,,9.0,500.0,public,True,1341994679003.jpg,176327,596.694423753,,False,FALSE,FALSE,2,31,2,28.1818181818182,155,True,False,"St. Joseph‘s R. C. M. Pry.School, Igbara-Oke",education,Ondo,5.0,148,False,False,FALSE,Inf,1.61290322580645,FALSE,,ondo_ifedore,de12cd7b-e85b-41cd-8b0a-6fcb7f3248b3,False,de12cd7b-e85b-41cd-8b0a-6fcb7f3248b3,Southwest
False,True,295.5063647,,FALSE,True,,,,formal_educ,"Ayo Grammar School, Ipogun",junior_and_senior_sec,1341931445574.jpg,,True,TRUE,7.317169 5.07595626 319.3999938964844 5.0,False,False,junior_and_senior_sec,Ifedore,302,302,302.0,0.666666666666667,False,ifedore,ondo,southwest,TRUE,,,,100.0,,0.0,,,200.0,public,True,1341931445574.jpg,176327,596.694423753,,True,FALSE,FALSE,,,,Inf,25,True,,"Ayo Grammar School, Ipogun",education,Ondo,90.0,148,False,False,TRUE,,2,FALSE,,ondo_ifedore,9ee9601f-ee2b-4404-a632-7f6b13707007,False,9ee9601f-ee2b-4404-a632-7f6b13707007,Southwest
False,True,295.5063647,True,FALSE,False,,,,formal_educ,Ang. Grammer sch,junior_and_senior_sec,1342179013114.jpg,True,True,TRUE,7.36781072 5.16088481 418.5 5.0,False,False,junior_and_senior_sec,Ifedore,302,302,302.0,0.934883720930233,False,ifedore,ondo,southwest,FALSE,4.0,,22.0,832.0,54.0,54.0,,22.0,540.0,public,True,1342179013114.jpg,176327,596.694423753,,True,FALSE,FALSE,0.581005586592179,37.8181818181818,0.581005586592179,15.4074074074074,,False,False,Ang. Grammer sch,education,Ondo,20.0,148,False,False,TRUE,13.5,0.649038461538462,FALSE,,ondo_ifedore,e9a31687-92bd-4a80-a1a5-c050d0175673,False,e9a31687-92bd-4a80-a1a5-c050d0175673,Southwest
False,True,295.5063647,True,FALSE,True,,,,formal_educ,St. Micheals Ang. P/S Ilara Mokin,preprimary_and_primary,1342180041571.jpg,,False,,7.35008337 5.10695144 359.20001220703125 5.0,False,False,preprimary_and_primary,Ifedore,302,302,302.0,0.977011494252874,True,ifedore,ondo,southwest,TRUE,0.0,0.0,4.0,172.0,2.0,10.0,,9.0,218.0,public,False,1342180041571.jpg,176327,596.694423753,,False,FALSE,FALSE,1.72,43,1.72,17.2,,False,False,St. Micheals Ang. P/S Ilara Mokin,education,Ondo,0.0,148,False,False,TRUE,Inf,1.26744186046512,FALSE,,ondo_ifedore,bf180746-a404-4656-bd57-0fc927082e0a,True,bf180746-a404-4656-bd57-0fc927082e0a,Southwest
False,False,295.5063647,True,FALSE,False,,,,formal_educ,Community Olua,junior_and_senior_sec,1342001434588.jpg,,False,,7.41586267 5.06351388 384.6000061035156 5.0,False,False,junior_and_senior_sec,Ifedore,302,302,302.0,1.47872340425532,False,ifedore,ondo,southwest,TRUE,18.0,0.0,18.0,466.0,3.0,35.0,,17.0,240.0,public,True,1342001434588.jpg,176327,596.694423753,,True,FALSE,FALSE,6.65714285714286,25.8888888888889,6.85294117647059,13.3142857142857,,True,True,Community Olua,education,Ondo,20.0,148,False,False,FALSE,7,0.515021459227468,FALSE,,ondo_ifedore,23251cc4-a8a4-4dc2-a343-c67605b6f14d,False,23251cc4-a8a4-4dc2-a343-c67605b6f14d,Southwest
False,True,295.5063647,False,FALSE,True,,,,formal_educ,St. Mary. R. C. M. P. S,preprimary_and_primary,1342180209531.jpg,,False,TRUE,7.36173543 5.16466942 416.6000061035156 5.0,False,False,preprimary_and_primary,Ifedore,302,302,302.0,1.02307692307692,False,ifedore,ondo,southwest,FALSE,0.0,2.0,14.0,263.0,5.0,12.0,,12.0,106.0,public,False,1342180209531.jpg,176327,596.694423753,,True,FALSE,FALSE,4.45762711864407,18.7857142857143,4.69642857142857,21.9166666666667,43.8333333333333,False,False,St. Mary. R. C. M. P. S,education,Ondo,26.0,148,False,False,FALSE,Inf,0.403041825095057,FALSE,,ondo_ifedore,ffce9da5-1a39-4be4-988d-fa028ff81f6f,False,ffce9da5-1a39-4be4-988d-fa028ff81f6f,Southwest
False,True,295.5063647,True,FALSE,False,,,,formal_educ,Genuis Kiddies Land Ilara,preprimary_and_primary,1342432054359.jpg,,False,,7.33861211 5.10794428 361.5 5.0,False,False,preprimary_and_primary,Ifedore,302,302,302.0,1.41428571428571,False,ifedore,ondo,southwest,TRUE,0.0,,8.0,169.0,0.0,10.0,,5.0,32.0,private,False,1342432054359.jpg,176327,596.694423753,,False,FALSE,FALSE,1.40833333333333,21.125,1.40833333333333,16.9,,True,True,Genuis Kiddies Land Ilara,education,Ondo,20.0,148,False,False,TRUE,10,0.189349112426035,FALSE,,ondo_ifedore,20a121b4-525d-4813-8a7c-1b3d068e47be,False,20a121b4-525d-4813-8a7c-1b3d068e47be,Southwest
