access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,963.4698225,False,FALSE,False,,,,formal_educ,Com pry    sch  Gboroye,preprimary_and_primary,1337955220284.jpg,,False,,6.57166212 5.0670383 59.599998474121094 5.0,False,False,preprimary_and_primary,Irele,352,352,352.0,1.02450980392157,True,irele,ondo,southwest,TRUE,,2.0,11.0,413.0,3.0,3.0,,3.0,360.0,public,False,1337955220284.jpg,145166,150.670001914,,False,FALSE,FALSE,3.85981308411215,37.5454545454545,2.84827586206897,137.666666666667,,False,True,Com pry    sch  Gboroye,education,Ondo,0.0,Others,False,False,FALSE,Inf,0.871670702179177,FALSE,,ondo_irele,abf68dee-63a4-438c-8c27-c6f66306127c,False,abf68dee-63a4-438c-8c27-c6f66306127c,Southwest
False,True,963.4698225,True,FALSE,False,,,,formal_educ,Com High school ode omi,junior_and_senior_sec,1337960958387.jpg,True,False,TRUE,6.47795132 4.8942083 36.5 5.0,False,False,junior_and_senior_sec,Irele,352,352,352.0,0.91304347826087,False,irele,ondo,southwest,TRUE,,,18.0,440.0,5.0,13.0,,4.0,401.0,public,True,1337960958387.jpg,145166,150.670001914,,True,FALSE,FALSE,1.25714285714286,24.4444444444444,1.25714285714286,33.8461538461538,110,False,False,Com High school ode omi,education,Ondo,200.0,Others,False,False,FALSE,Inf,0.911363636363636,FALSE,,ondo_irele,eb38187c-75b0-4cbd-9853-dab245018b0a,False,eb38187c-75b0-4cbd-9853-dab245018b0a,Southwest
False,False,963.4698225,False,FALSE,False,,,,formal_educ,St. Phimbers P.S Awode,primary_only,1338293304099.jpg,,False,,6.5171741 4.92977545 47.5 5.0,False,False,primary_only,Irele,352,352,352.0,1.13924050632911,True,irele,ondo,southwest,FALSE,,0.0,9.0,169.0,4.0,4.0,,4.0,158.0,public,False,1338293304099.jpg,145166,150.670001914,,False,FALSE,FALSE,2.41428571428571,18.7777777777778,2.6,42.25,,False,True,St. Phimbers P.S Awode,education,Ondo,25.0,Others,True,False,FALSE,Inf,0.93491124260355,FALSE,,ondo_irele,a746e19a-01e3-4f37-8f8a-de87e36d4bd4,False,a746e19a-01e3-4f37-8f8a-de87e36d4bd4,Southwest
False,False,963.4698225,True,FALSE,True,,,,formal_educ,L.A Araromi Likaran,primary_only,1338292015564.jpg,,False,,6.53969121 4.97281633 64.30000305175781 5.0,False,False,primary_only,Irele,352,352,352.0,0.96078431372549,True,irele,ondo,southwest,FALSE,0.0,0.0,3.0,100.0,2.0,3.0,,3.0,229.0,public,False,1338292015564.jpg,145166,150.670001914,,False,FALSE,FALSE,3.2258064516129,33.3333333333333,3.57142857142857,33.3333333333333,,False,True,L.A Araromi Likaran,education,Ondo,0.0,Others,True,False,FALSE,Inf,2.29,FALSE,,ondo_irele,f27e6171-42be-4d05-b556-144bfc04bb1d,False,f27e6171-42be-4d05-b556-144bfc04bb1d,Southwest
False,False,963.4698225,True,FALSE,False,,,,formal_educ,L.A pry Schl ldogun Temenu,primary_only,1338031568415.jpg,,False,TRUE,6.64061208 4.96949407 76.30000305175781 5.0,False,False,primary_only,Irele,352,352,352.0,1.384,True,irele,ondo,southwest,TRUE,0.0,,10.0,298.0,0.0,6.0,,6.0,869.0,public,True,1338031568415.jpg,145166,150.670001914,,False,FALSE,FALSE,0.967532467532468,29.8,0.967532467532468,49.6666666666667,37.25,False,False,L.A pry Schl ldogun Temenu,education,Ondo,0.0,Others,False,False,TRUE,Inf,2.91610738255034,FALSE,,ondo_irele,a8781f30-fbf9-4338-917a-f6cb56a97dbf,False,a8781f30-fbf9-4338-917a-f6cb56a97dbf,Southwest
False,False,963.4698225,True,TRUE,False,0.0224468304284,2.49057790155,,formal_educ,L.A primary lumeko,primary_only,1338282320825.jpg,,False,,6.562222838401794 4.846585392951965 62.0 4.0,False,False,primary_only,Irele,352,352,587.0,0.903896103896104,True,irele,ondo,southwest,TRUE,,0.0,6.0,733.0,0.0,3.0,,3.0,1235.0,public,False,1338282320825.jpg,145166,150.670001914,,False,FALSE,FALSE,3.49047619047619,122.166666666667,3.665,244.333333333333,,False,True,L.A primary lumeko,education,Ondo,0.0,Others,False,False,TRUE,Inf,1.68485675306958,FALSE,,ondo_irele,33edbd76-eb52-4e98-b924-0a3b4e5f780a,False,33edbd76-eb52-4e98-b924-0a3b4e5f780a,Southwest
False,False,963.4698225,False,FALSE,False,,,,formal_educ,LA sch oriale irele,primary_only,1337956381204.jpg,,False,,6.5394009 4.87835054 69.5999984741211 5.0,False,False,primary_only,Irele,352,352,352.0,1.11178861788618,True,irele,ondo,southwest,FALSE,,2.0,13.0,1039.0,0.0,6.0,,5.0,300.0,public,False,1337956381204.jpg,145166,150.670001914,,False,FALSE,FALSE,Inf,79.9230769230769,Inf,173.166666666667,,True,True,LA sch oriale irele,education,Ondo,360.0,Others,False,False,FALSE,Inf,0.288739172281039,FALSE,,ondo_irele,8b98f8c3-ef39-4eff-b808-7b7b5dbedc27,False,8b98f8c3-ef39-4eff-b808-7b7b5dbedc27,Southwest
False,False,963.4698225,True,FALSE,False,,,,formal_educ,L A SCHOOL OTULOYA IRELE,primary_only,1338367681889.jpg,,False,,6.56401987 4.99039756 57.099998474121094 5.0,False,False,primary_only,Irele,352,352,352.0,1.27777777777778,True,irele,ondo,southwest,TRUE,3.0,0.0,3.0,41.0,1.0,2.0,,2.0,80.0,public,False,1338367681889.jpg,145166,150.670001914,,False,FALSE,FALSE,8.2,13.6666666666667,8.2,20.5,,True,True,L A SCHOOL OTULOYA IRELE,education,Ondo,15.0,Others,False,False,FALSE,Inf,1.95121951219512,FALSE,,ondo_irele,fb805fae-249e-49c3-822a-560381489585,False,fb805fae-249e-49c3-822a-560381489585,Southwest
False,False,963.4698225,True,FALSE,False,,,,formal_educ,Com pry  sch  Ogunmola,primary_only,1337962573309.jpg,,False,,6.53866679 5.12025584 48.099998474121094 5.0,False,False,primary_only,Irele,352,352,352.0,1.15186246418338,True,irele,ondo,southwest,TRUE,2.0,,6.0,751.0,4.0,4.0,,4.0,284.0,public,False,1337962573309.jpg,145166,150.670001914,,False,FALSE,FALSE,3.004,125.166666666667,3.004,187.75,,False,True,Com pry  sch  Ogunmola,education,Ondo,0.0,Others,False,False,FALSE,Inf,0.378162450066578,FALSE,,ondo_irele,443d294c-0f16-4c1c-8a91-be2a515e3ffe,False,443d294c-0f16-4c1c-8a91-be2a515e3ffe,Southwest
False,False,963.4698225,True,FALSE,False,,,,formal_educ,St. Peter‘s R.C.M Pry. Sch. Ode - Irele,primary_only,1338201269668.jpg,,False,TRUE,6.48698807 4.86103066 49.400001525878906 5.0,False,False,primary_only,Irele,352,352,352.0,1.23706896551724,True,irele,ondo,southwest,TRUE,,,18.0,519.0,14.0,15.0,,14.0,1029.0,public,False,1338201269668.jpg,145166,150.670001914,,False,FALSE,FALSE,5.03883495145631,28.8333333333333,4.28925619834711,34.6,51.9,False,True,St. Peter‘s R.C.M Pry. Sch. Ode - Irele,education,Ondo,0.0,Others,True,False,FALSE,Inf,1.98265895953757,FALSE,,ondo_irele,42d0e3dd-df11-4d97-9ec6-a71386f1dccb,False,42d0e3dd-df11-4d97-9ec6-a71386f1dccb,Southwest
