"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"87965",87965,"279de904-3a08-47c5-a511-cbbbf6170791","279de904-3a08-47c5-a511-cbbbf6170791","Okitipupa","Ondo","Southwest",587,"6.50421485 4.78737268 70.5 5.0","1338128643560.jpg","ondo_okitipupa","1338128643560.jpg","Tap",NA,NA,"outlet","Okitipupa","Okitipupa l","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"87966",87966,"9ac14525-a14e-4515-80fe-8c62749bbfc2","9ac14525-a14e-4515-80fe-8c62749bbfc2","Okitipupa","Ondo","Southwest",587,"6.43933541 4.72659825 53.20000076293945 5.0","1337961126897.jpg","ondo_okitipupa","1337961126897.jpg","Tap",NA,NA,"outlet","Catholic Pry schl Road","Erinje","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"87967",87967,"12c56354-9cb9-4b8e-91b0-9ba49767dbd0","12c56354-9cb9-4b8e-91b0-9ba49767dbd0","Okitipupa","Ondo","Southwest",587,"6.64051357 4.582775 86.0999984741211 5.0","1338030498000.jpg","ondo_okitipupa","1338030498000.jpg","Tap",NA,NA,"outlet","IDIOBILAYO","7","Yes","Tap (unknown lift)","No","Poorly Constructed","No",NA
"87968",87968,"d9147284-4db6-48e4-a9ae-ce894c5e3b78","d9147284-4db6-48e4-a9ae-ce894c5e3b78","Okitipupa","Ondo","Southwest",587,"6.531495451927185 4.639518857002258 55.0 4.0","1338214602018.jpg","ondo_okitipupa","1338214602018.jpg","Don't Know",NA,NA,"dk","Sogbon quarters","ilutitun 3","No",NA,"Don't Know",NA,"Don't Know",NA
"87969",87969,"e4510da4-fb46-4e26-b26a-66e8d39d1529","e4510da4-fb46-4e26-b26a-66e8d39d1529","Okitipupa","Ondo","Southwest",587,"6.52358812 4.63397856 61.5 5.0","1338038459469.jpg","ondo_okitipupa","1338038459469.jpg","Tap",NA,"borehole_tube_well","water_source","Igo quarters","Ilu titun 1","Yes","Diesel","Yes","Functional","Yes","Stand Alone Water Point"
"87970",87970,"5297c911-5cb1-4a2a-81d8-60bcf093f1bc","5297c911-5cb1-4a2a-81d8-60bcf093f1bc","Okitipupa","Ondo","Southwest",587,"6.50622458 4.78802244 32.79999923706055 5.0","1338129304895.jpg","ondo_okitipupa","1338129304895.jpg","Tap",NA,NA,"outlet","Okitipupa","Okitipupa l","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"87971",87971,"24687a6c-e3a2-4c91-8b6e-38660f939d51","24687a6c-e3a2-4c91-8b6e-38660f939d51","Okitipupa","Ondo","Southwest",587,"6.72093562 4.64950911 140.0 5.0","1338110060313.jpg","ondo_okitipupa","1338110060313.jpg","Tap",NA,NA,"outlet","OMOTOSO","ILUTITUN WRD 1","Yes","Tap (unknown lift)","No","Poorly Constructed","No","Water Scheme, Source within 1km"
"87972",87972,"2d516d9a-d403-42ec-aaaa-3d5da94d2559","2d516d9a-d403-42ec-aaaa-3d5da94d2559","Okitipupa","Ondo","Southwest",587,"6.51043573 4.78340562 62.29999923706055 5.0","1338195230455.jpg","ondo_okitipupa","1338195230455.jpg","Tap",NA,NA,"outlet","Okitipupa","1","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"87973",87973,"7b9501a5-735f-479b-b965-f6a09fc17cee","7b9501a5-735f-479b-b965-f6a09fc17cee","Okitipupa","Ondo","Southwest",587,"6.49442029 4.79049534 56.400001525878906 5.0","1338114685888.jpg","ondo_okitipupa","1338114685888.jpg","Tap",NA,NA,"outlet","Igbodigo","Ayeka/Igbodigo/Okunmo","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"87974",87974,"7c0b822b-16fc-4fe5-ba5b-4ea0f3d3a7ae","7c0b822b-16fc-4fe5-ba5b-4ea0f3d3a7ae","Okitipupa","Ondo","Southwest",587,"6.44479467 4.72918545 51.0 5.0","1337964448529.jpg","ondo_okitipupa","1337964448529.jpg","Tap",NA,NA,"outlet","Ode Erinje","Erinje","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
