"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",4714,"13bdcf70-a48d-4979-8808-79baaf2f7dbf","atakunmosa_west","osun","southwest","7.4635567 4.68030187 360.29998779296875 5.0","Victory Nur & Pri Sch","preprimary_and_primary","osun_atakunmosa_west",67,"1338293470729.jpg","13bdcf70-a48d-4979-8808-79baaf2f7dbf","preprimary_and_primary","1338293470729.jpg",8,"religious_with_formal",FALSE,FALSE,4,4,24,0.100840336134454,TRUE,FALSE,0,1.0695652173913,FALSE,NA,NA,TRUE,0,FALSE,FALSE,TRUE,TRUE,29.75,FALSE,FALSE,FALSE,TRUE,1.98333333333333,2.38,29.75,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"2",4715,"f2c12297-b1bf-421f-b974-a058ec43aaab","atakunmosa_west","osun","southwest","7.59166414 4.67443944 399.20001220703125 5.0","Temidire model pry sch ibodi","preprimary_and_primary","osun_atakunmosa_west",67,"1338289857355.jpg","f2c12297-b1bf-421f-b974-a058ec43aaab","preprimary_and_primary","1338289857355.jpg",9,"formal_educ",FALSE,FALSE,3,9,822,3.04444444444444,TRUE,FALSE,0,1.23140495867769,TRUE,TRUE,45,FALSE,10,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,TRUE,FALSE,2.7,2.25,30,Inf,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"3",4716,"14d4a574-67c9-442e-921b-11cc60f067fe","atakunmosa_west","osun","southwest","7.62782722 4.5780777 332.79998779296875 5.0","Baptist day primary sch","preprimary_and_primary","osun_atakunmosa_west",67,"1338149532419.jpg","14d4a574-67c9-442e-921b-11cc60f067fe","preprimary_and_primary","1338149532419.jpg",6,"formal_educ",TRUE,FALSE,0,5,318,1.75690607734807,TRUE,TRUE,0,0.905263157894737,TRUE,TRUE,45.25,TRUE,1,FALSE,TRUE,FALSE,FALSE,22.625,FALSE,FALSE,FALSE,FALSE,Inf,Inf,30.1666666666667,Inf,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"4",4717,"3bd006b1-7875-413e-99d0-c7a00cc920cc","atakunmosa_west","osun","southwest","7.58532568 4.62155747 364.20001220703125 5.0","Methodist Primary School Oke Oja","preprimary_and_primary","osun_atakunmosa_west",67,"1338030721219.jpg","3bd006b1-7875-413e-99d0-c7a00cc920cc","preprimary_and_primary","1338030721219.jpg",9,"formal_educ",FALSE,FALSE,8,7,580,2.46808510638298,TRUE,FALSE,0,1.02586206896552,FALSE,FALSE,117.5,FALSE,0,FALSE,FALSE,FALSE,TRUE,21.3636363636364,FALSE,FALSE,TRUE,FALSE,1.80769230769231,1.80769230769231,26.1111111111111,Inf,9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"5",4718,"1983773f-5782-4af6-b9c8-717d42995dee","atakunmosa_west","osun","southwest","7.57690083 4.56541302 295.0 5.0","Ayetoro Community Gramm. School","junior_and_senior_sec","osun_atakunmosa_west",67,"1338034240064.jpg","1983773f-5782-4af6-b9c8-717d42995dee","junior_and_senior_sec","1338034240064.jpg",5,"formal_educ",TRUE,FALSE,3,1,NA,NA,TRUE,NA,80,0.63953488372093,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,23.5,FALSE,FALSE,TRUE,TRUE,1.7625,Inf,28.2,Inf,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"6",4719,"883b9770-02bc-4c21-98e3-601c7477f374","atakunmosa_west","osun","southwest","7.46253912 4.67792309 359.29998779296875 5.0","N U D primary school ifewara","preprimary_and_primary","osun_atakunmosa_west",67,"1337935923685.jpg","883b9770-02bc-4c21-98e3-601c7477f374","preprimary_and_primary","1337935923685.jpg",4,"formal_educ",FALSE,FALSE,0,4,368,3.17241379310345,TRUE,FALSE,0,0.870967741935484,FALSE,NA,NA,FALSE,6,FALSE,FALSE,FALSE,FALSE,19.3333333333333,FALSE,FALSE,TRUE,FALSE,2.52173913043478,2.52173913043478,29,Inf,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"7",4720,"d1a4835f-8083-4cb4-a73d-554ea067d722","atakunmosa_west","osun","southwest","7.6343249 4.56192394 324.79998779296875 5.0","L.A pri sch Aba Tokode","preprimary_and_primary","osun_atakunmosa_west",67,"1338152903699.jpg","d1a4835f-8083-4cb4-a73d-554ea067d722","preprimary_and_primary","1338152903699.jpg",4,"formal_educ",TRUE,FALSE,0,3,530,7.46478873239437,TRUE,TRUE,0,0.972222222222222,FALSE,NA,NA,TRUE,2,FALSE,FALSE,FALSE,FALSE,11.8333333333333,FALSE,FALSE,TRUE,FALSE,Inf,Inf,17.75,Inf,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"8",4721,"e9140390-d46c-4d0a-babd-3256f55c22dc","atakunmosa_west","osun","southwest","7.53749328 4.65157713 393.5 5.0","Kosile memorial grammer sch itagun modi","junior_and_senior_sec","osun_atakunmosa_west",67,"1338035153307.jpg","e9140390-d46c-4d0a-babd-3256f55c22dc","junior_and_senior_sec","1338035153307.jpg",8,"formal_educ",TRUE,FALSE,12,2,5,0.0233644859813084,TRUE,FALSE,0,0.981481481481482,FALSE,TRUE,35.6666666666667,FALSE,3,FALSE,FALSE,FALSE,FALSE,14.2666666666667,FALSE,FALSE,FALSE,TRUE,2.85333333333333,3.56666666666667,26.75,8,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"9",4722,"66b1af08-4171-4738-b774-869fb8062e3b","atakunmosa_west","osun","southwest","7.46308851 4.68042732 354.79998779296875 7.0","Victory Comprehensive College","junior_and_senior_sec","osun_atakunmosa_west",67,"1338293608117.jpg","66b1af08-4171-4738-b774-869fb8062e3b","junior_and_senior_sec","1338293608117.jpg",8,"religious_with_formal",FALSE,FALSE,0,6,13,0.288888888888889,TRUE,FALSE,0,1.36842105263158,FALSE,NA,NA,TRUE,0,FALSE,FALSE,TRUE,FALSE,7.5,FALSE,FALSE,FALSE,TRUE,1,1,5.625,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"10",4723,"c21464a4-1e00-42c1-84ec-d6ab888ddb9e","atakunmosa_west","osun","southwest","7.58600905 4.62598641 358.70001220703125 5.0","Oluwatooni Nur. & Pry. School","preprimary_and_primary","osun_atakunmosa_west",67,"1338381988806.jpg","c21464a4-1e00-42c1-84ec-d6ab888ddb9e","preprimary_and_primary","1338381988806.jpg",7,"formal_educ",FALSE,TRUE,0,7,24,0.315789473684211,TRUE,FALSE,0,1.45161290322581,TRUE,FALSE,38,FALSE,7,TRUE,FALSE,TRUE,FALSE,10.8571428571429,FALSE,FALSE,TRUE,FALSE,2,2,10.8571428571429,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
