access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,218.8913946,True,no,False,,,,formal,Wisdom Kiddies Academy,preprimary_primary,1307621402834.jpg,,,no,7.618449926376343 4.440139532089233 319.0 4.0,False,False,preprimary_primary,Ede South,171,171,171.0,1.38095238095238,False,EDE_SOUTH,OSUN,southwest,no,0.0,0.0,0.0,100.0,0.0,3.0,2.0,,33.0,private,False,1307621402834.jpg,76035,347.364043886,,False,no,no,5,Inf,5,33.3333333333333,,False,False,Wisdom Kiddies Academy,education,Osun,0.0,113,False,False,no,Inf,0.33,no,,osun_ede_south,319a55f247c65af4ac2eedbb73012384,False,26641,Southwest
False,False,218.8913946,True,no,False,,,,integrated,Muslim Communty Pry,preprimary_primary,1307616724272.jpg,,,yes,7.6235246658325195 4.43622350692749 306.0 4.0,True,False,preprimary_primary,Ede South,171,171,171.0,0.958677685950413,False,EDE_SOUTH,OSUN,southwest,yes,5.0,0.0,23.0,237.0,9.0,9.0,9.0,,22.0,public,False,1307616724272.jpg,76035,347.364043886,,False,no,no,Inf,16.9285714285714,0.5925,26.3333333333333,0.0168776371308017,True,False,Muslim Communty Pry,education,Osun,1.0,113,False,False,no,1,0.0928270042194093,no,,osun_ede_south,afb4fba4417e1eff313d2c6694c6e310,False,26636,Southwest
False,False,218.8913946,True,no,False,,,,formal,Lea,preprimary_primary,1307534455930.jpg,,,no,7.613407373428345 4.391693472862244 294.0 4.0,False,True,preprimary_primary,Ede South,171,171,171.0,0.8,False,EDE_SOUTH,OSUN,southwest,yes,14.0,4.0,22.0,270.0,4.0,4.0,4.0,,40.0,public,False,1307534455930.jpg,76035,347.364043886,,False,no,no,2,13.5,2,67.5,,True,True,Lea,education,Osun,0.0,113,False,False,no,0.666666666666667,0.148148148148148,no,,osun_ede_south,5bbdc6ca91c86f462e9827bd871dc56c,False,26619,Southwest
False,True,218.8913946,True,no,True,,,,formal,Morning Star N/P Schl,preprimary_primary,1307961741392.jpg,,,yes,7.703518867492676 4.447579979896545 317.0 6.0,True,True,preprimary_primary,Ede South,171,171,171.0,0.625,False,EDE_SOUTH,OSUN,southwest,yes,0.0,0.0,8.0,13.0,0.0,2.0,1.0,,40.0,private,False,1307961741392.jpg,76035,347.364043886,,False,no,no,0.433333333333333,3.25,0.433333333333333,6.5,0.153846153846154,False,False,Morning Star N/P Schl,education,Osun,0.0,113,False,False,yes,Inf,3.07692307692308,no,,osun_ede_south,afc2a7a819e66ae6fd62b3fa940eba7f,False,33415,Southwest
False,False,218.8913946,True,no,False,0.00438827206848,0.486293357246,,formal,Sda Jnr Schl2 Ede,js,1307958846791.jpg,,,yes,7.715116739273071 4.444688558578491 320.0 8.0,True,True,js,Ede South,171,171,170.0,0.869565217391304,False,EDE_SOUTH,OSUN,southwest,yes,0.0,9.0,9.0,215.0,5.0,13.0,4.0,,30.0,public,True,1307958846791.jpg,76035,347.364043886,,True,no,no,1.27218934911243,23.8888888888889,4.3,16.5384615384615,,False,False,Sda Jnr Schl2 Ede,education,Osun,0.0,113,False,False,yes,13,0.13953488372093,no,,osun_ede_south,0c895fb333c5df4bd1e10bc8956f48a6,False,33414,Southwest
True,True,218.8913946,True,no,False,,,,formal,L A Pry School Agbinpa,preprimary_primary,1307619561959.jpg,,,yes,7.651671767234802 4.563800096511841 320.0 6.0,True,True,preprimary_primary,Ede South,171,171,171.0,0.709459459459459,False,EDE_SOUTH,OSUN,southwest,yes,6.0,5.0,27.0,253.0,1.0,7.0,5.0,,30.0,public,False,1307619561959.jpg,76035,347.364043886,,False,no,no,5.27083333333333,13.3157894736842,5.27083333333333,36.1428571428571,,True,True,L A Pry School Agbinpa,education,Osun,1.0,113,False,False,yes,0.875,0.118577075098814,no,,osun_ede_south,a4d180a0e98efffb28bcdd7e969915d7,False,32430,Southwest
False,False,218.8913946,True,no,False,,,,formal,Miracle Nursery School,preprimary,1307624077067.jpg,,,no,7.623331546783447 4.441099762916565 313.0 4.0,False,True,preprimary,Ede South,171,171,171.0,0.8,True,EDE_SOUTH,OSUN,southwest,yes,1.0,4.0,21.0,180.0,0.0,10.0,8.0,,40.0,private,False,1307624077067.jpg,76035,347.364043886,,False,no,no,2.72727272727273,13.8461538461538,2.72727272727273,18,,False,,Miracle Nursery School,education,Osun,0.0,113,False,False,no,Inf,0.222222222222222,no,,osun_ede_south,c149712cac59526f86d319bd4c56d6bc,False,26648,Southwest
False,False,218.8913946,True,no,False,,,,formal,Royal Tec N/P,primary,1307624635984.jpg,,,no,7.628610134124756 4.441958069801331 309.0 4.0,False,False,primary,Ede South,171,171,171.0,0.818181818181818,False,EDE_SOUTH,OSUN,southwest,yes,2.0,0.0,6.0,200.0,2.0,5.0,5.0,,27.0,private,False,1307624635984.jpg,76035,347.364043886,,False,no,no,2.22222222222222,50,2.22222222222222,40,,False,False,Royal Tec N/P,education,Osun,0.0,113,False,False,no,1,0.135,no,,osun_ede_south,c6f756fe5732e931b5a4525b18f3f6a7,False,26649,Southwest
False,False,218.8913946,True,no,False,,,,formal,Damicity Acdemy,preprimary_primary,1307619973418.jpg,,,no,7.61802613735199 4.4469791650772095 307.0 4.0,False,False,preprimary_primary,Ede South,171,171,171.0,0.904761904761905,False,EDE_SOUTH,OSUN,southwest,yes,0.0,1.0,11.0,200.0,0.0,4.0,2.0,,33.0,private,False,1307619973418.jpg,76035,347.364043886,,False,no,no,4,33.3333333333333,4,50,,False,True,Damicity Acdemy,education,Osun,0.0,113,False,False,no,0.8,0.165,no,,osun_ede_south,7de68fc15a2128be74fdd9761502d299,False,26638,Southwest
False,False,218.8913946,True,no,False,,,,formal,Anu Olowapo N/P Sch,preprimary_primary,1307541419164.jpg,,,yes,7.615177631378174 4.434002637863159 280.0 3.0,True,False,preprimary_primary,Ede South,171,171,171.0,2.9,False,EDE_SOUTH,OSUN,southwest,yes,0.0,0.0,16.0,390.0,2.0,12.0,9.0,,40.0,private,False,1307541419164.jpg,76035,347.364043886,,False,yes,no,2.16666666666667,48.75,2.16666666666667,32.5,0.0102564102564103,False,True,Anu Olowapo N/P Sch,education,Osun,0.0,113,False,False,no,Inf,0.102564102564103,no,,osun_ede_south,1c49518e75ddb95e7252c64127883b64,False,26625,Southwest
False,False,218.8913946,True,no,False,,,,formal,Ede Dimeji Community Ps,primary,1307535714016.jpg,,,yes,7.692580819129944 4.449613094329834 323.0 6.0,True,True,primary,Ede South,171,171,171.0,0.849056603773585,False,EDE_SOUTH,OSUN,southwest,yes,0.0,2.0,10.0,196.0,9.0,9.0,9.0,,36.0,public,False,1307535714016.jpg,76035,347.364043886,,False,no,no,1.75,32.6666666666667,1.75,21.7777777777778,,False,True,Ede Dimeji Community Ps,education,Osun,1.0,113,True,False,yes,Inf,0.183673469387755,no,,osun_ede_south,51ce292d8e520eddde7854d2ecacc35d,False,32326,Southwest
False,False,218.8913946,True,no,True,,,,formal,Akoda Model High,js,1307692752714.jpg,,,no,7.67620325088501 4.460873007774353 322.0 4.0,False,False,js,Ede South,171,171,171.0,1,False,EDE_SOUTH,OSUN,southwest,yes,0.0,0.0,12.0,200.0,2.0,14.0,9.0,,7.0,public,False,1307692752714.jpg,76035,347.364043886,,False,no,no,4,33.3333333333333,4,14.2857142857143,,True,True,Akoda Model High,education,Osun,0.0,113,False,False,no,0.933333333333333,0.035,no,,osun_ede_south,fc0e039edcbe7c0bb16ee229d1a9bf8b,True,26684,Southwest
False,False,218.8913946,True,no,False,,,,formal,El Saddai N/P,preprimary_primary,1307620460625.jpg,,,no,7.618959546089172 4.443417191505432 305.0 4.0,False,False,preprimary_primary,Ede South,171,171,171.0,1.15625,False,EDE_SOUTH,OSUN,southwest,yes,0.0,0.0,12.0,69.0,0.0,5.0,5.0,,36.0,private,False,1307620460625.jpg,76035,347.364043886,,False,no,no,1.38,11.5,1.38,13.8,,False,False,El Saddai N/P,education,Osun,0.0,113,False,False,no,Inf,0.521739130434783,no,,osun_ede_south,38f0c2fa0df5f3166656b984111ae412,False,26639,Southwest
